query,URL,clicks,impressions,position,user need,coverage before,coverage after,heading created from query,intent preserved,evidence
right speech in buddhism,https://echobuddha.com/articles/right-speech-buddhism/,0,2,64.5,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
right speech sutta,https://echobuddha.com/articles/right-speech-buddhism/,0,4,10.75,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
what is right speech,https://echobuddha.com/articles/right-speech-buddhism/,0,4,64.75,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
what is right speech in buddhism,https://echobuddha.com/articles/right-speech-buddhism/,0,2,56,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
wise speech buddhism,https://echobuddha.com/articles/right-speech-buddhism/,0,1,37,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
yes,https://echobuddha.com/articles/right-speech-buddhism/,0,1,7,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
dahma,https://echobuddha.com/articles/dhamma-vs-dharma/,0,1,88,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
dhamma and dharma difference,https://echobuddha.com/articles/dhamma-vs-dharma/,0,11,7.7272727272727275,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
dhamma buddhism,https://echobuddha.com/articles/dhamma-vs-dharma/,0,5,35.2,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
dhamma dharma,https://echobuddha.com/articles/dhamma-vs-dharma/,0,1,27,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
dhamma meaning,https://echobuddha.com/articles/dhamma-vs-dharma/,0,1,12,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
dhamma meaning buddhism,https://echobuddha.com/articles/dhamma-vs-dharma/,0,1,36,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
dhamma meaning in english,https://echobuddha.com/articles/dhamma-vs-dharma/,0,1,12,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
dhamma means,https://echobuddha.com/articles/dhamma-vs-dharma/,0,1,68,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
dhamma or dharma,https://echobuddha.com/articles/dhamma-vs-dharma/,0,28,7.285714285714286,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
dhamma vs dharma,https://echobuddha.com/articles/dhamma-vs-dharma/,0,17,6.352941176470588,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
dhammam meaning,https://echobuddha.com/articles/dhamma-vs-dharma/,0,2,26.5,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
dharma and dhamma,https://echobuddha.com/articles/dhamma-vs-dharma/,0,3,15,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
dharma and dhamma difference,https://echobuddha.com/articles/dhamma-vs-dharma/,0,4,7.75,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
dharma buddhism,https://echobuddha.com/articles/dhamma-vs-dharma/,0,2,33.5,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
dharma dhamma,https://echobuddha.com/articles/dhamma-vs-dharma/,0,1,32,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
dharma or dhamma,https://echobuddha.com/articles/dhamma-vs-dharma/,0,12,7,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
dharma vs dhamma,https://echobuddha.com/articles/dhamma-vs-dharma/,0,10,6.2,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
difference between dhamma and dharma,https://echobuddha.com/articles/dhamma-vs-dharma/,0,21,8.761904761904763,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
difference between dharma and dhamma,https://echobuddha.com/articles/dhamma-vs-dharma/,0,14,8.571428571428571,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
dogma vs dharma,https://echobuddha.com/articles/dhamma-vs-dharma/,0,1,89,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
is dhamma and dharma the same,https://echobuddha.com/articles/dhamma-vs-dharma/,0,9,7.555555555555555,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
is it dharma or dhamma,https://echobuddha.com/articles/dhamma-vs-dharma/,0,1,5,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
what is the dhamma,https://echobuddha.com/articles/dhamma-vs-dharma/,0,1,27,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
what is the dhamma in buddhism,https://echobuddha.com/articles/dhamma-vs-dharma/,0,8,33.75,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
what is the difference between dhamma and dharma,https://echobuddha.com/articles/dhamma-vs-dharma/,0,1,11,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
"""what we think, we become"" buddha attribution",https://echobuddha.com/articles/dhammapada-verse-1-meaning/,0,1,8,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
"""what we think, we become"" buddha attribution source",https://echobuddha.com/articles/dhammapada-verse-1-meaning/,0,2,7,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
"""what we think, we become"" dhammapada translation",https://echobuddha.com/articles/dhammapada-verse-1-meaning/,0,4,4.75,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
"dhammapada ""what we think we become"" translation",https://echobuddha.com/articles/dhammapada-verse-1-meaning/,0,1,4,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
dhammapada verse 1,https://echobuddha.com/articles/dhammapada-verse-1-meaning/,0,2,14.5,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
buddhism letting go quotes,https://echobuddha.com/quotes/letting-go/,1,19,11.526315789473685,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing Phase 5 answer retained,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
buddha letting go quotes,https://echobuddha.com/quotes/letting-go/,0,3,29.666666666666668,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing Phase 5 answer retained,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
buddha quote about letting go,https://echobuddha.com/quotes/letting-go/,0,4,40.5,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing Phase 5 answer retained,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
buddha quote on letting go,https://echobuddha.com/quotes/letting-go/,0,1,44,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing Phase 5 answer retained,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
buddha quotes about letting go,https://echobuddha.com/quotes/letting-go/,0,4,18.5,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing Phase 5 answer retained,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
buddha quotes letting go,https://echobuddha.com/quotes/letting-go/,0,5,30.6,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing Phase 5 answer retained,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
buddha quotes on letting go,https://echobuddha.com/quotes/letting-go/,0,13,24.53846153846154,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing Phase 5 answer retained,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
buddha sayings about letting go,https://echobuddha.com/quotes/letting-go/,0,1,38,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing Phase 5 answer retained,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
buddhism on letting go,https://echobuddha.com/quotes/letting-go/,0,1,4,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing Phase 5 answer retained,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
buddhism quotes on letting go,https://echobuddha.com/quotes/letting-go/,0,4,39.5,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing Phase 5 answer retained,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
buddhist quotes about letting go,https://echobuddha.com/quotes/letting-go/,0,5,11.4,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing Phase 5 answer retained,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
buddhist quotes on letting go,https://echobuddha.com/quotes/letting-go/,0,8,21.5,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing Phase 5 answer retained,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
buddhist saying about letting go,https://echobuddha.com/quotes/letting-go/,0,3,10,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing Phase 5 answer retained,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
buddhist sayings about letting go,https://echobuddha.com/quotes/letting-go/,0,12,15.333333333333334,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing Phase 5 answer retained,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
let go quotes buddha,https://echobuddha.com/quotes/letting-go/,0,6,30.166666666666668,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing Phase 5 answer retained,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
let it go buddha quotes,https://echobuddha.com/quotes/letting-go/,0,1,32,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing Phase 5 answer retained,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
letting go buddha detachment quotes,https://echobuddha.com/quotes/letting-go/,0,1,30,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing Phase 5 answer retained,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
letting go buddha quotes,https://echobuddha.com/quotes/letting-go/,0,4,26,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing Phase 5 answer retained,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
letting go quotes buddha,https://echobuddha.com/quotes/letting-go/,0,3,46.333333333333336,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing Phase 5 answer retained,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
meer,https://echobuddha.com/quotes/letting-go/,0,1,2,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing Phase 5 answer retained,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
quotes from buddha about letting go,https://echobuddha.com/quotes/letting-go/,0,4,33.75,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing Phase 5 answer retained,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
zen quotes on letting go,https://echobuddha.com/quotes/letting-go/,0,1,10,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing Phase 5 answer retained,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
"""what we think, we become"" buddha attribution",https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,0,2,10.5,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
"""what we think, we become"" buddha dhammapada translation",https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,0,1,10,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
"""what we think, we become"" dhammapada",https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,0,2,10,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
"""what we think, we become"" dhammapada translation",https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,0,10,7.5,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
"""what we think, we become"" dhammapada verse 1 translation",https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,0,7,8.857142857142858,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
"dhammapada ""what we think we become"" translation",https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,0,2,9.5,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
"dhammapada verse 1 ""what we think we become"" translation",https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,0,2,10,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
"dhammapada verse 1 translation ""what we think we become""",https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,0,1,10,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
how to follow the eightfold path,https://echobuddha.com/articles/noble-eightfold-path-practical-guide/,0,2,71,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
6 buddhist teachings to stop overthinking,https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,0,1,19,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
NO_VISIBLE_RECOVERY_QUERY,https://echobuddha.com/articles/compassion-with-boundaries/,0,0,NOT_AVAILABLE,Established page intent only,Existing intent coverage retained,Materially strengthened without keyword fan-out,NO,YES,Phase 3 query×page export contains no visible row for this URL
