proposed title,proposed URL,content family,target reader intent,primary pillar owner,supporting pages,overlap/cannibalization risk,source requirements,quote/translation risk,meditation/wellbeing safety risk,indexability recommendation,implementation priority,decision
What to Do When Meditation Feels Hard,/meditation/when-meditation-feels-hard/,Meditation Practice Cluster,"Reader feels restless, discouraged, sleepy, or overwhelmed during practice",/meditation/,"/meditation/meditation-for-beginners/; /meditation/5-minute-meditation-practice/; /learn/buddhism-101/five-hindrances-in-buddhism/","Medium; keep as practical support while hindrances page owns doctrinal framework","Use safety policy and general practice context","Low","High; include stop/adapt/ground/seek support and no outcome promises","Indexable",11,create now
Mindful Email and Texting,/articles/mindful-email-and-texting/,Mindful Living Cluster,"Reader wants Buddhist Right Speech practice for messages and digital communication",/articles/right-speech-buddhism/,"/articles/right-speech-examples/; /mindful-living/; /learn/sutta-for-daily-life/right-speech-in-daily-life/","Low if message-specific and links to Right Speech owner","Use Right Speech source context; avoid generic productivity framing","Low","Low","Indexable",12,create now
Compassion With Boundaries,/articles/compassion-with-boundaries/,Mindful Living Cluster,"Reader wants compassion without people-pleasing or tolerating harm",/learn/buddhist-dictionary/compassion/,"/articles/compassion-as-a-daily-discipline/; /learn/buddhism-101/four-brahmaviharas/; /meditation/loving-kindness-meditation/","Medium; must not replace compassion dictionary or metta meditation guide","Use Metta/compassion context; keep boundaries explicit","Low","Medium; avoid advising unsafe contact or abuse tolerance","Indexable",13,create now
Karaniya Metta Sutta: Loving-Kindness for Daily Life,/learn/sutta-for-daily-life/karaniya-metta-sutta-loving-kindness/,Source-Study Cluster,"Reader wants Metta Sutta context",/learn/sutta-for-daily-life/metta-sutta-explained-for-daily-life/,"/meditation/loving-kindness-meditation/; /learn/buddhist-dictionary/metta/","High because an existing Metta Sutta page already owns this intent","Would require source-aware rewrite of existing page rather than duplicate URL","Medium","Medium; loving-kindness can be sensitive around unsafe people",Defer until existing-page improvement is approved,14,improve existing page instead
Buddhist Practice at Work,/articles/buddhist-practice-at-work/,Mindful Living Cluster,"Reader wants Buddhist practice for work life",/learn/buddhism-101/right-livelihood-buddhism/,"/mindful-living/; /articles/right-speech-buddhism/; /articles/mindful-email-and-texting/","Medium because Right Livelihood already owns broad Buddhist work intent","Use Right Livelihood and Eightfold Path context","Low","Low",Defer until a narrower workplace role is approved,15,defer
Mindful Walking Indoors,/meditation/mindful-walking-indoors/,Meditation Practice Cluster,"Reader wants indoor walking practice",/meditation/walking-meditation/,"/meditation/; /meditation/mindfulness-in-daily-life/","Medium because walking meditation already exists","Use mindfulness-of-posture context","Low","Medium; include fall/safety awareness",Defer until walking page support role is clearer,16,defer
Grief and Impermanence,/articles/grief-and-impermanence/,Mindful Living Cluster,"Reader wants Buddhist impermanence reflection during grief",/learn/buddhism-101/what-is-impermanence/,"/articles/buddhist-teachings-on-impermanence/; /daily-reflections/","Medium to high because existing impermanence pages already address grief","Would require careful safety/loss language and existing-page differentiation","Low","High; do not rush grief or replace support",Defer until grief-specific safety review is approved,17,defer
Dana,/learn/buddhist-dictionary/dana/,Dictionary Expansion,"Reader wants generosity term definition",/learn/buddhist-dictionary/,"/learn/buddhism-101/threefold-training-sila-samadhi-panna/","Low, but not required for first-batch articles","Needs generosity source context","Low","Low",Defer,18,defer
Sila,/learn/buddhist-dictionary/sila/,Dictionary Expansion,"Reader wants ethical conduct term definition",/learn/buddhist-dictionary/,"/learn/buddhism-101/threefold-training-sila-samadhi-panna/; /learn/buddhism-101/five-precepts-buddhism/","Low, but threefold-training page can define term inline in this batch","Needs precepts and training source context","Low","Low",Defer,19,defer
Samadhi,/learn/buddhist-dictionary/samadhi/,Dictionary Expansion,"Reader wants concentration term definition",/learn/buddhist-dictionary/,"/learn/buddhism-101/threefold-training-sila-samadhi-panna/; /meditation/","Low, but threefold-training page can define term inline in this batch","Needs Eightfold Path/concentration context","Low","Medium if tied to meditation outcomes",Defer,20,defer
Panna,/learn/buddhist-dictionary/panna/,Dictionary Expansion,"Reader wants wisdom/discernment term definition",/learn/buddhist-dictionary/,"/learn/buddhism-101/threefold-training-sila-samadhi-panna/; /learn/buddhist-dictionary/dhamma/","Low, but threefold-training page can define term inline in this batch","Needs wisdom/path context","Low","Low",Defer,21,defer
