Topic,Primary owner URL,Primary role,Primary audience,Primary intent,Why selected,Previous owner if different,Phase 1 evidence,Search evidence if available,Supporting URLs,Source-study URLs,Practice URLs,Utility/recurring URLs,Ownership confidence,Human review required
Gratitude,https://echobuddha.com/articles/buddhist-gratitude-practice/,PRACTICAL_APPLICATION,PRACTITIONER,PRACTICAL_HOW_TO,It is the dedicated Buddhist gratitude practice and explicitly distinguishes appreciation from forced positivity and clinging.,Not previously explicit,1 indexable pages assigned; Phase 1 overlap and page-decision registers reviewed.,STALE/INSUFFICIENT: repository GSC data ends 2026-08-02 and is not decisive.,,,https://echobuddha.com/articles/buddhist-gratitude-practice/,,High,No
Dhamma / Dharma,https://echobuddha.com/learn/buddhist-dictionary/dhamma/,PRIMARY_PILLAR,BEGINNER,DEFINITIONAL,The dictionary page owns meaning and linguistic context; the article owns the comparison question.,Unchanged,2 indexable pages assigned; Phase 1 overlap and page-decision registers reviewed.,STALE/INSUFFICIENT: repository GSC data ends 2026-08-02 and is not decisive.,https://echobuddha.com/articles/dhamma-vs-dharma/,,,,High,No
Sangha,https://echobuddha.com/articles/what-is-sangha-buddhist-community/,PRIMARY_PILLAR,BEGINNER,FOUNDATIONAL_INFORMATIONAL,It provides the fuller community explanation; the dictionary and temple guide have narrower roles.,Unchanged,4 indexable pages assigned; Phase 1 overlap and page-decision registers reviewed.,STALE/INSUFFICIENT: repository GSC data ends 2026-08-02 and is not decisive.,https://echobuddha.com/articles/visiting-a-buddhist-temple-respectfully/ | https://echobuddha.com/learn/buddhism-101/the-three-jewels-explained/ | https://echobuddha.com/learn/buddhist-dictionary/sangha/,,https://echobuddha.com/articles/visiting-a-buddhist-temple-respectfully/,,High,No
Meditation,https://echobuddha.com/meditation/,HUB,BEGINNER,NAVIGATIONAL,It organizes practice choices and routes readers without pretending to be every meditation method.,Unchanged,9 indexable pages assigned; Phase 1 overlap and page-decision registers reviewed.,STALE/INSUFFICIENT: repository GSC data ends 2026-08-02 and is not decisive.,https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,,https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/ | https://echobuddha.com/articles/how-to-meditate-for-beginners/ | https://echobuddha.com/meditation-guide/ | https://echobuddha.com/meditation/10-minute-meditation-practice/ | https://echobuddha.com/meditation/5-minute-meditation-practice/ | https://echobuddha.com/meditation/meditation-for-beginners/ | https://echobuddha.com/meditation/meditation-posture-for-beginners/ | https://echobuddha.com/meditation/when-meditation-feels-hard/,,High,No
Breath / Mindfulness of Breathing,https://echobuddha.com/articles/mindfulness-of-breathing-guide/,PRIMARY_PILLAR,PRACTITIONER,PRACTICAL_HOW_TO,It owns the fuller breath-method explanation; practice and source pages keep distinct roles.,Unchanged,3 indexable pages assigned; Phase 1 overlap and page-decision registers reviewed.,STALE/INSUFFICIENT: repository GSC data ends 2026-08-02 and is not decisive.,,https://echobuddha.com/learn/sutta-for-daily-life/mindfulness-of-breathing-explained-simply/,https://echobuddha.com/meditation/breathing-meditation/,,High,No
Walking Meditation,https://echobuddha.com/meditation/walking-meditation/,PRACTICE_GUIDE,PRACTITIONER,MEDITATION_PRACTICE,The meditation route should own the repeatable walking practice; the article must add depth or be reviewed for consolidation.,Not previously explicit,2 indexable pages assigned; Phase 1 overlap and page-decision registers reviewed.,STALE/INSUFFICIENT: repository GSC data ends 2026-08-02 and is not decisive.,,,https://echobuddha.com/articles/walking-meditation-step-by-step/ | https://echobuddha.com/meditation/walking-meditation/,,High,No
Anxiety / Overthinking,https://echobuddha.com/articles/how-to-meditate-for-anxiety/,SCENARIO_GUIDE,SITUATION_SPECIFIC,SCENARIO_APPLICATION,It owns the anxiety-specific gentle practice; overthinking remains a related but distinct thought-loop scenario.,Unchanged,2 indexable pages assigned; Phase 1 overlap and page-decision registers reviewed.,STALE/INSUFFICIENT: repository GSC data ends 2026-08-02 and is not decisive.,https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,,https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/ | https://echobuddha.com/articles/how-to-meditate-for-anxiety/,,High,No
Sleep,https://echobuddha.com/articles/mindfulness-for-better-sleep/,SCENARIO_GUIDE,SITUATION_SPECIFIC,SCENARIO_APPLICATION,It is the only sleep-specific mindfulness guide and must retain wellbeing boundaries.,Unchanged,1 indexable pages assigned; Phase 1 overlap and page-decision registers reviewed.,STALE/INSUFFICIENT: repository GSC data ends 2026-08-02 and is not decisive.,,,https://echobuddha.com/articles/mindfulness-for-better-sleep/,,High,No
Mindfulness,https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,PRIMARY_PILLAR,BEGINNER,FOUNDATIONAL_INFORMATIONAL,"The lesson owns Buddhist mindfulness meaning; dictionary, comparison, and routine pages remain narrower.",Unchanged,7 indexable pages assigned; Phase 1 overlap and page-decision registers reviewed.,STALE/INSUFFICIENT: repository GSC data ends 2026-08-02 and is not decisive.,https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/ | https://echobuddha.com/articles/mindfulness-morning-routine/ | https://echobuddha.com/articles/mindfulness-vs-meditation/ | https://echobuddha.com/learn/buddhist-dictionary/mindfulness/ | https://echobuddha.com/learn/buddhist-dictionary/sati/,,https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/ | https://echobuddha.com/articles/mindfulness-morning-routine/ | https://echobuddha.com/meditation/mindfulness-in-daily-life/,,High,No
Dhammapada,https://echobuddha.com/learn/dhammapada-reflections/,HUB,SOURCE_CURIOUS,SOURCE_STUDY,"The source-aware hub organizes verse study and clearly separates translation, paraphrase, and reflection.",Unchanged,9 indexable pages assigned; Phase 1 overlap and page-decision registers reviewed.,STALE/INSUFFICIENT: repository GSC data ends 2026-08-02 and is not decisive.,,https://echobuddha.com/articles/dhammapada-reflection-trained-mind/ | https://echobuddha.com/articles/dhammapada-reflection-what-we-think/ | https://echobuddha.com/articles/dhammapada-verse-1-meaning/ | https://echobuddha.com/learn/dhammapada-reflections/avoid-evil-do-good-purify-the-mind/ | https://echobuddha.com/learn/dhammapada-reflections/better-than-a-thousand-empty-words/ | https://echobuddha.com/learn/dhammapada-reflections/hatred-is-not-ended-by-hatred/ | https://echobuddha.com/learn/dhammapada-reflections/peace-comes-from-a-trained-mind/ | https://echobuddha.com/learn/dhammapada-reflections/the-mind-leads-all-things/,,,High,"Yes — scope/source/identity, not owner selection"
Sutta Study,https://echobuddha.com/learn/sutta-for-daily-life/,HUB,SOURCE_CURIOUS,SOURCE_STUDY,The hub owns navigation into specific canonical-text studies; doctrine pillars own general explanations.,Unchanged,4 indexable pages assigned; Phase 1 overlap and page-decision registers reviewed.,STALE/INSUFFICIENT: repository GSC data ends 2026-08-02 and is not decisive.,https://echobuddha.com/learn/buddhist-dictionary/pali-canon/ | https://echobuddha.com/learn/buddhist-dictionary/sutta/,https://echobuddha.com/learn/sutta-for-daily-life/kalama-sutta-and-wise-thinking/,,,High,"Yes — scope/source/identity, not owner selection"
Buddhist Dictionary,https://echobuddha.com/learn/buddhist-dictionary/,HUB,SOURCE_CURIOUS,NAVIGATIONAL,The hub organizes term definitions; it does not own every broad doctrinal topic represented by its entries.,Unchanged,3 indexable pages assigned; Phase 1 overlap and page-decision registers reviewed.,STALE/INSUFFICIENT: repository GSC data ends 2026-08-02 and is not decisive.,https://echobuddha.com/learn/buddhist-dictionary/anatta/ | https://echobuddha.com/learn/buddhist-dictionary/nirvana/,,,,High,No
