Case ID,Cluster,Pages involved,Intended owner,Risk,Evidence,Required distinction,Future remediation type,Phase 3 validation required,Confidence
P2-CONFLICT-01,Beginner Buddhism,https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/ | https://echobuddha.com/learn/buddhism-for-beginners/,https://echobuddha.com/learn/buddhism-for-beginners/,HIGH,Keyword/title-level distinction does not justify a second broad beginner guide.,Keyword/title-level distinction does not justify a second broad beginner guide.,CONSOLIDATE,Yes,High
P2-CONFLICT-12,Impermanence,https://echobuddha.com/articles/buddhist-teachings-on-impermanence/ | https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,MEDIUM,Keep only as source/teaching-context support with explicit source boundaries.,Keep only as source/teaching-context support with explicit source boundaries.,KEEP_AND_REPOSITION,Yes,Medium
P2-CONFLICT-13,Attachment / Non-Attachment / Letting Go,https://echobuddha.com/articles/how-to-practice-non-attachment/ | https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,MEDIUM,The practice page needs a repeatable method distinct from the broad attachment guide.,The practice page needs a repeatable method distinct from the broad attachment guide.,KEEP_AND_REPOSITION,Yes,Medium
P2-CONFLICT-14,Compassion,https://echobuddha.com/learn/buddhist-dictionary/compassion/ | https://echobuddha.com/learn/buddhist-dictionary/karuna/,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,MEDIUM,English concept and Pali term can coexist only with explicit linguistic/tradition distinction.,English concept and Pali term can coexist only with explicit linguistic/tradition distinction.,TARGETED_REWRITE,Yes,Medium
P2-CONFLICT-15,Loving-Kindness / Metta,https://echobuddha.com/articles/loving-kindness-meditation-beginners/ | https://echobuddha.com/articles/loving-kindness-meditation-guide/,https://echobuddha.com/learn/buddhist-dictionary/metta/,HIGH,Both target beginners and explain the same practice sequence.,Both target beginners and explain the same practice sequence.,CONSOLIDATE,Yes,High
P2-CONFLICT-16,Mindfulness,https://echobuddha.com/learn/buddhist-dictionary/mindfulness/ | https://echobuddha.com/learn/buddhist-dictionary/sati/,https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,MEDIUM,English concept and Pali term require an explicit translation/semantic boundary.,English concept and Pali term require an explicit translation/semantic boundary.,TARGETED_REWRITE,Yes,Medium
P2-CONFLICT-17,Meditation,https://echobuddha.com/articles/how-to-meditate-for-beginners/ | https://echobuddha.com/meditation/meditation-for-beginners/,https://echobuddha.com/meditation/,HIGH,Both promise beginner meditation instruction and currently need an owner-level comparison.,Both promise beginner meditation instruction and currently need an owner-level comparison.,HUMAN_REVIEW,Yes,High
P2-CONFLICT-18,Meditation,https://echobuddha.com/meditation-guide/ | https://echobuddha.com/meditation/meditation-for-beginners/,https://echobuddha.com/meditation/,HIGH,A second broad meditation guide is difficult to distinguish from the section's beginner practice owner.,A second broad meditation guide is difficult to distinguish from the section's beginner practice owner.,HUMAN_REVIEW,Yes,High
P2-CONFLICT-19,Walking Meditation,https://echobuddha.com/articles/walking-meditation-step-by-step/ | https://echobuddha.com/meditation/walking-meditation/,https://echobuddha.com/meditation/walking-meditation/,MEDIUM,The article must add troubleshooting/context while the meditation route owns the practice sequence.,The article must add troubleshooting/context while the meditation route owns the practice sequence.,KEEP_AND_REPOSITION,Yes,Medium
P2-CONFLICT-20,Breath / Mindfulness of Breathing,https://echobuddha.com/learn/sutta-for-daily-life/mindfulness-of-breathing-explained-simply/ | https://echobuddha.com/articles/mindfulness-of-breathing-guide/,https://echobuddha.com/articles/mindfulness-of-breathing-guide/,MEDIUM,The sutta page must remain canonical-source study rather than another generic breath guide.,The sutta page must remain canonical-source study rather than another generic breath guide.,KEEP_AND_REPOSITION,Yes,Medium
P2-CONFLICT-21,Dhammapada,https://echobuddha.com/articles/dhammapada-verse-1-meaning/ | https://echobuddha.com/learn/dhammapada-reflections/the-mind-leads-all-things/,https://echobuddha.com/learn/dhammapada-reflections/,MEDIUM,"Translation, paraphrase, and verse-study roles overlap and require source/copyright review.","Translation, paraphrase, and verse-study roles overlap and require source/copyright review.",HUMAN_REVIEW,Yes,Medium
P2-CONFLICT-22,Quotes,https://echobuddha.com/quotes/awareness/anger-asks-for-speed-awareness-asks-for-one-more/ | https://echobuddha.com/quotes/,https://echobuddha.com/quotes/,HIGH,Representative of 60 generated indexable stories whose search role is weaker than their browsing role.,Representative of 60 generated indexable stories whose search role is weaker than their browsing role.,NOINDEX_CANDIDATE,Yes,High
P2-CONFLICT-23,Daily Reflections,https://echobuddha.com/daily-reflections/anger-as-a-signal/ | https://echobuddha.com/daily-reflections/,https://echobuddha.com/daily-reflections/,HIGH,Representative of 30 structurally identical detail pages whose primary role is recurring-user content.,Representative of 30 structurally identical detail pages whose primary role is recurring-user content.,NOINDEX_CANDIDATE,Yes,High
