URL,Topic cluster,Ownership decision,Why current role is problematic,Possible Phase 3 action,Primary owner,Indexability consequence not yet approved,Human review required,Evidence
https://echobuddha.com/articles/four-noble-truths-explained/,Four Noble Truths,KEEP AS SUPPORTING_EXPLANATION SUBJECT TO REQUIRED DIFFERENTIATION,Stay within SUPPORTING_EXPLANATION; avoid repeating the owner's broad definition and opening journey.,IMPROVE,https://echobuddha.com/learn/four-noble-truths/,Yes,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 1448 words; 28 content headings; authored route; nearest /articles/four-noble-truths-explained-simply/ combined overlap 39.2%; external source links 2; role review: SUPPORTING_EXPLANATION; owner selection: The dedicated Learn page provides the clearest broad doctrinal route and parent for source and application pages.
https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,Attachment / Non-Attachment / Letting Go,PROTECTED PRIMARY OWNER,No owner conflict; protect broad role.,KEEP,https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,Yes,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 1422 words; 27 content headings; authored route; nearest /articles/non-attachment-in-relationships/ combined overlap 40.6%; external source links 0; role review: PRIMARY_PILLAR; owner selection: It most clearly distinguishes clinging from care and anchors the practical release cluster.
https://echobuddha.com/articles/how-to-meditate-for-anxiety/,Anxiety / Overthinking,PROTECTED PRIMARY OWNER,No owner conflict; protect broad role.,HUMAN_REVIEW,https://echobuddha.com/articles/how-to-meditate-for-anxiety/,Yes,Yes,Phase 1: Built 2026-08-11T02:17:46.273Z; 1410 words; 28 content headings; authored route; nearest /articles/mindfulness-for-better-sleep/ combined overlap 43.5%; external source links 1; role review: SCENARIO_GUIDE; owner selection: It owns the anxiety-specific gentle practice; overthinking remains a related but distinct thought-loop scenario.
https://echobuddha.com/articles/how-to-meditate-for-beginners/,Meditation,KEEP AS PRACTICE_GUIDE SUBJECT TO REQUIRED DIFFERENTIATION,Stay within PRACTICE_GUIDE; avoid repeating the owner's broad definition and opening journey.,IMPROVE,https://echobuddha.com/meditation/,Yes,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 1327 words; 28 content headings; authored route; nearest /articles/mindfulness-of-breathing-guide/ combined overlap 41.6%; external source links 2; role review: PRACTICE_GUIDE; owner selection: It organizes practice choices and routes readers without pretending to be every meditation method.
https://echobuddha.com/articles/how-to-practice-non-attachment/,Attachment / Non-Attachment / Letting Go,KEEP AS PRACTICAL_APPLICATION SUBJECT TO REQUIRED DIFFERENTIATION,Stay within PRACTICAL_APPLICATION; avoid repeating the owner's broad definition and opening journey.,IMPROVE,https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,Yes,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 1199 words; 27 content headings; authored route; nearest /articles/letting-go-without-giving-up/ combined overlap 47.2%; external source links 0; role review: PRACTICAL_APPLICATION; owner selection: It most clearly distinguishes clinging from care and anchors the practical release cluster.
https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,Impermanence,KEEP AS PRACTICAL_APPLICATION SUBJECT TO REQUIRED DIFFERENTIATION,Current differentiation is insufficient against the selected owner or sibling.,CONSOLIDATE_REVIEW,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,Yes,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 1286 words; 27 content headings; authored route; nearest /articles/buddhist-teachings-on-impermanence/ combined overlap 43.9%; external source links 1; role review: PRACTICAL_APPLICATION; owner selection: The lesson is the clearest broad beginner owner; anicca definitions and change applications remain subordinate.
https://echobuddha.com/articles/impermanence-in-buddhism/,Impermanence,KEEP AS SUPPORTING_EXPLANATION SUBJECT TO REQUIRED DIFFERENTIATION,Current differentiation is insufficient against the selected owner or sibling.,CONSOLIDATE_REVIEW,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,Yes,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 1441 words; 34 content headings; authored route; nearest /articles/buddhist-teachings-on-impermanence/ combined overlap 42.2%; external source links 1; role review: SUPPORTING_EXPLANATION; owner selection: The lesson is the clearest broad beginner owner; anicca definitions and change applications remain subordinate.
https://echobuddha.com/articles/,Article Discovery,PROTECTED PRIMARY OWNER,No owner conflict; protect broad role.,KEEP,https://echobuddha.com/articles/,Yes,No,"Phase 1: Built 2026-08-11T02:17:46.273Z; 1490 words; 55 content headings; authored route; nearest /mindful-living/ combined overlap 25.5%; external source links 0; role review: HUB; owner selection: The publication index owns article discovery, not any individual Buddhist teaching."
https://echobuddha.com/articles/letting-go-without-giving-up/,Attachment / Non-Attachment / Letting Go,KEEP AS PRACTICAL_APPLICATION SUBJECT TO REQUIRED DIFFERENTIATION,Stay within PRACTICAL_APPLICATION; avoid repeating the owner's broad definition and opening journey.,IMPROVE,https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,Yes,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 1210 words; 28 content headings; authored route; nearest /articles/how-to-practice-non-attachment/ combined overlap 47.2%; external source links 0; role review: PRACTICAL_APPLICATION; owner selection: It most clearly distinguishes clinging from care and anchors the practical release cluster.
https://echobuddha.com/articles/loving-kindness-meditation-beginners/,Loving-Kindness / Metta,KEEP AS BEGINNER_FOUNDATION SUBJECT TO REQUIRED DIFFERENTIATION,Current differentiation is insufficient against the selected owner or sibling.,CONSOLIDATE_REVIEW,https://echobuddha.com/learn/buddhist-dictionary/metta/,Yes,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 1359 words; 29 content headings; authored route; nearest /articles/metta-meditation-script/ combined overlap 44.0%; external source links 2; role review: BEGINNER_FOUNDATION; owner selection: The term page should own metta meaning while meditation pages own practices and scripts.
https://echobuddha.com/articles/loving-kindness-meditation-guide/,Loving-Kindness / Metta,KEEP AS BEGINNER_FOUNDATION SUBJECT TO REQUIRED DIFFERENTIATION,Stay within BEGINNER_FOUNDATION; avoid repeating the owner's broad definition and opening journey.,IMPROVE,https://echobuddha.com/learn/buddhist-dictionary/metta/,Yes,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 1316 words; 28 content headings; authored route; nearest /articles/loving-kindness-meditation-beginners/ combined overlap 42.1%; external source links 2; role review: BEGINNER_FOUNDATION; owner selection: The term page should own metta meaning while meditation pages own practices and scripts.
https://echobuddha.com/articles/metta-meditation-script/,Loving-Kindness / Metta,KEEP AS PRACTICE_GUIDE SUBJECT TO REQUIRED DIFFERENTIATION,Stay within PRACTICE_GUIDE; avoid repeating the owner's broad definition and opening journey.,IMPROVE,https://echobuddha.com/learn/buddhist-dictionary/metta/,Yes,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 1606 words; 30 content headings; authored route; nearest /articles/loving-kindness-meditation-beginners/ combined overlap 44.0%; external source links 2; role review: PRACTICE_GUIDE; owner selection: The term page should own metta meaning while meditation pages own practices and scripts.
https://echobuddha.com/articles/mindful-email-and-texting/,Right Speech,KEEP AS SCENARIO_GUIDE SUBJECT TO REQUIRED DIFFERENTIATION,Stay within SCENARIO_GUIDE; avoid repeating the owner's broad definition and opening journey.,IMPROVE,https://echobuddha.com/articles/right-speech-buddhism/,Yes,No,"Phase 1: Built 2026-08-11T02:17:46.273Z; 845 words; 21 content headings; authored route; nearest /articles/right-speech-examples/ combined overlap 46.6%; external source links 2; role review: SCENARIO_GUIDE; owner selection: It combines meaning, ethical criteria, examples, and practice; other pages can specialize by source or scenario."
https://echobuddha.com/articles/mindful-listening-in-everyday-life/,Right Speech,KEEP AS SCENARIO_GUIDE SUBJECT TO REQUIRED DIFFERENTIATION,Stay within SCENARIO_GUIDE; avoid repeating the owner's broad definition and opening journey.,IMPROVE,https://echobuddha.com/articles/right-speech-buddhism/,Yes,No,"Phase 1: Built 2026-08-11T02:17:46.273Z; 1161 words; 27 content headings; authored route; nearest /articles/three-ways-to-practice-patience/ combined overlap 41.8%; external source links 0; role review: SCENARIO_GUIDE; owner selection: It combines meaning, ethical criteria, examples, and practice; other pages can specialize by source or scenario."
https://echobuddha.com/articles/mindfulness-for-better-sleep/,Sleep,PROTECTED PRIMARY OWNER,No owner conflict; protect broad role.,HUMAN_REVIEW,https://echobuddha.com/articles/mindfulness-for-better-sleep/,Yes,Yes,Phase 1: Built 2026-08-11T02:17:46.273Z; 1277 words; 28 content headings; authored route; nearest /articles/how-to-meditate-for-anxiety/ combined overlap 43.5%; external source links 1; role review: SCENARIO_GUIDE; owner selection: It is the only sleep-specific mindfulness guide and must retain wellbeing boundaries.
https://echobuddha.com/articles/mindfulness-morning-routine/,Mindfulness,KEEP AS PRACTICAL_APPLICATION SUBJECT TO REQUIRED DIFFERENTIATION,Stay within PRACTICAL_APPLICATION; avoid repeating the owner's broad definition and opening journey.,IMPROVE,https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,Yes,No,"Phase 1: Built 2026-08-11T02:17:46.273Z; 1223 words; 26 content headings; authored route; nearest /articles/beginning-a-daily-mindfulness-practice/ combined overlap 40.3%; external source links 0; role review: PRACTICAL_APPLICATION; owner selection: The lesson owns Buddhist mindfulness meaning; dictionary, comparison, and routine pages remain narrower."
https://echobuddha.com/articles/mindfulness-of-breathing-guide/,Breath / Mindfulness of Breathing,PROTECTED PRIMARY OWNER,No owner conflict; protect broad role.,KEEP,https://echobuddha.com/articles/mindfulness-of-breathing-guide/,Yes,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 1306 words; 28 content headings; authored route; nearest /articles/how-to-meditate-for-beginners/ combined overlap 41.6%; external source links 2; role review: PRIMARY_PILLAR; owner selection: It owns the fuller breath-method explanation; practice and source pages keep distinct roles.
https://echobuddha.com/articles/mindfulness-vs-meditation/,Mindfulness,KEEP AS COMPARISON_PAGE SUBJECT TO REQUIRED DIFFERENTIATION,Stay within COMPARISON_PAGE; avoid repeating the owner's broad definition and opening journey.,IMPROVE,https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,Yes,No,"Phase 1: Built 2026-08-11T02:17:46.273Z; 1514 words; 29 content headings; authored route; nearest /articles/mindfulness-of-breathing-guide/ combined overlap 37.5%; external source links 2; role review: COMPARISON_PAGE; owner selection: The lesson owns Buddhist mindfulness meaning; dictionary, comparison, and routine pages remain narrower."
https://echobuddha.com/articles/noble-eightfold-path-practical-guide/,Noble Eightfold Path,KEEP AS PRACTICAL_APPLICATION SUBJECT TO REQUIRED DIFFERENTIATION,Current differentiation is insufficient against the selected owner or sibling.,CONSOLIDATE_REVIEW,https://echobuddha.com/learn/eightfold-path/,Yes,No,"Phase 1: Built 2026-08-11T02:17:46.273Z; 1207 words; 27 content headings; authored route; nearest /articles/eightfold-path-explained-daily-life/ combined overlap 38.9%; external source links 1; role review: PRACTICAL_APPLICATION; owner selection: The dedicated Learn page owns the whole-path framework and can route readers to factors, sources, and practice."
https://echobuddha.com/articles/non-attachment-in-relationships/,Attachment / Non-Attachment / Letting Go,KEEP AS SCENARIO_GUIDE SUBJECT TO REQUIRED DIFFERENTIATION,Stay within SCENARIO_GUIDE; avoid repeating the owner's broad definition and opening journey.,IMPROVE,https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,Yes,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 831 words; 22 content headings; authored route; nearest /articles/letting-go-without-giving-up/ combined overlap 42.5%; external source links 2; role review: SCENARIO_GUIDE; owner selection: It most clearly distinguishes clinging from care and anchors the practical release cluster.
https://echobuddha.com/articles/right-livelihood-modern-life/,Right Livelihood,KEEP AS PRACTICAL_APPLICATION SUBJECT TO REQUIRED DIFFERENTIATION,Stay within PRACTICAL_APPLICATION; avoid repeating the owner's broad definition and opening journey.,IMPROVE,https://echobuddha.com/learn/buddhism-101/right-livelihood-buddhism/,Yes,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 1809 words; 23 content headings; authored route; nearest /articles/five-precepts-in-daily-life/ combined overlap 31.9%; external source links 2; role review: PRACTICAL_APPLICATION; owner selection: The lesson owns the path-factor meaning; the article owns modern-work application.
https://echobuddha.com/articles/right-speech-buddhism/,Right Speech,PROTECTED PRIMARY OWNER,No owner conflict; protect broad role.,KEEP,https://echobuddha.com/articles/right-speech-buddhism/,Yes,No,"Phase 1: Built 2026-08-11T02:17:46.273Z; 1430 words; 31 content headings; authored route; nearest /articles/right-speech-examples/ combined overlap 43.9%; external source links 2; role review: PRIMARY_PILLAR; owner selection: It combines meaning, ethical criteria, examples, and practice; other pages can specialize by source or scenario."
https://echobuddha.com/articles/right-speech-examples/,Right Speech,KEEP AS SUPPORTING_EXPLANATION SUBJECT TO REQUIRED DIFFERENTIATION,Stay within SUPPORTING_EXPLANATION; avoid repeating the owner's broad definition and opening journey.,IMPROVE,https://echobuddha.com/articles/right-speech-buddhism/,Yes,No,"Phase 1: Built 2026-08-11T02:17:46.273Z; 784 words; 21 content headings; authored route; nearest /articles/mindful-email-and-texting/ combined overlap 46.6%; external source links 2; role review: SUPPORTING_EXPLANATION; owner selection: It combines meaning, ethical criteria, examples, and practice; other pages can specialize by source or scenario."
