Topic cluster,Primary owner URL,Page URL,Page role,Relationship level,Link direction,Protected role,Future action,Evidence
Dhammapada,https://echobuddha.com/learn/dhammapada-reflections/,https://echobuddha.com/articles/dhammapada-verse-1-meaning/,SOURCE_STUDY,LEVEL 3,SOURCE_STUDY → primary owner,Yes,IMPROVE,"Phase 1: Built 2026-08-11T02:17:46.273Z; 835 words; 21 content headings; authored route; nearest /articles/dhammapada-reflection-what-we-think/ combined overlap 46.6%; external source links 2; role review: SOURCE_STUDY; owner selection: The source-aware hub organizes verse study and clearly separates translation, paraphrase, and reflection."
Noble Eightfold Path,https://echobuddha.com/learn/eightfold-path/,https://echobuddha.com/articles/eightfold-path-explained-daily-life/,PRACTICAL_APPLICATION,LEVEL 3,PRACTICAL_APPLICATION → primary owner,No,CONSOLIDATE_REVIEW,"Phase 1: Built 2026-08-11T02:17:46.273Z; 1413 words; 28 content headings; authored route; nearest /articles/eightfold-path-explained/ combined overlap 40.1%; external source links 1; role review: PRACTICAL_APPLICATION; owner selection: The dedicated Learn page owns the whole-path framework and can route readers to factors, sources, and practice."
Noble Eightfold Path,https://echobuddha.com/learn/eightfold-path/,https://echobuddha.com/articles/eightfold-path-explained/,BEGINNER_FOUNDATION,LEVEL 2,BEGINNER_FOUNDATION → primary owner,No,IMPROVE,"Phase 1: Built 2026-08-11T02:17:46.273Z; 1533 words; 29 content headings; authored route; nearest /articles/eightfold-path-explained-daily-life/ combined overlap 40.1%; external source links 1; role review: BEGINNER_FOUNDATION; owner selection: The dedicated Learn page owns the whole-path framework and can route readers to factors, sources, and practice."
Equanimity,https://echobuddha.com/articles/equanimity-in-buddhism/,https://echobuddha.com/articles/equanimity-in-buddhism/,PRIMARY_PILLAR,LEVEL 1,Owner → best support pages,Yes,KEEP,Phase 1: Built 2026-08-11T02:17:46.273Z; 1489 words; 21 content headings; authored route; nearest /articles/compassion-with-boundaries/ combined overlap 32.9%; external source links 1; role review: PRIMARY_PILLAR; owner selection: It is the dedicated explanation of balanced care without numbness.
Beginner Buddhism,https://echobuddha.com/learn/buddhism-for-beginners/,https://echobuddha.com/articles/first-week-buddhist-practice/,PRACTICAL_APPLICATION,LEVEL 3,PRACTICAL_APPLICATION → primary owner,No,IMPROVE,Phase 1: Built 2026-08-11T02:17:46.273Z; 869 words; 21 content headings; authored route; nearest /articles/right-speech-examples/ combined overlap 44.0%; external source links 3; role review: PRACTICAL_APPLICATION; owner selection: The strongest structured entry into basic Buddhist teaching and practice.
Five Precepts,https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/,https://echobuddha.com/articles/five-precepts-in-daily-life/,PRACTICAL_APPLICATION,LEVEL 3,PRACTICAL_APPLICATION → primary owner,No,IMPROVE,Phase 1: Built 2026-08-11T02:17:46.273Z; 1952 words; 27 content headings; authored route; nearest /articles/three-poisons-buddhism-explained/ combined overlap 34.2%; external source links 2; role review: PRACTICAL_APPLICATION; owner selection: The lesson owns the ethical framework; practical articles show application without redefining it.
Four Noble Truths,https://echobuddha.com/learn/four-noble-truths/,https://echobuddha.com/articles/four-noble-truths-explained-simply/,BEGINNER_FOUNDATION,LEVEL 2,BEGINNER_FOUNDATION → primary owner,No,CONSOLIDATE_REVIEW,Phase 1: Built 2026-08-11T02:17:46.273Z; 1318 words; 26 content headings; authored route; nearest /articles/what-is-buddhism-beginner-guide/ combined overlap 42.5%; external source links 1; role review: BEGINNER_FOUNDATION; owner selection: The dedicated Learn page provides the clearest broad doctrinal route and parent for source and application pages.
Four Noble Truths,https://echobuddha.com/learn/four-noble-truths/,https://echobuddha.com/articles/four-noble-truths-explained/,SUPPORTING_EXPLANATION,LEVEL 2,SUPPORTING_EXPLANATION → primary owner,No,IMPROVE,Phase 1: Built 2026-08-11T02:17:46.273Z; 1448 words; 28 content headings; authored route; nearest /articles/four-noble-truths-explained-simply/ combined overlap 39.2%; external source links 2; role review: SUPPORTING_EXPLANATION; owner selection: The dedicated Learn page provides the clearest broad doctrinal route and parent for source and application pages.
Attachment / Non-Attachment / Letting Go,https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,PRIMARY_PILLAR,LEVEL 1,Owner → best support pages,Yes,KEEP,Phase 1: Built 2026-08-11T02:17:46.273Z; 1422 words; 27 content headings; authored route; nearest /articles/non-attachment-in-relationships/ combined overlap 40.6%; external source links 0; role review: PRIMARY_PILLAR; owner selection: It most clearly distinguishes clinging from care and anchors the practical release cluster.
Anxiety / Overthinking,https://echobuddha.com/articles/how-to-meditate-for-anxiety/,https://echobuddha.com/articles/how-to-meditate-for-anxiety/,SCENARIO_GUIDE,LEVEL 1,Owner → best support pages,Yes,HUMAN_REVIEW,Phase 1: Built 2026-08-11T02:17:46.273Z; 1410 words; 28 content headings; authored route; nearest /articles/mindfulness-for-better-sleep/ combined overlap 43.5%; external source links 1; role review: SCENARIO_GUIDE; owner selection: It owns the anxiety-specific gentle practice; overthinking remains a related but distinct thought-loop scenario.
Meditation,https://echobuddha.com/meditation/,https://echobuddha.com/articles/how-to-meditate-for-beginners/,PRACTICE_GUIDE,LEVEL 3,PRACTICE_GUIDE → primary owner,Yes,IMPROVE,Phase 1: Built 2026-08-11T02:17:46.273Z; 1327 words; 28 content headings; authored route; nearest /articles/mindfulness-of-breathing-guide/ combined overlap 41.6%; external source links 2; role review: PRACTICE_GUIDE; owner selection: It organizes practice choices and routes readers without pretending to be every meditation method.
Attachment / Non-Attachment / Letting Go,https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,https://echobuddha.com/articles/how-to-practice-non-attachment/,PRACTICAL_APPLICATION,LEVEL 3,PRACTICAL_APPLICATION → primary owner,No,IMPROVE,Phase 1: Built 2026-08-11T02:17:46.273Z; 1199 words; 27 content headings; authored route; nearest /articles/letting-go-without-giving-up/ combined overlap 47.2%; external source links 0; role review: PRACTICAL_APPLICATION; owner selection: It most clearly distinguishes clinging from care and anchors the practical release cluster.
Impermanence,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,PRACTICAL_APPLICATION,LEVEL 3,PRACTICAL_APPLICATION → primary owner,No,CONSOLIDATE_REVIEW,Phase 1: Built 2026-08-11T02:17:46.273Z; 1286 words; 27 content headings; authored route; nearest /articles/buddhist-teachings-on-impermanence/ combined overlap 43.9%; external source links 1; role review: PRACTICAL_APPLICATION; owner selection: The lesson is the clearest broad beginner owner; anicca definitions and change applications remain subordinate.
Impermanence,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,https://echobuddha.com/articles/impermanence-in-buddhism/,SUPPORTING_EXPLANATION,LEVEL 2,SUPPORTING_EXPLANATION → primary owner,No,CONSOLIDATE_REVIEW,Phase 1: Built 2026-08-11T02:17:46.273Z; 1441 words; 34 content headings; authored route; nearest /articles/buddhist-teachings-on-impermanence/ combined overlap 42.2%; external source links 1; role review: SUPPORTING_EXPLANATION; owner selection: The lesson is the clearest broad beginner owner; anicca definitions and change applications remain subordinate.
Article Discovery,https://echobuddha.com/articles/,https://echobuddha.com/articles/,HUB,LEVEL 1,Owner → best support pages,Yes,KEEP,"Phase 1: Built 2026-08-11T02:17:46.273Z; 1490 words; 55 content headings; authored route; nearest /mindful-living/ combined overlap 25.5%; external source links 0; role review: HUB; owner selection: The publication index owns article discovery, not any individual Buddhist teaching."
Attachment / Non-Attachment / Letting Go,https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,https://echobuddha.com/articles/letting-go-without-giving-up/,PRACTICAL_APPLICATION,LEVEL 3,PRACTICAL_APPLICATION → primary owner,No,IMPROVE,Phase 1: Built 2026-08-11T02:17:46.273Z; 1210 words; 28 content headings; authored route; nearest /articles/how-to-practice-non-attachment/ combined overlap 47.2%; external source links 0; role review: PRACTICAL_APPLICATION; owner selection: It most clearly distinguishes clinging from care and anchors the practical release cluster.
Loving-Kindness / Metta,https://echobuddha.com/learn/buddhist-dictionary/metta/,https://echobuddha.com/articles/loving-kindness-meditation-beginners/,BEGINNER_FOUNDATION,LEVEL 2,BEGINNER_FOUNDATION → primary owner,No,CONSOLIDATE_REVIEW,Phase 1: Built 2026-08-11T02:17:46.273Z; 1359 words; 29 content headings; authored route; nearest /articles/metta-meditation-script/ combined overlap 44.0%; external source links 2; role review: BEGINNER_FOUNDATION; owner selection: The term page should own metta meaning while meditation pages own practices and scripts.
Loving-Kindness / Metta,https://echobuddha.com/learn/buddhist-dictionary/metta/,https://echobuddha.com/articles/loving-kindness-meditation-guide/,BEGINNER_FOUNDATION,LEVEL 2,BEGINNER_FOUNDATION → primary owner,No,IMPROVE,Phase 1: Built 2026-08-11T02:17:46.273Z; 1316 words; 28 content headings; authored route; nearest /articles/loving-kindness-meditation-beginners/ combined overlap 42.1%; external source links 2; role review: BEGINNER_FOUNDATION; owner selection: The term page should own metta meaning while meditation pages own practices and scripts.
Loving-Kindness / Metta,https://echobuddha.com/learn/buddhist-dictionary/metta/,https://echobuddha.com/articles/metta-meditation-script/,PRACTICE_GUIDE,LEVEL 3,PRACTICE_GUIDE → primary owner,Yes,IMPROVE,Phase 1: Built 2026-08-11T02:17:46.273Z; 1606 words; 30 content headings; authored route; nearest /articles/loving-kindness-meditation-beginners/ combined overlap 44.0%; external source links 2; role review: PRACTICE_GUIDE; owner selection: The term page should own metta meaning while meditation pages own practices and scripts.
Right Speech,https://echobuddha.com/articles/right-speech-buddhism/,https://echobuddha.com/articles/mindful-email-and-texting/,SCENARIO_GUIDE,LEVEL 3,SCENARIO_GUIDE → primary owner,No,IMPROVE,"Phase 1: Built 2026-08-11T02:17:46.273Z; 845 words; 21 content headings; authored route; nearest /articles/right-speech-examples/ combined overlap 46.6%; external source links 2; role review: SCENARIO_GUIDE; owner selection: It combines meaning, ethical criteria, examples, and practice; other pages can specialize by source or scenario."
Right Speech,https://echobuddha.com/articles/right-speech-buddhism/,https://echobuddha.com/articles/mindful-listening-in-everyday-life/,SCENARIO_GUIDE,LEVEL 3,SCENARIO_GUIDE → primary owner,No,IMPROVE,"Phase 1: Built 2026-08-11T02:17:46.273Z; 1161 words; 27 content headings; authored route; nearest /articles/three-ways-to-practice-patience/ combined overlap 41.8%; external source links 0; role review: SCENARIO_GUIDE; owner selection: It combines meaning, ethical criteria, examples, and practice; other pages can specialize by source or scenario."
Sleep,https://echobuddha.com/articles/mindfulness-for-better-sleep/,https://echobuddha.com/articles/mindfulness-for-better-sleep/,SCENARIO_GUIDE,LEVEL 1,Owner → best support pages,Yes,HUMAN_REVIEW,Phase 1: Built 2026-08-11T02:17:46.273Z; 1277 words; 28 content headings; authored route; nearest /articles/how-to-meditate-for-anxiety/ combined overlap 43.5%; external source links 1; role review: SCENARIO_GUIDE; owner selection: It is the only sleep-specific mindfulness guide and must retain wellbeing boundaries.
Mindfulness,https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,https://echobuddha.com/articles/mindfulness-morning-routine/,PRACTICAL_APPLICATION,LEVEL 3,PRACTICAL_APPLICATION → primary owner,No,IMPROVE,"Phase 1: Built 2026-08-11T02:17:46.273Z; 1223 words; 26 content headings; authored route; nearest /articles/beginning-a-daily-mindfulness-practice/ combined overlap 40.3%; external source links 0; role review: PRACTICAL_APPLICATION; owner selection: The lesson owns Buddhist mindfulness meaning; dictionary, comparison, and routine pages remain narrower."
Breath / Mindfulness of Breathing,https://echobuddha.com/articles/mindfulness-of-breathing-guide/,https://echobuddha.com/articles/mindfulness-of-breathing-guide/,PRIMARY_PILLAR,LEVEL 1,Owner → best support pages,Yes,KEEP,Phase 1: Built 2026-08-11T02:17:46.273Z; 1306 words; 28 content headings; authored route; nearest /articles/how-to-meditate-for-beginners/ combined overlap 41.6%; external source links 2; role review: PRIMARY_PILLAR; owner selection: It owns the fuller breath-method explanation; practice and source pages keep distinct roles.
Mindfulness,https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,https://echobuddha.com/articles/mindfulness-vs-meditation/,COMPARISON_PAGE,LEVEL 3,COMPARISON_PAGE → primary owner,No,IMPROVE,"Phase 1: Built 2026-08-11T02:17:46.273Z; 1514 words; 29 content headings; authored route; nearest /articles/mindfulness-of-breathing-guide/ combined overlap 37.5%; external source links 2; role review: COMPARISON_PAGE; owner selection: The lesson owns Buddhist mindfulness meaning; dictionary, comparison, and routine pages remain narrower."
Noble Eightfold Path,https://echobuddha.com/learn/eightfold-path/,https://echobuddha.com/articles/noble-eightfold-path-practical-guide/,PRACTICAL_APPLICATION,LEVEL 3,PRACTICAL_APPLICATION → primary owner,No,CONSOLIDATE_REVIEW,"Phase 1: Built 2026-08-11T02:17:46.273Z; 1207 words; 27 content headings; authored route; nearest /articles/eightfold-path-explained-daily-life/ combined overlap 38.9%; external source links 1; role review: PRACTICAL_APPLICATION; owner selection: The dedicated Learn page owns the whole-path framework and can route readers to factors, sources, and practice."
Attachment / Non-Attachment / Letting Go,https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,https://echobuddha.com/articles/non-attachment-in-relationships/,SCENARIO_GUIDE,LEVEL 3,SCENARIO_GUIDE → primary owner,No,IMPROVE,Phase 1: Built 2026-08-11T02:17:46.273Z; 831 words; 22 content headings; authored route; nearest /articles/letting-go-without-giving-up/ combined overlap 42.5%; external source links 2; role review: SCENARIO_GUIDE; owner selection: It most clearly distinguishes clinging from care and anchors the practical release cluster.
Right Livelihood,https://echobuddha.com/learn/buddhism-101/right-livelihood-buddhism/,https://echobuddha.com/articles/right-livelihood-modern-life/,PRACTICAL_APPLICATION,LEVEL 3,PRACTICAL_APPLICATION → primary owner,No,IMPROVE,Phase 1: Built 2026-08-11T02:17:46.273Z; 1809 words; 23 content headings; authored route; nearest /articles/five-precepts-in-daily-life/ combined overlap 31.9%; external source links 2; role review: PRACTICAL_APPLICATION; owner selection: The lesson owns the path-factor meaning; the article owns modern-work application.
Right Speech,https://echobuddha.com/articles/right-speech-buddhism/,https://echobuddha.com/articles/right-speech-buddhism/,PRIMARY_PILLAR,LEVEL 1,Owner → best support pages,Yes,KEEP,"Phase 1: Built 2026-08-11T02:17:46.273Z; 1430 words; 31 content headings; authored route; nearest /articles/right-speech-examples/ combined overlap 43.9%; external source links 2; role review: PRIMARY_PILLAR; owner selection: It combines meaning, ethical criteria, examples, and practice; other pages can specialize by source or scenario."
Right Speech,https://echobuddha.com/articles/right-speech-buddhism/,https://echobuddha.com/articles/right-speech-examples/,SUPPORTING_EXPLANATION,LEVEL 2,SUPPORTING_EXPLANATION → primary owner,No,IMPROVE,"Phase 1: Built 2026-08-11T02:17:46.273Z; 784 words; 21 content headings; authored route; nearest /articles/mindful-email-and-texting/ combined overlap 46.6%; external source links 2; role review: SUPPORTING_EXPLANATION; owner selection: It combines meaning, ethical criteria, examples, and practice; other pages can specialize by source or scenario."
Three Poisons,https://echobuddha.com/articles/three-poisons-buddhism-explained/,https://echobuddha.com/articles/three-poisons-buddhism-explained/,PRIMARY_PILLAR,LEVEL 1,Owner → best support pages,Yes,KEEP,"Phase 1: Built 2026-08-11T02:17:46.273Z; 1803 words; 24 content headings; authored route; nearest /articles/five-precepts-in-daily-life/ combined overlap 34.2%; external source links 2; role review: PRIMARY_PILLAR; owner selection: It is the only substantial broad explainer of greed, aversion, and delusion."
Patience,https://echobuddha.com/articles/three-ways-to-practice-patience/,https://echobuddha.com/articles/three-ways-to-practice-patience/,PRIMARY_PILLAR,LEVEL 1,Owner → best support pages,Yes,KEEP,Phase 1: Built 2026-08-11T02:17:46.273Z; 1188 words; 27 content headings; authored route; nearest /articles/mindful-listening-in-everyday-life/ combined overlap 41.8%; external source links 0; role review: PRIMARY_PILLAR; owner selection: It is the broad practical owner; source study and recurring reflections remain narrow.
Sangha,https://echobuddha.com/articles/what-is-sangha-buddhist-community/,https://echobuddha.com/articles/visiting-a-buddhist-temple-respectfully/,SCENARIO_GUIDE,LEVEL 3,SCENARIO_GUIDE → primary owner,No,IMPROVE,Phase 1: Built 2026-08-11T02:17:46.273Z; 888 words; 21 content headings; authored route; nearest /articles/what-is-sangha-buddhist-community/ combined overlap 46.8%; external source links 4; role review: SCENARIO_GUIDE; owner selection: It provides the fuller community explanation; the dictionary and temple guide have narrower roles.
Walking Meditation,https://echobuddha.com/meditation/walking-meditation/,https://echobuddha.com/articles/walking-meditation-step-by-step/,PRACTICE_GUIDE,LEVEL 3,PRACTICE_GUIDE → primary owner,Yes,IMPROVE,Phase 1: Built 2026-08-11T02:17:46.273Z; 1239 words; 26 content headings; authored route; nearest /articles/beginning-a-daily-mindfulness-practice/ combined overlap 41.8%; external source links 0; role review: PRACTICE_GUIDE; owner selection: The meditation route should own the repeatable walking practice; the article must add depth or be reviewed for consolidation.
Beginner Buddhism,https://echobuddha.com/learn/buddhism-for-beginners/,https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,BEGINNER_FOUNDATION,LEVEL 2,BEGINNER_FOUNDATION → primary owner,No,IMPROVE,Phase 1: Built 2026-08-11T02:17:46.273Z; 1384 words; 26 content headings; authored route; nearest /articles/four-noble-truths-explained-simply/ combined overlap 42.5%; external source links 2; role review: BEGINNER_FOUNDATION; owner selection: The strongest structured entry into basic Buddhist teaching and practice.
Karma,https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/,https://echobuddha.com/articles/what-is-karma-in-buddhism/,PRACTICAL_APPLICATION,LEVEL 3,PRACTICAL_APPLICATION → primary owner,No,IMPROVE,Phase 1: Built 2026-08-11T02:17:46.273Z; 1445 words; 28 content headings; authored route; nearest /articles/eightfold-path-explained/ combined overlap 34.8%; external source links 1; role review: PRACTICAL_APPLICATION; owner selection: The lesson owns the broad Buddhist meaning; the article applies intention and consequence to daily choices.
Sangha,https://echobuddha.com/articles/what-is-sangha-buddhist-community/,https://echobuddha.com/articles/what-is-sangha-buddhist-community/,PRIMARY_PILLAR,LEVEL 1,Owner → best support pages,Yes,KEEP,Phase 1: Built 2026-08-11T02:17:46.273Z; 1759 words; 25 content headings; authored route; nearest /articles/visiting-a-buddhist-temple-respectfully/ combined overlap 46.8%; external source links 3; role review: PRIMARY_PILLAR; owner selection: It provides the fuller community explanation; the dictionary and temple guide have narrower roles.
