Cluster,Primary owner,Indexable pages mapped,Primary owner present,Medium conflicts,High conflicts,Critical conflicts,Risk level,Expansion hold,Required resolution,Confidence
Walking Meditation,https://echobuddha.com/meditation/walking-meditation/,2,Yes,1,0,0,MEDIUM,No,Protect owner and apply future approval gate.,High
Anxiety / Overthinking,https://echobuddha.com/articles/how-to-meditate-for-anxiety/,2,Yes,0,0,0,MEDIUM,No,Protect owner and apply future approval gate.,High
Sleep,https://echobuddha.com/articles/mindfulness-for-better-sleep/,1,Yes,0,0,0,LOW,No,Protect owner and apply future approval gate.,High
Mindfulness,https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,7,Yes,1,0,0,HIGH,Yes,Resolve listed Phase 3/4 role conflicts before approving new indexable pages.,High
Dhammapada,https://echobuddha.com/learn/dhammapada-reflections/,9,Yes,1,0,0,HIGH,Yes,Resolve listed Phase 3/4 role conflicts before approving new indexable pages.,High
Sutta Study,https://echobuddha.com/learn/sutta-for-daily-life/,4,Yes,0,0,0,MEDIUM,No,Protect owner and apply future approval gate.,High
Buddhist Dictionary,https://echobuddha.com/learn/buddhist-dictionary/,3,Yes,0,0,0,MEDIUM,No,Protect owner and apply future approval gate.,High
Quotes,https://echobuddha.com/quotes/,114,Yes,0,1,0,HIGH,Yes,Resolve listed Phase 3/4 role conflicts before approving new indexable pages.,High
Daily Reflections,https://echobuddha.com/daily-reflections/,31,Yes,0,1,0,HIGH,Yes,Resolve listed Phase 3/4 role conflicts before approving new indexable pages.,High
Right Livelihood,https://echobuddha.com/learn/buddhism-101/right-livelihood-buddhism/,2,Yes,0,0,0,LOW,No,Protect owner and apply future approval gate.,High
Brahmaviharas,https://echobuddha.com/learn/buddhism-101/four-brahmaviharas/,1,Yes,0,0,0,LOW,No,Protect owner and apply future approval gate.,High
Buddhist Foundations,https://echobuddha.com/learn/buddhism-101/,7,Yes,0,0,0,LOW,No,Protect owner and apply future approval gate.,High
Buddhist Practice,https://echobuddha.com/articles/category/practice/,1,Yes,0,0,0,LOW,No,Protect owner and apply future approval gate.,High
Article Discovery,https://echobuddha.com/articles/,5,Yes,0,0,0,LOW,No,Protect owner and apply future approval gate.,High
Learn Navigation,https://echobuddha.com/learn/,3,Yes,0,0,0,LOW,No,Protect owner and apply future approval gate.,High
Newcomer Orientation,https://echobuddha.com/start-here/,1,Yes,0,0,0,LOW,No,Protect owner and apply future approval gate.,High
Mindful Living,https://echobuddha.com/mindful-living/,1,Yes,0,0,0,LOW,No,Protect owner and apply future approval gate.,High
Trust / Policy,https://echobuddha.com/about/,12,Yes,0,0,0,LOW,No,Protect owner and apply future approval gate.,High
Utility,https://echobuddha.com/tools/,1,Yes,0,0,0,LOW,No,Protect owner and apply future approval gate.,High
Site Discovery,https://echobuddha.com/,1,Yes,0,0,0,LOW,No,Protect owner and apply future approval gate.,High
