route,family,subtype,h1,robots,inSitemap,inSearchIndex,schemaTypes,wordCount,sourceTier,finalStatus
/daily-reflections/rest-without-escape/,Daily reflections,reflection-detail,Rest Without Escape,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,263,TIER 3 - source-aware editorial review,baseline captured
/daily-reflections/see-the-conditions/,Daily reflections,reflection-detail,See the Conditions,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,242,TIER 3 - source-aware editorial review,baseline captured
/daily-reflections/simple-goodwill/,Daily reflections,reflection-detail,Simple Goodwill Counts,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,236,TIER 3 - source-aware editorial review,baseline captured
/daily-reflections/small-actions-shape-the-mind/,Daily reflections,reflection-detail,Small Actions Shape the Mind,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,251,TIER 3 - source-aware editorial review,baseline captured
/daily-reflections/soften-the-inner-argument/,Daily reflections,reflection-detail,Soften the Inner Argument,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,244,TIER 3 - source-aware editorial review,baseline captured
/daily-reflections/speech-can-reduce-suffering/,Daily reflections,reflection-detail,Speech Can Reduce Suffering,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,244,TIER 3 - source-aware editorial review,baseline captured
/daily-reflections/the-first-truth-is-kind/,Daily reflections,reflection-detail,The First Truth Is Kind,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,250,TIER 3 - source-aware editorial review,baseline captured
/daily-reflections/thoughts-are-visitors/,Daily reflections,reflection-detail,Thoughts Are Visitors,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,261,TIER 3 - source-aware editorial review,baseline captured
/daily-reflections/today/,Daily reflections,today-rotating-route,Today's Buddhist Reflection Prompt,"index, follow (implicit)",true,true,WebSite | Organization | WebPage | BreadcrumbList,2058,TIER 3 - source-aware editorial review,baseline captured
/daily-reflections/walking-as-practice/,Daily reflections,reflection-detail,Walking Can Be Practice,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,249,TIER 3 - source-aware editorial review,baseline captured
/disclaimer/,Trust and institutional content,disclaimer,Disclaimer,"index, follow (implicit)",true,false,WebSite | Organization | WebPage,192,TIER 3 - source-aware editorial review,baseline captured
/editorial-policy/,Trust and institutional content,editorial-policy,Editorial Policy,"index, follow (implicit)",true,true,WebSite | Organization | WebPage,320,TIER 3 - source-aware editorial review,baseline captured
/learn/,Learning content,learn-hub,Learn Buddhist Wisdom for Daily Life,"index, follow (implicit)",true,true,WebSite | Organization | CollectionPage | BreadcrumbList,369,TIER 3 - source-aware editorial review,baseline captured
/learn/buddhism-101/,Learning content,learning-section,Buddhism 101,"index, follow (implicit)",true,true,WebSite | Organization | CollectionPage | BreadcrumbList,610,TIER 3 - source-aware editorial review,baseline captured
/learn/buddhism-101/a-simple-daily-buddhist-practice/,Learning content,learning-page,A Simple Daily Buddhist Practice,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,337,TIER 3 - source-aware editorial review,baseline captured
/learn/buddhism-101/dependent-origination-explained/,Learning content,learning-page,Dependent Origination Explained,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,1076,TIER 1 - strong doctrinal sourcing required,baseline captured
/learn/buddhism-101/five-aggregates-buddhism/,Learning content,learning-page,The Five Aggregates in Buddhism,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,1117,TIER 1 - strong doctrinal sourcing required,baseline captured
/learn/buddhism-101/five-precepts-buddhism/,Learning content,learning-page,The Five Precepts in Buddhism,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,1361,TIER 1 - strong doctrinal sourcing required,baseline captured
/learn/buddhism-101/how-to-practice-buddhism-at-home/,Learning content,learning-page,How to Practice Buddhism at Home,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,363,TIER 3 - source-aware editorial review,baseline captured
/learn/buddhism-101/right-livelihood-buddhism/,Learning content,learning-page,Right Livelihood in Buddhism,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,1227,TIER 1 - strong doctrinal sourcing required,baseline captured
/learn/buddhism-101/the-four-noble-truths-explained/,Learning content,learning-page,The Four Noble Truths Explained,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,416,TIER 1 - strong doctrinal sourcing required,baseline captured
/learn/buddhism-101/the-noble-eightfold-path-explained/,Learning content,learning-page,The Noble Eightfold Path Explained,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,385,TIER 1 - strong doctrinal sourcing required,baseline captured
/learn/buddhism-101/the-three-jewels-explained/,Learning content,learning-page,The Three Jewels Explained,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,391,TIER 3 - source-aware editorial review,baseline captured
/learn/buddhism-101/three-marks-of-existence/,Learning content,learning-page,The Three Marks of Existence,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,1100,TIER 3 - source-aware editorial review,baseline captured
/learn/buddhism-101/what-is-buddhism/,Learning content,learning-page,What Is Buddhism?,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,455,TIER 3 - source-aware editorial review,baseline captured
/learn/buddhism-101/what-is-impermanence/,Learning content,learning-page,What Is Impermanence?,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,357,TIER 3 - source-aware editorial review,baseline captured
/learn/buddhism-101/what-is-karma-in-buddhism/,Learning content,learning-page,What Is Karma in Buddhism?,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,389,TIER 1 - strong doctrinal sourcing required,baseline captured
/learn/buddhism-101/what-is-mindfulness/,Learning content,learning-page,What Is Mindfulness?,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,352,TIER 2 - practice-method sourcing required,baseline captured
/learn/buddhism-101/who-was-the-buddha/,Learning content,learning-page,Who Was the Buddha?,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,490,TIER 3 - source-aware editorial review,baseline captured
/learn/buddhism-for-beginners/,Learning content,learning-section,Buddhism for Beginners,"index, follow (implicit)",true,true,WebSite | Organization | CollectionPage | BreadcrumbList | FAQPage,168,TIER 3 - source-aware editorial review,baseline captured
/learn/buddhist-dictionary/,Buddhist dictionary,dictionary-index,Buddhist Dictionary,"index, follow (implicit)",true,true,WebSite | Organization | CollectionPage | DefinedTermSet | BreadcrumbList,333,TIER 1 - strong doctrinal sourcing required,baseline captured
/learn/buddhist-dictionary/anatta/,Buddhist dictionary,term-page,Anatta,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList | DefinedTerm,327,TIER 1 - strong doctrinal sourcing required,baseline captured
/learn/buddhist-dictionary/anicca/,Buddhist dictionary,term-page,Anicca,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList | DefinedTerm,291,TIER 1 - strong doctrinal sourcing required,baseline captured
/learn/buddhist-dictionary/compassion/,Buddhist dictionary,term-page,Compassion,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList | DefinedTerm,271,TIER 1 - strong doctrinal sourcing required,baseline captured
/learn/buddhist-dictionary/dhamma/,Buddhist dictionary,term-page,Dhamma,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList | DefinedTerm,288,TIER 1 - strong doctrinal sourcing required,baseline captured
/learn/buddhist-dictionary/dukkha/,Buddhist dictionary,term-page,Dukkha,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList | DefinedTerm,320,TIER 1 - strong doctrinal sourcing required,baseline captured
/learn/buddhist-dictionary/karma/,Buddhist dictionary,term-page,Karma,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList | DefinedTerm,290,TIER 1 - strong doctrinal sourcing required,baseline captured
/learn/buddhist-dictionary/karuna/,Buddhist dictionary,term-page,Karuna,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList | DefinedTerm,275,TIER 1 - strong doctrinal sourcing required,baseline captured
/learn/buddhist-dictionary/metta/,Buddhist dictionary,term-page,Metta,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList | DefinedTerm,295,TIER 1 - strong doctrinal sourcing required,baseline captured
/learn/buddhist-dictionary/mindfulness/,Buddhist dictionary,term-page,Mindfulness,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList | DefinedTerm,267,TIER 1 - strong doctrinal sourcing required,baseline captured
/learn/buddhist-dictionary/nirvana/,Buddhist dictionary,term-page,Nirvana,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList | DefinedTerm,297,TIER 1 - strong doctrinal sourcing required,baseline captured
/learn/buddhist-dictionary/sangha/,Buddhist dictionary,term-page,Sangha,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList | DefinedTerm,286,TIER 1 - strong doctrinal sourcing required,baseline captured
/learn/buddhist-dictionary/sati/,Buddhist dictionary,term-page,Sati,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList | DefinedTerm,286,TIER 1 - strong doctrinal sourcing required,baseline captured
/learn/buddhist-resources/,Learning content,learning-section,Buddhist Resources,"index, follow (implicit)",true,true,WebSite | Organization | CollectionPage | BreadcrumbList,261,TIER 3 - source-aware editorial review,baseline captured
/learn/dhammapada-reflections/,Sutta and Dhammapada content,dhammapada-index,Dhammapada Reflections,"index, follow (implicit)",true,true,WebSite | Organization | CollectionPage | BreadcrumbList,191,TIER 1 - strong doctrinal sourcing required,baseline captured
/learn/dhammapada-reflections/avoid-evil-do-good-purify-the-mind/,Sutta and Dhammapada content,dhammapada-page,"Avoid Evil, Do Good, Purify the Mind","index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,354,TIER 1 - strong doctrinal sourcing required,baseline captured
/learn/dhammapada-reflections/better-than-a-thousand-empty-words/,Sutta and Dhammapada content,dhammapada-page,Better Than a Thousand Empty Words,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,309,TIER 1 - strong doctrinal sourcing required,baseline captured
/learn/dhammapada-reflections/hatred-is-not-ended-by-hatred/,Sutta and Dhammapada content,dhammapada-page,Hatred Is Not Ended by Hatred,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,292,TIER 1 - strong doctrinal sourcing required,baseline captured
/learn/dhammapada-reflections/peace-comes-from-a-trained-mind/,Sutta and Dhammapada content,dhammapada-page,Peace Comes from a Trained Mind,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,297,TIER 1 - strong doctrinal sourcing required,baseline captured
/learn/dhammapada-reflections/the-mind-leads-all-things/,Sutta and Dhammapada content,dhammapada-page,The Mind Leads All Things,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,308,TIER 1 - strong doctrinal sourcing required,baseline captured
/learn/eightfold-path/,Learning content,learning-section,The Noble Eightfold Path for Daily Life,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,373,TIER 1 - strong doctrinal sourcing required,baseline captured
/learn/four-noble-truths/,Learning content,learning-section,The Four Noble Truths Explained for Beginners,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,303,TIER 1 - strong doctrinal sourcing required,baseline captured
/learn/questions-about-buddhism/,Learning content,learning-section,Questions About Buddhism,"index, follow (implicit)",true,true,WebSite | Organization | FAQPage | BreadcrumbList,958,TIER 3 - source-aware editorial review,baseline captured
/learn/sutta-for-daily-life/,Sutta and Dhammapada content,sutta-index,Sutta for Daily Life,"index, follow (implicit)",true,true,WebSite | Organization | CollectionPage | BreadcrumbList,217,TIER 1 - strong doctrinal sourcing required,baseline captured
/learn/sutta-for-daily-life/buddhas-teaching-on-patience/,Sutta and Dhammapada content,sutta-page,The Buddha's Teaching on Patience,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,273,TIER 1 - strong doctrinal sourcing required,baseline captured
/learn/sutta-for-daily-life/kalama-sutta-and-wise-thinking/,Sutta and Dhammapada content,sutta-page,The Kalama Sutta and Wise Thinking,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,301,TIER 1 - strong doctrinal sourcing required,baseline captured
/learn/sutta-for-daily-life/metta-sutta-explained-for-daily-life/,Sutta and Dhammapada content,sutta-page,The Metta Sutta Explained for Daily Life,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,323,TIER 1 - strong doctrinal sourcing required,baseline captured
/learn/sutta-for-daily-life/mindfulness-of-breathing-explained-simply/,Sutta and Dhammapada content,sutta-page,Mindfulness of Breathing Explained Simply,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,277,TIER 1 - strong doctrinal sourcing required,baseline captured
/learn/sutta-for-daily-life/right-speech-in-daily-life/,Sutta and Dhammapada content,sutta-page,Right Speech in Daily Life,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,271,TIER 1 - strong doctrinal sourcing required,baseline captured
/meditation-guide/,Meditation content,standalone-guide,Meditation Guide for Beginners,"index, follow (implicit)",true,true,WebSite | Organization | HowTo | FAQPage | BreadcrumbList,1529,TIER 2 - practice-method sourcing required,baseline captured
/meditation/,Meditation content,meditation-hub,Beginner Meditation Guides and Mindfulness Practices,"index, follow (implicit)",true,true,WebSite | Organization | CollectionPage | BreadcrumbList,212,TIER 2 - practice-method sourcing required,baseline captured
/meditation/5-minute-meditation-practice/,Meditation content,method-page,5-Minute Meditation Practice,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,256,TIER 2 - practice-method sourcing required,baseline captured
/meditation/breathing-meditation/,Meditation content,method-page,Breathing Meditation,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,251,TIER 2 - practice-method sourcing required,baseline captured
/meditation/loving-kindness-meditation/,Meditation content,method-page,Loving-Kindness Meditation,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,252,TIER 2 - practice-method sourcing required,baseline captured
/meditation/meditation-for-beginners/,Meditation content,method-page,Meditation for Beginners,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,278,TIER 2 - practice-method sourcing required,baseline captured
/meditation/mindfulness-in-daily-life/,Meditation content,method-page,Mindfulness in Daily Life,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,264,TIER 2 - practice-method sourcing required,baseline captured
/meditation/walking-meditation/,Meditation content,method-page,Walking Meditation,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,249,TIER 2 - practice-method sourcing required,baseline captured
/mindful-living/,Homepage and high-level entry,mindful-living-hub,Mindful Living with Buddhist Wisdom,"index, follow (implicit)",true,true,WebSite | Organization | CollectionPage | BreadcrumbList | FAQPage,427,TIER 3 - source-aware editorial review,baseline captured
/privacy-policy/,Trust and institutional content,privacy-policy,Privacy Policy,"index, follow (implicit)",true,false,WebSite | Organization | PrivacyPolicy,333,TIER 3 - source-aware editorial review,baseline captured
/quotes/,Quotes content,quote-hub,Original Buddhist-Inspired Quotes,"index, follow (implicit)",true,false,WebSite | Organization | CollectionPage | BreadcrumbList,2563,TIER 3 - source-aware editorial review,baseline captured
/quotes/awareness/,Quotes content,quote-category,Original Awareness Quotes,"index, follow (implicit)",true,false,WebSite | Organization | CollectionPage | BreadcrumbList,494,TIER 3 - source-aware editorial review,baseline captured
/quotes/awareness/acceptance-before-next-step/,Quotes content,quote-story,Acceptance Mindfulness Quote: Naming the Moment Clearly,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,707,TIER 3 - source-aware editorial review,baseline captured
/quotes/awareness/anger-asks-for-speed-awareness-asks-for-one-more/,Quotes content,quote-story,Original Awareness Reflection: Anger asks for speed; awareness...,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,727,TIER 3 - source-aware editorial review,baseline captured
/quotes/awareness/awareness-does-not-remove-the-storm-it-keeps-you/,Quotes content,quote-story,Original Awareness Reflection: Awareness does not remove the...,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,766,TIER 3 - source-aware editorial review,baseline captured
/quotes/awareness/clear-seeing-begins-with-the-courage-to-stop-looking/,Quotes content,quote-story,Original Awareness Reflection: Clear seeing begins with the...,"noindex, follow",false,true,WebSite | Organization | Article | BreadcrumbList,747,TIER 3 - source-aware editorial review,review: absent from sitemap; noindex
/quotes/awareness/feelings-are-honest-about-their-presence-not-always-about/,Quotes content,quote-story,Original Awareness Reflection: Feelings are honest about their...,"noindex, follow",false,true,WebSite | Organization | Article | BreadcrumbList,733,TIER 3 - source-aware editorial review,review: absent from sitemap; noindex
/quotes/awareness/feelings-without-the-wheel/,Quotes content,quote-story,Emotional Balance Quote: Feel Deeply Without Being Ruled,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,685,TIER 3 - source-aware editorial review,baseline captured
/quotes/awareness/look-beneath-the-reaction-and-you-may-find-a/,Quotes content,quote-story,Original Awareness Reflection: Look beneath the reaction and...,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,767,TIER 3 - source-aware editorial review,baseline captured
/quotes/awareness/name-the-feeling-gently-and-it-may-stop-speaking/,Quotes content,quote-story,"Original Awareness Reflection: Name the feeling gently, and...","index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,752,TIER 3 - source-aware editorial review,baseline captured
/quotes/awareness/notice-the-habit-before-trying-to-become-someone-without/,Quotes content,quote-story,Original Awareness Reflection: Notice the habit before trying...,"noindex, follow",false,true,WebSite | Organization | Article | BreadcrumbList,727,TIER 3 - source-aware editorial review,review: absent from sitemap; noindex
/quotes/awareness/one-breath-before-anger-replies/,Quotes content,quote-story,Buddhist Quote About Anger: One Breath Before Reply,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,705,TIER 3 - source-aware editorial review,baseline captured
/quotes/awareness/small-acts-of-attention-can-turn-an-ordinary-day/,Quotes content,quote-story,Original Awareness Reflection: Small acts of attention can...,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,743,TIER 3 - source-aware editorial review,baseline captured
/quotes/awareness/the-body-often-knows-you-are-overwhelmed-before-the/,Quotes content,quote-story,Original Awareness Reflection: The body often knows you...,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,767,TIER 3 - source-aware editorial review,baseline captured
/quotes/awareness/thoughts-are-visitors/,Quotes content,quote-story,Buddhist Quote for Overthinking: Thoughts Are Visitors,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,724,TIER 3 - source-aware editorial review,baseline captured
/quotes/awareness/thoughts-pass-without-commanding-you/,Quotes content,quote-story,Calm Mind Quote: Let Thoughts Pass Without Chasing Them,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,737,TIER 3 - source-aware editorial review,baseline captured
/quotes/awareness/what-you-can-observe-clearly-no-longer-controls-you/,Quotes content,quote-story,Original Awareness Reflection: What you can observe clearly...,"noindex, follow",false,true,WebSite | Organization | Article | BreadcrumbList,765,TIER 3 - source-aware editorial review,review: absent from sitemap; noindex
/quotes/awareness/when-the-mind-tightens-let-the-body-be-your/,Quotes content,quote-story,"Original Awareness Reflection: When the mind tightens, let...","noindex, follow",false,true,WebSite | Organization | Article | BreadcrumbList,734,TIER 3 - source-aware editorial review,review: absent from sitemap; noindex
/quotes/compassion/,Quotes content,quote-category,Original Compassion Quotes,"index, follow (implicit)",true,false,WebSite | Organization | CollectionPage | BreadcrumbList,481,TIER 3 - source-aware editorial review,baseline captured
/quotes/compassion/a-gentle-response-can-end-suffering-that-anger-would/,Quotes content,quote-story,Original Compassion Reflection: A gentle response can end...,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,738,TIER 3 - source-aware editorial review,baseline captured
/quotes/compassion/before-judging-another-life-remember-how-much-of-your/,Quotes content,quote-story,"Original Compassion Reflection: Before judging another life, remember...","index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,755,TIER 3 - source-aware editorial review,baseline captured
/quotes/compassion/compassion-asks-what-hurts-before-it-asks-who-is/,Quotes content,quote-story,Original Compassion Reflection: Compassion asks what hurts before...,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,763,TIER 3 - source-aware editorial review,baseline captured
/quotes/compassion/compassion-grows-where-judgment-loosens-its-grip/,Quotes content,quote-story,Original Compassion Reflection: Compassion grows where judgment loosens...,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,698,TIER 3 - source-aware editorial review,baseline captured
/quotes/compassion/compassion-sees-pain-clearly/,Quotes content,quote-story,Compassion Buddhist Quote: Seeing Pain Behind Behavior,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,693,TIER 3 - source-aware editorial review,baseline captured
/quotes/compassion/gentle-self-compassion/,Quotes content,quote-story,Self Compassion Mindfulness Quote: Gentle Inner Speech,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,691,TIER 3 - source-aware editorial review,baseline captured
/quotes/compassion/kindness-as-quiet-practice/,Quotes content,quote-story,Kindness Quote for Daily Life: A Quiet Practice,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,701,TIER 3 - source-aware editorial review,baseline captured
/quotes/compassion/kindness-does-not-need-an-audience-to-become-meaningful/,Quotes content,quote-story,Original Compassion Reflection: Kindness does not need an...,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,718,TIER 3 - source-aware editorial review,baseline captured
/quotes/compassion/let-kindness-be-the-echo-you-leave-in-every/,Quotes content,quote-story,Original Compassion Reflection: Let kindness be the echo...,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,726,TIER 3 - source-aware editorial review,baseline captured
/quotes/compassion/let-your-boundaries-be-clear-and-your-heart-remain/,Quotes content,quote-story,Original Compassion Reflection: Let your boundaries be clear...,"noindex, follow",false,true,WebSite | Organization | Article | BreadcrumbList,730,TIER 3 - source-aware editorial review,review: absent from sitemap; noindex
