route,slug,title,form,materialChange,centralObservation,dailyLifeSituation,nextStep,wellbeingNote,action
/daily-reflections/one-step-on-the-path/,one-step-on-the-path,The Path Is One Step,ethical decision,yes,The path becomes real through the next ordinary choice.,"A teaching feels inspiring but the next task is an email, chore, commute, or apology.",Let one path factor guide the next visible action.,,"Added form label, central observation, route-specific daily-life situation, route-specific next step, and sensitive-topic wellbeing note where needed."
/daily-reflections/gratitude-notices-enough/,gratitude-notices-enough,Gratitude Notices Enough,observation,yes,Gratitude interrupts the mind's habit of stepping over enough.,Something supportive is present but nearly invisible because attention is already reaching ahead.,Name one support while it is still serving you.,,"Added form label, central observation, route-specific daily-life situation, route-specific next step, and sensitive-topic wellbeing note where needed."
/daily-reflections/anger-as-a-signal/,anger-as-a-signal,Anger Can Become a Signal,ethical decision,yes,Anger can reveal a need without being allowed to steer the whole body.,"Irritation rises quickly and asks for speed, certainty, and a target.",Ask what anger is protecting before deciding what to say.,This reflection does not ask for suppression; it asks for safer expression.,"Added form label, central observation, route-specific daily-life situation, route-specific next step, and sensitive-topic wellbeing note where needed."
/daily-reflections/letting-go-keeps-care/,letting-go-keeps-care,Letting Go Keeps the Care,contemplative exercise,yes,Letting go can release control while preserving sincere effort.,"A result matters, but checking, replaying, and tightening no longer improve the work.",Separate the action still available from the outcome that cannot be forced.,,"Added form label, central observation, route-specific daily-life situation, route-specific next step, and sensitive-topic wellbeing note where needed."
/daily-reflections/soften-the-inner-argument/,soften-the-inner-argument,Soften the Inner Argument,question-led reflection,yes,Arguing with what already happened often adds a second burden.,The mind keeps reopening a closed door and calling it problem-solving.,"Name one fact, then choose one next step that belongs to the present.",,"Added form label, central observation, route-specific daily-life situation, route-specific next step, and sensitive-topic wellbeing note where needed."
/daily-reflections/metta-for-a-difficult-person/,metta-for-a-difficult-person,Metta Without Pretending,relationship practice,yes,Goodwill can remain honest when it is not confused with approval.,A difficult person comes to mind and the heart tightens around old harm or fear.,Offer a boundaried wish for safety and freedom from hatred.,Do not use loving-kindness practice to override needed protection or boundaries.,"Added form label, central observation, route-specific daily-life situation, route-specific next step, and sensitive-topic wellbeing note where needed."
/daily-reflections/thoughts-are-visitors/,thoughts-are-visitors,Thoughts Are Visitors,short contemplative exercise,yes,A thought can be noticed without being obeyed as an order.,A repeated thought arrives with the voice of certainty and starts narrowing the day.,"Label it as thinking, then return to one external sound or simple task.",Persistent distress is not a personal failure; seek qualified support when needed.,"Added form label, central observation, route-specific daily-life situation, route-specific next step, and sensitive-topic wellbeing note where needed."
/daily-reflections/speech-can-reduce-suffering/,speech-can-reduce-suffering,Speech Can Reduce Suffering,ethical decision,yes,Truth becomes more useful when timing and care are included.,A sentence is accurate but could still land as punishment.,"Revise one message so it is honest, necessary, and less likely to spread harm.",,"Added form label, central observation, route-specific daily-life situation, route-specific next step, and sensitive-topic wellbeing note where needed."
/daily-reflections/walking-as-practice/,walking-as-practice,Walking Can Be Practice,mindful activity,yes,Walking can train presence without needing a special setting.,"You cross a room, sidewalk, or car park while the mind is already somewhere else.",Feel ten steps without turning the walk into a performance.,,"Added form label, central observation, route-specific daily-life situation, route-specific next step, and sensitive-topic wellbeing note where needed."
/daily-reflections/see-the-conditions/,see-the-conditions,See the Conditions,observation,yes,Seeing conditions can soften blame and reveal leverage.,"A habit appears sudden until sleep, stress, hunger, company, or setting is included.",Change one condition around the habit rather than only scolding the habit.,,"Added form label, central observation, route-specific daily-life situation, route-specific next step, and sensitive-topic wellbeing note where needed."
/daily-reflections/morning-intention/,morning-intention,Begin With Intention,morning intention,yes,The day is shaped by what receives attention first.,"The phone, inbox, or news wants to set the tone before intention has spoken.",Choose one intention for speech before opening the first feed or thread.,,"Added form label, central observation, route-specific daily-life situation, route-specific next step, and sensitive-topic wellbeing note where needed."
/daily-reflections/rest-without-escape/,rest-without-escape,Rest Without Escape,evening review,yes,Rest can support wise effort when it is not used to disappear from life.,"Tiredness is real, but the next input may not be the same as restoration.",Take a quiet pause that has a clear beginning and end.,Rest is not laziness; ongoing exhaustion may need practical or professional support.,"Added form label, central observation, route-specific daily-life situation, route-specific next step, and sensitive-topic wellbeing note where needed."
/daily-reflections/forgiveness-without-approval/,forgiveness-without-approval,Forgiveness Is Not Approval,question-led reflection,yes,Release does not require pretending harm was harmless.,A memory keeps replaying and each replay tightens the body again.,"Ask what protection, truth, or repair is still needed before asking yourself to release.",,"Added form label, central observation, route-specific daily-life situation, route-specific next step, and sensitive-topic wellbeing note where needed."
/daily-reflections/enough-for-this-moment/,enough-for-this-moment,Enough for This Moment,one-sentence reminder plus practice,yes,"Mindfulness asks for honesty, not a perfect inner state.",A normal task becomes heavy because it is being measured against an impossible version of calm.,Let one task be complete enough while you are doing it.,,"Added form label, central observation, route-specific daily-life situation, route-specific next step, and sensitive-topic wellbeing note where needed."
/daily-reflections/the-first-truth-is-kind/,the-first-truth-is-kind,The First Truth Is Kind,observation,yes,Naming suffering can be compassionate when it ends denial and blame.,"Something hurts, and the mind is busy proving that it should not hurt.",State the difficulty plainly without adding a verdict about yourself.,,"Added form label, central observation, route-specific daily-life situation, route-specific next step, and sensitive-topic wellbeing note where needed."
/daily-reflections/mindful-work/,mindful-work,Work Can Carry Practice,ethical decision,yes,Work becomes practice when values become visible in small choices.,"A deadline, customer, colleague, or task invites speed at the expense of care.","Make one work action more honest, more careful, or less rushed.",,"Added form label, central observation, route-specific daily-life situation, route-specific next step, and sensitive-topic wellbeing note where needed."
/daily-reflections/family-patience/,family-patience,Patience at Home,relationship practice,yes,Home is often where practice becomes least abstract.,A repeated household irritation appears and the old script is ready.,"Change one familiar line, tone, or timing before the pattern completes.",,"Added form label, central observation, route-specific daily-life situation, route-specific next step, and sensitive-topic wellbeing note where needed."
/daily-reflections/simple-goodwill/,simple-goodwill,Simple Goodwill Counts,mindful activity,yes,Goodwill becomes real through ordinary gestures that may never be noticed.,A small chance to reduce friction appears and no one is keeping score.,Offer one useful kindness without explaining or collecting credit.,,"Added form label, central observation, route-specific daily-life situation, route-specific next step, and sensitive-topic wellbeing note where needed."
/daily-reflections/evening-release/,evening-release,End the Day by Releasing,evening review,yes,Review can teach without becoming self-attack.,"The day is ending, but unfinished thoughts want to keep arranging a trial.","Write one helpful action, one lesson, and one thing that can wait until tomorrow.",This reflection supports gentle review; it does not promise sleep.,"Added form label, central observation, route-specific daily-life situation, route-specific next step, and sensitive-topic wellbeing note where needed."
/daily-reflections/gratitude-for-change/,gratitude-for-change,Gratitude for Change,observation,yes,Change can be unsettling and still become a condition for growth.,A change that once felt only inconvenient now shows an unexpected support or lesson.,Name one change that made a wiser choice possible.,,"Added form label, central observation, route-specific daily-life situation, route-specific next step, and sensitive-topic wellbeing note where needed."
/daily-reflections/today/,today,Today's Buddhist Reflection Prompt,recurring UTC-selected utility,yes,"The Today route is a stable utility page, not a daily article.",A returning reader wants one reflection prompt without creating a new dated URL.,Keep the canonical route stable and rotate by UTC day-of-year.,,"Changed schema from Article to WebPage, clarified recurring utility purpose, and changed client rotation to UTC day-of-year."
/daily-reflections/,daily-reflections,Daily reflections hub,collection hub,no,Hub role retained.,,,,No Phase 2 content rewrite required.
