route,theme,indexabilityClass,indexable,previousRobots,finalRobots,inSitemap,inSearchIndex,reviewerNote
/quotes/mindfulness/peace-grows-when-attention-stops-running-ahead-of-the/,Mindfulness,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/mindfulness/notice-what-is-here-before-deciding-what-it-means/,Mindfulness,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/mindfulness/one-mindful-pause-can-change-the-direction-of-an/,Mindfulness,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/mindfulness/the-present-moment-asks-for-your-attention-not-your/,Mindfulness,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/mindfulness/awareness-begins-when-hurry-loosens-its-hold/,Mindfulness,retain-noindex-useful-internal-story,false,"noindex, follow","noindex, follow",false,true,"Retained as noindex, follow by default; useful for internal browsing without forcing search indexability."
/quotes/mindfulness/listen-to-the-moment-before-filling-it-with-your/,Mindfulness,retain-noindex-useful-internal-story,false,"noindex, follow","noindex, follow",false,true,"Retained as noindex, follow by default; useful for internal browsing without forcing search indexability."
/quotes/mindfulness/a-wandering-mind-is-not-a-failed-mind-it/,Mindfulness,retain-noindex-useful-internal-story,false,"noindex, follow","noindex, follow",false,true,"Retained as noindex, follow by default; useful for internal browsing without forcing search indexability."
/quotes/mindfulness/give-one-ordinary-task-the-dignity-of-your-full/,Mindfulness,retain-noindex-useful-internal-story,false,"noindex, follow","noindex, follow",false,true,"Retained as noindex, follow by default; useful for internal browsing without forcing search indexability."
/quotes/mindfulness/the-more-clearly-you-notice-life-the-less-carelessly/,Mindfulness,retain-noindex-useful-internal-story,false,"noindex, follow","noindex, follow",false,true,"Retained as noindex, follow by default; useful for internal browsing without forcing search indexability."
/quotes/compassion/kindness-does-not-need-an-audience-to-become-meaningful/,Compassion,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/compassion/before-judging-another-life-remember-how-much-of-your/,Compassion,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/compassion/a-gentle-response-can-end-suffering-that-anger-would/,Compassion,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/compassion/compassion-asks-what-hurts-before-it-asks-who-is/,Compassion,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/compassion/offer-others-the-patience-you-hope-to-receive-on/,Compassion,retain-noindex-useful-internal-story,false,"noindex, follow","noindex, follow",false,true,"Retained as noindex, follow by default; useful for internal browsing without forcing search indexability."
/quotes/compassion/to-understand-someone-is-not-to-excuse-harm-it/,Compassion,retain-noindex-useful-internal-story,false,"noindex, follow","noindex, follow",false,true,"Retained as noindex, follow by default; useful for internal browsing without forcing search indexability."
/quotes/compassion/the-heart-becomes-spacious-each-time-it-chooses-care/,Compassion,retain-noindex-useful-internal-story,false,"noindex, follow","noindex, follow",false,true,"Retained as noindex, follow by default; useful for internal browsing without forcing search indexability."
/quotes/compassion/small-kindnesses-often-reach-places-that-advice-cannot/,Compassion,retain-noindex-useful-internal-story,false,"noindex, follow","noindex, follow",false,true,"Retained as noindex, follow by default; useful for internal browsing without forcing search indexability."
/quotes/compassion/let-your-boundaries-be-clear-and-your-heart-remain/,Compassion,retain-noindex-useful-internal-story,false,"noindex, follow","noindex, follow",false,true,"Retained as noindex, follow by default; useful for internal browsing without forcing search indexability."
/quotes/compassion/when-you-cannot-remove-anothers-burden-do-not-add/,Compassion,retain-noindex-useful-internal-story,false,"noindex, follow","noindex, follow",false,true,"Retained as noindex, follow by default; useful for internal browsing without forcing search indexability."
/quotes/patience/patience-is-the-strength-to-remain-present-while-life/,Patience,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/patience/not-every-delay-is-an-obstacle-some-are-invitations/,Patience,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/patience/wait-long-enough-for-the-first-reaction-to-become/,Patience,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/patience/growth-is-quiet-work-often-invisible-until-the-season/,Patience,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/patience/be-patient-with-the-part-of-you-that-is/,Patience,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/patience/a-difficult-moment-becomes-heavier-when-we-demand-that/,Patience,retain-noindex-useful-internal-story,false,"noindex, follow","noindex, follow",false,true,"Retained as noindex, follow by default; useful for internal browsing without forcing search indexability."
/quotes/patience/patience-makes-room-for-truth-to-arrive-without-force/,Patience,retain-noindex-useful-internal-story,false,"noindex, follow","noindex, follow",false,true,"Retained as noindex, follow by default; useful for internal browsing without forcing search indexability."
/quotes/patience/the-path-unfolds-at-the-pace-of-sincere-practice/,Patience,retain-noindex-useful-internal-story,false,"noindex, follow","noindex, follow",false,true,"Retained as noindex, follow by default; useful for internal browsing without forcing search indexability."
/quotes/patience/some-answers-become-clear-only-after-the-mind-stops/,Patience,retain-noindex-useful-internal-story,false,"noindex, follow","noindex, follow",false,true,"Retained as noindex, follow by default; useful for internal browsing without forcing search indexability."
/quotes/patience/stay-gentle-with-beginnings-they-are-carrying-more-than/,Patience,retain-noindex-useful-internal-story,false,"noindex, follow","noindex, follow",false,true,"Retained as noindex, follow by default; useful for internal browsing without forcing search indexability."
/quotes/letting-go/letting-go-begins-by-admitting-how-tightly-you-are/,Letting Go,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/letting-go/release-the-need-to-replay-what-can-no-longer/,Letting Go,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/letting-go/you-can-honor-the-past-without-asking-it-to/,Letting Go,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/letting-go/an-open-hand-can-care-for-what-a-clenched/,Letting Go,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/letting-go/peace-enters-when-control-is-no-longer-the-price/,Letting Go,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/letting-go/release-the-outcome-but-keep-the-care-you-bring/,Letting Go,retain-noindex-useful-internal-story,false,"noindex, follow","noindex, follow",false,true,"Retained as noindex, follow by default; useful for internal browsing without forcing search indexability."
/quotes/letting-go/what-leaves-your-life-may-still-leave-wisdom-behind/,Letting Go,retain-noindex-useful-internal-story,false,"noindex, follow","noindex, follow",false,true,"Retained as noindex, follow by default; useful for internal browsing without forcing search indexability."
/quotes/letting-go/you-do-not-betray-a-memory-by-allowing-yourself/,Letting Go,retain-noindex-useful-internal-story,false,"noindex, follow","noindex, follow",false,true,"Retained as noindex, follow by default; useful for internal browsing without forcing search indexability."
/quotes/letting-go/let-the-feeling-pass-through-without-building-it-a/,Letting Go,retain-noindex-useful-internal-story,false,"noindex, follow","noindex, follow",false,true,"Retained as noindex, follow by default; useful for internal browsing without forcing search indexability."
/quotes/letting-go/freedom-often-sounds-like-the-quiet-end-of-an/,Letting Go,retain-noindex-useful-internal-story,false,"noindex, follow","noindex, follow",false,true,"Retained as noindex, follow by default; useful for internal browsing without forcing search indexability."
/quotes/meditation/meditation-is-not-leaving-life-it-is-learning-how/,Meditation,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/meditation/sit-without-demanding-silence-and-the-mind-will-teach/,Meditation,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/meditation/the-cushion-is-a-place-to-practice-returning-not/,Meditation,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/meditation/follow-the-breath-lightly-as-you-would-listen-to/,Meditation,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/meditation/a-short-sincere-practice-can-steady-a-long-and/,Meditation,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/meditation/when-stillness-feels-impossible-begin-by-noticing-the-restlessness/,Meditation,retain-noindex-useful-internal-story,false,"noindex, follow","noindex, follow",false,true,"Retained as noindex, follow by default; useful for internal browsing without forcing search indexability."
/quotes/meditation/every-return-from-distraction-strengthens-the-path-home/,Meditation,retain-noindex-useful-internal-story,false,"noindex, follow","noindex, follow",false,true,"Retained as noindex, follow by default; useful for internal browsing without forcing search indexability."
/quotes/meditation/do-not-search-meditation-for-a-special-self-notice/,Meditation,retain-noindex-useful-internal-story,false,"noindex, follow","noindex, follow",false,true,"Retained as noindex, follow by default; useful for internal browsing without forcing search indexability."
/quotes/meditation/sit-with-the-day-as-it-is-before-asking/,Meditation,retain-noindex-useful-internal-story,false,"noindex, follow","noindex, follow",false,true,"Retained as noindex, follow by default; useful for internal browsing without forcing search indexability."
/quotes/meditation/the-bell-fades-but-careful-listening-can-continue/,Meditation,retain-noindex-useful-internal-story,false,"noindex, follow","noindex, follow",false,true,"Retained as noindex, follow by default; useful for internal browsing without forcing search indexability."
/quotes/wisdom/wisdom-sees-the-whole-fire-not-only-the-spark/,Wisdom,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/wisdom/a-clear-mind-can-hold-two-truths-without-rushing/,Wisdom,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/wisdom/knowing-when-not-to-speak-is-also-a-form/,Wisdom,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/wisdom/the-lesson-repeats-until-attention-replaces-habit/,Wisdom,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/wisdom/what-feels-urgent-is-not-always-what-matters-most/,Wisdom,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/wisdom/wisdom-is-less-interested-in-winning-than-in-ending/,Wisdom,retain-noindex-useful-internal-story,false,"noindex, follow","noindex, follow",false,true,"Retained as noindex, follow by default; useful for internal browsing without forcing search indexability."
/quotes/wisdom/see-the-conditions-behind-an-action-and-blame-may/,Wisdom,retain-noindex-useful-internal-story,false,"noindex, follow","noindex, follow",false,true,"Retained as noindex, follow by default; useful for internal browsing without forcing search indexability."
/quotes/wisdom/a-useful-truth-is-carried-with-humility-not-used/,Wisdom,retain-noindex-useful-internal-story,false,"noindex, follow","noindex, follow",false,true,"Retained as noindex, follow by default; useful for internal browsing without forcing search indexability."
/quotes/wisdom/learn-from-discomfort-without-turning-suffering-into-an-identity/,Wisdom,retain-noindex-useful-internal-story,false,"noindex, follow","noindex, follow",false,true,"Retained as noindex, follow by default; useful for internal browsing without forcing search indexability."
/quotes/wisdom/the-wise-heart-changes-course-when-clearer-seeing-arrives/,Wisdom,retain-noindex-useful-internal-story,false,"noindex, follow","noindex, follow",false,true,"Retained as noindex, follow by default; useful for internal browsing without forcing search indexability."
/quotes/impermanence/everything-changes-including-the-part-of-you-that-fears/,Impermanence,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/impermanence/the-fading-flower-does-not-make-its-blooming-less/,Impermanence,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/impermanence/because-this-moment-will-pass-meet-it-while-it/,Impermanence,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/impermanence/change-takes-nothing-personally-it-simply-continues/,Impermanence,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/impermanence/todays-certainty-may-become-tomorrows-lesson-in-humility/,Impermanence,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/impermanence/the-passing-of-joy-teaches-gratitude-the-passing-of/,Impermanence,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/impermanence/no-season-is-asked-to-remain-in-order-to/,Impermanence,retain-noindex-useful-internal-story,false,"noindex, follow","noindex, follow",false,true,"Retained as noindex, follow by default; useful for internal browsing without forcing search indexability."
/quotes/impermanence/hold-each-day-carefully-knowing-it-cannot-be-held/,Impermanence,retain-noindex-useful-internal-story,false,"noindex, follow","noindex, follow",false,true,"Retained as noindex, follow by default; useful for internal browsing without forcing search indexability."
/quotes/impermanence/what-changes-is-not-always-lost-sometimes-it-is/,Impermanence,retain-noindex-useful-internal-story,false,"noindex, follow","noindex, follow",false,true,"Retained as noindex, follow by default; useful for internal browsing without forcing search indexability."
/quotes/impermanence/acceptance-begins-where-the-argument-with-change-ends/,Impermanence,retain-noindex-useful-internal-story,false,"noindex, follow","noindex, follow",false,true,"Retained as noindex, follow by default; useful for internal browsing without forcing search indexability."
/quotes/practice/walk-slowly-enough-to-notice-where-your-life-is/,Practice,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/practice/practice-becomes-real-when-it-enters-your-speech-and/,Practice,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/practice/the-smallest-wholesome-action-is-larger-than-the-finest/,Practice,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/practice/do-not-wait-to-feel-ready-before-choosing-what/,Practice,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/practice/your-next-response-is-always-part-of-the-path/,Practice,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/practice/a-peaceful-life-is-built-from-peaceful-moments-practiced/,Practice,retain-noindex-useful-internal-story,false,"noindex, follow","noindex, follow",false,true,"Retained as noindex, follow by default; useful for internal browsing without forcing search indexability."
/quotes/practice/bring-the-teaching-into-the-place-where-you-are/,Practice,retain-noindex-useful-internal-story,false,"noindex, follow","noindex, follow",false,true,"Retained as noindex, follow by default; useful for internal browsing without forcing search indexability."
/quotes/practice/daily-practice-turns-understanding-from-an-idea-into-a/,Practice,retain-noindex-useful-internal-story,false,"noindex, follow","noindex, follow",false,true,"Retained as noindex, follow by default; useful for internal browsing without forcing search indexability."
/quotes/practice/begin-with-what-is-possible-then-return-tomorrow/,Practice,retain-noindex-useful-internal-story,false,"noindex, follow","noindex, follow",false,true,"Retained as noindex, follow by default; useful for internal browsing without forcing search indexability."
/quotes/practice/the-path-is-shaped-by-what-you-repeat-when/,Practice,retain-noindex-useful-internal-story,false,"noindex, follow","noindex, follow",false,true,"Retained as noindex, follow by default; useful for internal browsing without forcing search indexability."
/quotes/awareness/anger-asks-for-speed-awareness-asks-for-one-more/,Awareness,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/awareness/name-the-feeling-gently-and-it-may-stop-speaking/,Awareness,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/awareness/the-body-often-knows-you-are-overwhelmed-before-the/,Awareness,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/awareness/awareness-does-not-remove-the-storm-it-keeps-you/,Awareness,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/awareness/look-beneath-the-reaction-and-you-may-find-a/,Awareness,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/awareness/what-you-can-observe-clearly-no-longer-controls-you/,Awareness,retain-noindex-useful-internal-story,false,"noindex, follow","noindex, follow",false,true,"Retained as noindex, follow by default; useful for internal browsing without forcing search indexability."
/quotes/awareness/feelings-are-honest-about-their-presence-not-always-about/,Awareness,retain-noindex-useful-internal-story,false,"noindex, follow","noindex, follow",false,true,"Retained as noindex, follow by default; useful for internal browsing without forcing search indexability."
/quotes/awareness/notice-the-habit-before-trying-to-become-someone-without/,Awareness,retain-noindex-useful-internal-story,false,"noindex, follow","noindex, follow",false,true,"Retained as noindex, follow by default; useful for internal browsing without forcing search indexability."
/quotes/awareness/when-the-mind-tightens-let-the-body-be-your/,Awareness,retain-noindex-useful-internal-story,false,"noindex, follow","noindex, follow",false,true,"Retained as noindex, follow by default; useful for internal browsing without forcing search indexability."
/quotes/awareness/clear-seeing-begins-with-the-courage-to-stop-looking/,Awareness,retain-noindex-useful-internal-story,false,"noindex, follow","noindex, follow",false,true,"Retained as noindex, follow by default; useful for internal browsing without forcing search indexability."
/quotes/renewal/begin-again-without-turning-yesterday-into-a-sentence/,Renewal,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/renewal/a-new-direction-can-start-with-one-different-choice/,Renewal,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/renewal/the-path-welcomes-your-return-more-often-than-pride/,Renewal,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/renewal/you-are-allowed-to-learn-slowly-and-still-be/,Renewal,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/renewal/morning-is-not-the-only-time-a-life-can/,Renewal,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/renewal/repair-what-you-can-forgive-what-you-cannot-redo/,Renewal,retain-noindex-useful-internal-story,false,"noindex, follow","noindex, follow",false,true,"Retained as noindex, follow by default; useful for internal browsing without forcing search indexability."
/quotes/renewal/a-mistake-becomes-a-teacher-when-honesty-enters-the/,Renewal,retain-noindex-useful-internal-story,false,"noindex, follow","noindex, follow",false,true,"Retained as noindex, follow by default; useful for internal browsing without forcing search indexability."
/quotes/renewal/do-not-confuse-an-old-pattern-with-an-unchangeable/,Renewal,retain-noindex-useful-internal-story,false,"noindex, follow","noindex, follow",false,true,"Retained as noindex, follow by default; useful for internal browsing without forcing search indexability."
/quotes/renewal/hope-can-be-quiet-and-still-keep-walking/,Renewal,retain-noindex-useful-internal-story,false,"noindex, follow","noindex, follow",false,true,"Retained as noindex, follow by default; useful for internal browsing without forcing search indexability."
/quotes/renewal/each-conscious-breath-is-a-small-vote-for-beginning/,Renewal,retain-noindex-useful-internal-story,false,"noindex, follow","noindex, follow",false,true,"Retained as noindex, follow by default; useful for internal browsing without forcing search indexability."
/quotes/mindfulness/begin-the-day-with-awareness/,Mindfulness,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/meditation/one-honest-breath/,Meditation,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/mindfulness/peace-begins-with-attention/,Mindfulness,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/awareness/thoughts-pass-without-commanding-you/,Awareness,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/meditation/meditation-is-returning/,Meditation,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/meditation/few-quiet-minutes/,Meditation,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/compassion/loving-kindness-without-harm/,Compassion,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/compassion/compassion-sees-pain-clearly/,Compassion,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/compassion/gentle-self-compassion/,Compassion,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/compassion/kindness-as-quiet-practice/,Compassion,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/patience/patience-softens-the-wait/,Patience,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/awareness/one-breath-before-anger-replies/,Awareness,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/letting-go/forgiveness-without-approving-harm/,Letting Go,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/letting-go/caring-without-clinging/,Letting Go,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/letting-go/open-hands-non-attachment/,Letting Go,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/impermanence/change-is-how-life-continues/,Impermanence,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/impermanence/meet-change-softly/,Impermanence,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
