route,theme,quote,materialChange,action,indexabilityClass,finalRobots
/quotes/mindfulness/return-to-the-breath-before-you-return-to-the/,Mindfulness,Return to the breath before you return to the argument.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/mindfulness/peace-grows-when-attention-stops-running-ahead-of-the/,Mindfulness,Peace grows when attention stops running ahead of the moment.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/mindfulness/notice-what-is-here-before-deciding-what-it-means/,Mindfulness,Notice what is here before deciding what it means.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/mindfulness/one-mindful-pause-can-change-the-direction-of-an/,Mindfulness,One mindful pause can change the direction of an entire day.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/mindfulness/the-present-moment-asks-for-your-attention-not-your/,Mindfulness,"The present moment asks for your attention, not your perfection.",yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/mindfulness/awareness-begins-when-hurry-loosens-its-hold/,Mindfulness,Awareness begins when hurry loosens its hold.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",retain-noindex-useful-internal-story,"noindex, follow"
/quotes/mindfulness/listen-to-the-moment-before-filling-it-with-your/,Mindfulness,Listen to the moment before filling it with your plans.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",retain-noindex-useful-internal-story,"noindex, follow"
/quotes/mindfulness/a-wandering-mind-is-not-a-failed-mind-it/,Mindfulness,A wandering mind is not a failed mind; it is a mind ready to return.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",retain-noindex-useful-internal-story,"noindex, follow"
/quotes/mindfulness/give-one-ordinary-task-the-dignity-of-your-full/,Mindfulness,Give one ordinary task the dignity of your full attention.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",retain-noindex-useful-internal-story,"noindex, follow"
/quotes/mindfulness/the-more-clearly-you-notice-life-the-less-carelessly/,Mindfulness,"The more clearly you notice life, the less carelessly you move through it.",yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",retain-noindex-useful-internal-story,"noindex, follow"
/quotes/compassion/kindness-does-not-need-an-audience-to-become-meaningful/,Compassion,Kindness does not need an audience to become meaningful.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/compassion/before-judging-another-life-remember-how-much-of-your/,Compassion,"Before judging another life, remember how much of your own remains unseen.",yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/compassion/a-gentle-response-can-end-suffering-that-anger-would/,Compassion,A gentle response can end suffering that anger would pass along.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/compassion/compassion-asks-what-hurts-before-it-asks-who-is/,Compassion,Compassion asks what hurts before it asks who is to blame.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/compassion/offer-others-the-patience-you-hope-to-receive-on/,Compassion,Offer others the patience you hope to receive on your difficult days.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",retain-noindex-useful-internal-story,"noindex, follow"
/quotes/compassion/to-understand-someone-is-not-to-excuse-harm-it/,Compassion,To understand someone is not to excuse harm; it is to see more clearly.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",retain-noindex-useful-internal-story,"noindex, follow"
/quotes/compassion/the-heart-becomes-spacious-each-time-it-chooses-care/,Compassion,The heart becomes spacious each time it chooses care over contempt.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",retain-noindex-useful-internal-story,"noindex, follow"
/quotes/compassion/small-kindnesses-often-reach-places-that-advice-cannot/,Compassion,Small kindnesses often reach places that advice cannot.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",retain-noindex-useful-internal-story,"noindex, follow"
/quotes/compassion/let-your-boundaries-be-clear-and-your-heart-remain/,Compassion,Let your boundaries be clear and your heart remain kind.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",retain-noindex-useful-internal-story,"noindex, follow"
/quotes/compassion/when-you-cannot-remove-anothers-burden-do-not-add/,Compassion,"When you cannot remove another's burden, do not add to its weight.",yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",retain-noindex-useful-internal-story,"noindex, follow"
/quotes/patience/patience-is-the-strength-to-remain-present-while-life/,Patience,Patience is the strength to remain present while life takes its time.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/patience/not-every-delay-is-an-obstacle-some-are-invitations/,Patience,Not every delay is an obstacle; some are invitations to soften.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/patience/wait-long-enough-for-the-first-reaction-to-become/,Patience,Wait long enough for the first reaction to become a wiser response.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/patience/growth-is-quiet-work-often-invisible-until-the-season/,Patience,"Growth is quiet work, often invisible until the season changes.",yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/patience/be-patient-with-the-part-of-you-that-is/,Patience,Be patient with the part of you that is still learning what peace feels like.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/patience/a-difficult-moment-becomes-heavier-when-we-demand-that/,Patience,A difficult moment becomes heavier when we demand that it end immediately.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",retain-noindex-useful-internal-story,"noindex, follow"
/quotes/patience/patience-makes-room-for-truth-to-arrive-without-force/,Patience,Patience makes room for truth to arrive without force.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",retain-noindex-useful-internal-story,"noindex, follow"
/quotes/patience/the-path-unfolds-at-the-pace-of-sincere-practice/,Patience,"The path unfolds at the pace of sincere practice, not restless comparison.",yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",retain-noindex-useful-internal-story,"noindex, follow"
/quotes/patience/some-answers-become-clear-only-after-the-mind-stops/,Patience,Some answers become clear only after the mind stops chasing them.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",retain-noindex-useful-internal-story,"noindex, follow"
/quotes/patience/stay-gentle-with-beginnings-they-are-carrying-more-than/,Patience,Stay gentle with beginnings; they are carrying more than they can show.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",retain-noindex-useful-internal-story,"noindex, follow"
/quotes/letting-go/letting-go-begins-by-admitting-how-tightly-you-are/,Letting Go,Letting go begins by admitting how tightly you are holding.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/letting-go/release-the-need-to-replay-what-can-no-longer/,Letting Go,Release the need to replay what can no longer be changed.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/letting-go/you-can-honor-the-past-without-asking-it-to/,Letting Go,You can honor the past without asking it to become your home.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/letting-go/an-open-hand-can-care-for-what-a-clenched/,Letting Go,An open hand can care for what a clenched fist cannot.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/letting-go/peace-enters-when-control-is-no-longer-the-price/,Letting Go,Peace enters when control is no longer the price of feeling safe.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/letting-go/release-the-outcome-but-keep-the-care-you-bring/,Letting Go,"Release the outcome, but keep the care you bring to the work.",yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",retain-noindex-useful-internal-story,"noindex, follow"
/quotes/letting-go/what-leaves-your-life-may-still-leave-wisdom-behind/,Letting Go,What leaves your life may still leave wisdom behind.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",retain-noindex-useful-internal-story,"noindex, follow"
/quotes/letting-go/you-do-not-betray-a-memory-by-allowing-yourself/,Letting Go,You do not betray a memory by allowing yourself to move forward.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",retain-noindex-useful-internal-story,"noindex, follow"
/quotes/letting-go/let-the-feeling-pass-through-without-building-it-a/,Letting Go,Let the feeling pass through without building it a permanent room.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",retain-noindex-useful-internal-story,"noindex, follow"
/quotes/letting-go/freedom-often-sounds-like-the-quiet-end-of-an/,Letting Go,Freedom often sounds like the quiet end of an inner argument.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",retain-noindex-useful-internal-story,"noindex, follow"
/quotes/meditation/meditation-is-not-leaving-life-it-is-learning-how/,Meditation,Meditation is not leaving life; it is learning how to be here.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/meditation/sit-without-demanding-silence-and-the-mind-will-teach/,Meditation,"Sit without demanding silence, and the mind will teach you how it moves.",yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/meditation/the-cushion-is-a-place-to-practice-returning-not/,Meditation,"The cushion is a place to practice returning, not a place to perform calm.",yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/meditation/follow-the-breath-lightly-as-you-would-listen-to/,Meditation,"Follow the breath lightly, as you would listen to rain.",yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/meditation/a-short-sincere-practice-can-steady-a-long-and/,Meditation,A short sincere practice can steady a long and complicated day.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/meditation/when-stillness-feels-impossible-begin-by-noticing-the-restlessness/,Meditation,"When stillness feels impossible, begin by noticing the restlessness.",yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",retain-noindex-useful-internal-story,"noindex, follow"
/quotes/meditation/every-return-from-distraction-strengthens-the-path-home/,Meditation,Every return from distraction strengthens the path home.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",retain-noindex-useful-internal-story,"noindex, follow"
/quotes/meditation/do-not-search-meditation-for-a-special-self-notice/,Meditation,Do not search meditation for a special self; notice the self already searching.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",retain-noindex-useful-internal-story,"noindex, follow"
/quotes/meditation/sit-with-the-day-as-it-is-before-asking/,Meditation,"Sit with the day as it is, before asking it to be different.",yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",retain-noindex-useful-internal-story,"noindex, follow"
/quotes/meditation/the-bell-fades-but-careful-listening-can-continue/,Meditation,"The bell fades, but careful listening can continue.",yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",retain-noindex-useful-internal-story,"noindex, follow"
/quotes/wisdom/wisdom-sees-the-whole-fire-not-only-the-spark/,Wisdom,"Wisdom sees the whole fire, not only the spark that caused it.",yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/wisdom/a-clear-mind-can-hold-two-truths-without-rushing/,Wisdom,A clear mind can hold two truths without rushing to make one disappear.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/wisdom/knowing-when-not-to-speak-is-also-a-form/,Wisdom,Knowing when not to speak is also a form of honest speech.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/wisdom/the-lesson-repeats-until-attention-replaces-habit/,Wisdom,The lesson repeats until attention replaces habit.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/wisdom/what-feels-urgent-is-not-always-what-matters-most/,Wisdom,What feels urgent is not always what matters most.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/wisdom/wisdom-is-less-interested-in-winning-than-in-ending/,Wisdom,Wisdom is less interested in winning than in ending needless harm.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",retain-noindex-useful-internal-story,"noindex, follow"
/quotes/wisdom/see-the-conditions-behind-an-action-and-blame-may/,Wisdom,"See the conditions behind an action, and blame may soften into understanding.",yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",retain-noindex-useful-internal-story,"noindex, follow"
/quotes/wisdom/a-useful-truth-is-carried-with-humility-not-used/,Wisdom,"A useful truth is carried with humility, not used as a weapon.",yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",retain-noindex-useful-internal-story,"noindex, follow"
/quotes/wisdom/learn-from-discomfort-without-turning-suffering-into-an-identity/,Wisdom,Learn from discomfort without turning suffering into an identity.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",retain-noindex-useful-internal-story,"noindex, follow"
/quotes/wisdom/the-wise-heart-changes-course-when-clearer-seeing-arrives/,Wisdom,The wise heart changes course when clearer seeing arrives.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",retain-noindex-useful-internal-story,"noindex, follow"
/quotes/impermanence/everything-changes-including-the-part-of-you-that-fears/,Impermanence,"Everything changes, including the part of you that fears change.",yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/impermanence/the-fading-flower-does-not-make-its-blooming-less/,Impermanence,The fading flower does not make its blooming less beautiful.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/impermanence/because-this-moment-will-pass-meet-it-while-it/,Impermanence,"Because this moment will pass, meet it while it is here.",yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/impermanence/change-takes-nothing-personally-it-simply-continues/,Impermanence,Change takes nothing personally; it simply continues.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/impermanence/todays-certainty-may-become-tomorrows-lesson-in-humility/,Impermanence,Today's certainty may become tomorrow's lesson in humility.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/impermanence/the-passing-of-joy-teaches-gratitude-the-passing-of/,Impermanence,The passing of joy teaches gratitude; the passing of pain teaches hope.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/impermanence/no-season-is-asked-to-remain-in-order-to/,Impermanence,No season is asked to remain in order to be loved.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",retain-noindex-useful-internal-story,"noindex, follow"
/quotes/impermanence/hold-each-day-carefully-knowing-it-cannot-be-held/,Impermanence,"Hold each day carefully, knowing it cannot be held forever.",yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",retain-noindex-useful-internal-story,"noindex, follow"
/quotes/impermanence/what-changes-is-not-always-lost-sometimes-it-is/,Impermanence,What changes is not always lost; sometimes it is being transformed.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",retain-noindex-useful-internal-story,"noindex, follow"
/quotes/impermanence/acceptance-begins-where-the-argument-with-change-ends/,Impermanence,Acceptance begins where the argument with change ends.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",retain-noindex-useful-internal-story,"noindex, follow"
/quotes/practice/walk-slowly-enough-to-notice-where-your-life-is/,Practice,Walk slowly enough to notice where your life is actually happening.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/practice/practice-becomes-real-when-it-enters-your-speech-and/,Practice,Practice becomes real when it enters your speech and choices.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/practice/the-smallest-wholesome-action-is-larger-than-the-finest/,Practice,The smallest wholesome action is larger than the finest untested intention.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/practice/do-not-wait-to-feel-ready-before-choosing-what/,Practice,Do not wait to feel ready before choosing what is kind.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/practice/your-next-response-is-always-part-of-the-path/,Practice,Your next response is always part of the path.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/practice/a-peaceful-life-is-built-from-peaceful-moments-practiced/,Practice,A peaceful life is built from peaceful moments practiced repeatedly.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",retain-noindex-useful-internal-story,"noindex, follow"
/quotes/practice/bring-the-teaching-into-the-place-where-you-are/,Practice,Bring the teaching into the place where you are most easily irritated.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",retain-noindex-useful-internal-story,"noindex, follow"
/quotes/practice/daily-practice-turns-understanding-from-an-idea-into-a/,Practice,Daily practice turns understanding from an idea into a way of living.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",retain-noindex-useful-internal-story,"noindex, follow"
/quotes/practice/begin-with-what-is-possible-then-return-tomorrow/,Practice,"Begin with what is possible, then return tomorrow.",yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",retain-noindex-useful-internal-story,"noindex, follow"
/quotes/practice/the-path-is-shaped-by-what-you-repeat-when/,Practice,The path is shaped by what you repeat when no one is watching.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",retain-noindex-useful-internal-story,"noindex, follow"
/quotes/awareness/anger-asks-for-speed-awareness-asks-for-one-more/,Awareness,Anger asks for speed; awareness asks for one more breath.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/awareness/name-the-feeling-gently-and-it-may-stop-speaking/,Awareness,"Name the feeling gently, and it may stop speaking for your whole life.",yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/awareness/the-body-often-knows-you-are-overwhelmed-before-the/,Awareness,The body often knows you are overwhelmed before the mind admits it.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/awareness/awareness-does-not-remove-the-storm-it-keeps-you/,Awareness,Awareness does not remove the storm; it keeps you from becoming every cloud.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/awareness/look-beneath-the-reaction-and-you-may-find-a/,Awareness,Look beneath the reaction and you may find a need asking to be understood.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
