URL,Variant,Current index state,Sitemap state,Approx word count,Heading count,External source links,Nearest comparable page,Combined overlap,Primary recommendation,Priority,Evidence
https://echobuddha.com/articles/category/buddhist-wisdom/,,indexable,in sitemap,685,23,0,https://echobuddha.com/articles/category/practice/,19.7,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 685 words; 23 content headings; authored route; nearest /articles/category/practice/ combined overlap 19.7%; external source links 0
https://echobuddha.com/learn/eightfold-path/,,indexable,in sitemap,342,9,2,https://echobuddha.com/learn/four-noble-truths/,26.3,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 342 words; 9 content headings; authored route; nearest /learn/four-noble-truths/ combined overlap 26.3%; external source links 2
https://echobuddha.com/learn/four-noble-truths/,,indexable,in sitemap,259,8,2,https://echobuddha.com/learn/eightfold-path/,26.3,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 259 words; 8 content headings; authored route; nearest /learn/eightfold-path/ combined overlap 26.3%; external source links 2
https://echobuddha.com/learn/,,indexable,in sitemap,593,17,0,https://echobuddha.com/start-here/,22.8,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 593 words; 17 content headings; authored route; nearest /start-here/ combined overlap 22.8%; external source links 0
https://echobuddha.com/learn/questions-about-buddhism/,,indexable,in sitemap,804,1,0,https://echobuddha.com/learn/buddhism-for-beginners/,14.1,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 804 words; 1 content headings; authored route; nearest /learn/buddhism-for-beginners/ combined overlap 14.1%; external source links 0
https://echobuddha.com/learn/sutta-for-daily-life/,,indexable,in sitemap,283,3,2,https://echobuddha.com/learn/dhammapada-reflections/,32.3,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 283 words; 3 content headings; authored route; nearest /learn/dhammapada-reflections/ combined overlap 32.3%; external source links 2
https://echobuddha.com/meditation/,,indexable,in sitemap,387,10,2,https://echobuddha.com/meditation/mindfulness-in-daily-life/,15.1,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 387 words; 10 content headings; authored route; nearest /meditation/mindfulness-in-daily-life/ combined overlap 15.1%; external source links 2
https://echobuddha.com/mindful-living/,,indexable,in sitemap,559,16,0,https://echobuddha.com/articles/,25.5,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 559 words; 16 content headings; authored route; nearest /articles/ combined overlap 25.5%; external source links 0
https://echobuddha.com/quotes/awareness/,,indexable,in sitemap,456,7,0,https://echobuddha.com/quotes/mindfulness/,49.1,SUBSTANTIAL REWRITE,P1,Built 2026-08-11T02:17:46.273Z; 456 words; 7 content headings; authored route; nearest /quotes/mindfulness/ combined overlap 49.1%; external source links 0
https://echobuddha.com/quotes/compassion/,,indexable,in sitemap,426,7,0,https://echobuddha.com/quotes/impermanence/,48.5,SUBSTANTIAL REWRITE,P1,Built 2026-08-11T02:17:46.273Z; 426 words; 7 content headings; authored route; nearest /quotes/impermanence/ combined overlap 48.5%; external source links 0
https://echobuddha.com/quotes/impermanence/,,indexable,in sitemap,356,7,0,https://echobuddha.com/quotes/compassion/,48.5,SUBSTANTIAL REWRITE,P1,Built 2026-08-11T02:17:46.273Z; 356 words; 7 content headings; authored route; nearest /quotes/compassion/ combined overlap 48.5%; external source links 0
https://echobuddha.com/quotes/,,indexable,in sitemap,2325,5,0,https://echobuddha.com/daily-reflections/,20.6,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 2325 words; 5 content headings; authored route; nearest /daily-reflections/ combined overlap 20.6%; external source links 0
https://echobuddha.com/quotes/letting-go/,,indexable,in sitemap,468,7,0,https://echobuddha.com/quotes/renewal/,48.0,SUBSTANTIAL REWRITE,P1,Built 2026-08-11T02:17:46.273Z; 468 words; 7 content headings; authored route; nearest /quotes/renewal/ combined overlap 48.0%; external source links 0
https://echobuddha.com/quotes/meditation/,,indexable,in sitemap,385,7,0,https://echobuddha.com/quotes/mindfulness/,27.1,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 385 words; 7 content headings; authored route; nearest /quotes/mindfulness/ combined overlap 27.1%; external source links 0
https://echobuddha.com/quotes/mindfulness/,,indexable,in sitemap,452,7,0,https://echobuddha.com/quotes/awareness/,49.1,SUBSTANTIAL REWRITE,P1,Built 2026-08-11T02:17:46.273Z; 452 words; 7 content headings; authored route; nearest /quotes/awareness/ combined overlap 49.1%; external source links 0
https://echobuddha.com/quotes/patience/,,indexable,in sitemap,461,7,0,https://echobuddha.com/quotes/practice/,47.6,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 461 words; 7 content headings; authored route; nearest /quotes/practice/ combined overlap 47.6%; external source links 0
https://echobuddha.com/quotes/practice/,,indexable,in sitemap,420,7,0,https://echobuddha.com/quotes/patience/,47.6,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 420 words; 7 content headings; authored route; nearest /quotes/patience/ combined overlap 47.6%; external source links 0
https://echobuddha.com/quotes/renewal/,,indexable,in sitemap,400,7,0,https://echobuddha.com/quotes/letting-go/,48.0,SUBSTANTIAL REWRITE,P1,Built 2026-08-11T02:17:46.273Z; 400 words; 7 content headings; authored route; nearest /quotes/letting-go/ combined overlap 48.0%; external source links 0
https://echobuddha.com/quotes/wisdom/,,indexable,in sitemap,469,7,0,https://echobuddha.com/quotes/impermanence/,46.8,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 469 words; 7 content headings; authored route; nearest /quotes/impermanence/ combined overlap 46.8%; external source links 0
https://echobuddha.com/start-here/,,indexable,in sitemap,495,18,0,https://echobuddha.com/learn/,22.8,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 495 words; 18 content headings; authored route; nearest /learn/ combined overlap 22.8%; external source links 0
https://echobuddha.com/tools/,,indexable,in sitemap,450,10,0,https://echobuddha.com/start-here/,15.8,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 450 words; 10 content headings; authored route; nearest /start-here/ combined overlap 15.8%; external source links 0
