URL,Variant,Current index state,Sitemap state,Approx word count,Heading count,External source links,Nearest comparable page,Combined overlap,Primary recommendation,Priority,Evidence
https://echobuddha.com/learn/buddhism-101/a-simple-daily-buddhist-practice/,,indexable,in sitemap,312,12,1,https://echobuddha.com/learn/buddhism-101/how-to-practice-buddhism-at-home/,40.7,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 312 words; 12 content headings; authored route; nearest /learn/buddhism-101/how-to-practice-buddhism-at-home/ combined overlap 40.7%; external source links 1
https://echobuddha.com/learn/buddhism-101/the-noble-eightfold-path-explained/,,indexable,in sitemap,392,12,1,https://echobuddha.com/learn/buddhism-101/the-three-jewels-explained/,46.5,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 392 words; 12 content headings; authored route; nearest /learn/buddhism-101/the-three-jewels-explained/ combined overlap 46.5%; external source links 1
https://echobuddha.com/learn/buddhism-101/the-three-jewels-explained/,,indexable,in sitemap,366,12,1,https://echobuddha.com/learn/buddhism-101/the-noble-eightfold-path-explained/,46.5,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 366 words; 12 content headings; authored route; nearest /learn/buddhism-101/the-noble-eightfold-path-explained/ combined overlap 46.5%; external source links 1
https://echobuddha.com/learn/buddhism-101/three-marks-of-existence/,,indexable,in sitemap,945,18,2,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,35.4,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 945 words; 18 content headings; authored route; nearest /learn/buddhism-101/what-is-impermanence/ combined overlap 35.4%; external source links 2
https://echobuddha.com/learn/buddhism-101/threefold-training-sila-samadhi-panna/,,indexable,in sitemap,403,9,2,https://echobuddha.com/learn/buddhist-dictionary/sutta/,39.6,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 403 words; 9 content headings; authored route; nearest /learn/buddhist-dictionary/sutta/ combined overlap 39.6%; external source links 2
https://echobuddha.com/learn/buddhism-101/what-is-buddhism/,,indexable,in sitemap,393,12,2,https://echobuddha.com/learn/buddhism-101/how-to-practice-buddhism-at-home/,44.4,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 393 words; 12 content headings; authored route; nearest /learn/buddhism-101/how-to-practice-buddhism-at-home/ combined overlap 44.4%; external source links 2
https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,,indexable,in sitemap,352,12,1,https://echobuddha.com/learn/buddhist-dictionary/anicca/,49.1,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 352 words; 12 content headings; authored route; nearest /learn/buddhist-dictionary/anicca/ combined overlap 49.1%; external source links 1
https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/,,indexable,in sitemap,351,12,1,https://echobuddha.com/learn/buddhist-dictionary/karma/,46.0,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 351 words; 12 content headings; authored route; nearest /learn/buddhist-dictionary/karma/ combined overlap 46.0%; external source links 1
https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,,indexable,in sitemap,351,12,1,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,48.0,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 351 words; 12 content headings; authored route; nearest /learn/buddhism-101/what-is-impermanence/ combined overlap 48.0%; external source links 1
https://echobuddha.com/learn/buddhism-101/who-was-the-buddha/,,indexable,in sitemap,442,12,1,https://echobuddha.com/learn/buddhism-101/the-three-jewels-explained/,43.2,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 442 words; 12 content headings; authored route; nearest /learn/buddhism-101/the-three-jewels-explained/ combined overlap 43.2%; external source links 1
https://echobuddha.com/learn/buddhism-for-beginners/,,indexable,in sitemap,404,4,0,https://echobuddha.com/articles/first-week-buddhist-practice/,17.7,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 404 words; 4 content headings; authored route; nearest /articles/first-week-buddhist-practice/ combined overlap 17.7%; external source links 0
https://echobuddha.com/learn/buddhist-dictionary/anatta/,,indexable,in sitemap,293,12,1,https://echobuddha.com/learn/buddhist-dictionary/anicca/,54.8,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 293 words; 12 content headings; authored route; nearest /learn/buddhist-dictionary/anicca/ combined overlap 54.8%; external source links 1
https://echobuddha.com/learn/buddhist-dictionary/anicca/,,indexable,in sitemap,275,12,1,https://echobuddha.com/learn/buddhist-dictionary/dukkha/,55.2,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 275 words; 12 content headings; authored route; nearest /learn/buddhist-dictionary/dukkha/ combined overlap 55.2%; external source links 1
https://echobuddha.com/learn/buddhist-dictionary/compassion/,,indexable,in sitemap,260,12,1,https://echobuddha.com/learn/buddhist-dictionary/karuna/,61.9,SUBSTANTIAL REWRITE,P1,Built 2026-08-11T02:17:46.273Z; 260 words; 12 content headings; authored route; nearest /learn/buddhist-dictionary/karuna/ combined overlap 61.9%; external source links 1
https://echobuddha.com/learn/buddhist-dictionary/dhamma/,,indexable,in sitemap,573,14,2,https://echobuddha.com/learn/buddhist-dictionary/sangha/,40.2,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 573 words; 14 content headings; authored route; nearest /learn/buddhist-dictionary/sangha/ combined overlap 40.2%; external source links 2
https://echobuddha.com/learn/buddhist-dictionary/dukkha/,,indexable,in sitemap,284,12,1,https://echobuddha.com/learn/buddhist-dictionary/anicca/,55.2,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 284 words; 12 content headings; authored route; nearest /learn/buddhist-dictionary/anicca/ combined overlap 55.2%; external source links 1
https://echobuddha.com/learn/buddhist-dictionary/,,indexable,in sitemap,326,2,2,https://echobuddha.com/learn/buddhism-101/,17.3,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 326 words; 2 content headings; authored route; nearest /learn/buddhism-101/ combined overlap 17.3%; external source links 2
https://echobuddha.com/learn/buddhist-dictionary/karma/,,indexable,in sitemap,277,12,1,https://echobuddha.com/learn/buddhist-dictionary/mindfulness/,55.4,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 277 words; 12 content headings; authored route; nearest /learn/buddhist-dictionary/mindfulness/ combined overlap 55.4%; external source links 1
https://echobuddha.com/learn/buddhist-dictionary/karuna/,,indexable,in sitemap,309,12,1,https://echobuddha.com/learn/buddhist-dictionary/compassion/,61.9,SUBSTANTIAL REWRITE,P1,Built 2026-08-11T02:17:46.273Z; 309 words; 12 content headings; authored route; nearest /learn/buddhist-dictionary/compassion/ combined overlap 61.9%; external source links 1
https://echobuddha.com/learn/buddhist-dictionary/metta/,,indexable,in sitemap,315,12,1,https://echobuddha.com/learn/buddhist-dictionary/karuna/,59.7,SUBSTANTIAL REWRITE,P1,Built 2026-08-11T02:17:46.273Z; 315 words; 12 content headings; authored route; nearest /learn/buddhist-dictionary/karuna/ combined overlap 59.7%; external source links 1
https://echobuddha.com/learn/buddhist-dictionary/mindfulness/,,indexable,in sitemap,244,12,1,https://echobuddha.com/learn/buddhist-dictionary/sati/,61.9,SUBSTANTIAL REWRITE,P1,Built 2026-08-11T02:17:46.273Z; 244 words; 12 content headings; authored route; nearest /learn/buddhist-dictionary/sati/ combined overlap 61.9%; external source links 1
https://echobuddha.com/learn/buddhist-dictionary/nirvana/,,indexable,in sitemap,272,12,1,https://echobuddha.com/learn/buddhist-dictionary/mindfulness/,54.5,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 272 words; 12 content headings; authored route; nearest /learn/buddhist-dictionary/mindfulness/ combined overlap 54.5%; external source links 1
https://echobuddha.com/learn/buddhist-dictionary/pali-canon/,,indexable,in sitemap,368,9,4,https://echobuddha.com/learn/buddhist-dictionary/sutta/,61.0,HUMAN REVIEW,OWNER / EXPERT REVIEW,Built 2026-08-11T02:17:46.273Z; 368 words; 9 content headings; authored route; nearest /learn/buddhist-dictionary/sutta/ combined overlap 61.0%; external source links 4
https://echobuddha.com/learn/buddhist-dictionary/sangha/,,indexable,in sitemap,357,12,2,https://echobuddha.com/learn/buddhist-dictionary/karuna/,56.3,SUBSTANTIAL REWRITE,P1,Built 2026-08-11T02:17:46.273Z; 357 words; 12 content headings; authored route; nearest /learn/buddhist-dictionary/karuna/ combined overlap 56.3%; external source links 2
https://echobuddha.com/learn/buddhist-dictionary/sati/,,indexable,in sitemap,257,12,1,https://echobuddha.com/learn/buddhist-dictionary/mindfulness/,61.9,SUBSTANTIAL REWRITE,P1,Built 2026-08-11T02:17:46.273Z; 257 words; 12 content headings; authored route; nearest /learn/buddhist-dictionary/mindfulness/ combined overlap 61.9%; external source links 1
https://echobuddha.com/learn/buddhist-dictionary/sutta/,,indexable,in sitemap,323,9,2,https://echobuddha.com/learn/buddhist-dictionary/pali-canon/,61.0,HUMAN REVIEW,OWNER / EXPERT REVIEW,Built 2026-08-11T02:17:46.273Z; 323 words; 9 content headings; authored route; nearest /learn/buddhist-dictionary/pali-canon/ combined overlap 61.0%; external source links 2
https://echobuddha.com/learn/buddhist-resources/,,indexable,in sitemap,465,9,12,https://echobuddha.com/learn/dhammapada-reflections/,13.4,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 465 words; 9 content headings; authored route; nearest /learn/dhammapada-reflections/ combined overlap 13.4%; external source links 12
https://echobuddha.com/learn/dhammapada-reflections/avoid-evil-do-good-purify-the-mind/,,indexable,in sitemap,334,12,1,https://echobuddha.com/learn/dhammapada-reflections/hatred-is-not-ended-by-hatred/,51.2,HUMAN REVIEW,OWNER / EXPERT REVIEW,Built 2026-08-11T02:17:46.273Z; 334 words; 12 content headings; authored route; nearest /learn/dhammapada-reflections/hatred-is-not-ended-by-hatred/ combined overlap 51.2%; external source links 1
https://echobuddha.com/learn/dhammapada-reflections/better-than-a-thousand-empty-words/,,indexable,in sitemap,290,12,1,https://echobuddha.com/learn/dhammapada-reflections/hatred-is-not-ended-by-hatred/,54.0,HUMAN REVIEW,OWNER / EXPERT REVIEW,Built 2026-08-11T02:17:46.273Z; 290 words; 12 content headings; authored route; nearest /learn/dhammapada-reflections/hatred-is-not-ended-by-hatred/ combined overlap 54.0%; external source links 1
https://echobuddha.com/learn/dhammapada-reflections/hatred-is-not-ended-by-hatred/,,indexable,in sitemap,276,12,1,https://echobuddha.com/learn/dhammapada-reflections/better-than-a-thousand-empty-words/,54.0,HUMAN REVIEW,OWNER / EXPERT REVIEW,Built 2026-08-11T02:17:46.273Z; 276 words; 12 content headings; authored route; nearest /learn/dhammapada-reflections/better-than-a-thousand-empty-words/ combined overlap 54.0%; external source links 1
https://echobuddha.com/learn/dhammapada-reflections/,,indexable,in sitemap,221,3,2,https://echobuddha.com/learn/sutta-for-daily-life/,32.3,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 221 words; 3 content headings; authored route; nearest /learn/sutta-for-daily-life/ combined overlap 32.3%; external source links 2
https://echobuddha.com/learn/dhammapada-reflections/peace-comes-from-a-trained-mind/,,indexable,in sitemap,276,12,1,https://echobuddha.com/learn/dhammapada-reflections/the-mind-leads-all-things/,51.4,HUMAN REVIEW,OWNER / EXPERT REVIEW,Built 2026-08-11T02:17:46.273Z; 276 words; 12 content headings; authored route; nearest /learn/dhammapada-reflections/the-mind-leads-all-things/ combined overlap 51.4%; external source links 1
https://echobuddha.com/learn/dhammapada-reflections/the-mind-leads-all-things/,,indexable,in sitemap,288,12,1,https://echobuddha.com/learn/dhammapada-reflections/peace-comes-from-a-trained-mind/,51.4,HUMAN REVIEW,OWNER / EXPERT REVIEW,Built 2026-08-11T02:17:46.273Z; 288 words; 12 content headings; authored route; nearest /learn/dhammapada-reflections/peace-comes-from-a-trained-mind/ combined overlap 51.4%; external source links 1
https://echobuddha.com/learn/eightfold-path/,,indexable,in sitemap,342,9,2,https://echobuddha.com/learn/four-noble-truths/,26.3,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 342 words; 9 content headings; authored route; nearest /learn/four-noble-truths/ combined overlap 26.3%; external source links 2
https://echobuddha.com/learn/four-noble-truths/,,indexable,in sitemap,259,8,2,https://echobuddha.com/learn/eightfold-path/,26.3,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 259 words; 8 content headings; authored route; nearest /learn/eightfold-path/ combined overlap 26.3%; external source links 2
https://echobuddha.com/learn/questions-about-buddhism/,,indexable,in sitemap,804,1,0,https://echobuddha.com/learn/buddhism-for-beginners/,14.1,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 804 words; 1 content headings; authored route; nearest /learn/buddhism-for-beginners/ combined overlap 14.1%; external source links 0
https://echobuddha.com/learn/sutta-for-daily-life/buddhas-teaching-on-patience/,,indexable,in sitemap,259,12,1,https://echobuddha.com/learn/sutta-for-daily-life/right-speech-in-daily-life/,52.3,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 259 words; 12 content headings; authored route; nearest /learn/sutta-for-daily-life/right-speech-in-daily-life/ combined overlap 52.3%; external source links 1
https://echobuddha.com/learn/sutta-for-daily-life/dhammacakkappavattana-sutta-four-noble-truths/,,indexable,in sitemap,379,9,2,https://echobuddha.com/learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/,54.7,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 379 words; 9 content headings; authored route; nearest /learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/ combined overlap 54.7%; external source links 2
https://echobuddha.com/learn/sutta-for-daily-life/,,indexable,in sitemap,283,3,2,https://echobuddha.com/learn/dhammapada-reflections/,32.3,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 283 words; 3 content headings; authored route; nearest /learn/dhammapada-reflections/ combined overlap 32.3%; external source links 2
https://echobuddha.com/learn/sutta-for-daily-life/kalama-sutta-and-wise-thinking/,,indexable,in sitemap,289,12,1,https://echobuddha.com/learn/sutta-for-daily-life/buddhas-teaching-on-patience/,51.8,HUMAN REVIEW,OWNER / EXPERT REVIEW,Built 2026-08-11T02:17:46.273Z; 289 words; 12 content headings; authored route; nearest /learn/sutta-for-daily-life/buddhas-teaching-on-patience/ combined overlap 51.8%; external source links 1
https://echobuddha.com/learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/,,indexable,in sitemap,375,9,2,https://echobuddha.com/learn/sutta-for-daily-life/dhammacakkappavattana-sutta-four-noble-truths/,54.7,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 375 words; 9 content headings; authored route; nearest /learn/sutta-for-daily-life/dhammacakkappavattana-sutta-four-noble-truths/ combined overlap 54.7%; external source links 2
https://echobuddha.com/learn/sutta-for-daily-life/metta-sutta-explained-for-daily-life/,,indexable,in sitemap,296,12,1,https://echobuddha.com/learn/sutta-for-daily-life/buddhas-teaching-on-patience/,50.4,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 296 words; 12 content headings; authored route; nearest /learn/sutta-for-daily-life/buddhas-teaching-on-patience/ combined overlap 50.4%; external source links 1
https://echobuddha.com/learn/sutta-for-daily-life/mindfulness-of-breathing-explained-simply/,,indexable,in sitemap,258,12,1,https://echobuddha.com/learn/sutta-for-daily-life/buddhas-teaching-on-patience/,50.7,HUMAN REVIEW,OWNER / EXPERT REVIEW,Built 2026-08-11T02:17:46.273Z; 258 words; 12 content headings; authored route; nearest /learn/sutta-for-daily-life/buddhas-teaching-on-patience/ combined overlap 50.7%; external source links 1
https://echobuddha.com/learn/sutta-for-daily-life/right-speech-in-daily-life/,,indexable,in sitemap,313,12,1,https://echobuddha.com/learn/sutta-for-daily-life/buddhas-teaching-on-patience/,52.3,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 313 words; 12 content headings; authored route; nearest /learn/sutta-for-daily-life/buddhas-teaching-on-patience/ combined overlap 52.3%; external source links 1
