route,family,subtype,phase_1_scope,action,source_tier,source_review_before,source_review_after,external_source_links_before,external_source_links_after,search_before,search_after,sitemap_after,canonical_preserved,internal_hrefs_preserved,heading_ids_preserved,dates_preserved
/learn/buddhism-101/five-precepts-buddhism/,Learning content,learning-page,included,Added visible external source references,TIER 1 - strong doctrinal sourcing required,High priority source review before major SEO expansion.,Maintain source-aware editorial distinction.,0,1,yes,yes,yes,yes,yes,yes,yes
/learn/buddhism-101/how-to-practice-buddhism-at-home/,Learning content,learning-page,included,Added visible external source references,TIER 3 - source-aware editorial review,Maintain source-aware editorial distinction.,Maintain source-aware editorial distinction.,0,1,yes,yes,yes,yes,yes,yes,yes
/learn/buddhism-101/right-livelihood-buddhism/,Learning content,learning-page,included,Added visible external source references,TIER 1 - strong doctrinal sourcing required,High priority source review before major SEO expansion.,Maintain source-aware editorial distinction.,0,2,yes,yes,yes,yes,yes,yes,yes
/learn/buddhism-101/the-four-noble-truths-explained/,Learning content,learning-page,included,Added visible external source references,TIER 1 - strong doctrinal sourcing required,High priority source review before major SEO expansion.,Maintain source-aware editorial distinction.,0,1,yes,yes,yes,yes,yes,yes,yes
/learn/buddhism-101/the-noble-eightfold-path-explained/,Learning content,learning-page,included,Added visible external source references,TIER 1 - strong doctrinal sourcing required,High priority source review before major SEO expansion.,Maintain source-aware editorial distinction.,0,1,yes,yes,yes,yes,yes,yes,yes
/learn/buddhism-101/the-three-jewels-explained/,Learning content,learning-page,included,Added visible external source references,TIER 3 - source-aware editorial review,Maintain source-aware editorial distinction.,Maintain source-aware editorial distinction.,0,1,yes,yes,yes,yes,yes,yes,yes
/learn/buddhism-101/three-marks-of-existence/,Learning content,learning-page,included,Added visible external source references,TIER 3 - source-aware editorial review,Maintain source-aware editorial distinction.,Maintain source-aware editorial distinction.,0,2,yes,yes,yes,yes,yes,yes,yes
/learn/buddhism-101/what-is-buddhism/,Learning content,learning-page,included,Added visible external source references,TIER 3 - source-aware editorial review,Maintain source-aware editorial distinction.,Maintain source-aware editorial distinction.,0,2,yes,yes,yes,yes,yes,yes,yes
/learn/buddhism-101/what-is-impermanence/,Learning content,learning-page,included,Added visible external source references,TIER 3 - source-aware editorial review,Maintain source-aware editorial distinction.,Maintain source-aware editorial distinction.,0,1,yes,yes,yes,yes,yes,yes,yes
/learn/buddhism-101/what-is-karma-in-buddhism/,Learning content,learning-page,included,Added visible external source references,TIER 1 - strong doctrinal sourcing required,High priority source review before major SEO expansion.,Maintain source-aware editorial distinction.,0,1,yes,yes,yes,yes,yes,yes,yes
/learn/buddhism-101/what-is-mindfulness/,Learning content,learning-page,included,Added visible external source references,TIER 2 - practice-method sourcing required,High priority source review before major SEO expansion.,Maintain source-aware editorial distinction.,0,1,yes,yes,yes,yes,yes,yes,yes
/learn/buddhism-101/who-was-the-buddha/,Learning content,learning-page,included,Added visible external source references,TIER 3 - source-aware editorial review,Maintain source-aware editorial distinction.,Maintain source-aware editorial distinction.,0,1,yes,yes,yes,yes,yes,yes,yes
/learn/buddhism-for-beginners/,Learning content,learning-section,included,Validated / preserved,TIER 3 - source-aware editorial review,Maintain source-aware editorial distinction.,Maintain source-aware editorial distinction.,0,0,yes,yes,yes,yes,yes,yes,yes
/learn/buddhist-dictionary/,Buddhist dictionary,dictionary-index,included,Added visible external source references,TIER 1 - strong doctrinal sourcing required,High priority source review before major SEO expansion.,Maintain source-aware editorial distinction.,0,2,no,yes,yes,yes,yes,yes,yes
/learn/buddhist-dictionary/anatta/,Buddhist dictionary,term-page,included,Added visible external source references,TIER 1 - strong doctrinal sourcing required,High priority source review before major SEO expansion.,Maintain source-aware editorial distinction.,0,1,yes,yes,yes,yes,yes,yes,yes
/learn/buddhist-dictionary/anicca/,Buddhist dictionary,term-page,included,Added visible external source references,TIER 1 - strong doctrinal sourcing required,High priority source review before major SEO expansion.,Maintain source-aware editorial distinction.,0,1,yes,yes,yes,yes,yes,yes,yes
/learn/buddhist-dictionary/compassion/,Buddhist dictionary,term-page,included,Added visible external source references,TIER 1 - strong doctrinal sourcing required,High priority source review before major SEO expansion.,Maintain source-aware editorial distinction.,0,1,yes,yes,yes,yes,yes,yes,yes
/learn/buddhist-dictionary/dhamma/,Buddhist dictionary,term-page,included,Added visible external source references,TIER 1 - strong doctrinal sourcing required,High priority source review before major SEO expansion.,Maintain source-aware editorial distinction.,0,1,yes,yes,yes,yes,yes,yes,yes
/learn/buddhist-dictionary/dukkha/,Buddhist dictionary,term-page,included,Added visible external source references,TIER 1 - strong doctrinal sourcing required,High priority source review before major SEO expansion.,Maintain source-aware editorial distinction.,0,1,yes,yes,yes,yes,yes,yes,yes
/learn/buddhist-dictionary/karma/,Buddhist dictionary,term-page,included,Added visible external source references,TIER 1 - strong doctrinal sourcing required,High priority source review before major SEO expansion.,Maintain source-aware editorial distinction.,0,1,yes,yes,yes,yes,yes,yes,yes
/learn/buddhist-dictionary/karuna/,Buddhist dictionary,term-page,included,Added visible external source references,TIER 1 - strong doctrinal sourcing required,High priority source review before major SEO expansion.,Maintain source-aware editorial distinction.,0,1,yes,yes,yes,yes,yes,yes,yes
/learn/buddhist-dictionary/metta/,Buddhist dictionary,term-page,included,Added visible external source references,TIER 1 - strong doctrinal sourcing required,High priority source review before major SEO expansion.,Maintain source-aware editorial distinction.,0,1,yes,yes,yes,yes,yes,yes,yes
/learn/buddhist-dictionary/mindfulness/,Buddhist dictionary,term-page,included,Added visible external source references,TIER 1 - strong doctrinal sourcing required,High priority source review before major SEO expansion.,Maintain source-aware editorial distinction.,0,1,yes,yes,yes,yes,yes,yes,yes
/learn/buddhist-dictionary/nirvana/,Buddhist dictionary,term-page,included,Added visible external source references,TIER 1 - strong doctrinal sourcing required,High priority source review before major SEO expansion.,Maintain source-aware editorial distinction.,0,1,yes,yes,yes,yes,yes,yes,yes
/learn/buddhist-dictionary/sangha/,Buddhist dictionary,term-page,included,Added visible external source references,TIER 1 - strong doctrinal sourcing required,High priority source review before major SEO expansion.,Maintain source-aware editorial distinction.,0,1,yes,yes,yes,yes,yes,yes,yes
/learn/buddhist-dictionary/sati/,Buddhist dictionary,term-page,included,Added visible external source references,TIER 1 - strong doctrinal sourcing required,High priority source review before major SEO expansion.,Maintain source-aware editorial distinction.,0,1,yes,yes,yes,yes,yes,yes,yes
/learn/buddhist-resources/,Learning content,learning-section,included,Validated / preserved,TIER 3 - source-aware editorial review,Maintain source-aware editorial distinction.,Maintain source-aware editorial distinction.,12,12,yes,yes,yes,yes,yes,yes,yes
/learn/dhammapada-reflections/,Sutta and Dhammapada content,dhammapada-index,included,Added visible external source references,TIER 1 - strong doctrinal sourcing required,High priority source review before major SEO expansion.,Maintain source-aware editorial distinction.,0,2,no,yes,yes,yes,yes,yes,yes
/learn/dhammapada-reflections/avoid-evil-do-good-purify-the-mind/,Sutta and Dhammapada content,dhammapada-page,included,Added visible external source references,TIER 1 - strong doctrinal sourcing required,High priority source review before major SEO expansion.,Maintain source-aware editorial distinction.,0,1,yes,yes,yes,yes,yes,yes,yes
/learn/dhammapada-reflections/better-than-a-thousand-empty-words/,Sutta and Dhammapada content,dhammapada-page,included,Added visible external source references,TIER 1 - strong doctrinal sourcing required,High priority source review before major SEO expansion.,Maintain source-aware editorial distinction.,0,1,yes,yes,yes,yes,yes,yes,yes
/learn/dhammapada-reflections/hatred-is-not-ended-by-hatred/,Sutta and Dhammapada content,dhammapada-page,included,Added visible external source references,TIER 1 - strong doctrinal sourcing required,High priority source review before major SEO expansion.,Maintain source-aware editorial distinction.,0,1,yes,yes,yes,yes,yes,yes,yes
/learn/dhammapada-reflections/peace-comes-from-a-trained-mind/,Sutta and Dhammapada content,dhammapada-page,included,Added visible external source references,TIER 1 - strong doctrinal sourcing required,High priority source review before major SEO expansion.,Maintain source-aware editorial distinction.,0,1,yes,yes,yes,yes,yes,yes,yes
/learn/dhammapada-reflections/the-mind-leads-all-things/,Sutta and Dhammapada content,dhammapada-page,included,Added visible external source references,TIER 1 - strong doctrinal sourcing required,High priority source review before major SEO expansion.,Maintain source-aware editorial distinction.,0,1,yes,yes,yes,yes,yes,yes,yes
/learn/eightfold-path/,Learning content,learning-section,included,Added visible external source references,TIER 1 - strong doctrinal sourcing required,High priority source review before major SEO expansion.,Maintain source-aware editorial distinction.,0,2,yes,yes,yes,yes,yes,yes,yes
/learn/four-noble-truths/,Learning content,learning-section,included,Added visible external source references,TIER 1 - strong doctrinal sourcing required,High priority source review before major SEO expansion.,Maintain source-aware editorial distinction.,0,2,yes,yes,yes,yes,yes,yes,yes
/learn/questions-about-buddhism/,Learning content,learning-section,included,Validated / preserved,TIER 3 - source-aware editorial review,Maintain source-aware editorial distinction.,Maintain source-aware editorial distinction.,0,0,yes,yes,yes,yes,yes,yes,yes
/learn/sutta-for-daily-life/,Sutta and Dhammapada content,sutta-index,included,Added visible external source references,TIER 1 - strong doctrinal sourcing required,High priority source review before major SEO expansion.,Maintain source-aware editorial distinction.,0,2,no,yes,yes,yes,yes,yes,yes
/learn/sutta-for-daily-life/buddhas-teaching-on-patience/,Sutta and Dhammapada content,sutta-page,included,Added visible external source references,TIER 1 - strong doctrinal sourcing required,High priority source review before major SEO expansion.,Maintain source-aware editorial distinction.,0,1,yes,yes,yes,yes,yes,yes,yes
/learn/sutta-for-daily-life/kalama-sutta-and-wise-thinking/,Sutta and Dhammapada content,sutta-page,included,Added visible external source references,TIER 1 - strong doctrinal sourcing required,High priority source review before major SEO expansion.,Maintain source-aware editorial distinction.,0,1,yes,yes,yes,yes,yes,yes,yes
/learn/sutta-for-daily-life/metta-sutta-explained-for-daily-life/,Sutta and Dhammapada content,sutta-page,included,Added visible external source references,TIER 1 - strong doctrinal sourcing required,High priority source review before major SEO expansion.,Maintain source-aware editorial distinction.,0,1,yes,yes,yes,yes,yes,yes,yes
/learn/sutta-for-daily-life/mindfulness-of-breathing-explained-simply/,Sutta and Dhammapada content,sutta-page,included,Added visible external source references,TIER 1 - strong doctrinal sourcing required,High priority source review before major SEO expansion.,Maintain source-aware editorial distinction.,0,1,yes,yes,yes,yes,yes,yes,yes
/learn/sutta-for-daily-life/right-speech-in-daily-life/,Sutta and Dhammapada content,sutta-page,included,Added visible external source references,TIER 1 - strong doctrinal sourcing required,High priority source review before major SEO expansion.,Maintain source-aware editorial distinction.,0,1,yes,yes,yes,yes,yes,yes,yes
/meditation-guide/,Meditation content,standalone-guide,included,Added visible external source references,TIER 2 - practice-method sourcing required,High priority source review before major SEO expansion.,Maintain source-aware editorial distinction.,0,3,no,yes,yes,yes,yes,yes,yes
/meditation/,Meditation content,meditation-hub,included,Added visible external source references,TIER 2 - practice-method sourcing required,High priority source review before major SEO expansion.,Maintain source-aware editorial distinction.,0,2,no,yes,yes,yes,yes,yes,yes
/meditation/5-minute-meditation-practice/,Meditation content,method-page,included,Added visible external source references,TIER 2 - practice-method sourcing required,High priority source review before major SEO expansion.,Maintain source-aware editorial distinction.,0,1,yes,yes,yes,yes,yes,yes,yes
/meditation/breathing-meditation/,Meditation content,method-page,included,Added visible external source references,TIER 2 - practice-method sourcing required,High priority source review before major SEO expansion.,Maintain source-aware editorial distinction.,0,1,yes,yes,yes,yes,yes,yes,yes
/meditation/loving-kindness-meditation/,Meditation content,method-page,included,Added visible external source references,TIER 2 - practice-method sourcing required,High priority source review before major SEO expansion.,Maintain source-aware editorial distinction.,0,1,yes,yes,yes,yes,yes,yes,yes
/meditation/meditation-for-beginners/,Meditation content,method-page,included,Added visible external source references,TIER 2 - practice-method sourcing required,High priority source review before major SEO expansion.,Maintain source-aware editorial distinction.,0,1,yes,yes,yes,yes,yes,yes,yes
/meditation/mindfulness-in-daily-life/,Meditation content,method-page,included,Added visible external source references,TIER 2 - practice-method sourcing required,High priority source review before major SEO expansion.,Maintain source-aware editorial distinction.,0,1,yes,yes,yes,yes,yes,yes,yes
/meditation/walking-meditation/,Meditation content,method-page,included,Added visible external source references,TIER 2 - practice-method sourcing required,High priority source review before major SEO expansion.,Maintain source-aware editorial distinction.,0,1,yes,yes,yes,yes,yes,yes,yes
/mindful-living/,Homepage and high-level entry,mindful-living-hub,included,Validated / preserved,TIER 3 - source-aware editorial review,Maintain source-aware editorial distinction.,Maintain source-aware editorial distinction.,0,0,yes,yes,yes,yes,yes,yes,yes
/privacy-policy/,Trust and institutional content,privacy-policy,included,Validated / preserved,TIER 3 - source-aware editorial review,Maintain source-aware editorial distinction.,Maintain source-aware editorial distinction.,1,1,no,no,yes,yes,yes,yes,yes
/search/,Supporting and technical public pages,search,included,Validated / preserved,TIER 3 - source-aware editorial review,Maintain source-aware editorial distinction.,Maintain source-aware editorial distinction.,0,0,no,no,no,yes,yes,yes,yes
/start-here/,Homepage and high-level entry,start-here,included,Validated / preserved,TIER 3 - source-aware editorial review,Maintain source-aware editorial distinction.,Maintain source-aware editorial distinction.,0,0,yes,yes,yes,yes,yes,yes,yes
/terms-of-use/,Trust and institutional content,terms-of-use,included,Validated / preserved,TIER 3 - source-aware editorial review,Maintain source-aware editorial distinction.,Maintain source-aware editorial distinction.,0,0,no,no,yes,yes,yes,yes,yes
/tools/,Practice tools and interactive content,tools-hub,included,Validated / preserved,TIER 3 - source-aware editorial review,Maintain source-aware editorial distinction.,Maintain source-aware editorial distinction.,0,0,yes,yes,yes,yes,yes,yes,yes
