cluster_id,url_a,url_b,page_family_a,page_family_b,topic_cluster,title_token_overlap,heading_overlap,primary_intent_a,primary_intent_b,review_flag
TI-0072,https://echobuddha.com/meditation/5-minute-meditation-practice/,https://echobuddha.com/meditation/breathing-meditation/,MEDITATION_GUIDE,MEDITATION_GUIDE,Meditation,0.5,0.5556,practical guide,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0073,https://echobuddha.com/meditation/5-minute-meditation-practice/,https://echobuddha.com/meditation/loving-kindness-meditation/,MEDITATION_GUIDE,MEDITATION_GUIDE,Meditation ↔ Compassion,0.5,0.5556,practical guide,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0074,https://echobuddha.com/meditation/5-minute-meditation-practice/,https://echobuddha.com/meditation/walking-meditation/,MEDITATION_GUIDE,MEDITATION_GUIDE,Meditation,0.5,0.5556,practical guide,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0075,https://echobuddha.com/meditation/breathing-meditation/,https://echobuddha.com/meditation/meditation-for-beginners/,MEDITATION_GUIDE,MEDITATION_GUIDE,Meditation,0.5,0.5263,practical guide,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0076,https://echobuddha.com/meditation/loving-kindness-meditation/,https://echobuddha.com/meditation/meditation-for-beginners/,MEDITATION_GUIDE,MEDITATION_GUIDE,Compassion ↔ Meditation,0.5,0.5263,practical guide,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0077,https://echobuddha.com/meditation/meditation-for-beginners/,https://echobuddha.com/meditation/walking-meditation/,MEDITATION_GUIDE,MEDITATION_GUIDE,Meditation,0.5,0.5263,practical guide,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0078,https://echobuddha.com/learn/buddhist-dictionary/nirvana/,https://echobuddha.com/learn/buddhist-dictionary/sutta/,DICTIONARY_ENTRY,DICTIONARY_ENTRY,Buddhist Concepts ↔ Sutta Study,0.5,0.5,glossary lookup,glossary lookup,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0079,https://echobuddha.com/learn/buddhist-dictionary/karuna/,https://echobuddha.com/learn/buddhist-dictionary/metta/,DICTIONARY_ENTRY,DICTIONARY_ENTRY,Compassion,0.5,0.4444,glossary lookup,glossary lookup,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0080,https://echobuddha.com/learn/buddhism-101/the-three-jewels-explained/,https://echobuddha.com/learn/buddhism-101/three-marks-of-existence/,BUDDHISM_101,BUDDHISM_101,Buddhist Concepts ↔ Page-specific / unclustered,0.5,0.4286,practical guide,beginner explanation,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0081,https://echobuddha.com/articles/compassion-as-a-daily-discipline/,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,ARTICLE,ARTICLE,Compassion,0.5,0.3947,practical guide,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0082,https://echobuddha.com/meditation/10-minute-meditation-practice/,https://echobuddha.com/meditation/breathing-meditation/,MEDITATION_GUIDE,MEDITATION_GUIDE,Meditation,0.5,0.3889,practical guide,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0083,https://echobuddha.com/meditation/10-minute-meditation-practice/,https://echobuddha.com/meditation/loving-kindness-meditation/,MEDITATION_GUIDE,MEDITATION_GUIDE,Meditation ↔ Compassion,0.5,0.3889,practical guide,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0084,https://echobuddha.com/meditation/10-minute-meditation-practice/,https://echobuddha.com/meditation/walking-meditation/,MEDITATION_GUIDE,MEDITATION_GUIDE,Meditation,0.5,0.3889,practical guide,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0085,https://echobuddha.com/articles/loving-kindness-meditation-guide/,https://echobuddha.com/articles/metta-meditation-script/,ARTICLE,ARTICLE,Compassion,0.5,0.381,script,script,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0086,https://echobuddha.com/quotes/mindfulness/peace-begins-with-attention/,https://echobuddha.com/quotes/wisdom/contentment-with-what-is-here/,QUOTE_STORY,QUOTE_STORY,Mindfulness ↔ Page-specific / unclustered,0.5,0.36,quote/reflection,quote/reflection,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0087,https://echobuddha.com/articles/eightfold-path-explained/,https://echobuddha.com/articles/four-noble-truths-explained-simply/,ARTICLE,ARTICLE,Noble Eightfold Path ↔ Four Noble Truths,0.5,0.3095,practical guide,beginner explanation,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0088,https://echobuddha.com/articles/compassion-as-a-daily-discipline/,https://echobuddha.com/articles/what-is-karma-in-buddhism/,ARTICLE,ARTICLE,Compassion ↔ Karma,0.5,0.3023,practical guide,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0089,https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,ARTICLE,ARTICLE,Attachment and Letting Go ↔ Impermanence,0.5,0.2791,educational explanation,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0090,https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,https://echobuddha.com/articles/first-week-buddhist-practice/,ARTICLE,ARTICLE,Mindfulness ↔ Beginner Buddhism,0.5,0.2703,practical guide,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0091,https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,https://echobuddha.com/learn/buddhism-101/dependent-origination-explained/,ARTICLE,BUDDHISM_101,Beginner Buddhism ↔ Buddhist Concepts,0.5,0.122,practical guide,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0092,https://echobuddha.com/learn/buddhism-101/middle-way-explained-for-beginners/,https://echobuddha.com/learn/buddhist-dictionary/anatta/,BUDDHISM_101,DICTIONARY_ENTRY,Buddhist Concepts,0.5,0.1053,practical guide,glossary lookup,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0093,https://echobuddha.com/learn/buddhism-101/a-simple-daily-buddhist-practice/,https://echobuddha.com/learn/buddhist-dictionary/mindfulness/,BUDDHISM_101,DICTIONARY_ENTRY,Page-specific / unclustered ↔ Mindfulness,0.5,0.0909,practical guide,glossary lookup,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0094,https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,https://echobuddha.com/learn/buddhism-101/how-to-practice-buddhism-at-home/,ARTICLE,BUDDHISM_101,Attachment and Letting Go ↔ Beginner Buddhism,0.5,0.0833,practical guide,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
