query,url,clicks,impressions,ctr,position,time_window,topic_cluster,evidence_label,overlap_status
what is the dhamma,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,6,0,54.5,Last 3 months through 2026-08-18,Dhamma / Dharma,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
brahma viharas,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,6,0,69.5,Last 3 months through 2026-08-18,Unclustered query,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
sangha meaning,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,6,0,74,Last 3 months through 2026-08-18,Sangha,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
"""what we think, we become"" buddha attribution source",NOT_AVAILABLE: GSC export has separate query and page dimensions,0,5,0,7.4,Last 3 months through 2026-08-18,Unclustered query,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
sutta meaning,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,5,0,13.8,Last 3 months through 2026-08-18,Sutta Study,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
patience quotes buddha,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,5,0,21.6,Last 3 months through 2026-08-18,Patience,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
compassion quotes buddha,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,5,0,44.8,Last 3 months through 2026-08-18,Compassion,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
how to practice buddhism for beginners,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,5,0,48.8,Last 3 months through 2026-08-18,Beginner Buddhism,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
buddha quotes compassion,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,5,0,56.8,Last 3 months through 2026-08-18,Compassion,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
compassion buddhism,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,5,0,60,Last 3 months through 2026-08-18,Compassion,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
define dhamma,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,5,0,64.4,Last 3 months through 2026-08-18,Dhamma / Dharma,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
meaning of dhamma in buddhism,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,5,0,71.2,Last 3 months through 2026-08-18,Dhamma / Dharma,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
what is dhamma,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,5,0,71.4,Last 3 months through 2026-08-18,Dhamma / Dharma,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
what is the sangha,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,5,0,78.6,Last 3 months through 2026-08-18,Sangha,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
what is sangha in buddhism,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,5,0,86.6,Last 3 months through 2026-08-18,Sangha,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
five precepts,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,5,0,88.4,Last 3 months through 2026-08-18,Buddhist Ethics,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
what do buddhists believe about karma,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,5,0,88.8,Last 3 months through 2026-08-18,Karma,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
right speech sutta,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,4,0,10.75,Last 3 months through 2026-08-18,Right Speech,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
buddhist quotes about letting go,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,4,0,12.5,Last 3 months through 2026-08-18,Attachment and Letting Go,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
buddha on patience quotes,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,4,0,18,Last 3 months through 2026-08-18,Patience,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
buddha on patience,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,4,0,33.5,Last 3 months through 2026-08-18,Patience,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
quotes from buddha about letting go,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,4,0,33.75,Last 3 months through 2026-08-18,Attachment and Letting Go,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
buddha quotes letting go,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,4,0,34.25,Last 3 months through 2026-08-18,Attachment and Letting Go,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
buddhism quotes on letting go,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,4,0,39.5,Last 3 months through 2026-08-18,Attachment and Letting Go,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
beginner buddhism,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,4,0,40.5,Last 3 months through 2026-08-18,Unclustered query,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
buddha quote about letting go,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,4,0,40.5,Last 3 months through 2026-08-18,Attachment and Letting Go,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
patience buddha,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,4,0,41,Last 3 months through 2026-08-18,Patience,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
buddhist patience,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,4,0,47.5,Last 3 months through 2026-08-18,Patience,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
buddhist articles,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,4,0,54,Last 3 months through 2026-08-18,Unclustered query,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
pali canon,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,4,0,54.75,Last 3 months through 2026-08-18,Sutta Study,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
buddhism patience,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,4,0,58,Last 3 months through 2026-08-18,Patience,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
patience in buddhism,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,4,0,62.5,Last 3 months through 2026-08-18,Patience,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
what is right speech,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,4,0,64.75,Last 3 months through 2026-08-18,Right Speech,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
sangha definition,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,4,0,81.5,Last 3 months through 2026-08-18,Sangha,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
what is sangha,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,4,0,88.5,Last 3 months through 2026-08-18,Sangha,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
"dhammapada ""what we think we become"" translation",NOT_AVAILABLE: GSC export has separate query and page dimensions,0,3,0,7.67,Last 3 months through 2026-08-18,Dhamma / Dharma,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
dharma and dhamma difference,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,3,0,7.67,Last 3 months through 2026-08-18,Dhamma / Dharma,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
buddhist saying about letting go,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,3,0,10,Last 3 months through 2026-08-18,Attachment and Letting Go,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
dharma and dhamma,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,3,0,15,Last 3 months through 2026-08-18,Dhamma / Dharma,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
what is the meaning of dhamma,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,3,0,19,Last 3 months through 2026-08-18,Dhamma / Dharma,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
buddha quotes about letting go,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,3,0,21.67,Last 3 months through 2026-08-18,Attachment and Letting Go,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
buddhist quotes on patience,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,3,0,25.67,Last 3 months through 2026-08-18,Patience,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
patience has limits buddha,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,3,0,26,Last 3 months through 2026-08-18,Patience,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
buddha letting go quotes,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,3,0,29.67,Last 3 months through 2026-08-18,Attachment and Letting Go,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
mindfulness quotes buddha,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,3,0,38.33,Last 3 months through 2026-08-18,Mindfulness,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
patience buddha quotes,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,3,0,38.33,Last 3 months through 2026-08-18,Patience,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
the dhamma,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,3,0,39,Last 3 months through 2026-08-18,Dhamma / Dharma,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
letting go quotes buddha,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,3,0,46.33,Last 3 months through 2026-08-18,Attachment and Letting Go,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
beginners guide to buddhism,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,3,0,47.67,Last 3 months through 2026-08-18,Unclustered query,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
pali canon buddhism,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,3,0,49.33,Last 3 months through 2026-08-18,Sutta Study,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
buddhism right speech,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,3,0,51,Last 3 months through 2026-08-18,Right Speech,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
buddhist compassion,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,3,0,52,Last 3 months through 2026-08-18,Compassion,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
buddhist right speech,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,3,0,52.33,Last 3 months through 2026-08-18,Right Speech,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
buddha compassion quotes,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,3,0,54.67,Last 3 months through 2026-08-18,Compassion,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
compassion buddha quotes,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,3,0,55.33,Last 3 months through 2026-08-18,Compassion,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
patience buddhism,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,3,0,55.33,Last 3 months through 2026-08-18,Patience,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
dhamma meaning buddhism,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,3,0,57.33,Last 3 months through 2026-08-18,Dhamma / Dharma,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
dhamma teachings,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,3,0,58,Last 3 months through 2026-08-18,Dhamma / Dharma,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
dhamma means,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,3,0,65.33,Last 3 months through 2026-08-18,Dhamma / Dharma,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
buddhism metta,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,3,0,66,Last 3 months through 2026-08-18,Loving-kindness / Metta,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
buddha right speech,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,3,0,67,Last 3 months through 2026-08-18,Right Speech,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
meaning of dhamma,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,3,0,68.67,Last 3 months through 2026-08-18,Dhamma / Dharma,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
five aggregates,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,3,0,69.67,Last 3 months through 2026-08-18,Buddhist Concepts,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
dhamma definition,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,3,0,70,Last 3 months through 2026-08-18,Dhamma / Dharma,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
buddhist dictionary,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,3,0,75,Last 3 months through 2026-08-18,Unclustered query,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
buddhism the three poisons,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,3,0,75.33,Last 3 months through 2026-08-18,Buddhist Concepts,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
buddhist 5 precepts,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,3,0,77.67,Last 3 months through 2026-08-18,Buddhist Ethics,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
three poisons,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,3,0,81.67,Last 3 months through 2026-08-18,Buddhist Concepts,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
the five precepts,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,3,0,84.33,Last 3 months through 2026-08-18,Buddhist Ethics,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
3 poisons,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,3,0,84.67,Last 3 months through 2026-08-18,Unclustered query,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
what is sangha buddhism,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,3,0,91,Last 3 months through 2026-08-18,Sangha,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
"""what we think, we become"" buddha attribution",NOT_AVAILABLE: GSC export has separate query and page dimensions,0,2,0,9.5,Last 3 months through 2026-08-18,Unclustered query,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
"dhammapada verse 1 ""what we think we become"" translation",NOT_AVAILABLE: GSC export has separate query and page dimensions,0,2,0,10,Last 3 months through 2026-08-18,Dhamma / Dharma,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
sutta meaning in english,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,2,0,10,Last 3 months through 2026-08-18,Sutta Study,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
buddhist quotes about patience,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,2,0,14,Last 3 months through 2026-08-18,Patience,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
quotes on patience by buddha,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,2,0,14,Last 3 months through 2026-08-18,Patience,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
dhammapada verse 1,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,2,0,14.5,Last 3 months through 2026-08-18,Dhamma / Dharma,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
dhammam meaning,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,2,0,26.5,Last 3 months through 2026-08-18,Dhamma / Dharma,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
letting go buddha quotes,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,2,0,32,Last 3 months through 2026-08-18,Attachment and Letting Go,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
buddhist sangha,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,2,0,35,Last 3 months through 2026-08-18,Sangha,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
compassion buddhist,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,2,0,39.5,Last 3 months through 2026-08-18,Compassion,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
buddhism magga,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,2,0,40.5,Last 3 months through 2026-08-18,Unclustered query,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
buddhist teachings for beginners,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,2,0,41.5,Last 3 months through 2026-08-18,Unclustered query,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
buddism for beginners,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,2,0,41.5,Last 3 months through 2026-08-18,Unclustered query,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
buddha on awareness,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,2,0,42,Last 3 months through 2026-08-18,Mindfulness,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
buddhism for beginner,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,2,0,42,Last 3 months through 2026-08-18,Unclustered query,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
buddhism beginners guide,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,2,0,43.5,Last 3 months through 2026-08-18,Unclustered query,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
dhamma meaning in english,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,2,0,44,Last 3 months through 2026-08-18,Dhamma / Dharma,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
what is mindfulness in buddhism,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,2,0,44,Last 3 months through 2026-08-18,Mindfulness,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
quotes on meditation by buddha,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,2,0,46,Last 3 months through 2026-08-18,Meditation,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
what is a dhamma,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,2,0,48,Last 3 months through 2026-08-18,Dhamma / Dharma,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
buddhist quotes on compassion,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,2,0,49.5,Last 3 months through 2026-08-18,Compassion,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
what is the middle way in buddhism,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,2,0,51,Last 3 months through 2026-08-18,Buddhist Concepts,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
becoming the compassion buddha,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,2,0,52.5,Last 3 months through 2026-08-18,Compassion,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
buddhism dhamma,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,2,0,54.5,Last 3 months through 2026-08-18,Dhamma / Dharma,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
middle way buddhism,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,2,0,54.5,Last 3 months through 2026-08-18,Buddhist Concepts,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
