URL,before repeated-prose ratio,after repeated-prose ratio,before template tier,after template tier,structural change,Search protection,validation
https://echobuddha.com/articles/eightfold-path-explained-daily-life/,0.0844,0.0454,T2_MODERATE_TEMPLATE_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/articles/eightfold-path-explained/,0.0991,0.0623,T2_MODERATE_TEMPLATE_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/articles/equanimity-in-buddhism/,0.0570,0.0082,T2_MODERATE_TEMPLATE_RISK,T0_DISTINCT,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/articles/first-week-buddhist-practice/,0.1058,0.0220,T2_MODERATE_TEMPLATE_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/articles/five-precepts-in-daily-life/,0.0339,0.0066,T1_LOW_TEMPLATE_RISK,T0_DISTINCT,IN_PLACE_NO_ROUTE_CHANGE,SEO_P1_HIGH,PASS
https://echobuddha.com/articles/four-noble-truths-explained-simply/,0.1108,0.0696,T2_MODERATE_TEMPLATE_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/articles/four-noble-truths-explained/,0.0855,0.0473,T2_MODERATE_TEMPLATE_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P3_LIMITED,PASS
https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,0.0619,0.0266,T2_MODERATE_TEMPLATE_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P1_HIGH,PASS
https://echobuddha.com/articles/how-to-meditate-for-anxiety/,0.1099,0.0503,T2_MODERATE_TEMPLATE_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/articles/how-to-meditate-for-beginners/,0.1325,0.0857,T2_MODERATE_TEMPLATE_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P3_LIMITED,PASS
https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,0.0847,0.0428,T2_MODERATE_TEMPLATE_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/articles/impermanence-in-buddhism/,0.1248,0.0800,T2_MODERATE_TEMPLATE_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/articles/loving-kindness-meditation-beginners/,0.1274,0.0826,T2_MODERATE_TEMPLATE_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P3_LIMITED,PASS
https://echobuddha.com/articles/loving-kindness-meditation-guide/,0.1343,0.0873,T2_MODERATE_TEMPLATE_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P3_LIMITED,PASS
https://echobuddha.com/articles/metta-meditation-script/,0.1080,0.0694,T2_MODERATE_TEMPLATE_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/articles/mindful-email-and-texting/,0.1465,0.0228,T2_MODERATE_TEMPLATE_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/articles/mindful-listening-in-everyday-life/,0.0847,0.0126,T2_MODERATE_TEMPLATE_RISK,T0_DISTINCT,IN_PLACE_NO_ROUTE_CHANGE,SEO_P3_LIMITED,PASS
https://echobuddha.com/articles/mindfulness-for-better-sleep/,0.1294,0.0582,T2_MODERATE_TEMPLATE_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/articles/mindfulness-morning-routine/,0.0806,0.0119,T2_MODERATE_TEMPLATE_RISK,T0_DISTINCT,IN_PLACE_NO_ROUTE_CHANGE,SEO_P3_LIMITED,PASS
https://echobuddha.com/articles/mindfulness-of-breathing-guide/,0.1330,0.0861,T2_MODERATE_TEMPLATE_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/articles/mindfulness-vs-meditation/,0.1151,0.0735,T2_MODERATE_TEMPLATE_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P3_LIMITED,PASS
https://echobuddha.com/articles/noble-eightfold-path-practical-guide/,0.0983,0.0807,T2_MODERATE_TEMPLATE_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P1_HIGH,PASS
https://echobuddha.com/articles/non-attachment-in-relationships/,0.1444,0.0654,T2_MODERATE_TEMPLATE_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P3_LIMITED,PASS
https://echobuddha.com/articles/right-livelihood-modern-life/,0.0488,0.0069,T1_LOW_TEMPLATE_RISK,T0_DISTINCT,IN_PLACE_NO_ROUTE_CHANGE,SEO_P3_LIMITED,PASS
https://echobuddha.com/articles/right-speech-buddhism/,0.0526,0.0377,T2_MODERATE_TEMPLATE_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P0_CRITICAL,PASS
https://echobuddha.com/articles/right-speech-examples/,0.1913,0.1087,T2_MODERATE_TEMPLATE_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P3_LIMITED,PASS
https://echobuddha.com/articles/three-poisons-buddhism-explained/,0.0349,0.0069,T1_LOW_TEMPLATE_RISK,T0_DISTINCT,IN_PLACE_NO_ROUTE_CHANGE,SEO_P1_HIGH,PASS
https://echobuddha.com/articles/three-ways-to-practice-patience/,0.0834,0.0122,T2_MODERATE_TEMPLATE_RISK,T0_DISTINCT,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/articles/visiting-a-buddhist-temple-respectfully/,0.1495,0.0727,T2_MODERATE_TEMPLATE_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P1_HIGH,PASS
https://echobuddha.com/articles/walking-meditation-step-by-step/,0.0752,0.0116,T2_MODERATE_TEMPLATE_RISK,T0_DISTINCT,IN_PLACE_NO_ROUTE_CHANGE,SEO_P3_LIMITED,PASS
https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,0.0799,0.0407,T2_MODERATE_TEMPLATE_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/articles/what-is-karma-in-buddhism/,0.0469,0.0094,T1_LOW_TEMPLATE_RISK,T0_DISTINCT,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/articles/what-is-sangha-buddhist-community/,0.0545,0.0251,T2_MODERATE_TEMPLATE_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P1_HIGH,PASS
https://echobuddha.com/daily-reflections/anger-as-a-signal/,0.6552,0.2174,T4_SEVERE_FORMULAIC_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/daily-reflections/begin-again-without-shame/,0.5810,0.2336,T4_SEVERE_FORMULAIC_RISK,T2_MODERATE_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/daily-reflections/compassion-begins-nearby/,0.5880,0.2404,T4_SEVERE_FORMULAIC_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P3_LIMITED,PASS
https://echobuddha.com/daily-reflections/enough-for-this-moment/,0.5857,0.2404,T4_SEVERE_FORMULAIC_RISK,T2_MODERATE_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P3_LIMITED,PASS
https://echobuddha.com/daily-reflections/evening-release/,0.5676,0.2212,T4_SEVERE_FORMULAIC_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P3_LIMITED,PASS
https://echobuddha.com/daily-reflections/family-patience/,0.6000,0.2551,T4_SEVERE_FORMULAIC_RISK,T2_MODERATE_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/daily-reflections/forgiveness-without-approval/,0.6000,0.2525,T4_SEVERE_FORMULAIC_RISK,T2_MODERATE_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P3_LIMITED,PASS
https://echobuddha.com/daily-reflections/gratitude-for-change/,0.5976,0.2500,T4_SEVERE_FORMULAIC_RISK,T2_MODERATE_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/daily-reflections/gratitude-notices-enough/,0.6025,0.2551,T4_SEVERE_FORMULAIC_RISK,T2_MODERATE_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P3_LIMITED,PASS
https://echobuddha.com/daily-reflections/impermanence-softens-clinging/,0.5654,0.2193,T4_SEVERE_FORMULAIC_RISK,T2_MODERATE_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/daily-reflections/kindness-with-boundaries/,0.6049,0.2577,T4_SEVERE_FORMULAIC_RISK,T2_MODERATE_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P3_LIMITED,PASS
https://echobuddha.com/daily-reflections/let-the-feeling-pass/,0.6129,0.1880,T4_SEVERE_FORMULAIC_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P3_LIMITED,PASS
https://echobuddha.com/daily-reflections/letting-go-keeps-care/,0.5904,0.2427,T4_SEVERE_FORMULAIC_RISK,T2_MODERATE_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P3_LIMITED,PASS
https://echobuddha.com/daily-reflections/listen-before-answering/,0.6908,0.2451,T4_SEVERE_FORMULAIC_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P3_LIMITED,PASS
https://echobuddha.com/daily-reflections/metta-for-a-difficult-person/,0.6552,0.2174,T4_SEVERE_FORMULAIC_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/daily-reflections/mindful-work/,0.5951,0.2500,T4_SEVERE_FORMULAIC_RISK,T2_MODERATE_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P3_LIMITED,PASS
https://echobuddha.com/daily-reflections/morning-intention/,0.6025,0.2577,T4_SEVERE_FORMULAIC_RISK,T2_MODERATE_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P3_LIMITED,PASS
https://echobuddha.com/daily-reflections/notice-before-fixing/,0.5904,0.2427,T4_SEVERE_FORMULAIC_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P3_LIMITED,PASS
https://echobuddha.com/daily-reflections/one-honest-breath/,0.5698,0.2273,T4_SEVERE_FORMULAIC_RISK,T2_MODERATE_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P3_LIMITED,PASS
https://echobuddha.com/daily-reflections/one-step-on-the-path/,0.5857,0.2427,T4_SEVERE_FORMULAIC_RISK,T2_MODERATE_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P3_LIMITED,PASS
https://echobuddha.com/daily-reflections/patience-before-anger-speaks/,0.5176,0.1812,T4_SEVERE_FORMULAIC_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/daily-reflections/rest-without-escape/,0.5611,0.2174,T4_SEVERE_FORMULAIC_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/daily-reflections/see-the-conditions/,0.5951,0.2500,T4_SEVERE_FORMULAIC_RISK,T2_MODERATE_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P3_LIMITED,PASS
https://echobuddha.com/daily-reflections/simple-goodwill/,0.6951,0.2500,T4_SEVERE_FORMULAIC_RISK,T2_MODERATE_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P3_LIMITED,PASS
https://echobuddha.com/daily-reflections/small-actions-shape-the-mind/,0.5904,0.2427,T4_SEVERE_FORMULAIC_RISK,T2_MODERATE_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/daily-reflections/soften-the-inner-argument/,0.5951,0.2475,T4_SEVERE_FORMULAIC_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P3_LIMITED,PASS
https://echobuddha.com/daily-reflections/speech-can-reduce-suffering/,0.6853,0.2404,T4_SEVERE_FORMULAIC_RISK,T2_MODERATE_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P3_LIMITED,PASS
https://echobuddha.com/daily-reflections/the-first-truth-is-kind/,0.5787,0.2358,T4_SEVERE_FORMULAIC_RISK,T2_MODERATE_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P3_LIMITED,PASS
https://echobuddha.com/daily-reflections/thoughts-are-visitors/,0.5485,0.2049,T4_SEVERE_FORMULAIC_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/daily-reflections/walking-as-practice/,0.5904,0.2451,T4_SEVERE_FORMULAIC_RISK,T2_MODERATE_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/learn/buddhism-101/a-simple-daily-buddhist-practice/,0.0874,0.0000,T1_LOW_TEMPLATE_RISK,T0_DISTINCT,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/learn/buddhism-101/dependent-origination-explained/,0.0249,0.0000,T1_LOW_TEMPLATE_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/learn/buddhism-101/five-aggregates-buddhism/,0.0241,0.0000,T1_LOW_TEMPLATE_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/learn/buddhism-101/five-hindrances-in-buddhism/,0.0831,0.0000,T1_LOW_TEMPLATE_RISK,T0_DISTINCT,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/,0.0198,0.0000,T1_LOW_TEMPLATE_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/learn/buddhism-101/four-brahmaviharas/,0.0836,0.0000,T1_LOW_TEMPLATE_RISK,T0_DISTINCT,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/learn/buddhism-101/how-to-practice-buddhism-at-home/,0.0786,0.0000,T1_LOW_TEMPLATE_RISK,T0_DISTINCT,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/learn/buddhism-101/middle-way-explained-for-beginners/,0.0784,0.0000,T1_LOW_TEMPLATE_RISK,T0_DISTINCT,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/learn/buddhism-101/right-livelihood-buddhism/,0.0220,0.0000,T1_LOW_TEMPLATE_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/learn/buddhism-101/the-four-noble-truths-explained/,0.0691,0.0000,T1_LOW_TEMPLATE_RISK,T0_DISTINCT,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/learn/buddhism-101/the-noble-eightfold-path-explained/,0.0746,0.0000,T1_LOW_TEMPLATE_RISK,T0_DISTINCT,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/learn/buddhism-101/the-three-jewels-explained/,0.0723,0.0000,T1_LOW_TEMPLATE_RISK,T0_DISTINCT,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/learn/buddhism-101/three-marks-of-existence/,0.0248,0.0000,T1_LOW_TEMPLATE_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/learn/buddhism-101/threefold-training-sila-samadhi-panna/,0.0765,0.0000,T1_LOW_TEMPLATE_RISK,T0_DISTINCT,IN_PLACE_NO_ROUTE_CHANGE,SEO_P1_HIGH,PASS
https://echobuddha.com/learn/buddhism-101/what-is-buddhism/,0.0381,0.0000,T1_LOW_TEMPLATE_RISK,T0_DISTINCT,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,0.0419,0.0000,T1_LOW_TEMPLATE_RISK,T0_DISTINCT,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/,0.0386,0.0000,T1_LOW_TEMPLATE_RISK,T0_DISTINCT,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,0.0809,0.0000,T1_LOW_TEMPLATE_RISK,T0_DISTINCT,IN_PLACE_NO_ROUTE_CHANGE,SEO_P1_HIGH,PASS
https://echobuddha.com/learn/buddhism-101/who-was-the-buddha/,0.0569,0.0000,T1_LOW_TEMPLATE_RISK,T0_DISTINCT,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/learn/buddhist-dictionary/anatta/,0.0868,0.0000,T1_LOW_TEMPLATE_RISK,T0_DISTINCT,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/learn/buddhist-dictionary/anicca/,0.1004,0.0000,T1_LOW_TEMPLATE_RISK,T0_DISTINCT,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/learn/buddhist-dictionary/compassion/,0.1073,0.0000,T1_LOW_TEMPLATE_RISK,T0_DISTINCT,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/learn/buddhist-dictionary/dhamma/,0.0484,0.0000,T0_DISTINCT,T0_DISTINCT,IN_PLACE_NO_ROUTE_CHANGE,SEO_P1_HIGH,PASS
https://echobuddha.com/learn/buddhist-dictionary/dukkha/,0.0903,0.0000,T1_LOW_TEMPLATE_RISK,T0_DISTINCT,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/learn/buddhist-dictionary/karma/,0.1000,0.0000,T1_LOW_TEMPLATE_RISK,T0_DISTINCT,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/learn/buddhist-dictionary/karuna/,0.1037,0.0000,T1_LOW_TEMPLATE_RISK,T0_DISTINCT,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/learn/buddhist-dictionary/metta/,0.0461,0.0000,T0_DISTINCT,T0_DISTINCT,IN_PLACE_NO_ROUTE_CHANGE,SEO_P1_HIGH,PASS
https://echobuddha.com/learn/buddhist-dictionary/mindfulness/,0.1096,0.0000,T1_LOW_TEMPLATE_RISK,T0_DISTINCT,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/learn/buddhist-dictionary/nirvana/,0.0958,0.0000,T1_LOW_TEMPLATE_RISK,T0_DISTINCT,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/learn/buddhist-dictionary/pali-canon/,0.0923,0.0000,T0_DISTINCT,T0_DISTINCT,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/learn/buddhist-dictionary/sangha/,0.0929,0.0000,T1_LOW_TEMPLATE_RISK,T0_DISTINCT,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/learn/buddhist-dictionary/sati/,0.1012,0.0000,T1_LOW_TEMPLATE_RISK,T0_DISTINCT,IN_PLACE_NO_ROUTE_CHANGE,SEO_P1_HIGH,PASS
https://echobuddha.com/learn/buddhist-dictionary/sutta/,0.0969,0.0000,T0_DISTINCT,T0_DISTINCT,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/learn/dhammapada-reflections/avoid-evil-do-good-purify-the-mind/,0.0804,0.0000,T2_MODERATE_TEMPLATE_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/learn/dhammapada-reflections/better-than-a-thousand-empty-words/,0.0958,0.0000,T2_MODERATE_TEMPLATE_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/learn/dhammapada-reflections/hatred-is-not-ended-by-hatred/,0.0984,0.0000,T2_MODERATE_TEMPLATE_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/learn/dhammapada-reflections/peace-comes-from-a-trained-mind/,0.0973,0.0000,T2_MODERATE_TEMPLATE_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/learn/dhammapada-reflections/the-mind-leads-all-things/,0.0936,0.0000,T2_MODERATE_TEMPLATE_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/learn/eightfold-path/,0.0358,0.0358,T1_LOW_TEMPLATE_RISK,T1_LOW_TEMPLATE_RISK,NONE_REQUIRED,SEO_P1_HIGH,PASS
https://echobuddha.com/learn/four-noble-truths/,0.0323,0.0323,T1_LOW_TEMPLATE_RISK,T1_LOW_TEMPLATE_RISK,NONE_REQUIRED,SEO_P2_EMERGING,PASS
https://echobuddha.com/learn/sutta-for-daily-life/buddhas-teaching-on-patience/,0.2208,0.0000,T2_MODERATE_TEMPLATE_RISK,T0_DISTINCT,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/learn/sutta-for-daily-life/dhammacakkappavattana-sutta-four-noble-truths/,0.0508,0.0000,T0_DISTINCT,T0_DISTINCT,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
