section label,content family,number of pages,percentage of family,fixed position?,substantive prose reused?,heading reused?,CTA reused?,value assessment,action
Speech Practice When Angry,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,POTENTIAL,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
A Reflection for Difficult Moments,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
A Note About Wellbeing,ARTICLE,11,22.9,NO,SEE_REPETITION_CLUSTERS,YES,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Buddhist Gratitude Practice: Appreciating Life Without Clinging,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,POTENTIAL,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
"Gratitude, Contentment, and Source Grounding",ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,LEGITIMATE_TRUST_OR_SAFETY,RETAIN_IF_USER_NEED_JUSTIFIES
Contentment Without Complacency,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Appreciation Without Ownership,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Gratitude Toward People Without Debt,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Difficult Days and Honest Gratitude,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
A Three-Line Evening Practice,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,POTENTIAL,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Buddhist Teachings on Forgiveness: Letting Go Without Excusing Harm,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Buddhist Teachings on Forgiveness Begin With Honesty,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Forgiveness Is Not the Same as Reconciliation,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Why Resentment Feels Protective,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
The mind does not want the lesson forgotten,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Working With Anger Without Feeding Hatred,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Compassion Does Not Require Approval,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Common Misunderstandings About Buddhist Forgiveness,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
A Gentle Forgiveness Reflection,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
How to Practice This in Daily Life,ARTICLE,8,16.7,NO,SEE_REPETITION_CLUSTERS,YES,POTENTIAL,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Forgiving Yourself,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Release Can Be Gradual,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Buddhist Teachings on Impermanence and Change,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Change Is Happening in Every Moment,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Why We Suffer When We Resist Change,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Impermanence Also Makes Healing Possible,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Practice Gratitude Without Grasping,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,POTENTIAL,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Impermanence in Small Moments,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Common Misunderstandings,ARTICLE,12,25.0,NO,SEE_REPETITION_CLUSTERS,YES,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
A Reflection Exercise for Change,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
A Peaceful Way to Practice,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,POTENTIAL,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Buddhist Wisdom for Overthinking: How to Calm a Busy Mind,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Buddhist Wisdom for Overthinking Starts With Noticing,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Why the Mind Repeats Itself,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Overthinking Is Not a Direct Translation of Papañca,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
"Reflection, Problem-Solving, or Replay?",ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Busy Mind to Calm Mind Practice Flow,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,POTENTIAL,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Overthinking Response,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Mindful Response,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Return to the Body,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Let Thoughts Pass Without Building a Home for Them,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Common Misunderstandings About Calming the Mind,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
A Gentle Reflection for a Busy Mind,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Practice Today,ARTICLE,7,14.6,NO,SEE_REPETITION_CLUSTERS,YES,POTENTIAL,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Reflection Question,ARTICLE,7,14.6,NO,SEE_REPETITION_CLUSTERS,YES,POTENTIAL,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Compassion as a Daily Discipline,ARTICLE,2,4.2,NO,SEE_REPETITION_CLUSTERS,YES,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Begin Close to Home,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Practice With Speech,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,POTENTIAL,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Let Compassion Include You,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Compassion When You Disagree,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Compassion Is Trained in Ordinary Moments,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
A Daily Compassion Exercise,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
A Reflection to Carry,ARTICLE,5,10.4,NO,SEE_REPETITION_CLUSTERS,YES,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
A Small Practice for Today,ARTICLE,5,10.4,NO,SEE_REPETITION_CLUSTERS,YES,POTENTIAL,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Compassion in Buddhism: A Beginner's Guide,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
What Compassion Means,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Compassion Begins With Seeing,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Self-Compassion Is Not Self-Indulgence,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Compassion in Difficult Conversations,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Practice Exercise: One Compassionate Wish,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,POTENTIAL,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Original Reflection,ARTICLE,3,6.3,NO,SEE_REPETITION_CLUSTERS,YES,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Compassion With Boundaries,ARTICLE,2,4.2,NO,SEE_REPETITION_CLUSTERS,YES,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Compassion for Difficult People,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Compassion Is Not Permission for Harm,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Boundaries Can Reduce Harm,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
How This Connects With the Brahmaviharas,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
"A Modern Boundary Is an Application, Not a Canonical Formula",ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
A Care–Capacity–Responsibility Check,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Creating a Peaceful Corner at Home,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Choose a Space You Can Actually Use,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Support the Body,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Keep Decoration Simple and Respectful,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Create a Reliable Cue,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
What Belongs in a Practice Space,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,POTENTIAL,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Small Homes and Shared Spaces,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Make the Space a Cue,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
A Reflection for the Home,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Dhamma vs Dharma: What Is the Difference?,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
The Short Difference,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Language Family Does Not Create a Perfect Tradition Boundary,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
One Word Can Do Several Jobs,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Why Echo Buddha Usually Says Dhamma,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Dhamma Is More Than a Word,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
A Beginner Reading Rule,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Dhammapada Reflection: A Trained Mind Brings Peace,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
What It Means to Train the Mind,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Peace Is Not Passivity,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
The Training Happens in Small Moments,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
A Daily Life Example,ARTICLE,4,8.3,NO,SEE_REPETITION_CLUSTERS,YES,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Practice Exercise: Return Three Times,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,POTENTIAL,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Original Reflection and Source Note,ARTICLE,2,4.2,NO,SEE_REPETITION_CLUSTERS,YES,NO,LEGITIMATE_TRUST_OR_SAFETY,RETAIN_IF_USER_NEED_JUSTIFIES
Training Without Harshness,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Signs the Mind Is Becoming More Trainable,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
A Gentle Evening Review,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
