URL,CTA,practice block,reflection question,page-specific?,useful?,action
https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,How to Practice This in Daily Life | Practice Appreciation Instead of Possession | Frequently Asked Questions | Continue Learning,How to Practice This in Daily Life,Frequently Asked Questions,VALIDATED_BY_RENDERED_PROSE,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/articles/how-to-meditate-for-anxiety/,Keep the Practice Short and Supportive | A Gentle Five-Minute Practice | Applying the Practice During the Day | Continue the Path | Frequently Asked Questions,Keep the Practice Short and Supportive,Frequently Asked Questions,VALIDATED_BY_RENDERED_PROSE,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/articles/how-to-meditate-for-beginners/,Practice Exercise: Five Minutes of Returning | How to End a Meditation Session | Frequently Asked Questions | Continue Learning,Practice Exercise: Five Minutes of Returning,Frequently Asked Questions,VALIDATED_BY_RENDERED_PROSE,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,Practice Exercise: Watch One Change | A Further Reflection on Possessions and Identity | Frequently Asked Questions | Continue Learning,Practice Exercise: Watch One Change,Frequently Asked Questions,VALIDATED_BY_RENDERED_PROSE,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/articles/impermanence-in-buddhism/,Possessions | How to Practice This in Daily Life | Frequently Asked Questions | Continue Learning,Possessions,Frequently Asked Questions,VALIDATED_BY_RENDERED_PROSE,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/articles/loving-kindness-meditation-beginners/,A Simple Metta Practice Script | Continue the Path | Frequently Asked Questions | Continue Learning,A Simple Metta Practice Script,Frequently Asked Questions,VALIDATED_BY_RENDERED_PROSE,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/articles/loving-kindness-meditation-guide/,Loving-Kindness Meditation: A Gentle Practice Guide | Practice Exercise: Five-Minute Metta | Frequently Asked Questions | Continue Learning,Loving-Kindness Meditation: A Gentle Practice Guide,Frequently Asked Questions,VALIDATED_BY_RENDERED_PROSE,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/articles/metta-meditation-script/,"Metta Meditation Script: A Loving-Kindness Practice for Yourself and Others | Closing the Practice | How to Practice This in Daily Life | A Practice of Direction, Not Perfection | Frequently Asked Questions | Continue Learning",Metta Meditation Script: A Loving-Kindness Practice for Yourself and Others,Frequently Asked Questions,VALIDATED_BY_RENDERED_PROSE,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/articles/mindful-email-and-texting/,A Small Practice for Today | Frequently Asked Questions,A Small Practice for Today,Frequently Asked Questions,VALIDATED_BY_RENDERED_PROSE,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/articles/mindful-listening-in-everyday-life/,Why Listening Is a Mindfulness Practice | A Practice for Difficult Conversations | Continue the Path | A Small Practice for Today | Frequently Asked Questions,Why Listening Is a Mindfulness Practice,Frequently Asked Questions,VALIDATED_BY_RENDERED_PROSE,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/articles/mindfulness-for-better-sleep/,Mindfulness for Better Sleep: A Gentle Evening Practice | A Gentle Evening Practice | Continue the Path | Frequently Asked Questions,Mindfulness for Better Sleep: A Gentle Evening Practice,Frequently Asked Questions,VALIDATED_BY_RENDERED_PROSE,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/articles/mindfulness-morning-routine/,Make One Ordinary Activity the Practice | Connect Morning Practice With the Rest of the Day | Continue the Path | Frequently Asked Questions,Make One Ordinary Activity the Practice,Frequently Asked Questions,VALIDATED_BY_RENDERED_PROSE,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/articles/mindfulness-of-breathing-guide/,Practice Exercise: Ten Breath Windows | Frequently Asked Questions | Continue Learning,Practice Exercise: Ten Breath Windows,Frequently Asked Questions,VALIDATED_BY_RENDERED_PROSE,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/articles/mindfulness-vs-meditation/,Formal practice creates a training space | Breath Awareness as a Beginner Practice | Which Should a Beginner Practice First? | How to Practice This in Daily Life | When Practice Feels Uneventful | Frequently Asked Questions | Continue Learning,Formal practice creates a training space,Frequently Asked Questions,VALIDATED_BY_RENDERED_PROSE,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/articles/noble-eightfold-path-practical-guide/,Practice Exercise: One Factor a Day | How to Review Your Practice | Practice Today | Reflection Question | Frequently Asked Questions | Continue Learning,Practice Exercise: One Factor a Day,Reflection Question,VALIDATED_BY_RENDERED_PROSE,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/articles/non-attachment-in-relationships/,A Relationship Practice | Frequently Asked Questions | Continue Learning,A Relationship Practice,Frequently Asked Questions,VALIDATED_BY_RENDERED_PROSE,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/articles/right-livelihood-modern-life/,Frequently Asked Questions,NONE,Frequently Asked Questions,VALIDATED_BY_RENDERED_PROSE,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/articles/right-speech-buddhism/,Silence Can Also Be Speech Practice | How to Practice This in Daily Life | Practice Today | Reflection Question | Frequently Asked Questions | Continue Learning,Silence Can Also Be Speech Practice,Reflection Question,VALIDATED_BY_RENDERED_PROSE,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/articles/right-speech-examples/,Frequently Asked Questions | Continue Learning,NONE,Frequently Asked Questions,VALIDATED_BY_RENDERED_PROSE,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/articles/three-poisons-buddhism-explained/,A Three-Root Recognition Practice | Frequently Asked Questions | Continue Learning,A Three-Root Recognition Practice,Frequently Asked Questions,VALIDATED_BY_RENDERED_PROSE,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/articles/three-ways-to-practice-patience/,Three Ways to Practice Patience | 1. Practice Patience With the Body | A Daily Patience Practice | A Seven-Day Practice | Continue the Path | A Small Practice for Today | Frequently Asked Questions,Three Ways to Practice Patience,Frequently Asked Questions,VALIDATED_BY_RENDERED_PROSE,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/articles/visiting-a-buddhist-temple-respectfully/,Asking Questions Carefully | Frequently Asked Questions | Continue Learning,NONE,Asking Questions Carefully,VALIDATED_BY_RENDERED_PROSE,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/articles/walking-meditation-step-by-step/,Choose a Simple Place to Practice | A Step-by-Step Walking Session | Continue the Path | Frequently Asked Questions,Choose a Simple Place to Practice,Frequently Asked Questions,VALIDATED_BY_RENDERED_PROSE,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,Practice Exercise: Three Gentle Pauses | Frequently Asked Questions | Continue Learning,Practice Exercise: Three Gentle Pauses,Frequently Asked Questions,VALIDATED_BY_RENDERED_PROSE,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/articles/what-is-karma-in-buddhism/,How Karma Shapes Daily Choices in Buddhist Practice | How to Practice Karma in Daily Life | Frequently Asked Questions | Continue Learning,How Karma Shapes Daily Choices in Buddhist Practice,Frequently Asked Questions,VALIDATED_BY_RENDERED_PROSE,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/articles/what-is-sangha-buddhist-community/,Why Companionship Changes Practice | Frequently Asked Questions | Continue Learning,Why Companionship Changes Practice,Frequently Asked Questions,VALIDATED_BY_RENDERED_PROSE,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/daily-reflections/anger-as-a-signal/,A Question to Keep | Make It a Daily Practice,Make It a Daily Practice,A Question to Keep,VALIDATED_BY_FAMILY_REVIEW,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/daily-reflections/begin-again-without-shame/,A Question to Keep | Make It a Daily Practice,Make It a Daily Practice,A Question to Keep,VALIDATED_BY_FAMILY_REVIEW,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/daily-reflections/compassion-begins-nearby/,Where Relationship Becomes Practice | A Question to Keep | Make It a Daily Practice,Where Relationship Becomes Practice,A Question to Keep,VALIDATED_BY_FAMILY_REVIEW,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/daily-reflections/enough-for-this-moment/,A Question to Keep | Make It a Daily Practice,Make It a Daily Practice,A Question to Keep,VALIDATED_BY_FAMILY_REVIEW,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/daily-reflections/evening-release/,A Question to Keep | Make It a Daily Practice,Make It a Daily Practice,A Question to Keep,VALIDATED_BY_FAMILY_REVIEW,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/daily-reflections/family-patience/,Where Relationship Becomes Practice | A Question to Keep | Make It a Daily Practice,Where Relationship Becomes Practice,A Question to Keep,VALIDATED_BY_FAMILY_REVIEW,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/daily-reflections/forgiveness-without-approval/,The Question Beneath the Reaction | Where the Question Opens | Stay With the Question | A Question to Keep | Make It a Daily Practice,Make It a Daily Practice,The Question Beneath the Reaction,VALIDATED_BY_FAMILY_REVIEW,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/daily-reflections/gratitude-for-change/,A Question to Keep | Make It a Daily Practice,Make It a Daily Practice,A Question to Keep,VALIDATED_BY_FAMILY_REVIEW,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/daily-reflections/gratitude-notices-enough/,A Question to Keep | Make It a Daily Practice,Make It a Daily Practice,A Question to Keep,VALIDATED_BY_FAMILY_REVIEW,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/daily-reflections/impermanence-softens-clinging/,A Question to Keep | Make It a Daily Practice,Make It a Daily Practice,A Question to Keep,VALIDATED_BY_FAMILY_REVIEW,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/daily-reflections/kindness-with-boundaries/,Where Relationship Becomes Practice | A Question to Keep | Make It a Daily Practice,Where Relationship Becomes Practice,A Question to Keep,VALIDATED_BY_FAMILY_REVIEW,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/daily-reflections/let-the-feeling-pass/,A Question to Keep | Make It a Daily Practice,Make It a Daily Practice,A Question to Keep,VALIDATED_BY_FAMILY_REVIEW,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/daily-reflections/letting-go-keeps-care/,A Question to Keep | Make It a Daily Practice,Make It a Daily Practice,A Question to Keep,VALIDATED_BY_FAMILY_REVIEW,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/daily-reflections/listen-before-answering/,Where Relationship Becomes Practice | A Question to Keep | Make It a Daily Practice,Where Relationship Becomes Practice,A Question to Keep,VALIDATED_BY_FAMILY_REVIEW,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/daily-reflections/metta-for-a-difficult-person/,Where Relationship Becomes Practice | A Question to Keep | Make It a Daily Practice,Where Relationship Becomes Practice,A Question to Keep,VALIDATED_BY_FAMILY_REVIEW,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/daily-reflections/mindful-work/,Work Can Carry Practice | A Question to Keep | Make It a Daily Practice,Work Can Carry Practice,A Question to Keep,VALIDATED_BY_FAMILY_REVIEW,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/daily-reflections/morning-intention/,A Question to Keep | Make It a Daily Practice,Make It a Daily Practice,A Question to Keep,VALIDATED_BY_FAMILY_REVIEW,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/daily-reflections/notice-before-fixing/,The Question Beneath the Reaction | Where the Question Opens | Stay With the Question | A Question to Keep | Make It a Daily Practice,Make It a Daily Practice,The Question Beneath the Reaction,VALIDATED_BY_FAMILY_REVIEW,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/daily-reflections/one-honest-breath/,A Question to Keep | Make It a Daily Practice,Make It a Daily Practice,A Question to Keep,VALIDATED_BY_FAMILY_REVIEW,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/daily-reflections/one-step-on-the-path/,A Question to Keep | Make It a Daily Practice,Make It a Daily Practice,A Question to Keep,VALIDATED_BY_FAMILY_REVIEW,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/daily-reflections/patience-before-anger-speaks/,A Question to Keep | Make It a Daily Practice,Make It a Daily Practice,A Question to Keep,VALIDATED_BY_FAMILY_REVIEW,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/daily-reflections/rest-without-escape/,A Question to Keep | Make It a Daily Practice,Make It a Daily Practice,A Question to Keep,VALIDATED_BY_FAMILY_REVIEW,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/daily-reflections/see-the-conditions/,A Question to Keep | Make It a Daily Practice,Make It a Daily Practice,A Question to Keep,VALIDATED_BY_FAMILY_REVIEW,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/daily-reflections/simple-goodwill/,A Question to Keep | Make It a Daily Practice,Make It a Daily Practice,A Question to Keep,VALIDATED_BY_FAMILY_REVIEW,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/daily-reflections/small-actions-shape-the-mind/,A Question to Keep | Make It a Daily Practice,Make It a Daily Practice,A Question to Keep,VALIDATED_BY_FAMILY_REVIEW,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/daily-reflections/soften-the-inner-argument/,The Question Beneath the Reaction | Where the Question Opens | Stay With the Question | A Question to Keep | Make It a Daily Practice,Make It a Daily Practice,The Question Beneath the Reaction,VALIDATED_BY_FAMILY_REVIEW,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/daily-reflections/speech-can-reduce-suffering/,A Question to Keep | Make It a Daily Practice,Make It a Daily Practice,A Question to Keep,VALIDATED_BY_FAMILY_REVIEW,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/daily-reflections/the-first-truth-is-kind/,A Question to Keep | Make It a Daily Practice,Make It a Daily Practice,A Question to Keep,VALIDATED_BY_FAMILY_REVIEW,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/daily-reflections/thoughts-are-visitors/,A Question to Keep | Make It a Daily Practice,Make It a Daily Practice,A Question to Keep,VALIDATED_BY_FAMILY_REVIEW,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/daily-reflections/walking-as-practice/,Walking Can Be Practice | A Question to Keep | Make It a Daily Practice,Walking Can Be Practice,A Question to Keep,VALIDATED_BY_FAMILY_REVIEW,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/learn/buddhism-101/a-simple-daily-buddhist-practice/,A Simple Daily Buddhist Practice | Daytime: Practice in Speech and Action | Practice Today,A Simple Daily Buddhist Practice,NONE,VALIDATED_BY_FAMILY_REVIEW,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/learn/buddhism-101/dependent-origination-explained/,A Simple Practice for Seeing Conditions | Frequently Asked Questions | Practice Today,A Simple Practice for Seeing Conditions,Frequently Asked Questions,VALIDATED_BY_FAMILY_REVIEW,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/learn/buddhism-101/five-aggregates-buddhism/,Frequently Asked Questions | Practice Today,Practice Today,Frequently Asked Questions,VALIDATED_BY_FAMILY_REVIEW,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
https://echobuddha.com/learn/buddhism-101/five-hindrances-in-buddhism/,Practice Today,Practice Today,NONE,VALIDATED_BY_FAMILY_REVIEW,YES_OR_RETAINED_FAMILY_PATTERN,GENERIC_FALLBACK_REMOVED_OR_SECTION_RESTRUCTURED
