URL,Files changed,Content object / identifier,Old approximate words,New approximate words,Sections removed,Sections added,Sections materially rewritten,Sources added,Sources removed,Examples added,Misconceptions added,Safety changes,FAQ changes,Internal link changes,Title changed?,H1 changed?,Description changed?,Index state changed?,Canonical changed?,URL changed?,Phase 2 ownership preserved?,Phase 3 index policy preserved?,Validation result,Rollback method
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,None,Review only,1824,1824,None,None,None,None,None,None,None,Reviewed; no change required.,None; no FAQ schema or word-count padding added.,None,No,No,No,No,No,No,Yes,Yes,PASS — unchanged pending owner merge decision,No content rollback required.
https://echobuddha.com/articles/eightfold-path-explained-daily-life/,None,Review only,1803,1803,None,None,None,None,None,None,None,Reviewed; no change required.,None; no FAQ schema or word-count padding added.,None,No,No,No,No,No,No,Yes,Yes,PASS — unchanged pending owner merge decision,No content rollback required.
https://echobuddha.com/articles/four-noble-truths-explained-simply/,None,Review only,1698,1698,None,None,None,None,None,None,None,Reviewed; no change required.,None; no FAQ schema or word-count padding added.,None,No,No,No,No,No,No,Yes,Yes,PASS — unchanged pending owner merge decision,No content rollback required.
https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,None,Review only,1662,1662,None,None,None,None,None,None,None,Reviewed; no change required.,None; no FAQ schema or word-count padding added.,None,No,No,No,No,No,No,Yes,Yes,PASS — unchanged pending owner merge decision,No content rollback required.
https://echobuddha.com/articles/impermanence-in-buddhism/,None,Review only,1857,1857,None,None,None,None,None,None,None,Reviewed; no change required.,None; no FAQ schema or word-count padding added.,None,No,No,No,No,No,No,Yes,Yes,PASS — unchanged pending owner merge decision,No content rollback required.
https://echobuddha.com/articles/loving-kindness-meditation-beginners/,None,Review only,1777,1777,None,None,None,None,None,None,None,Reviewed; no change required.,None; no FAQ schema or word-count padding added.,None,No,No,No,No,No,No,Yes,Yes,PASS — unchanged pending owner merge decision,No content rollback required.
https://echobuddha.com/articles/noble-eightfold-path-practical-guide/,None,Review only,1557,1557,None,None,None,None,None,None,None,Reviewed; no change required.,None; no FAQ schema or word-count padding added.,None,No,No,No,No,No,No,Yes,Yes,PASS — unchanged pending owner merge decision,No content rollback required.
https://echobuddha.com/meditation/breathing-meditation/,src/data/learn.ts,breathing-meditation object,591,896,No substantive teaching removed; repeated framing tightened only where needed.,Anchor selection; five-minute sequence; troubleshooting; alternate anchors,Anchor selection; five-minute sequence; troubleshooting; alternate anchors,MN 118; NCCIH,Legacy or indirect source link replaced where listed in source register.,Five-minute breath-anchor method,Not forced breathing or guaranteed calm,Proportional adapt/stop/support and no-guarantee boundary strengthened.,None; no FAQ schema or word-count padding added.,Existing owner/support journey preserved; source links strengthened; no orphaning.,No,No,No,No,No,No,Yes,Yes,PASS — build/type/lint/test/SEO/content batch gate,Revert the Phase 4 hunk for breathing-meditation object in src/data/learn.ts; rebuild and rerun Phase 4 validation.
https://echobuddha.com/meditation/loving-kindness-meditation/,src/data/learn.ts,loving-kindness-meditation object,595,837,No substantive teaching removed; repeated framing tightened only where needed.,Recipient sequence; honest phrases; boundary and distress adaptations,Recipient sequence; honest phrases; boundary and distress adaptations,Snp 1.8; NCCIH,Legacy or indirect source link replaced where listed in source register.,Progressive recipient practice with opt-outs,"Not compulsory warmth, forgiveness, approval, or unsafe access",Proportional adapt/stop/support and no-guarantee boundary strengthened.,None; no FAQ schema or word-count padding added.,Existing owner/support journey preserved; source links strengthened; no orphaning.,No,No,No,No,No,No,Yes,Yes,PASS — build/type/lint/test/SEO/content batch gate,Revert the Phase 4 hunk for loving-kindness-meditation object in src/data/learn.ts; rebuild and rerun Phase 4 validation.
https://echobuddha.com/meditation/walking-meditation/,src/data/learn.ts,walking-meditation object,558,795,No substantive teaching removed; repeated framing tightened only where needed.,Safe path; foot anchor; turning; mobility adaptations,Safe path; foot anchor; turning; mobility adaptations,AN 5.29; MN 10,Legacy or indirect source link replaced where listed in source register.,Ten-to-twenty-pace practice sequence,Not unusually slow performance or a test through pain,Proportional adapt/stop/support and no-guarantee boundary strengthened.,None; no FAQ schema or word-count padding added.,Existing owner/support journey preserved; source links strengthened; no orphaning.,No,No,No,No,No,No,Yes,Yes,PASS — build/type/lint/test/SEO/content batch gate,Revert the Phase 4 hunk for walking-meditation object in src/data/learn.ts; rebuild and rerun Phase 4 validation.
https://echobuddha.com/meditation/when-meditation-feels-hard/,src/data/learn.ts,when-meditation-feels-hard object,693,850,No substantive teaching removed; repeated framing tightened only where needed.,Difficulty-versus-distress triage; matched adaptations; grounding exit,Difficulty-versus-distress triage; matched adaptations; grounding exit,MN 118; NCCIH; NHS,Legacy or indirect source link replaced where listed in source register.,Problem-to-adjustment troubleshooting map,Stronger concentration is not the answer to panic or dissociation,Proportional adapt/stop/support and no-guarantee boundary strengthened.,None; no FAQ schema or word-count padding added.,Existing owner/support journey preserved; source links strengthened; no orphaning.,No,No,No,No,No,No,Yes,Yes,PASS — build/type/lint/test/SEO/content batch gate,Revert the Phase 4 hunk for when-meditation-feels-hard object in src/data/learn.ts; rebuild and rerun Phase 4 validation.
https://echobuddha.com/meditation/meditation-for-beginners/,None,Review only,623,623,None,None,None,None,None,None,None,Reviewed; no change required.,None; no FAQ schema or word-count padding added.,None,No,No,No,No,No,No,Yes,Yes,PASS — build/type/lint/test/SEO/content batch gate,No content rollback required.
https://echobuddha.com/meditation/meditation-posture-for-beginners/,None,Review only,685,685,None,None,None,None,None,None,None,Reviewed; no change required.,None; no FAQ schema or word-count padding added.,None,No,No,No,No,No,No,Yes,Yes,PASS — build/type/lint/test/SEO/content batch gate,No content rollback required.
https://echobuddha.com/articles/right-speech-buddhism/,src/data/site.ts,right-speech-buddhism article,1856,2012,No substantive teaching removed; repeated framing tightened only where needed.,Canonical four abstentions; repair protocol; editorial-filter boundary,Canonical four abstentions; repair protocol; editorial-filter boundary,SN 45.8,Legacy or indirect source link replaced where listed in source register.,Dismissive-message rewrite and repair,Kind speech does not mean agreement or unsafe silence,Existing non-clinical and non-authority scope preserved.,None; no FAQ schema or word-count padding added.,Existing owner/support journey preserved; source links strengthened; no orphaning.,No,No,No,No,No,No,Yes,Yes,PASS — build/type/lint/test/SEO/content batch gate,Revert the Phase 4 hunk for right-speech-buddhism article in src/data/site.ts; rebuild and rerun Phase 4 validation.
https://echobuddha.com/articles/buddhist-approach-to-anger/,src/data/site.ts,buddhist-approach-to-anger article,1614,1887,No substantive teaching removed; repeated framing tightened only where needed.,Signal/story/urge/aim map; crisis boundary; source scope,Signal/story/urge/aim map; crisis boundary; source scope,Dhammapada 1–20,Legacy or indirect source link replaced where listed in source register.,Workplace criticism anger map,"Mindfulness alone does not resolve danger, trauma, or loss of control",Proportional adapt/stop/support and no-guarantee boundary strengthened.,None; no FAQ schema or word-count padding added.,Existing owner/support journey preserved; source links strengthened; no orphaning.,No,No,No,No,No,No,Yes,Yes,PASS — build/type/lint/test/SEO/content batch gate,Revert the Phase 4 hunk for buddhist-approach-to-anger article in src/data/site.ts; rebuild and rerun Phase 4 validation.
https://echobuddha.com/articles/compassion-with-boundaries/,None,Review only,991,991,None,None,None,None,None,None,None,Reviewed; no change required.,None; no FAQ schema or word-count padding added.,None,No,No,No,No,No,No,Yes,Yes,PASS — build/type/lint/test/SEO/content batch gate,No content rollback required.
https://echobuddha.com/articles/mindful-email-and-texting/,None,Review only,1118,1118,None,None,None,None,None,None,None,Reviewed; no change required.,None; no FAQ schema or word-count padding added.,None,No,No,No,No,No,No,Yes,Yes,PASS — build/type/lint/test/SEO/content batch gate,No content rollback required.
https://echobuddha.com/learn/sutta-for-daily-life/dhammacakkappavattana-sutta-four-noble-truths/,src/data/learn.ts,SN 56.11 source-study object,584,770,No substantive teaching removed; repeated framing tightened only where needed.,Four tasks; traditional-versus-historical context; study method,Four tasks; traditional-versus-historical context; study method,SN 56.11,Legacy or indirect source link replaced where listed in source register.,Conflict interpreted through the four tasks,Source study does not replace the broad hub or a translation,Existing non-clinical and non-authority scope preserved.,None; no FAQ schema or word-count padding added.,Existing owner/support journey preserved; source links strengthened; no orphaning.,No,No,No,No,No,No,Yes,Yes,PASS — build/type/lint/test/SEO/content batch gate,Revert the Phase 4 hunk for SN 56.11 source-study object in src/data/learn.ts; rebuild and rerun Phase 4 validation.
https://echobuddha.com/learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/,src/data/learn.ts,SN 45.8 source-study object,582,740,No substantive teaching removed; repeated framing tightened only where needed.,Definition emphasis; integrated-factor example; translation comparison,Definition emphasis; integrated-factor example; translation comparison,SN 45.8,Legacy or indirect source link replaced where listed in source register.,Ethics qualifying workplace focus,Path factors are not generic productivity techniques,Existing non-clinical and non-authority scope preserved.,None; no FAQ schema or word-count padding added.,Existing owner/support journey preserved; source links strengthened; no orphaning.,No,No,No,No,No,No,Yes,Yes,PASS — build/type/lint/test/SEO/content batch gate,Revert the Phase 4 hunk for SN 45.8 source-study object in src/data/learn.ts; rebuild and rerun Phase 4 validation.
https://echobuddha.com/learn/sutta-for-daily-life/metta-sutta-explained-for-daily-life/,src/data/learn.ts,Snp 1.8 source-study object,488,709,No substantive teaching removed; repeated framing tightened only where needed.,Canonical collections; three-movement reading; translation-use boundary,Canonical collections; three-movement reading; translation-use boundary,Snp 1.8,Legacy or indirect source link replaced where listed in source register.,Difficult-message conduct questions,Source study does not compel affection or reproduce a translation,Existing non-clinical and non-authority scope preserved.,None; no FAQ schema or word-count padding added.,Existing owner/support journey preserved; source links strengthened; no orphaning.,No,No,No,No,No,No,Yes,Yes,PASS — build/type/lint/test/SEO/content batch gate,Revert the Phase 4 hunk for Snp 1.8 source-study object in src/data/learn.ts; rebuild and rerun Phase 4 validation.
https://echobuddha.com/articles/dhamma-vs-dharma/,None,Review only,1149,1149,None,None,None,None,None,None,None,Reviewed; no change required.,None; no FAQ schema or word-count padding added.,None,No,No,No,No,No,No,Yes,Yes,PASS — build/type/lint/test/SEO/content batch gate,No content rollback required.
https://echobuddha.com/learn/dhammapada-reflections/,None,Review only,384,384,None,None,None,None,None,None,None,Reviewed; no change required.,None; no FAQ schema or word-count padding added.,None,No,No,No,No,No,No,Yes,Yes,PASS — build/type/lint/test/SEO/content batch gate,No content rollback required.
