URL,Primary owner,Page role,Unique source value,Unique explanatory value,Unique practical value,Unique scenario value,Unique comparison value,Unique cultural/context value,Unique safety value,What was missing before,What was added,Adequate separate-page justification?,Evidence
https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,PRACTICAL_APPLICATION,Pending merge inventory,Existing assigned-role explanation reviewed,Existing role-specific practice protected,Existing examples protected,No forced comparison added,Existing context retained,Existing boundary reviewed,Inventory letting-go applications against the strengthened impermanence lesson.,No content moved; unique material protected pending review.,HUMAN REVIEW REQUIRED,Pre-edit spec and human-quality review.
https://echobuddha.com/articles/impermanence-in-buddhism/,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,SUPPORTING_EXPLANATION,Pending merge inventory,Existing assigned-role explanation reviewed,Existing role-specific practice protected,Existing examples protected,No forced comparison added,Existing context retained,Existing boundary reviewed,Inventory broad impermanence explanations against the strengthened primary lesson.,No content moved; unique material protected pending review.,HUMAN REVIEW REQUIRED,Pre-edit spec and human-quality review.
https://echobuddha.com/articles/loving-kindness-meditation-beginners/,https://echobuddha.com/learn/buddhist-dictionary/metta/,BEGINNER_FOUNDATION,Pending merge inventory,Existing assigned-role explanation reviewed,Existing role-specific practice protected,Existing examples protected,No forced comparison added,Existing context retained,Existing boundary reviewed,"Reconcile definition, beginner practice, and full meditation method; destination choice remains owner-sensitive.",No content moved; unique material protected pending review.,HUMAN REVIEW REQUIRED,Pre-edit spec and human-quality review.
https://echobuddha.com/articles/noble-eightfold-path-practical-guide/,https://echobuddha.com/learn/eightfold-path/,PRACTICAL_APPLICATION,Pending merge inventory,Existing assigned-role explanation reviewed,Existing role-specific practice protected,Existing examples protected,No forced comparison added,Existing context retained,Existing boundary reviewed,Inventory practical-path material against the strengthened Eightfold Path owner.,No content moved; unique material protected pending review.,HUMAN REVIEW REQUIRED,Pre-edit spec and human-quality review.
https://echobuddha.com/meditation/breathing-meditation/,https://echobuddha.com/articles/mindfulness-of-breathing-guide/,PRACTICE_GUIDE,MN 118; NCCIH,Anchor selection; five-minute sequence; troubleshooting; alternate anchors,Five-minute breath-anchor method,Five-minute breath-anchor method,Not forced breathing or guaranteed calm,Existing context retained,Proportional safety or non-blame boundary strengthened,"Differentiate breath awareness by anchor location, knowing long/short breath, non-control, troubleshooting, and alternate anchors.",Anchor selection; five-minute sequence; troubleshooting; alternate anchors,Yes,Five-minute breath-anchor method; Not forced breathing or guaranteed calm.
https://echobuddha.com/meditation/loving-kindness-meditation/,https://echobuddha.com/learn/buddhist-dictionary/metta/,PRACTICE_GUIDE,Snp 1.8; NCCIH,Recipient sequence; honest phrases; boundary and distress adaptations,Progressive recipient practice with opt-outs,Progressive recipient practice with opt-outs,"Not compulsory warmth, forgiveness, approval, or unsafe access",Existing context retained,Proportional safety or non-blame boundary strengthened,Differentiate metta as cultivation of goodwill/intention rather than breath relaxation; include sequencing and difficult-person boundaries.,Recipient sequence; honest phrases; boundary and distress adaptations,Yes,"Progressive recipient practice with opt-outs; Not compulsory warmth, forgiveness, approval, or unsafe access."
https://echobuddha.com/meditation/walking-meditation/,https://echobuddha.com/meditation/walking-meditation/,PRACTICE_GUIDE,AN 5.29; MN 10,Safe path; foot anchor; turning; mobility adaptations,Ten-to-twenty-pace practice sequence,Ten-to-twenty-pace practice sequence,Not unusually slow performance or a test through pain,Existing context retained,Proportional safety or non-blame boundary strengthened,"Differentiate walking through pace, contact, turning, gaze, and safe indoor/outdoor adaptation.",Safe path; foot anchor; turning; mobility adaptations,Yes,Ten-to-twenty-pace practice sequence; Not unusually slow performance or a test through pain.
https://echobuddha.com/meditation/when-meditation-feels-hard/,https://echobuddha.com/meditation/,PRACTICE_GUIDE,MN 118; NCCIH; NHS,Difficulty-versus-distress triage; matched adaptations; grounding exit,Problem-to-adjustment troubleshooting map,Problem-to-adjustment troubleshooting map,Stronger concentration is not the answer to panic or dissociation,Existing context retained,Proportional safety or non-blame boundary strengthened,Make the page a troubleshooting guide rather than another generic meditation; preserve stop/adapt/support boundaries.,Difficulty-versus-distress triage; matched adaptations; grounding exit,Yes,Problem-to-adjustment troubleshooting map; Stronger concentration is not the answer to panic or dissociation.
https://echobuddha.com/meditation/meditation-for-beginners/,https://echobuddha.com/meditation/,PRACTICE_GUIDE,Existing sources retained,Existing assigned-role explanation reviewed,Existing role-specific practice protected,Existing examples protected,No forced comparison added,Existing context retained,Existing boundary reviewed,Protect the broad beginner method if narrower practice pages now remain subordinate.,No change; page met assigned quality role.,Yes,Pre-edit spec and human-quality review.
https://echobuddha.com/meditation/meditation-posture-for-beginners/,https://echobuddha.com/meditation/,PRACTICE_GUIDE,Existing sources retained,Existing assigned-role explanation reviewed,Existing role-specific practice protected,Existing examples protected,No forced comparison added,Existing context retained,Existing boundary reviewed,Protect the posture-specific accessibility role if it avoids treating pain as progress.,No change; page met assigned quality role.,Yes,Pre-edit spec and human-quality review.
https://echobuddha.com/articles/right-speech-buddhism/,https://echobuddha.com/articles/right-speech-buddhism/,PRIMARY_PILLAR,SN 45.8,Canonical four abstentions; repair protocol; editorial-filter boundary,Dismissive-message rewrite and repair,Dismissive-message rewrite and repair,Kind speech does not mean agreement or unsafe silence,Tradition/translation limits clarified,Existing boundary reviewed,"Strengthen the broad owner with the canonical four abstentions, a truth/usefulness/timing framework, and difficult scenarios.",Canonical four abstentions; repair protocol; editorial-filter boundary,Yes,Dismissive-message rewrite and repair; Kind speech does not mean agreement or unsafe silence.
https://echobuddha.com/articles/buddhist-approach-to-anger/,https://echobuddha.com/articles/buddhist-approach-to-anger/,PRIMARY_PILLAR,Dhammapada 1–20,Signal/story/urge/aim map; crisis boundary; source scope,Workplace criticism anger map,Workplace criticism anger map,"Mindfulness alone does not resolve danger, trauma, or loss of control",Existing context retained,Proportional safety or non-blame boundary strengthened,"Add concrete anger-response sequencing, accountability, boundary action, and proportional wellbeing limits.",Signal/story/urge/aim map; crisis boundary; source scope,Yes,"Workplace criticism anger map; Mindfulness alone does not resolve danger, trauma, or loss of control."
https://echobuddha.com/articles/compassion-with-boundaries/,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,SCENARIO_GUIDE,Existing sources retained,Existing assigned-role explanation reviewed,Existing role-specific practice protected,Existing examples protected,No forced comparison added,Existing context retained,Existing boundary reviewed,Protect its care-versus-compliance and unsafe-situation boundaries if already strong.,No change; page met assigned quality role.,Yes,Pre-edit spec and human-quality review.
https://echobuddha.com/articles/mindful-email-and-texting/,https://echobuddha.com/articles/right-speech-buddhism/,SCENARIO_GUIDE,Existing sources retained,Existing assigned-role explanation reviewed,Existing role-specific practice protected,Existing examples protected,No forced comparison added,Existing context retained,Existing boundary reviewed,Protect its channel-specific scenarios if it remains subordinate to the Right Speech owner.,No change; page met assigned quality role.,Yes,Pre-edit spec and human-quality review.
https://echobuddha.com/learn/sutta-for-daily-life/dhammacakkappavattana-sutta-four-noble-truths/,https://echobuddha.com/learn/four-noble-truths/,SOURCE_STUDY,SN 56.11,Four tasks; traditional-versus-historical context; study method,Conflict interpreted through the four tasks,Conflict interpreted through the four tasks,Source study does not replace the broad hub or a translation,Existing context retained,Existing boundary reviewed,"Clarify canonical identifier, first-discourse context, translation/paraphrase boundary, four tasks, and relationship to the owner.",Four tasks; traditional-versus-historical context; study method,Yes,Conflict interpreted through the four tasks; Source study does not replace the broad hub or a translation.
https://echobuddha.com/learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/,https://echobuddha.com/learn/eightfold-path/,SOURCE_STUDY,SN 45.8,Definition emphasis; integrated-factor example; translation comparison,Ethics qualifying workplace focus,Ethics qualifying workplace focus,Path factors are not generic productivity techniques,Existing context retained,Existing boundary reviewed,Clarify SN 45.8 as an analysis text and keep its role source-specific rather than another broad path article.,Definition emphasis; integrated-factor example; translation comparison,Yes,Ethics qualifying workplace focus; Path factors are not generic productivity techniques.
https://echobuddha.com/learn/sutta-for-daily-life/metta-sutta-explained-for-daily-life/,https://echobuddha.com/learn/buddhist-dictionary/metta/,SOURCE_STUDY,Snp 1.8,Canonical collections; three-movement reading; translation-use boundary,Difficult-message conduct questions,Difficult-message conduct questions,Source study does not compel affection or reproduce a translation,Existing context retained,Proportional safety or non-blame boundary strengthened,"Clarify Snp 1.8 context, ethical preconditions, translation variation, editorial practice boundary, and relationship to metta owner.",Canonical collections; three-movement reading; translation-use boundary,Yes,Difficult-message conduct questions; Source study does not compel affection or reproduce a translation.
https://echobuddha.com/articles/dhamma-vs-dharma/,https://echobuddha.com/learn/buddhist-dictionary/dhamma/,COMPARISON_PAGE,Existing sources retained,Existing assigned-role explanation reviewed,Existing role-specific practice protected,Existing examples protected,No forced comparison added,Existing context retained,Existing boundary reviewed,Protect the language-comparison role if it avoids pretending Dhamma/Dharma have one exhaustive English equivalent.,No change; page met assigned quality role.,Yes,Pre-edit spec and human-quality review.
https://echobuddha.com/learn/dhammapada-reflections/,https://echobuddha.com/learn/dhammapada-reflections/,HUB,Existing sources retained,Existing assigned-role explanation reviewed,Existing role-specific practice protected,Existing examples protected,No forced comparison added,Existing context retained,Existing boundary reviewed,Protect the source-study navigation hub; broader structural/template changes belong to Phase 5.,No change; page met assigned quality role.,Yes,Pre-edit spec and human-quality review.
