URL,Phase 3 robots,Phase 4 robots,Phase 3 sitemap,Phase 4 sitemap,Phase 3 canonical,Phase 4 canonical,URL changed?,Index policy changed?,Result
https://echobuddha.com/meditation/loving-kindness-meditation/,"index, follow",index,Yes,Yes,https://echobuddha.com/meditation/loving-kindness-meditation/,https://echobuddha.com/meditation/loving-kindness-meditation/,No,No,PASS
https://echobuddha.com/meditation/walking-meditation/,"index, follow",index,Yes,Yes,https://echobuddha.com/meditation/walking-meditation/,https://echobuddha.com/meditation/walking-meditation/,No,No,PASS
https://echobuddha.com/meditation/when-meditation-feels-hard/,"index, follow",index,Yes,Yes,https://echobuddha.com/meditation/when-meditation-feels-hard/,https://echobuddha.com/meditation/when-meditation-feels-hard/,No,No,PASS
https://echobuddha.com/meditation/meditation-for-beginners/,"index, follow",index,Yes,Yes,https://echobuddha.com/meditation/meditation-for-beginners/,https://echobuddha.com/meditation/meditation-for-beginners/,No,No,PASS
https://echobuddha.com/meditation/meditation-posture-for-beginners/,"index, follow",index,Yes,Yes,https://echobuddha.com/meditation/meditation-posture-for-beginners/,https://echobuddha.com/meditation/meditation-posture-for-beginners/,No,No,PASS
https://echobuddha.com/articles/right-speech-buddhism/,"index, follow",index,Yes,Yes,https://echobuddha.com/articles/right-speech-buddhism/,https://echobuddha.com/articles/right-speech-buddhism/,No,No,PASS
https://echobuddha.com/articles/buddhist-approach-to-anger/,"index, follow",index,Yes,Yes,https://echobuddha.com/articles/buddhist-approach-to-anger/,https://echobuddha.com/articles/buddhist-approach-to-anger/,No,No,PASS
https://echobuddha.com/articles/compassion-with-boundaries/,"index, follow",index,Yes,Yes,https://echobuddha.com/articles/compassion-with-boundaries/,https://echobuddha.com/articles/compassion-with-boundaries/,No,No,PASS
https://echobuddha.com/articles/mindful-email-and-texting/,"index, follow",index,Yes,Yes,https://echobuddha.com/articles/mindful-email-and-texting/,https://echobuddha.com/articles/mindful-email-and-texting/,No,No,PASS
https://echobuddha.com/learn/sutta-for-daily-life/dhammacakkappavattana-sutta-four-noble-truths/,"index, follow",index,Yes,Yes,https://echobuddha.com/learn/sutta-for-daily-life/dhammacakkappavattana-sutta-four-noble-truths/,https://echobuddha.com/learn/sutta-for-daily-life/dhammacakkappavattana-sutta-four-noble-truths/,No,No,PASS
https://echobuddha.com/learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/,"index, follow",index,Yes,Yes,https://echobuddha.com/learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/,https://echobuddha.com/learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/,No,No,PASS
https://echobuddha.com/learn/sutta-for-daily-life/metta-sutta-explained-for-daily-life/,"index, follow",index,Yes,Yes,https://echobuddha.com/learn/sutta-for-daily-life/metta-sutta-explained-for-daily-life/,https://echobuddha.com/learn/sutta-for-daily-life/metta-sutta-explained-for-daily-life/,No,No,PASS
https://echobuddha.com/articles/dhamma-vs-dharma/,"index, follow",index,Yes,Yes,https://echobuddha.com/articles/dhamma-vs-dharma/,https://echobuddha.com/articles/dhamma-vs-dharma/,No,No,PASS
https://echobuddha.com/learn/dhammapada-reflections/,"index, follow",index,Yes,Yes,https://echobuddha.com/learn/dhammapada-reflections/,https://echobuddha.com/learn/dhammapada-reflections/,No,No,PASS
