Priority,Batch,URL,Page family,Topic cluster,Phase 1 score,Phase 1 problem,Phase 2 role,Primary owner URL,Is primary owner?,Phase 3 index state,Phase 3 handoff category,Why this page exists,This page does not own,Current unique value,Required unique value,Primary content problem,Source problem,Overlap problem,Example problem,Practice problem,Safety problem,FAQ problem,Expected action,Human review required,Status
P4,B,https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,article,Beginner Buddhism,79,CONSOLIDATE,BEGINNER_FOUNDATION,https://echobuddha.com/learn/buddhism-for-beginners/,No,indexable,CONSOLIDATE_AFTER_PHASE_4,"This page exists to serve beginner informational within Beginner Buddhism through a narrower explanation, misconception, or example set specific to “Buddhism for Beginners: A Simple Guide”.",This page does not own the broad Beginner Buddhism explanation; that belongs to /learn/buddhism-for-beginners/.,"A narrower explanation, misconception, or example set specific to “Buddhism for Beginners: A Simple Guide”.",Stay within BEGINNER_FOUNDATION; avoid repeating the owner's broad definition and opening journey.,Inventory unique beginner material against the strengthened beginner hub; do not redirect before owner approval and content-preservation confirmation.,Source relationship or interpretation boundary needs explicit review.,HIGH,Add only examples that clarify the assigned role.,Practice must derive from the page concept rather than a generic calming script.,No new clinical or authority claim permitted.,Retain only genuine page-specific follow-up questions; no FAQ expansion for schema.,DEFERRED_MERGE_REVIEW,No,HUMAN_REVIEW_DEFERRED
P4,B,https://echobuddha.com/articles/eightfold-path-explained-daily-life/,article,Noble Eightfold Path,79,CONSOLIDATE,PRACTICAL_APPLICATION,https://echobuddha.com/learn/eightfold-path/,No,indexable,CONSOLIDATE_AFTER_PHASE_4,This page exists to serve practical how to within Noble Eightfold Path through daily-life examples or a repeatable application tied specifically to “Eightfold Path in Daily Life”.,This page does not own the broad Noble Eightfold Path explanation; that belongs to /learn/eightfold-path/.,Daily-life examples or a repeatable application tied specifically to “Eightfold Path in Daily Life”.,Stay within PRACTICAL_APPLICATION; avoid repeating the owner's broad definition and opening journey.,Inventory daily-life examples against the strengthened Eightfold Path owner.,Source relationship or interpretation boundary needs explicit review.,HIGH,Add only examples that clarify the assigned role.,Practice must derive from the page concept rather than a generic calming script.,No new clinical or authority claim permitted.,Retain only genuine page-specific follow-up questions; no FAQ expansion for schema.,DEFERRED_MERGE_REVIEW,No,HUMAN_REVIEW_DEFERRED
P4,B,https://echobuddha.com/articles/four-noble-truths-explained-simply/,article,Four Noble Truths,79,CONSOLIDATE,BEGINNER_FOUNDATION,https://echobuddha.com/learn/four-noble-truths/,No,indexable,CONSOLIDATE_AFTER_PHASE_4,"This page exists to serve beginner informational within Four Noble Truths through a narrower explanation, misconception, or example set specific to “Four Noble Truths Explained Simply for Beginners”.",This page does not own the broad Four Noble Truths explanation; that belongs to /learn/four-noble-truths/.,"A narrower explanation, misconception, or example set specific to “Four Noble Truths Explained Simply for Beginners”.",Stay within BEGINNER_FOUNDATION; avoid repeating the owner's broad definition and opening journey.,Inventory the simplified diagnostic framing against the strengthened Four Noble Truths owner.,Source relationship or interpretation boundary needs explicit review.,HIGH,Add only examples that clarify the assigned role.,Practice must derive from the page concept rather than a generic calming script.,No new clinical or authority claim permitted.,Retain only genuine page-specific follow-up questions; no FAQ expansion for schema.,DEFERRED_MERGE_REVIEW,No,HUMAN_REVIEW_DEFERRED
P4,B,https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,article,Impermanence,79,CONSOLIDATE,PRACTICAL_APPLICATION,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,No,indexable,CONSOLIDATE_AFTER_PHASE_4,This page exists to serve practical how to within Impermanence through daily-life examples or a repeatable application tied specifically to “Impermanence in Buddhism and How to Let Go Gently”.,This page does not own the broad Impermanence explanation; that belongs to /learn/buddhism-101/what-is-impermanence/.,Daily-life examples or a repeatable application tied specifically to “Impermanence in Buddhism and How to Let Go Gently”.,Stay within PRACTICAL_APPLICATION; avoid repeating the owner's broad definition and opening journey.,Inventory letting-go applications against the strengthened impermanence lesson.,Source relationship or interpretation boundary needs explicit review.,HIGH,Add only examples that clarify the assigned role.,Practice must derive from the page concept rather than a generic calming script.,No new clinical or authority claim permitted.,Retain only genuine page-specific follow-up questions; no FAQ expansion for schema.,DEFERRED_MERGE_REVIEW,No,HUMAN_REVIEW_DEFERRED
P4,B,https://echobuddha.com/articles/impermanence-in-buddhism/,article,Impermanence,79,CONSOLIDATE,SUPPORTING_EXPLANATION,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,No,indexable,CONSOLIDATE_AFTER_PHASE_4,"This page exists to serve foundational informational within Impermanence through a narrower explanation, misconception, or example set specific to “Impermanence in Buddhism: Accepting Change Peacefully”.",This page does not own the broad Impermanence explanation; that belongs to /learn/buddhism-101/what-is-impermanence/.,"A narrower explanation, misconception, or example set specific to “Impermanence in Buddhism: Accepting Change Peacefully”.",Stay within SUPPORTING_EXPLANATION; avoid repeating the owner's broad definition and opening journey.,Inventory broad impermanence explanations against the strengthened primary lesson.,Source relationship or interpretation boundary needs explicit review.,HIGH,Add only examples that clarify the assigned role.,Practice must derive from the page concept rather than a generic calming script.,No new clinical or authority claim permitted.,Retain only genuine page-specific follow-up questions; no FAQ expansion for schema.,DEFERRED_MERGE_REVIEW,No,HUMAN_REVIEW_DEFERRED
P4,B,https://echobuddha.com/articles/loving-kindness-meditation-beginners/,article,Loving-Kindness / Metta,78,CONSOLIDATE,BEGINNER_FOUNDATION,https://echobuddha.com/learn/buddhist-dictionary/metta/,No,indexable,CONSOLIDATE_AFTER_PHASE_4,"This page exists to serve beginner informational within Loving-Kindness / Metta through a narrower explanation, misconception, or example set specific to “Loving-Kindness Meditation for Beginners”.",This page does not own the broad Loving-Kindness / Metta explanation; that belongs to /learn/buddhist-dictionary/metta/.,"A narrower explanation, misconception, or example set specific to “Loving-Kindness Meditation for Beginners”.",Stay within BEGINNER_FOUNDATION; avoid repeating the owner's broad definition and opening journey.,"Reconcile definition, beginner practice, and full meditation method; destination choice remains owner-sensitive.",Verify existing source framing; do not invent authority.,HIGH,Add only examples that clarify the assigned role.,Practice must derive from the page concept rather than a generic calming script.,No new clinical or authority claim permitted.,Retain only genuine page-specific follow-up questions; no FAQ expansion for schema.,DEFERRED_MERGE_REVIEW,No,HUMAN_REVIEW_DEFERRED
P4,B,https://echobuddha.com/articles/noble-eightfold-path-practical-guide/,article,Noble Eightfold Path,79,CONSOLIDATE,PRACTICAL_APPLICATION,https://echobuddha.com/learn/eightfold-path/,No,indexable,CONSOLIDATE_AFTER_PHASE_4,This page exists to serve practical how to within Noble Eightfold Path through daily-life examples or a repeatable application tied specifically to “Noble Eightfold Path Practical Guide for Daily Life”.,This page does not own the broad Noble Eightfold Path explanation; that belongs to /learn/eightfold-path/.,Daily-life examples or a repeatable application tied specifically to “Noble Eightfold Path Practical Guide for Daily Life”.,Stay within PRACTICAL_APPLICATION; avoid repeating the owner's broad definition and opening journey.,Inventory practical-path material against the strengthened Eightfold Path owner.,Source relationship or interpretation boundary needs explicit review.,HIGH,Add only examples that clarify the assigned role.,Practice must derive from the page concept rather than a generic calming script.,No new clinical or authority claim permitted.,Retain only genuine page-specific follow-up questions; no FAQ expansion for schema.,DEFERRED_MERGE_REVIEW,No,HUMAN_REVIEW_DEFERRED
P1,C,https://echobuddha.com/meditation/breathing-meditation/,meditation detail,Breath / Mindfulness of Breathing,58,IMPROVE,PRACTICE_GUIDE,https://echobuddha.com/articles/mindfulness-of-breathing-guide/,No,indexable,IMPROVE_LATER_PHASE,"This page exists to serve meditation practice within Breath / Mindfulness of Breathing through concrete method, pacing, posture, duration, or troubleshooting specific to “Breathing Meditation”.",This page does not own the broad Breath / Mindfulness of Breathing explanation; that belongs to /articles/mindfulness-of-breathing-guide/.,"Concrete method, pacing, posture, duration, or troubleshooting specific to “Breathing Meditation”.",Stay within PRACTICE_GUIDE; avoid repeating the owner's broad definition and opening journey.,"Differentiate breath awareness by anchor location, knowing long/short breath, non-control, troubleshooting, and alternate anchors.",Verify existing source framing; do not invent authority.,LOW,Needs method- or scenario-specific examples; reject interchangeable pause/breathe prose.,"Exact anchor, attention use, expected difficulty, adaptation, and difference from other methods must be explicit.",Review stop/adapt/support or relationship-boundary language proportionally.,Retain only genuine page-specific follow-up questions; no FAQ expansion for schema.,MATERIAL_REMEDIATION,No,REMEDIATED_VALIDATED
P1,C,https://echobuddha.com/meditation/loving-kindness-meditation/,meditation detail,Loving-Kindness / Metta,58,IMPROVE,PRACTICE_GUIDE,https://echobuddha.com/learn/buddhist-dictionary/metta/,No,indexable,IMPROVE_LATER_PHASE,"This page exists to serve meditation practice within Loving-Kindness / Metta through concrete method, pacing, posture, duration, or troubleshooting specific to “Loving-Kindness Meditation”.",This page does not own the broad Loving-Kindness / Metta explanation; that belongs to /learn/buddhist-dictionary/metta/.,"Concrete method, pacing, posture, duration, or troubleshooting specific to “Loving-Kindness Meditation”.",Stay within PRACTICE_GUIDE; avoid repeating the owner's broad definition and opening journey.,Differentiate metta as cultivation of goodwill/intention rather than breath relaxation; include sequencing and difficult-person boundaries.,Verify existing source framing; do not invent authority.,LOW,Needs method- or scenario-specific examples; reject interchangeable pause/breathe prose.,"Exact anchor, attention use, expected difficulty, adaptation, and difference from other methods must be explicit.",Review stop/adapt/support or relationship-boundary language proportionally.,Retain only genuine page-specific follow-up questions; no FAQ expansion for schema.,MATERIAL_REMEDIATION,No,REMEDIATED_VALIDATED
P1,C,https://echobuddha.com/meditation/walking-meditation/,meditation detail,Walking Meditation,58,IMPROVE,PRACTICE_GUIDE,https://echobuddha.com/meditation/walking-meditation/,Yes,indexable,KEEP_INDEXED,This page exists as Echo Buddha's protected owner for Walking Meditation: The meditation route should own the repeatable walking practice; the article must add depth or be reviewed for consolidation.,"This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.","Concrete method, pacing, posture, duration, or troubleshooting specific to “Walking Meditation”.",Protect broad ownership and route to genuinely distinct support roles.,"Differentiate walking through pace, contact, turning, gaze, and safe indoor/outdoor adaptation.",Verify existing source framing; do not invent authority.,NONE,Needs method- or scenario-specific examples; reject interchangeable pause/breathe prose.,"Exact anchor, attention use, expected difficulty, adaptation, and difference from other methods must be explicit.",Review stop/adapt/support or relationship-boundary language proportionally.,Retain only genuine page-specific follow-up questions; no FAQ expansion for schema.,MATERIAL_REMEDIATION,No,REMEDIATED_VALIDATED
P1,C,https://echobuddha.com/meditation/when-meditation-feels-hard/,meditation detail,Meditation,63,IMPROVE,PRACTICE_GUIDE,https://echobuddha.com/meditation/,No,indexable,IMPROVE_LATER_PHASE,"This page exists to serve meditation practice within Meditation through concrete method, pacing, posture, duration, or troubleshooting specific to “What to Do When Meditation Feels Hard”.",This page does not own the broad Meditation explanation; that belongs to /meditation/.,"Concrete method, pacing, posture, duration, or troubleshooting specific to “What to Do When Meditation Feels Hard”.",Stay within PRACTICE_GUIDE; avoid repeating the owner's broad definition and opening journey.,Make the page a troubleshooting guide rather than another generic meditation; preserve stop/adapt/support boundaries.,Verify existing source framing; do not invent authority.,LOW,Needs method- or scenario-specific examples; reject interchangeable pause/breathe prose.,"Exact anchor, attention use, expected difficulty, adaptation, and difference from other methods must be explicit.",Review stop/adapt/support or relationship-boundary language proportionally.,Retain only genuine page-specific follow-up questions; no FAQ expansion for schema.,MATERIAL_REMEDIATION,No,REMEDIATED_VALIDATED
P3,C,https://echobuddha.com/meditation/meditation-for-beginners/,meditation detail,Meditation,63,IMPROVE,PRACTICE_GUIDE,https://echobuddha.com/meditation/,No,indexable,IMPROVE_LATER_PHASE,"This page exists to serve meditation practice within Meditation through concrete method, pacing, posture, duration, or troubleshooting specific to “Meditation for Beginners”.",This page does not own the broad Meditation explanation; that belongs to /meditation/.,"Concrete method, pacing, posture, duration, or troubleshooting specific to “Meditation for Beginners”.",Stay within PRACTICE_GUIDE; avoid repeating the owner's broad definition and opening journey.,Protect the broad beginner method if narrower practice pages now remain subordinate.,Verify existing source framing; do not invent authority.,LOW,Needs method- or scenario-specific examples; reject interchangeable pause/breathe prose.,"Exact anchor, attention use, expected difficulty, adaptation, and difference from other methods must be explicit.",Review stop/adapt/support or relationship-boundary language proportionally.,Retain only genuine page-specific follow-up questions; no FAQ expansion for schema.,NO_CHANGE_REVIEW,No,NO_CHANGE_REQUIRED_VALIDATED
P3,C,https://echobuddha.com/meditation/meditation-posture-for-beginners/,meditation detail,Meditation,63,IMPROVE,PRACTICE_GUIDE,https://echobuddha.com/meditation/,No,indexable,IMPROVE_LATER_PHASE,"This page exists to serve meditation practice within Meditation through concrete method, pacing, posture, duration, or troubleshooting specific to “Meditation Posture for Beginners”.",This page does not own the broad Meditation explanation; that belongs to /meditation/.,"Concrete method, pacing, posture, duration, or troubleshooting specific to “Meditation Posture for Beginners”.",Stay within PRACTICE_GUIDE; avoid repeating the owner's broad definition and opening journey.,Protect the posture-specific accessibility role if it avoids treating pain as progress.,Verify existing source framing; do not invent authority.,LOW,Needs method- or scenario-specific examples; reject interchangeable pause/breathe prose.,"Exact anchor, attention use, expected difficulty, adaptation, and difference from other methods must be explicit.",Review stop/adapt/support or relationship-boundary language proportionally.,Retain only genuine page-specific follow-up questions; no FAQ expansion for schema.,NO_CHANGE_REVIEW,No,NO_CHANGE_REQUIRED_VALIDATED
P2,D,https://echobuddha.com/articles/right-speech-buddhism/,article,Right Speech,79,IMPROVE,PRIMARY_PILLAR,https://echobuddha.com/articles/right-speech-buddhism/,Yes,indexable,KEEP_INDEXED,"This page exists as Echo Buddha's protected owner for Right Speech: It combines meaning, ethical criteria, examples, and practice; other pages can specialize by source or scenario.","This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.","A narrower explanation, misconception, or example set specific to “Right Speech in Buddhism: Meaning, Examples, and Practice”.",Protect broad ownership and route to genuinely distinct support roles.,"Strengthen the broad owner with the canonical four abstentions, a truth/usefulness/timing framework, and difficult scenarios.",Source relationship or interpretation boundary needs explicit review.,NONE,Needs method- or scenario-specific examples; reject interchangeable pause/breathe prose.,Practice must derive from the page concept rather than a generic calming script.,Review stop/adapt/support or relationship-boundary language proportionally.,Retain only genuine page-specific follow-up questions; no FAQ expansion for schema.,MATERIAL_REMEDIATION,No,REMEDIATED_VALIDATED
P2,D,https://echobuddha.com/articles/buddhist-approach-to-anger/,article,Anger,78,IMPROVE,PRIMARY_PILLAR,https://echobuddha.com/articles/buddhist-approach-to-anger/,Yes,indexable,KEEP_INDEXED,This page exists as Echo Buddha's protected owner for Anger: It is the dedicated Buddhist response-to-anger guide and can link upward to the Three Poisons.,"This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.","A narrower explanation, misconception, or example set specific to “A Buddhist Approach to Anger”.",Protect broad ownership and route to genuinely distinct support roles.,"Add concrete anger-response sequencing, accountability, boundary action, and proportional wellbeing limits.",Verify existing source framing; do not invent authority.,NONE,Needs method- or scenario-specific examples; reject interchangeable pause/breathe prose.,Practice must derive from the page concept rather than a generic calming script.,Review stop/adapt/support or relationship-boundary language proportionally.,Retain only genuine page-specific follow-up questions; no FAQ expansion for schema.,MATERIAL_REMEDIATION,No,REMEDIATED_VALIDATED
P3,D,https://echobuddha.com/articles/compassion-with-boundaries/,article,Compassion,76,IMPROVE,SCENARIO_GUIDE,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,No,indexable,IMPROVE_LATER_PHASE,This page exists to serve scenario application within Compassion through worked guidance for the specific situation named by “Compassion With Boundaries in Buddhist Practice”.,This page does not own the broad Compassion explanation; that belongs to /articles/compassion-in-buddhism-beginner-guide/.,Worked guidance for the specific situation named by “Compassion With Boundaries in Buddhist Practice”.,Stay within SCENARIO_GUIDE; avoid repeating the owner's broad definition and opening journey.,Protect its care-versus-compliance and unsafe-situation boundaries if already strong.,Verify existing source framing; do not invent authority.,LOW,Needs method- or scenario-specific examples; reject interchangeable pause/breathe prose.,Practice must derive from the page concept rather than a generic calming script.,Review stop/adapt/support or relationship-boundary language proportionally.,Retain only genuine page-specific follow-up questions; no FAQ expansion for schema.,NO_CHANGE_REVIEW,No,NO_CHANGE_REQUIRED_VALIDATED
P3,D,https://echobuddha.com/articles/mindful-email-and-texting/,article,Right Speech,77,IMPROVE,SCENARIO_GUIDE,https://echobuddha.com/articles/right-speech-buddhism/,No,indexable,IMPROVE_LATER_PHASE,This page exists to serve scenario application within Right Speech through worked guidance for the specific situation named by “Mindful Email and Texting with Buddhist Right Speech”.,This page does not own the broad Right Speech explanation; that belongs to /articles/right-speech-buddhism/.,Worked guidance for the specific situation named by “Mindful Email and Texting with Buddhist Right Speech”.,Stay within SCENARIO_GUIDE; avoid repeating the owner's broad definition and opening journey.,Protect its channel-specific scenarios if it remains subordinate to the Right Speech owner.,Verify existing source framing; do not invent authority.,LOW,Needs method- or scenario-specific examples; reject interchangeable pause/breathe prose.,Practice must derive from the page concept rather than a generic calming script.,Review stop/adapt/support or relationship-boundary language proportionally.,Retain only genuine page-specific follow-up questions; no FAQ expansion for schema.,NO_CHANGE_REVIEW,No,NO_CHANGE_REQUIRED_VALIDATED
P1,E,https://echobuddha.com/learn/sutta-for-daily-life/dhammacakkappavattana-sutta-four-noble-truths/,learn detail,Four Noble Truths,64,IMPROVE,SOURCE_STUDY,https://echobuddha.com/learn/four-noble-truths/,No,indexable,HUMAN_REVIEW,"This page exists to serve source study within Four Noble Truths through source-specific study, attribution, translation context, or textual interpretation for “Dhammacakkappavattana Sutta and the Four Noble Truths”.",This page does not own the broad Four Noble Truths explanation; that belongs to /learn/four-noble-truths/.,"Source-specific study, attribution, translation context, or textual interpretation for “Dhammacakkappavattana Sutta and the Four Noble Truths”.",Stay within SOURCE_STUDY; avoid repeating the owner's broad definition and opening journey.,"Clarify canonical identifier, first-discourse context, translation/paraphrase boundary, four tasks, and relationship to the owner.",Source relationship or interpretation boundary needs explicit review.,LOW,Add only examples that clarify the assigned role.,Practice must derive from the page concept rather than a generic calming script.,No new clinical or authority claim permitted.,Retain only genuine page-specific follow-up questions; no FAQ expansion for schema.,MATERIAL_REMEDIATION,Yes,REMEDIATED_VALIDATED
