quote_id,quote,origin type,displayed attribution,source reference,verification state,risk,required correction,final state
quote_3e170c809b794074,Small acts of attention can turn an ordinary day into a teacher.,ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_efc2e9db1383279d,The body often knows you are overwhelmed before the mind admits it.,ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_9b012f0f47f3559c,Thoughts may visit often; you do not have to host each one.,ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_07d7405c2060637e,A calm mind lets thoughts pass without becoming their servant.,ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_41caa8ff222aa91b,What you can observe clearly no longer controls you in quite the same way.,ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_2f0fed49fe6d8a57,"When the mind tightens, let the body be your first teacher.",ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_673468f962052e4f,A gentle response can end suffering that anger would pass along.,ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_7f7b2e9668610c5b,"Before judging another life, remember how much of your own remains unseen.",ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_b3de6e58c3b85418,Compassion asks what hurts before it asks who is to blame.,ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_4484546e09b0f05a,Compassion grows where judgment loosens its grip.,ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_81bf3be25413e4dd,Compassion looks for the wound without excusing the unkind word.,ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_5e23d9ed97f283f4,Speak to yourself as someone still worthy of gentle instruction.,ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_ba3b9fbdf56f425d,Kindness is a quiet practice repeated when no one applauds.,ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_58ff13a7144b8ad9,Kindness does not need an audience to become meaningful.,ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_3f5bc351cfba8c5e,Let kindness be the echo you leave in every room.,ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,TARGETED_PHRASE_SEARCH_NO_EXTERNAL_EXACT_MATCH_OBSERVED_NOT_PROOF_OF_ORIGINALITY,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_032bf8e97c8f63ce,Let your boundaries be clear and your heart remain kind.,ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_4c33f255225b9430,"Loving-kindness begins by wishing no one, including yourself, more harm.",ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_319d1c0b7503b4be,Offer others the patience you hope to receive on your difficult days.,ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_233ea734de5e3238,Small kindnesses often reach places that advice cannot.,ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_1c68b5f80ef9e55f,The heart becomes spacious each time it chooses care over contempt.,ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_fb9bf8ba460cb6ca,To understand someone is not to excuse harm; it is to see more clearly.,ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_3e234377f61c6c40,"When you cannot remove another's burden, do not add to its weight.",ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_c1609e6404afc8fa,Acceptance begins where the argument with change ends.,ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_8556e51e86270b5d,"Because this moment will pass, meet it while it is here.",ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_66bc27f0fcdd02b2,Change is not an interruption; it is the way life continues.,ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,TARGETED_PHRASE_SEARCH_NO_EXTERNAL_EXACT_MATCH_OBSERVED_NOT_PROOF_OF_ORIGINALITY,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_d84092d0a585579d,Change takes nothing personally; it simply continues.,ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_2db4e7535ffa05c9,"Everything changes, including the part of you that fears change.",ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_5680f37fe583d975,"Hold each day carefully, knowing it cannot be held forever.",ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_6de284d3c5802aa6,Meet change softly; even endings deserve an unclenched heart.,ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_2f70665b0c02a625,No season is asked to remain in order to be loved.,ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_15e860c50f4e2fbc,The fading flower does not make its blooming less beautiful.,ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_f75ab1972515a0b3,The passing of joy teaches gratitude; the passing of pain teaches hope.,ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_193b640dec9ade2c,Today's certainty may become tomorrow's lesson in humility.,ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_ca34983d1fbd789e,What changes is not always lost; sometimes it is being transformed.,ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_f8a19645984b08a8,An open hand can care for what a clenched fist cannot.,ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_770309a723e0e551,Letting go means caring fully without closing your hand around life.,ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_d02969c792fbdee4,Forgiveness releases the poison without calling the wound acceptable.,ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_2b9ae3f58c69fb01,Freedom often sounds like the quiet end of an inner argument.,ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_0ff47d9977987063,Let the feeling pass through without building it a permanent room.,ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_625d4bca5047d0cc,Letting go begins by admitting how tightly you are holding.,ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_488023a206c1f863,Hold life with open hands; what is precious was never owned.,ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_61e32888462f97b0,Peace enters when control is no longer the price of feeling safe.,ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_8b6f615ff9b830b2,Release the need to replay what can no longer be changed.,ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_6d72ba3d7afec904,"Release the outcome, but keep the care you bring to the work.",ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_db0ee1793d488063,Stress loosens when the hand around every pressure softens first.,ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_73de99094d379c11,What leaves your life may still leave wisdom behind.,ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_a09f70e096b1d151,Attachment begins where care forgets how to breathe.,ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_c19852fea5cb318f,You can honor the past without asking it to become your home.,ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_ced8da4ff3dcc913,You do not betray a memory by allowing yourself to move forward.,ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_af8e4d6e02a398d8,You do not need to carry every thought that visits you.,ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_268aac4ac7e37b93,A short sincere practice can steady a long and complicated day.,ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_6c64d822fc623b28,Do not search meditation for a special self; notice the self already searching.,ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
