query,URL,clicks,impressions,position,intent,visible owner,story/category,proposed Phase 5 decision,preserved destination if changed
buddha on patience quotes,https://echobuddha.com/quotes/patience/,0,4,18,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/patience/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/patience/
buddha patience,https://echobuddha.com/quotes/patience/,0,6,46,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/patience/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/patience/
buddha patience quote,https://echobuddha.com/quotes/patience/,0,1,14,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/patience/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/patience/
buddha patience quotes,https://echobuddha.com/quotes/patience/,0,7,16.42857142857143,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/patience/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/patience/
buddha quote about letting go,https://echobuddha.com/quotes/letting-go/,0,4,40.5,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/letting-go/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/letting-go/
buddha quote on letting go,https://echobuddha.com/quotes/letting-go/,0,1,44,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/letting-go/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/letting-go/
buddha quotes about letting go,https://echobuddha.com/quotes/letting-go/,0,4,18.5,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/letting-go/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/letting-go/
buddha quotes about patience,https://echobuddha.com/quotes/patience/,0,1,35,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/patience/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/patience/
buddha quotes compassion,https://echobuddha.com/quotes/compassion/,0,5,56.8,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/compassion/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/compassion/
buddha quotes letting go,https://echobuddha.com/quotes/letting-go/,0,5,30.6,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/letting-go/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/letting-go/
buddha quotes on compassion,https://echobuddha.com/quotes/compassion/,0,1,52,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/compassion/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/compassion/
buddha quotes on letting go,https://echobuddha.com/quotes/letting-go/,0,13,24.53846153846154,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/letting-go/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/letting-go/
buddha quotes on patience,https://echobuddha.com/quotes/patience/,0,6,23,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/patience/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/patience/
buddha quotes patience,https://echobuddha.com/quotes/patience/,0,10,21.3,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/patience/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/patience/
buddha sayings about letting go,https://echobuddha.com/quotes/letting-go/,0,1,38,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/letting-go/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/letting-go/
buddhism and patience,https://echobuddha.com/quotes/patience/,0,1,61,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/patience/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/patience/
buddhism compassion quotes,https://echobuddha.com/quotes/compassion/,0,1,56,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/compassion/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/compassion/
buddhism on letting go,https://echobuddha.com/quotes/letting-go/,0,1,4,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/letting-go/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/letting-go/
buddhism patience,https://echobuddha.com/quotes/patience/,0,4,58,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/patience/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/patience/
buddhism quotes on letting go,https://echobuddha.com/quotes/letting-go/,0,4,39.5,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/letting-go/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/letting-go/
buddhist patience,https://echobuddha.com/quotes/patience/,0,4,47.5,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/patience/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/patience/
buddhist quotes about letting go,https://echobuddha.com/quotes/letting-go/,0,5,11.4,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/letting-go/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/letting-go/
buddhist quotes about patience,https://echobuddha.com/quotes/patience/,0,2,14,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/patience/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/patience/
buddhist quotes on compassion,https://echobuddha.com/quotes/compassion/,0,2,49.5,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/compassion/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/compassion/
buddhist quotes on letting go,https://echobuddha.com/quotes/letting-go/,0,8,21.5,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/letting-go/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/letting-go/
buddhist quotes on patience,https://echobuddha.com/quotes/patience/,0,3,25.666666666666668,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/patience/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/patience/
buddhist saying about letting go,https://echobuddha.com/quotes/letting-go/,0,3,10,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/letting-go/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/letting-go/
buddhist sayings about letting go,https://echobuddha.com/quotes/letting-go/,0,12,15.333333333333334,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/letting-go/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/letting-go/
compassion buddha quotes,https://echobuddha.com/quotes/compassion/,0,3,55.333333333333336,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/compassion/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/compassion/
compassion quotes buddha,https://echobuddha.com/quotes/compassion/,0,5,44.8,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/compassion/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/compassion/
let go quotes buddha,https://echobuddha.com/quotes/letting-go/,0,6,30.166666666666668,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/letting-go/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/letting-go/
let it go buddha quotes,https://echobuddha.com/quotes/letting-go/,0,1,32,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/letting-go/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/letting-go/
let my kindness be the echo,https://echobuddha.com/quotes/compassion/let-kindness-be-the-echo-you-leave-in-every/,0,1,10,QUOTE_TEXT_OR_THEME_DISCOVERY,https://echobuddha.com/quotes/compassion/let-kindness-be-the-echo-you-leave-in-every/,STORY,NOINDEX_USER_PERMALINK,https://echobuddha.com/quotes/compassion/
letting go buddha detachment quotes,https://echobuddha.com/quotes/letting-go/,0,1,30,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/letting-go/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/letting-go/
letting go buddha quotes,https://echobuddha.com/quotes/letting-go/,0,4,26,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/letting-go/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/letting-go/
letting go quotes buddha,https://echobuddha.com/quotes/letting-go/,0,3,46.333333333333336,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/letting-go/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/letting-go/
meer,https://echobuddha.com/quotes/letting-go/,0,1,2,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/letting-go/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/letting-go/
mindfulness buddha quotes,https://echobuddha.com/quotes/mindfulness/,0,1,36,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/mindfulness/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/mindfulness/
mindfulness quotes buddha,https://echobuddha.com/quotes/mindfulness/,0,3,38.333333333333336,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/mindfulness/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/mindfulness/
patience buddha,https://echobuddha.com/quotes/patience/,0,4,41,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/patience/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/patience/
patience buddha quotes,https://echobuddha.com/quotes/patience/,0,3,38.333333333333336,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/patience/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/patience/
patience buddhism,https://echobuddha.com/quotes/patience/,0,3,55.333333333333336,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/patience/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/patience/
patience has its limits buddha,https://echobuddha.com/quotes/patience/,0,1,16,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/patience/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/patience/
patience has limits buddha,https://echobuddha.com/quotes/patience/,0,3,26,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/patience/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/patience/
patience in buddhism,https://echobuddha.com/quotes/patience/,0,4,62.5,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/patience/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/patience/
patience quotes buddha,https://echobuddha.com/quotes/patience/,0,5,21.6,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/patience/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/patience/
quotes about impermanence,https://echobuddha.com/quotes/impermanence/change-is-how-life-continues/,0,1,70,QUOTE_TEXT_OR_THEME_DISCOVERY,https://echobuddha.com/quotes/impermanence/change-is-how-life-continues/,STORY,NOINDEX_USER_PERMALINK,https://echobuddha.com/quotes/impermanence/
quotes about meditation buddha,https://echobuddha.com/quotes/meditation/,0,1,36,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/meditation/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/meditation/
quotes from buddha about letting go,https://echobuddha.com/quotes/letting-go/,0,4,33.75,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/letting-go/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/letting-go/
quotes on meditation by buddha,https://echobuddha.com/quotes/meditation/,0,2,46,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/meditation/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/meditation/
quotes on patience by buddha,https://echobuddha.com/quotes/patience/,0,2,14,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/patience/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/patience/
the kindness echoes,https://echobuddha.com/quotes/compassion/let-kindness-be-the-echo-you-leave-in-every/,0,1,34,QUOTE_TEXT_OR_THEME_DISCOVERY,https://echobuddha.com/quotes/compassion/let-kindness-be-the-echo-you-leave-in-every/,STORY,NOINDEX_USER_PERMALINK,https://echobuddha.com/quotes/compassion/
wisdom in art,https://echobuddha.com/quotes/wisdom/wisdom-is-the-art-of-meeting-life-without-adding/,0,1,43,QUOTE_TEXT_OR_THEME_DISCOVERY,https://echobuddha.com/quotes/wisdom/wisdom-is-the-art-of-meeting-life-without-adding/,STORY,NOINDEX_USER_PERMALINK,https://echobuddha.com/quotes/wisdom/
zen quotes on letting go,https://echobuddha.com/quotes/letting-go/,0,1,10,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/letting-go/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/letting-go/
