quoteId,quoteText,publicUrl,originClassification,attributedAuthor,primarySource,secondaryVerificationSource,canonicalTextReference,translator,translationEdition,copyrightOrLicenseStatus,attributionWording,verificationStatus,reviewerStatus,indexabilityRecommendation,editorialNotes
compassion:compassion-asks-what-hurts-before-it-asks-who-is,Compassion asks what hurts before it asks who is to blame.,https://echobuddha.com/quotes/compassion/compassion-asks-what-hurts-before-it-asks-who-is/,Original Echo Buddha writing,Echo Buddha Editorial,Echo Buddha original editorial record,Not applicable for current original-writing classification,Not a canonical quotation,Not applicable,Not applicable,Original site editorial copy; owner/legal review still required before external reuse.,Original Echo Buddha reflection; not a Buddha quote or scripture translation.,repository-reviewed,External Buddhist studies review not claimed.,keep-noindex,Current repository data presents this as original Echo Buddha writing.
compassion:compassion-grows-where-judgment-loosens-its-grip,Compassion grows where judgment loosens its grip.,https://echobuddha.com/quotes/compassion/compassion-grows-where-judgment-loosens-its-grip/,Original Echo Buddha writing,Echo Buddha Editorial,Echo Buddha original editorial record,Not applicable for current original-writing classification,Not a canonical quotation,Not applicable,Not applicable,Original site editorial copy; owner/legal review still required before external reuse.,Original Echo Buddha reflection; not a Buddha quote or scripture translation.,repository-reviewed,External Buddhist studies review not claimed.,keep-noindex,Current repository data presents this as original Echo Buddha writing.
compassion:compassion-sees-pain-clearly,Compassion looks for the wound without excusing the unkind word.,https://echobuddha.com/quotes/compassion/compassion-sees-pain-clearly/,Original Echo Buddha writing,Echo Buddha Editorial,Echo Buddha original editorial record,Not applicable for current original-writing classification,Not a canonical quotation,Not applicable,Not applicable,Original site editorial copy; owner/legal review still required before external reuse.,Original Echo Buddha reflection; not a Buddha quote or scripture translation.,repository-reviewed,External Buddhist studies review not claimed.,keep-noindex,Current repository data presents this as original Echo Buddha writing.
compassion:gentle-self-compassion,Speak to yourself as someone still worthy of gentle instruction.,https://echobuddha.com/quotes/compassion/gentle-self-compassion/,Original Echo Buddha writing,Echo Buddha Editorial,Echo Buddha original editorial record,Not applicable for current original-writing classification,Not a canonical quotation,Not applicable,Not applicable,Original site editorial copy; owner/legal review still required before external reuse.,Original Echo Buddha reflection; not a Buddha quote or scripture translation.,repository-reviewed,External Buddhist studies review not claimed.,keep-noindex,Current repository data presents this as original Echo Buddha writing.
compassion:kindness-as-quiet-practice,Kindness is a quiet practice repeated when no one applauds.,https://echobuddha.com/quotes/compassion/kindness-as-quiet-practice/,Original Echo Buddha writing,Echo Buddha Editorial,Echo Buddha original editorial record,Not applicable for current original-writing classification,Not a canonical quotation,Not applicable,Not applicable,Original site editorial copy; owner/legal review still required before external reuse.,Original Echo Buddha reflection; not a Buddha quote or scripture translation.,repository-reviewed,External Buddhist studies review not claimed.,keep-noindex,Current repository data presents this as original Echo Buddha writing.
compassion:kindness-does-not-need-an-audience-to-become-meaningful,Kindness does not need an audience to become meaningful.,https://echobuddha.com/quotes/compassion/kindness-does-not-need-an-audience-to-become-meaningful/,Original Echo Buddha writing,Echo Buddha Editorial,Echo Buddha original editorial record,Not applicable for current original-writing classification,Not a canonical quotation,Not applicable,Not applicable,Original site editorial copy; owner/legal review still required before external reuse.,Original Echo Buddha reflection; not a Buddha quote or scripture translation.,repository-reviewed,External Buddhist studies review not claimed.,keep-noindex,Current repository data presents this as original Echo Buddha writing.
compassion:let-kindness-be-the-echo-you-leave-in-every,Let kindness be the echo you leave in every room.,https://echobuddha.com/quotes/compassion/let-kindness-be-the-echo-you-leave-in-every/,Original Echo Buddha writing,Echo Buddha Editorial,Echo Buddha original editorial record,Not applicable for current original-writing classification,Not a canonical quotation,Not applicable,Not applicable,Original site editorial copy; owner/legal review still required before external reuse.,Original Echo Buddha reflection; not a Buddha quote or scripture translation.,repository-reviewed,External Buddhist studies review not claimed.,keep-noindex,Current repository data presents this as original Echo Buddha writing.
compassion:let-your-boundaries-be-clear-and-your-heart-remain,Let your boundaries be clear and your heart remain kind.,https://echobuddha.com/quotes/compassion/let-your-boundaries-be-clear-and-your-heart-remain/,Original Echo Buddha writing,Echo Buddha Editorial,Echo Buddha original editorial record,Not applicable for current original-writing classification,Not a canonical quotation,Not applicable,Not applicable,Original site editorial copy; owner/legal review still required before external reuse.,Original Echo Buddha reflection; not a Buddha quote or scripture translation.,repository-reviewed,External Buddhist studies review not claimed.,keep-noindex,Current repository data presents this as original Echo Buddha writing.
compassion:loving-kindness-without-harm,"Loving-kindness begins by wishing no one, including yourself, more harm.",https://echobuddha.com/quotes/compassion/loving-kindness-without-harm/,Original Echo Buddha writing,Echo Buddha Editorial,Echo Buddha original editorial record,Not applicable for current original-writing classification,Not a canonical quotation,Not applicable,Not applicable,Original site editorial copy; owner/legal review still required before external reuse.,Original Echo Buddha reflection; not a Buddha quote or scripture translation.,repository-reviewed,External Buddhist studies review not claimed.,keep-noindex,Current repository data presents this as original Echo Buddha writing.
compassion:offer-others-the-patience-you-hope-to-receive-on,Offer others the patience you hope to receive on your difficult days.,https://echobuddha.com/quotes/compassion/offer-others-the-patience-you-hope-to-receive-on/,Original Echo Buddha writing,Echo Buddha Editorial,Echo Buddha original editorial record,Not applicable for current original-writing classification,Not a canonical quotation,Not applicable,Not applicable,Original site editorial copy; owner/legal review still required before external reuse.,Original Echo Buddha reflection; not a Buddha quote or scripture translation.,repository-reviewed,External Buddhist studies review not claimed.,keep-noindex,Current repository data presents this as original Echo Buddha writing.
compassion:small-kindnesses-often-reach-places-that-advice-cannot,Small kindnesses often reach places that advice cannot.,https://echobuddha.com/quotes/compassion/small-kindnesses-often-reach-places-that-advice-cannot/,Original Echo Buddha writing,Echo Buddha Editorial,Echo Buddha original editorial record,Not applicable for current original-writing classification,Not a canonical quotation,Not applicable,Not applicable,Original site editorial copy; owner/legal review still required before external reuse.,Original Echo Buddha reflection; not a Buddha quote or scripture translation.,repository-reviewed,External Buddhist studies review not claimed.,keep-noindex,Current repository data presents this as original Echo Buddha writing.
compassion:the-heart-becomes-spacious-each-time-it-chooses-care,The heart becomes spacious each time it chooses care over contempt.,https://echobuddha.com/quotes/compassion/the-heart-becomes-spacious-each-time-it-chooses-care/,Original Echo Buddha writing,Echo Buddha Editorial,Echo Buddha original editorial record,Not applicable for current original-writing classification,Not a canonical quotation,Not applicable,Not applicable,Original site editorial copy; owner/legal review still required before external reuse.,Original Echo Buddha reflection; not a Buddha quote or scripture translation.,repository-reviewed,External Buddhist studies review not claimed.,keep-noindex,Current repository data presents this as original Echo Buddha writing.
compassion:to-understand-someone-is-not-to-excuse-harm-it,To understand someone is not to excuse harm; it is to see more clearly.,https://echobuddha.com/quotes/compassion/to-understand-someone-is-not-to-excuse-harm-it/,Original Echo Buddha writing,Echo Buddha Editorial,Echo Buddha original editorial record,Not applicable for current original-writing classification,Not a canonical quotation,Not applicable,Not applicable,Original site editorial copy; owner/legal review still required before external reuse.,Original Echo Buddha reflection; not a Buddha quote or scripture translation.,repository-reviewed,External Buddhist studies review not claimed.,keep-noindex,Current repository data presents this as original Echo Buddha writing.
compassion:when-you-cannot-remove-anothers-burden-do-not-add,"When you cannot remove another&#39;s burden, do not add to its weight.",https://echobuddha.com/quotes/compassion/when-you-cannot-remove-anothers-burden-do-not-add/,Original Echo Buddha writing,Echo Buddha Editorial,Echo Buddha original editorial record,Not applicable for current original-writing classification,Not a canonical quotation,Not applicable,Not applicable,Original site editorial copy; owner/legal review still required before external reuse.,Original Echo Buddha reflection; not a Buddha quote or scripture translation.,repository-reviewed,External Buddhist studies review not claimed.,keep-noindex,Current repository data presents this as original Echo Buddha writing.
impermanence:acceptance-begins-where-the-argument-with-change-ends,Acceptance begins where the argument with change ends.,https://echobuddha.com/quotes/impermanence/acceptance-begins-where-the-argument-with-change-ends/,Original Echo Buddha writing,Echo Buddha Editorial,Echo Buddha original editorial record,Not applicable for current original-writing classification,Not a canonical quotation,Not applicable,Not applicable,Original site editorial copy; owner/legal review still required before external reuse.,Original Echo Buddha reflection; not a Buddha quote or scripture translation.,repository-reviewed,External Buddhist studies review not claimed.,keep-noindex,Current repository data presents this as original Echo Buddha writing.
impermanence:because-this-moment-will-pass-meet-it-while-it,"Because this moment will pass, meet it while it is here.",https://echobuddha.com/quotes/impermanence/because-this-moment-will-pass-meet-it-while-it/,Original Echo Buddha writing,Echo Buddha Editorial,Echo Buddha original editorial record,Not applicable for current original-writing classification,Not a canonical quotation,Not applicable,Not applicable,Original site editorial copy; owner/legal review still required before external reuse.,Original Echo Buddha reflection; not a Buddha quote or scripture translation.,repository-reviewed,External Buddhist studies review not claimed.,keep-noindex,Current repository data presents this as original Echo Buddha writing.
impermanence:change-is-how-life-continues,Change is not an interruption; it is the way life continues.,https://echobuddha.com/quotes/impermanence/change-is-how-life-continues/,Original Echo Buddha writing,Echo Buddha Editorial,Echo Buddha original editorial record,Not applicable for current original-writing classification,Not a canonical quotation,Not applicable,Not applicable,Original site editorial copy; owner/legal review still required before external reuse.,Original Echo Buddha reflection; not a Buddha quote or scripture translation.,repository-reviewed,External Buddhist studies review not claimed.,keep-noindex,Current repository data presents this as original Echo Buddha writing.
impermanence:change-takes-nothing-personally-it-simply-continues,Change takes nothing personally; it simply continues.,https://echobuddha.com/quotes/impermanence/change-takes-nothing-personally-it-simply-continues/,Original Echo Buddha writing,Echo Buddha Editorial,Echo Buddha original editorial record,Not applicable for current original-writing classification,Not a canonical quotation,Not applicable,Not applicable,Original site editorial copy; owner/legal review still required before external reuse.,Original Echo Buddha reflection; not a Buddha quote or scripture translation.,repository-reviewed,External Buddhist studies review not claimed.,keep-noindex,Current repository data presents this as original Echo Buddha writing.
impermanence:everything-changes-including-the-part-of-you-that-fears,"Everything changes, including the part of you that fears change.",https://echobuddha.com/quotes/impermanence/everything-changes-including-the-part-of-you-that-fears/,Original Echo Buddha writing,Echo Buddha Editorial,Echo Buddha original editorial record,Not applicable for current original-writing classification,Not a canonical quotation,Not applicable,Not applicable,Original site editorial copy; owner/legal review still required before external reuse.,Original Echo Buddha reflection; not a Buddha quote or scripture translation.,repository-reviewed,External Buddhist studies review not claimed.,keep-noindex,Current repository data presents this as original Echo Buddha writing.
impermanence:hold-each-day-carefully-knowing-it-cannot-be-held,"Hold each day carefully, knowing it cannot be held forever.",https://echobuddha.com/quotes/impermanence/hold-each-day-carefully-knowing-it-cannot-be-held/,Original Echo Buddha writing,Echo Buddha Editorial,Echo Buddha original editorial record,Not applicable for current original-writing classification,Not a canonical quotation,Not applicable,Not applicable,Original site editorial copy; owner/legal review still required before external reuse.,Original Echo Buddha reflection; not a Buddha quote or scripture translation.,repository-reviewed,External Buddhist studies review not claimed.,keep-noindex,Current repository data presents this as original Echo Buddha writing.
impermanence:meet-change-softly,Meet change softly; even endings deserve an unclenched heart.,https://echobuddha.com/quotes/impermanence/meet-change-softly/,Original Echo Buddha writing,Echo Buddha Editorial,Echo Buddha original editorial record,Not applicable for current original-writing classification,Not a canonical quotation,Not applicable,Not applicable,Original site editorial copy; owner/legal review still required before external reuse.,Original Echo Buddha reflection; not a Buddha quote or scripture translation.,repository-reviewed,External Buddhist studies review not claimed.,keep-noindex,Current repository data presents this as original Echo Buddha writing.
impermanence:no-season-is-asked-to-remain-in-order-to,No season is asked to remain in order to be loved.,https://echobuddha.com/quotes/impermanence/no-season-is-asked-to-remain-in-order-to/,Original Echo Buddha writing,Echo Buddha Editorial,Echo Buddha original editorial record,Not applicable for current original-writing classification,Not a canonical quotation,Not applicable,Not applicable,Original site editorial copy; owner/legal review still required before external reuse.,Original Echo Buddha reflection; not a Buddha quote or scripture translation.,repository-reviewed,External Buddhist studies review not claimed.,keep-noindex,Current repository data presents this as original Echo Buddha writing.
impermanence:the-fading-flower-does-not-make-its-blooming-less,The fading flower does not make its blooming less beautiful.,https://echobuddha.com/quotes/impermanence/the-fading-flower-does-not-make-its-blooming-less/,Original Echo Buddha writing,Echo Buddha Editorial,Echo Buddha original editorial record,Not applicable for current original-writing classification,Not a canonical quotation,Not applicable,Not applicable,Original site editorial copy; owner/legal review still required before external reuse.,Original Echo Buddha reflection; not a Buddha quote or scripture translation.,repository-reviewed,External Buddhist studies review not claimed.,keep-noindex,Current repository data presents this as original Echo Buddha writing.
impermanence:the-passing-of-joy-teaches-gratitude-the-passing-of,The passing of joy teaches gratitude; the passing of pain teaches hope.,https://echobuddha.com/quotes/impermanence/the-passing-of-joy-teaches-gratitude-the-passing-of/,Original Echo Buddha writing,Echo Buddha Editorial,Echo Buddha original editorial record,Not applicable for current original-writing classification,Not a canonical quotation,Not applicable,Not applicable,Original site editorial copy; owner/legal review still required before external reuse.,Original Echo Buddha reflection; not a Buddha quote or scripture translation.,repository-reviewed,External Buddhist studies review not claimed.,keep-noindex,Current repository data presents this as original Echo Buddha writing.
impermanence:todays-certainty-may-become-tomorrows-lesson-in-humility,Today&#39;s certainty may become tomorrow&#39;s lesson in humility.,https://echobuddha.com/quotes/impermanence/todays-certainty-may-become-tomorrows-lesson-in-humility/,Original Echo Buddha writing,Echo Buddha Editorial,Echo Buddha original editorial record,Not applicable for current original-writing classification,Not a canonical quotation,Not applicable,Not applicable,Original site editorial copy; owner/legal review still required before external reuse.,Original Echo Buddha reflection; not a Buddha quote or scripture translation.,repository-reviewed,External Buddhist studies review not claimed.,keep-noindex,Current repository data presents this as original Echo Buddha writing.
impermanence:what-changes-is-not-always-lost-sometimes-it-is,What changes is not always lost; sometimes it is being transformed.,https://echobuddha.com/quotes/impermanence/what-changes-is-not-always-lost-sometimes-it-is/,Original Echo Buddha writing,Echo Buddha Editorial,Echo Buddha original editorial record,Not applicable for current original-writing classification,Not a canonical quotation,Not applicable,Not applicable,Original site editorial copy; owner/legal review still required before external reuse.,Original Echo Buddha reflection; not a Buddha quote or scripture translation.,repository-reviewed,External Buddhist studies review not claimed.,keep-noindex,Current repository data presents this as original Echo Buddha writing.
letting-go:an-open-hand-can-care-for-what-a-clenched,An open hand can care for what a clenched fist cannot.,https://echobuddha.com/quotes/letting-go/an-open-hand-can-care-for-what-a-clenched/,Original Echo Buddha writing,Echo Buddha Editorial,Echo Buddha original editorial record,Not applicable for current original-writing classification,Not a canonical quotation,Not applicable,Not applicable,Original site editorial copy; owner/legal review still required before external reuse.,Original Echo Buddha reflection; not a Buddha quote or scripture translation.,repository-reviewed,External Buddhist studies review not claimed.,keep-noindex,Current repository data presents this as original Echo Buddha writing.
letting-go:caring-without-clinging,Letting go means caring fully without closing your hand around life.,https://echobuddha.com/quotes/letting-go/caring-without-clinging/,Original Echo Buddha writing,Echo Buddha Editorial,Echo Buddha original editorial record,Not applicable for current original-writing classification,Not a canonical quotation,Not applicable,Not applicable,Original site editorial copy; owner/legal review still required before external reuse.,Original Echo Buddha reflection; not a Buddha quote or scripture translation.,repository-reviewed,External Buddhist studies review not claimed.,keep-noindex,Current repository data presents this as original Echo Buddha writing.
letting-go:forgiveness-without-approving-harm,Forgiveness releases the poison without calling the wound acceptable.,https://echobuddha.com/quotes/letting-go/forgiveness-without-approving-harm/,Original Echo Buddha writing,Echo Buddha Editorial,Echo Buddha original editorial record,Not applicable for current original-writing classification,Not a canonical quotation,Not applicable,Not applicable,Original site editorial copy; owner/legal review still required before external reuse.,Original Echo Buddha reflection; not a Buddha quote or scripture translation.,repository-reviewed,External Buddhist studies review not claimed.,keep-noindex,Current repository data presents this as original Echo Buddha writing.
letting-go:freedom-often-sounds-like-the-quiet-end-of-an,Freedom often sounds like the quiet end of an inner argument.,https://echobuddha.com/quotes/letting-go/freedom-often-sounds-like-the-quiet-end-of-an/,Original Echo Buddha writing,Echo Buddha Editorial,Echo Buddha original editorial record,Not applicable for current original-writing classification,Not a canonical quotation,Not applicable,Not applicable,Original site editorial copy; owner/legal review still required before external reuse.,Original Echo Buddha reflection; not a Buddha quote or scripture translation.,repository-reviewed,External Buddhist studies review not claimed.,keep-noindex,Current repository data presents this as original Echo Buddha writing.
letting-go:let-the-feeling-pass-through-without-building-it-a,Let the feeling pass through without building it a permanent room.,https://echobuddha.com/quotes/letting-go/let-the-feeling-pass-through-without-building-it-a/,Original Echo Buddha writing,Echo Buddha Editorial,Echo Buddha original editorial record,Not applicable for current original-writing classification,Not a canonical quotation,Not applicable,Not applicable,Original site editorial copy; owner/legal review still required before external reuse.,Original Echo Buddha reflection; not a Buddha quote or scripture translation.,repository-reviewed,External Buddhist studies review not claimed.,keep-noindex,Current repository data presents this as original Echo Buddha writing.
letting-go:letting-go-begins-by-admitting-how-tightly-you-are,Letting go begins by admitting how tightly you are holding.,https://echobuddha.com/quotes/letting-go/letting-go-begins-by-admitting-how-tightly-you-are/,Original Echo Buddha writing,Echo Buddha Editorial,Echo Buddha original editorial record,Not applicable for current original-writing classification,Not a canonical quotation,Not applicable,Not applicable,Original site editorial copy; owner/legal review still required before external reuse.,Original Echo Buddha reflection; not a Buddha quote or scripture translation.,repository-reviewed,External Buddhist studies review not claimed.,keep-noindex,Current repository data presents this as original Echo Buddha writing.
letting-go:open-hands-non-attachment,Hold life with open hands; what is precious was never owned.,https://echobuddha.com/quotes/letting-go/open-hands-non-attachment/,Original Echo Buddha writing,Echo Buddha Editorial,Echo Buddha original editorial record,Not applicable for current original-writing classification,Not a canonical quotation,Not applicable,Not applicable,Original site editorial copy; owner/legal review still required before external reuse.,Original Echo Buddha reflection; not a Buddha quote or scripture translation.,repository-reviewed,External Buddhist studies review not claimed.,keep-noindex,Current repository data presents this as original Echo Buddha writing.
letting-go:peace-enters-when-control-is-no-longer-the-price,Peace enters when control is no longer the price of feeling safe.,https://echobuddha.com/quotes/letting-go/peace-enters-when-control-is-no-longer-the-price/,Original Echo Buddha writing,Echo Buddha Editorial,Echo Buddha original editorial record,Not applicable for current original-writing classification,Not a canonical quotation,Not applicable,Not applicable,Original site editorial copy; owner/legal review still required before external reuse.,Original Echo Buddha reflection; not a Buddha quote or scripture translation.,repository-reviewed,External Buddhist studies review not claimed.,keep-noindex,Current repository data presents this as original Echo Buddha writing.
