URL,Page family,Practice terms,Practice term count,Practice block,Risk,Action
https://echobuddha.com/articles/dhammapada-verse-1-meaning/,article,breath | notice | soften,3,Yes,3,KEEP
https://echobuddha.com/articles/eightfold-path-explained-daily-life/,article,pause | breath | notice | return,4,Yes,3,KEEP
https://echobuddha.com/articles/eightfold-path-explained/,article,breath | notice | return,3,Yes,3,KEEP
https://echobuddha.com/articles/equanimity-in-buddhism/,article,notice,1,Yes,3,KEEP
https://echobuddha.com/articles/first-week-buddhist-practice/,article,breath | notice | return | reflect,4,Yes,3,KEEP
https://echobuddha.com/articles/five-precepts-in-daily-life/,article,pause | notice | return | reflect,4,Yes,3,KEEP
https://echobuddha.com/articles/four-noble-truths-explained-simply/,article,breath | breathe | notice | name | soften | return,6,Yes,12,REVIEW_FOR_TOPIC_SPECIFICITY
https://echobuddha.com/articles/four-noble-truths-explained/,article,breath | notice | name,3,Yes,3,KEEP
https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,article,breath | notice | name | soften | return,5,Yes,12,REVIEW_FOR_TOPIC_SPECIFICITY
https://echobuddha.com/articles/how-to-meditate-for-anxiety/,article,pause | breath | notice | name | soften | return,6,Yes,12,REVIEW_FOR_TOPIC_SPECIFICITY
https://echobuddha.com/articles/how-to-meditate-for-beginners/,article,pause | breath | breathe | notice | return,5,Yes,7,KEEP
https://echobuddha.com/articles/how-to-practice-non-attachment/,article,pause | breath | notice | name | soften,5,Yes,7,KEEP
https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,article,breath | notice | soften | return,4,Yes,3,KEEP
https://echobuddha.com/articles/impermanence-in-buddhism/,article,breath | notice | soften | return,4,Yes,3,KEEP
https://echobuddha.com/articles/,hub/utility,pause | breath | return,3,Yes,3,KEEP
https://echobuddha.com/articles/letting-go-without-giving-up/,article,breath | notice | name | soften | return,5,Yes,12,REVIEW_FOR_TOPIC_SPECIFICITY
https://echobuddha.com/articles/loving-kindness-meditation-beginners/,article,pause | breath | notice | name | return,5,Yes,7,KEEP
https://echobuddha.com/articles/loving-kindness-meditation-guide/,article,pause | breath | notice | soften | return,5,Yes,7,KEEP
https://echobuddha.com/articles/metta-meditation-script/,article,pause | breath | notice | name | return,5,Yes,7,KEEP
https://echobuddha.com/articles/mindful-email-and-texting/,article,pause | breath | notice,3,Yes,3,KEEP
https://echobuddha.com/articles/mindful-listening-in-everyday-life/,article,pause | breath | notice | name | return | reflect,6,Yes,7,KEEP
https://echobuddha.com/articles/mindfulness-for-better-sleep/,article,pause | breath | notice | name | soften | return,6,Yes,7,KEEP
https://echobuddha.com/articles/mindfulness-morning-routine/,article,pause | breath | notice | name | return,5,Yes,7,KEEP
https://echobuddha.com/articles/mindfulness-of-breathing-guide/,article,pause | breath | breathe | notice | return,5,Yes,7,KEEP
https://echobuddha.com/articles/mindfulness-vs-meditation/,article,pause | breath | notice | name | soften | return,6,Yes,7,KEEP
https://echobuddha.com/articles/noble-eightfold-path-practical-guide/,article,pause | breath | notice | name | return,5,Yes,12,REVIEW_FOR_TOPIC_SPECIFICITY
https://echobuddha.com/articles/non-attachment-in-relationships/,article,breath | notice | name | soften,4,Yes,3,KEEP
https://echobuddha.com/articles/right-livelihood-modern-life/,article,,0,Yes,3,KEEP
https://echobuddha.com/articles/right-speech-buddhism/,article,pause | notice | name,3,Yes,3,KEEP
https://echobuddha.com/articles/right-speech-examples/,article,pause | return,2,Yes,3,KEEP
https://echobuddha.com/articles/three-poisons-buddhism-explained/,article,notice | name,2,Yes,3,KEEP
https://echobuddha.com/articles/three-ways-to-practice-patience/,article,pause | notice | name | return,4,Yes,3,KEEP
https://echobuddha.com/articles/visiting-a-buddhist-temple-respectfully/,article,,0,Yes,3,KEEP
https://echobuddha.com/articles/walking-meditation-step-by-step/,article,pause | breath | notice | soften | return,5,Yes,7,KEEP
https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,article,pause | breath | notice | soften | return,5,Yes,12,REVIEW_FOR_TOPIC_SPECIFICITY
https://echobuddha.com/articles/what-is-karma-in-buddhism/,article,pause | breath | notice,3,Yes,3,KEEP
https://echobuddha.com/articles/what-is-sangha-buddhist-community/,article,notice,1,Yes,3,KEEP
https://echobuddha.com/authors/echo-buddha-editorial/,author/trust,,0,Yes,3,KEEP
https://echobuddha.com/buddhist-sources-and-citations/,trust/policy,,0,No,0,KEEP
https://echobuddha.com/contact/,trust/policy,notice,1,No,0,KEEP
https://echobuddha.com/corrections/,trust/policy,,0,No,0,KEEP
https://echobuddha.com/daily-reflections/anger-as-a-signal/,daily reflection,pause | breath | return,3,Yes,3,KEEP
https://echobuddha.com/daily-reflections/begin-again-without-shame/,daily reflection,pause | return,2,Yes,3,KEEP
https://echobuddha.com/daily-reflections/compassion-begins-nearby/,daily reflection,pause | return,2,Yes,3,KEEP
https://echobuddha.com/daily-reflections/enough-for-this-moment/,daily reflection,pause | return,2,Yes,3,KEEP
https://echobuddha.com/daily-reflections/evening-release/,daily reflection,pause | name | return,3,Yes,3,KEEP
https://echobuddha.com/daily-reflections/family-patience/,daily reflection,pause | breath | return,3,Yes,3,KEEP
https://echobuddha.com/daily-reflections/forgiveness-without-approval/,daily reflection,pause | breath | notice | soften | return,5,Yes,7,KEEP
https://echobuddha.com/daily-reflections/gratitude-for-change/,daily reflection,pause | notice | name | return,4,Yes,3,KEEP
https://echobuddha.com/daily-reflections/gratitude-notices-enough/,daily reflection,pause | name | return,3,Yes,3,KEEP
https://echobuddha.com/daily-reflections/impermanence-softens-clinging/,daily reflection,pause | notice | return,3,Yes,3,KEEP
https://echobuddha.com/daily-reflections/,hub/utility,pause | breath | notice | name | soften | return | journal,7,Yes,10,REVIEW_FOR_TOPIC_SPECIFICITY
https://echobuddha.com/daily-reflections/kindness-with-boundaries/,daily reflection,pause | return,2,Yes,3,KEEP
https://echobuddha.com/daily-reflections/let-the-feeling-pass/,daily reflection,pause | notice | name | return,4,Yes,3,KEEP
https://echobuddha.com/daily-reflections/letting-go-keeps-care/,daily reflection,pause | notice | return,3,Yes,3,KEEP
https://echobuddha.com/daily-reflections/listen-before-answering/,daily reflection,pause | soften | return,3,Yes,3,KEEP
https://echobuddha.com/daily-reflections/metta-for-a-difficult-person/,daily reflection,pause | return,2,Yes,3,KEEP
https://echobuddha.com/daily-reflections/mindful-work/,daily reflection,pause | return,2,Yes,3,KEEP
https://echobuddha.com/daily-reflections/morning-intention/,daily reflection,pause | return,2,Yes,3,KEEP
https://echobuddha.com/daily-reflections/notice-before-fixing/,daily reflection,pause | notice | name | return,4,Yes,3,KEEP
https://echobuddha.com/daily-reflections/one-honest-breath/,daily reflection,pause | breath | notice | return,4,Yes,3,KEEP
https://echobuddha.com/daily-reflections/one-step-on-the-path/,daily reflection,pause | breath | return,3,Yes,3,KEEP
https://echobuddha.com/daily-reflections/patience-before-anger-speaks/,daily reflection,pause | breath | notice | return,4,Yes,3,KEEP
https://echobuddha.com/daily-reflections/rest-without-escape/,daily reflection,pause | return,2,Yes,3,KEEP
https://echobuddha.com/daily-reflections/see-the-conditions/,daily reflection,pause | notice | soften | return,4,Yes,3,KEEP
https://echobuddha.com/daily-reflections/simple-goodwill/,daily reflection,pause | return,2,Yes,3,KEEP
https://echobuddha.com/daily-reflections/small-actions-shape-the-mind/,daily reflection,pause | return,2,Yes,3,KEEP
https://echobuddha.com/daily-reflections/soften-the-inner-argument/,daily reflection,pause | name | soften | return,4,Yes,3,KEEP
https://echobuddha.com/daily-reflections/speech-can-reduce-suffering/,daily reflection,pause | return,2,Yes,3,KEEP
https://echobuddha.com/daily-reflections/the-first-truth-is-kind/,daily reflection,pause | name | return,3,Yes,3,KEEP
https://echobuddha.com/daily-reflections/thoughts-are-visitors/,daily reflection,pause | notice | return,3,Yes,3,KEEP
https://echobuddha.com/daily-reflections/today/,daily reflection utility,pause | breath | notice | name | soften | return | journal,7,Yes,10,REVIEW_FOR_TOPIC_SPECIFICITY
https://echobuddha.com/daily-reflections/walking-as-practice/,daily reflection,pause | notice | return,3,Yes,3,KEEP
https://echobuddha.com/disclaimer/,trust/policy,breath,1,Yes,3,KEEP
https://echobuddha.com/editorial-policy/,trust/policy,,0,No,0,KEEP
https://echobuddha.com/how-echo-buddha-creates-content/,trust/policy,,0,No,0,KEEP
https://echobuddha.com/,homepage,pause | breath | notice | soften | return | reflect | journal,7,Yes,15,REVIEW_FOR_TOPIC_SPECIFICITY
https://echobuddha.com/learn/buddhism-101/a-simple-daily-buddhist-practice/,learn detail,pause | breath | notice | return | reflect,5,Yes,7,KEEP
https://echobuddha.com/learn/buddhism-101/dependent-origination-explained/,learn detail,pause | breath | breathe | notice | soften,5,Yes,12,REVIEW_FOR_TOPIC_SPECIFICITY
https://echobuddha.com/learn/buddhism-101/five-aggregates-buddhism/,learn detail,pause | breath | notice | name | soften,5,Yes,12,REVIEW_FOR_TOPIC_SPECIFICITY
https://echobuddha.com/learn/buddhism-101/five-hindrances-in-buddhism/,learn detail,name | return,2,Yes,3,KEEP
https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/,learn detail,pause | notice | soften | return,4,Yes,3,KEEP
https://echobuddha.com/learn/buddhism-101/four-brahmaviharas/,learn detail,,0,Yes,3,KEEP
https://echobuddha.com/learn/buddhism-101/how-to-practice-buddhism-at-home/,learn detail,pause | breath | return,3,Yes,3,KEEP
https://echobuddha.com/learn/buddhism-101/,learn hub,,0,No,0,KEEP
https://echobuddha.com/learn/buddhism-101/middle-way-explained-for-beginners/,learn detail,,0,Yes,3,KEEP
https://echobuddha.com/learn/buddhism-101/right-livelihood-buddhism/,learn detail,pause | notice | reflect,3,Yes,3,KEEP
https://echobuddha.com/learn/buddhism-101/the-four-noble-truths-explained/,learn detail,name | soften,2,Yes,3,KEEP
https://echobuddha.com/learn/buddhism-101/the-noble-eightfold-path-explained/,learn detail,breath | notice,2,Yes,3,KEEP
https://echobuddha.com/learn/buddhism-101/the-three-jewels-explained/,learn detail,,0,Yes,3,KEEP
https://echobuddha.com/learn/buddhism-101/three-marks-of-existence/,learn detail,notice | name,2,Yes,3,KEEP
https://echobuddha.com/learn/buddhism-101/threefold-training-sila-samadhi-panna/,learn detail,breath,1,Yes,3,KEEP
https://echobuddha.com/learn/buddhism-101/what-is-buddhism/,learn detail,,0,Yes,3,KEEP
https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,learn detail,breath | notice | soften | return,4,Yes,3,KEEP
https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/,learn detail,name,1,Yes,3,KEEP
https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,learn detail,pause | breath | notice | return,4,Yes,3,KEEP
https://echobuddha.com/learn/buddhism-101/who-was-the-buddha/,learn detail,pause | breath | notice,3,Yes,3,KEEP
https://echobuddha.com/learn/buddhism-for-beginners/,learn hub,pause | notice | return,3,Yes,3,KEEP
https://echobuddha.com/learn/buddhist-dictionary/anatta/,learn detail,notice | soften,2,No,0,KEEP
https://echobuddha.com/learn/buddhist-dictionary/anicca/,learn detail,notice | name,2,No,0,KEEP
https://echobuddha.com/learn/buddhist-dictionary/compassion/,learn detail,pause,1,No,0,KEEP
https://echobuddha.com/learn/buddhist-dictionary/dhamma/,learn detail,pause | breath | return,3,Yes,3,KEEP
https://echobuddha.com/learn/buddhist-dictionary/dukkha/,learn detail,name,1,No,0,KEEP
https://echobuddha.com/learn/buddhist-dictionary/,learn hub,,0,No,0,KEEP
https://echobuddha.com/learn/buddhist-dictionary/karma/,learn detail,,0,No,0,KEEP
https://echobuddha.com/learn/buddhist-dictionary/karuna/,learn detail,,0,No,0,KEEP
https://echobuddha.com/learn/buddhist-dictionary/metta/,learn detail,breath | notice | return,3,Yes,3,KEEP
https://echobuddha.com/learn/buddhist-dictionary/mindfulness/,learn detail,pause | breath | notice | return,4,Yes,3,KEEP
https://echobuddha.com/learn/buddhist-dictionary/nirvana/,learn detail,notice,1,No,0,KEEP
https://echobuddha.com/learn/buddhist-dictionary/pali-canon/,learn detail,notice,1,No,0,KEEP
https://echobuddha.com/learn/buddhist-dictionary/sangha/,learn detail,return,1,No,0,KEEP
https://echobuddha.com/learn/buddhist-dictionary/sati/,learn detail,breath | notice | return,3,No,0,KEEP
https://echobuddha.com/learn/buddhist-dictionary/sutta/,learn detail,,0,No,0,KEEP
https://echobuddha.com/learn/buddhist-resources/,learn hub,,0,Yes,3,KEEP
https://echobuddha.com/learn/dhammapada-reflections/avoid-evil-do-good-purify-the-mind/,learn detail,pause | notice,2,No,0,KEEP
https://echobuddha.com/learn/dhammapada-reflections/better-than-a-thousand-empty-words/,learn detail,,0,No,0,KEEP
https://echobuddha.com/learn/dhammapada-reflections/hatred-is-not-ended-by-hatred/,learn detail,return | reflect,2,No,0,KEEP
https://echobuddha.com/learn/dhammapada-reflections/,learn hub,,0,No,0,KEEP
https://echobuddha.com/learn/dhammapada-reflections/peace-comes-from-a-trained-mind/,learn detail,breath | soften | return,3,No,0,KEEP
https://echobuddha.com/learn/dhammapada-reflections/the-mind-leads-all-things/,learn detail,,0,No,0,KEEP
https://echobuddha.com/learn/eightfold-path/,learn hub,notice,1,Yes,3,KEEP
https://echobuddha.com/learn/four-noble-truths/,learn hub,notice,1,Yes,3,KEEP
https://echobuddha.com/learn/,hub/utility,reflect,1,Yes,3,KEEP
https://echobuddha.com/learn/questions-about-buddhism/,learn hub,breath | notice,2,No,0,KEEP
https://echobuddha.com/learn/sutta-for-daily-life/buddhas-teaching-on-patience/,learn detail,,0,No,0,KEEP
https://echobuddha.com/learn/sutta-for-daily-life/dhammacakkappavattana-sutta-four-noble-truths/,learn detail,,0,No,0,KEEP
https://echobuddha.com/learn/sutta-for-daily-life/,learn hub,breath,1,No,0,KEEP
https://echobuddha.com/learn/sutta-for-daily-life/kalama-sutta-and-wise-thinking/,learn detail,,0,No,0,KEEP
https://echobuddha.com/learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/,learn detail,notice,1,No,0,KEEP
https://echobuddha.com/learn/sutta-for-daily-life/metta-sutta-explained-for-daily-life/,learn detail,notice,1,No,0,KEEP
https://echobuddha.com/learn/sutta-for-daily-life/mindfulness-of-breathing-explained-simply/,learn detail,breath | notice | return,3,No,0,KEEP
https://echobuddha.com/learn/sutta-for-daily-life/right-speech-in-daily-life/,learn detail,pause,1,No,0,KEEP
https://echobuddha.com/meditation-guide/,other,pause | breath | breathe | notice | name | soften | return,7,Yes,10,REVIEW_FOR_TOPIC_SPECIFICITY
https://echobuddha.com/meditation-safety/,trust/policy,breath | notice | return,3,Yes,3,KEEP
https://echobuddha.com/meditation/10-minute-meditation-practice/,meditation detail,breath | notice | return,3,Yes,3,KEEP
https://echobuddha.com/meditation/5-minute-meditation-practice/,meditation detail,pause | breath | notice | return,4,Yes,3,KEEP
https://echobuddha.com/meditation/breathing-meditation/,meditation detail,pause | breath | breathe | notice | soften | return,6,Yes,7,KEEP
https://echobuddha.com/meditation/,hub/utility,pause | breath,2,Yes,3,KEEP
https://echobuddha.com/meditation/loving-kindness-meditation/,meditation detail,breath | notice | return,3,Yes,3,KEEP
https://echobuddha.com/meditation/meditation-for-beginners/,meditation detail,breath | notice | return,3,Yes,3,KEEP
https://echobuddha.com/meditation/meditation-posture-for-beginners/,meditation detail,breath | notice | soften | return,4,Yes,3,KEEP
https://echobuddha.com/meditation/mindfulness-in-daily-life/,meditation detail,breath | notice | return,3,Yes,3,KEEP
https://echobuddha.com/meditation/walking-meditation/,meditation detail,pause | breath | notice | return,4,Yes,3,KEEP
https://echobuddha.com/meditation/when-meditation-feels-hard/,meditation detail,breath | notice | name | return,4,Yes,3,KEEP
https://echobuddha.com/mindful-living/,hub/utility,pause | soften | return | reflect,4,Yes,3,KEEP
https://echobuddha.com/privacy-policy/,trust/policy,,0,No,0,KEEP
https://echobuddha.com/quote-attribution-policy/,trust/policy,name,1,No,0,KEEP
https://echobuddha.com/quotes/awareness/acceptance-before-next-step/,quote story,notice | name | return,3,Yes,3,KEEP
https://echobuddha.com/quotes/awareness/anger-asks-for-speed-awareness-asks-for-one-more/,quote story,breath | name | return,3,Yes,3,KEEP
https://echobuddha.com/quotes/awareness/awareness-does-not-remove-the-storm-it-keeps-you/,quote story,name | return,2,Yes,3,KEEP
https://echobuddha.com/quotes/awareness/clear-seeing-begins-with-the-courage-to-stop-looking/,quote story,name | return,2,Yes,3,KEEP
https://echobuddha.com/quotes/awareness/feelings-are-honest-about-their-presence-not-always-about/,quote story,name | return,2,Yes,3,KEEP
https://echobuddha.com/quotes/awareness/feelings-without-the-wheel/,quote story,notice | name | return,3,Yes,3,KEEP
https://echobuddha.com/quotes/awareness/,quote category,breath | notice | name | return,4,Yes,3,KEEP
https://echobuddha.com/quotes/awareness/look-beneath-the-reaction-and-you-may-find-a/,quote story,name | return,2,Yes,3,KEEP
https://echobuddha.com/quotes/awareness/name-the-feeling-gently-and-it-may-stop-speaking/,quote story,name | return,2,Yes,3,KEEP
https://echobuddha.com/quotes/awareness/notice-the-habit-before-trying-to-become-someone-without/,quote story,notice | name | return,3,Yes,3,KEEP
https://echobuddha.com/quotes/awareness/one-breath-before-anger-replies/,quote story,pause | breath | breathe | notice | return,5,Yes,7,KEEP
https://echobuddha.com/quotes/awareness/small-acts-of-attention-can-turn-an-ordinary-day/,quote story,name | return,2,Yes,3,KEEP
https://echobuddha.com/quotes/awareness/the-body-often-knows-you-are-overwhelmed-before-the/,quote story,notice | name | return,3,Yes,3,KEEP
https://echobuddha.com/quotes/awareness/thoughts-are-visitors/,quote story,breath | notice | name | return,4,Yes,3,KEEP
https://echobuddha.com/quotes/awareness/thoughts-pass-without-commanding-you/,quote story,notice | return,2,Yes,3,KEEP
https://echobuddha.com/quotes/awareness/what-you-can-observe-clearly-no-longer-controls-you/,quote story,name | return,2,Yes,3,KEEP
https://echobuddha.com/quotes/awareness/when-the-mind-tightens-let-the-body-be-your/,quote story,name | return,2,Yes,3,KEEP
https://echobuddha.com/quotes/compassion/a-gentle-response-can-end-suffering-that-anger-would/,quote story,name | reflect,2,Yes,3,KEEP
https://echobuddha.com/quotes/compassion/before-judging-another-life-remember-how-much-of-your/,quote story,name | reflect,2,Yes,3,KEEP
https://echobuddha.com/quotes/compassion/compassion-asks-what-hurts-before-it-asks-who-is/,quote story,name | reflect,2,Yes,3,KEEP
https://echobuddha.com/quotes/compassion/compassion-grows-where-judgment-loosens-its-grip/,quote story,name | reflect,2,Yes,3,KEEP
https://echobuddha.com/quotes/compassion/compassion-sees-pain-clearly/,quote story,notice | reflect,2,Yes,3,KEEP
https://echobuddha.com/quotes/compassion/gentle-self-compassion/,quote story,notice | reflect,2,Yes,3,KEEP
https://echobuddha.com/quotes/compassion/,quote category,notice | reflect,2,No,0,KEEP
https://echobuddha.com/quotes/compassion/kindness-as-quiet-practice/,quote story,notice | reflect,2,Yes,3,KEEP
https://echobuddha.com/quotes/compassion/kindness-does-not-need-an-audience-to-become-meaningful/,quote story,notice | name | reflect,3,Yes,3,KEEP
https://echobuddha.com/quotes/compassion/let-kindness-be-the-echo-you-leave-in-every/,quote story,name | reflect,2,Yes,3,KEEP
https://echobuddha.com/quotes/compassion/let-your-boundaries-be-clear-and-your-heart-remain/,quote story,name | reflect,2,Yes,3,KEEP
https://echobuddha.com/quotes/compassion/loving-kindness-without-harm/,quote story,notice | reflect,2,Yes,3,KEEP
https://echobuddha.com/quotes/compassion/offer-others-the-patience-you-hope-to-receive-on/,quote story,name | reflect,2,Yes,3,KEEP
https://echobuddha.com/quotes/compassion/small-kindnesses-often-reach-places-that-advice-cannot/,quote story,name | reflect,2,Yes,3,KEEP
https://echobuddha.com/quotes/compassion/the-heart-becomes-spacious-each-time-it-chooses-care/,quote story,name | reflect,2,Yes,3,KEEP
https://echobuddha.com/quotes/compassion/to-understand-someone-is-not-to-excuse-harm-it/,quote story,notice | name | reflect,3,Yes,3,KEEP
https://echobuddha.com/quotes/compassion/when-you-cannot-remove-anothers-burden-do-not-add/,quote story,name | reflect,2,Yes,3,KEEP
https://echobuddha.com/quotes/impermanence/acceptance-begins-where-the-argument-with-change-ends/,quote story,name | soften,2,Yes,3,KEEP
https://echobuddha.com/quotes/impermanence/because-this-moment-will-pass-meet-it-while-it/,quote story,name | soften,2,Yes,3,KEEP
https://echobuddha.com/quotes/impermanence/change-is-how-life-continues/,quote story,notice | soften,2,Yes,3,KEEP
https://echobuddha.com/quotes/impermanence/change-takes-nothing-personally-it-simply-continues/,quote story,name | soften,2,Yes,3,KEEP
https://echobuddha.com/quotes/impermanence/everything-changes-including-the-part-of-you-that-fears/,quote story,notice | name | soften,3,Yes,3,KEEP
https://echobuddha.com/quotes/impermanence/hold-each-day-carefully-knowing-it-cannot-be-held/,quote story,name | soften,2,Yes,3,KEEP
https://echobuddha.com/quotes/impermanence/,quote category,notice | soften,2,No,0,KEEP
https://echobuddha.com/quotes/impermanence/meet-change-softly/,quote story,notice | name | soften,3,Yes,3,KEEP
https://echobuddha.com/quotes/impermanence/no-season-is-asked-to-remain-in-order-to/,quote story,name | soften,2,Yes,3,KEEP
https://echobuddha.com/quotes/impermanence/the-fading-flower-does-not-make-its-blooming-less/,quote story,name | soften,2,Yes,3,KEEP
https://echobuddha.com/quotes/impermanence/the-passing-of-joy-teaches-gratitude-the-passing-of/,quote story,notice | name | soften,3,Yes,3,KEEP
https://echobuddha.com/quotes/impermanence/todays-certainty-may-become-tomorrows-lesson-in-humility/,quote story,name | soften,2,Yes,3,KEEP
https://echobuddha.com/quotes/impermanence/what-changes-is-not-always-lost-sometimes-it-is/,quote story,name | soften,2,Yes,3,KEEP
https://echobuddha.com/quotes/,hub/utility,pause | breath | breathe | notice | name | soften | return,7,Yes,10,REVIEW_FOR_TOPIC_SPECIFICITY
https://echobuddha.com/quotes/letting-go/an-open-hand-can-care-for-what-a-clenched/,quote story,name,1,Yes,3,KEEP
https://echobuddha.com/quotes/letting-go/caring-without-clinging/,quote story,notice,1,Yes,3,KEEP
https://echobuddha.com/quotes/letting-go/forgiveness-without-approving-harm/,quote story,notice,1,Yes,3,KEEP
https://echobuddha.com/quotes/letting-go/freedom-often-sounds-like-the-quiet-end-of-an/,quote story,name,1,Yes,3,KEEP
https://echobuddha.com/quotes/letting-go/,quote category,breathe | notice | name,3,Yes,3,KEEP
https://echobuddha.com/quotes/letting-go/let-the-feeling-pass-through-without-building-it-a/,quote story,name,1,Yes,3,KEEP
https://echobuddha.com/quotes/letting-go/letting-go-begins-by-admitting-how-tightly-you-are/,quote story,name,1,Yes,3,KEEP
https://echobuddha.com/quotes/letting-go/open-hands-non-attachment/,quote story,notice | reflect,2,Yes,3,KEEP
https://echobuddha.com/quotes/letting-go/peace-enters-when-control-is-no-longer-the-price/,quote story,name,1,Yes,3,KEEP
https://echobuddha.com/quotes/letting-go/release-the-need-to-replay-what-can-no-longer/,quote story,notice | name,2,Yes,3,KEEP
https://echobuddha.com/quotes/letting-go/release-the-outcome-but-keep-the-care-you-bring/,quote story,name,1,Yes,3,KEEP
https://echobuddha.com/quotes/letting-go/soften-around-stress/,quote story,notice | soften,2,Yes,3,KEEP
https://echobuddha.com/quotes/letting-go/what-leaves-your-life-may-still-leave-wisdom-behind/,quote story,notice | name,2,Yes,3,KEEP
https://echobuddha.com/quotes/letting-go/where-attachment-begins/,quote story,breath | breathe | notice,3,Yes,3,KEEP
https://echobuddha.com/quotes/letting-go/you-can-honor-the-past-without-asking-it-to/,quote story,name,1,Yes,3,KEEP
https://echobuddha.com/quotes/letting-go/you-do-not-betray-a-memory-by-allowing-yourself/,quote story,name,1,Yes,3,KEEP
https://echobuddha.com/quotes/letting-go/you-do-not-need-to-carry-every-thought-that/,quote story,name,1,Yes,3,KEEP
https://echobuddha.com/quotes/meditation/a-short-sincere-practice-can-steady-a-long-and/,quote story,breath | name | return,3,Yes,3,KEEP
https://echobuddha.com/quotes/meditation/do-not-search-meditation-for-a-special-self-notice/,quote story,breath | notice | name | return,4,Yes,3,KEEP
https://echobuddha.com/quotes/meditation/every-return-from-distraction-strengthens-the-path-home/,quote story,breath | notice | name | return,4,Yes,3,KEEP
https://echobuddha.com/quotes/meditation/few-quiet-minutes/,quote story,breath | notice | return,3,Yes,3,KEEP
https://echobuddha.com/quotes/meditation/follow-the-breath-lightly-as-you-would-listen-to/,quote story,breath | name | return,3,Yes,3,KEEP
https://echobuddha.com/quotes/meditation/,quote category,breath | notice | return,3,Yes,3,KEEP
https://echobuddha.com/quotes/meditation/meditation-is-not-leaving-life-it-is-learning-how/,quote story,breath | name | return,3,Yes,3,KEEP
https://echobuddha.com/quotes/meditation/meditation-is-returning/,quote story,breath | notice | return,3,Yes,3,KEEP
https://echobuddha.com/quotes/meditation/one-honest-breath/,quote story,breath | breathe | notice | return,4,Yes,3,KEEP
https://echobuddha.com/quotes/meditation/silence-is-not-empty-when-the-heart-is-listening/,quote story,breath | name | return,3,Yes,3,KEEP
https://echobuddha.com/quotes/meditation/sit-with-the-day-as-it-is-before-asking/,quote story,breath | name | return,3,Yes,3,KEEP
https://echobuddha.com/quotes/meditation/sit-without-demanding-silence-and-the-mind-will-teach/,quote story,breath | notice | name | return,4,Yes,3,KEEP
