URL,Phase 4 quality baseline,Unique value preserved?,Intent differentiation preserved?,Completeness preserved?,Original insight preserved?,Source integrity preserved?,Editorial trust preserved?,Internal journey preserved?,UX preserved?,AdSense suitability preserved?,Any regression?,Evidence,Final status
https://echobuddha.com/daily-reflections/kindness-with-boundaries/,37/100 PHASE1_SCREENING_HEURISTIC / NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Compressed the article-like sequence into a form-specific reflection flow and integrated the natural next step with the concrete situation. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/daily-reflections/let-the-feeling-pass/,37/100 PHASE1_SCREENING_HEURISTIC / NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Compressed the article-like sequence into a form-specific reflection flow and integrated the natural next step with the concrete situation. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/daily-reflections/letting-go-keeps-care/,37/100 PHASE1_SCREENING_HEURISTIC / NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Compressed the article-like sequence into a form-specific reflection flow and integrated the natural next step with the concrete situation. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/daily-reflections/listen-before-answering/,37/100 PHASE1_SCREENING_HEURISTIC / NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Compressed the article-like sequence into a form-specific reflection flow and integrated the natural next step with the concrete situation. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/daily-reflections/metta-for-a-difficult-person/,37/100 PHASE1_SCREENING_HEURISTIC / NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Compressed the article-like sequence into a form-specific reflection flow and integrated the natural next step with the concrete situation. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/daily-reflections/mindful-work/,37/100 PHASE1_SCREENING_HEURISTIC / NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Compressed the article-like sequence into a form-specific reflection flow and integrated the natural next step with the concrete situation. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/daily-reflections/morning-intention/,37/100 PHASE1_SCREENING_HEURISTIC / NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Compressed the article-like sequence into a form-specific reflection flow and integrated the natural next step with the concrete situation. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/daily-reflections/notice-before-fixing/,37/100 PHASE1_SCREENING_HEURISTIC / NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Compressed the article-like sequence into a form-specific reflection flow and integrated the natural next step with the concrete situation. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/daily-reflections/one-honest-breath/,37/100 PHASE1_SCREENING_HEURISTIC / NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Compressed the article-like sequence into a form-specific reflection flow and integrated the natural next step with the concrete situation. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/daily-reflections/one-step-on-the-path/,37/100 PHASE1_SCREENING_HEURISTIC / NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Compressed the article-like sequence into a form-specific reflection flow and integrated the natural next step with the concrete situation. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/daily-reflections/patience-before-anger-speaks/,37/100 PHASE1_SCREENING_HEURISTIC / NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Compressed the article-like sequence into a form-specific reflection flow and integrated the natural next step with the concrete situation. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/daily-reflections/rest-without-escape/,37/100 PHASE1_SCREENING_HEURISTIC / NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Compressed the article-like sequence into a form-specific reflection flow and integrated the natural next step with the concrete situation. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/daily-reflections/see-the-conditions/,37/100 PHASE1_SCREENING_HEURISTIC / NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Compressed the article-like sequence into a form-specific reflection flow and integrated the natural next step with the concrete situation. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/daily-reflections/simple-goodwill/,37/100 PHASE1_SCREENING_HEURISTIC / NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Compressed the article-like sequence into a form-specific reflection flow and integrated the natural next step with the concrete situation. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/daily-reflections/small-actions-shape-the-mind/,37/100 PHASE1_SCREENING_HEURISTIC / NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Compressed the article-like sequence into a form-specific reflection flow and integrated the natural next step with the concrete situation. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/daily-reflections/soften-the-inner-argument/,37/100 PHASE1_SCREENING_HEURISTIC / NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Compressed the article-like sequence into a form-specific reflection flow and integrated the natural next step with the concrete situation. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/daily-reflections/speech-can-reduce-suffering/,37/100 PHASE1_SCREENING_HEURISTIC / NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Compressed the article-like sequence into a form-specific reflection flow and integrated the natural next step with the concrete situation. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/daily-reflections/the-first-truth-is-kind/,37/100 PHASE1_SCREENING_HEURISTIC / NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Compressed the article-like sequence into a form-specific reflection flow and integrated the natural next step with the concrete situation. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/daily-reflections/thoughts-are-visitors/,37/100 PHASE1_SCREENING_HEURISTIC / NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Compressed the article-like sequence into a form-specific reflection flow and integrated the natural next step with the concrete situation. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/daily-reflections/walking-as-practice/,37/100 PHASE1_SCREENING_HEURISTIC / NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Compressed the article-like sequence into a form-specific reflection flow and integrated the natural next step with the concrete situation. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/learn/buddhist-dictionary/anatta/,62/100 PHASE1_SCREENING_HEURISTIC / NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Made the dictionary experience explicitly definitional and compact in its framing: definition, usage/nuance, contextual use, comprehension, and reference boundaries. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/learn/buddhist-dictionary/anicca/,61/100 PHASE1_SCREENING_HEURISTIC / NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Made the dictionary experience explicitly definitional and compact in its framing: definition, usage/nuance, contextual use, comprehension, and reference boundaries. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/learn/buddhist-dictionary/compassion/,62/100 PHASE1_SCREENING_HEURISTIC / NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Made the dictionary experience explicitly definitional and compact in its framing: definition, usage/nuance, contextual use, comprehension, and reference boundaries. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/learn/buddhist-dictionary/dhamma/,68/100 PHASE1_SCREENING_HEURISTIC / NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Made the dictionary experience explicitly definitional and compact in its framing: definition, usage/nuance, contextual use, comprehension, and reference boundaries. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/learn/buddhist-dictionary/dukkha/,62/100 PHASE1_SCREENING_HEURISTIC / NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Made the dictionary experience explicitly definitional and compact in its framing: definition, usage/nuance, contextual use, comprehension, and reference boundaries. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/learn/buddhist-dictionary/karma/,61/100 PHASE1_SCREENING_HEURISTIC / NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Made the dictionary experience explicitly definitional and compact in its framing: definition, usage/nuance, contextual use, comprehension, and reference boundaries. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/learn/buddhist-dictionary/karuna/,62/100 PHASE1_SCREENING_HEURISTIC / NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Made the dictionary experience explicitly definitional and compact in its framing: definition, usage/nuance, contextual use, comprehension, and reference boundaries. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/learn/buddhist-dictionary/metta/,75/100 INDEPENDENT_RECONCILIATION / REMEDIATED_VALIDATED,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Made the dictionary experience explicitly definitional and compact in its framing: definition, usage/nuance, contextual use, comprehension, and reference boundaries. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/learn/buddhist-dictionary/mindfulness/,61/100 PHASE1_SCREENING_HEURISTIC / NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Made the dictionary experience explicitly definitional and compact in its framing: definition, usage/nuance, contextual use, comprehension, and reference boundaries. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/learn/buddhist-dictionary/nirvana/,62/100 PHASE1_SCREENING_HEURISTIC / NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Made the dictionary experience explicitly definitional and compact in its framing: definition, usage/nuance, contextual use, comprehension, and reference boundaries. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/learn/buddhist-dictionary/pali-canon/,65/100 PHASE1_SCREENING_HEURISTIC / NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Made the dictionary experience explicitly definitional and compact in its framing: definition, usage/nuance, contextual use, comprehension, and reference boundaries. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/learn/buddhist-dictionary/sangha/,64/100 PHASE1_SCREENING_HEURISTIC / NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Made the dictionary experience explicitly definitional and compact in its framing: definition, usage/nuance, contextual use, comprehension, and reference boundaries. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/learn/buddhist-dictionary/sati/,62/100 PHASE1_SCREENING_HEURISTIC / NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Made the dictionary experience explicitly definitional and compact in its framing: definition, usage/nuance, contextual use, comprehension, and reference boundaries. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/learn/buddhist-dictionary/sutta/,62/100 PHASE1_SCREENING_HEURISTIC / NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Made the dictionary experience explicitly definitional and compact in its framing: definition, usage/nuance, contextual use, comprehension, and reference boundaries. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/learn/dhammapada-reflections/avoid-evil-do-good-purify-the-mind/,61/100 PHASE1_SCREENING_HEURISTIC / NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Made source-study framing explicit through study focus, passage significance, interpretive boundary, editorial reflection, and text/source notes. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/learn/dhammapada-reflections/better-than-a-thousand-empty-words/,62/100 PHASE1_SCREENING_HEURISTIC / NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Made source-study framing explicit through study focus, passage significance, interpretive boundary, editorial reflection, and text/source notes. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/learn/dhammapada-reflections/hatred-is-not-ended-by-hatred/,62/100 PHASE1_SCREENING_HEURISTIC / NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Made source-study framing explicit through study focus, passage significance, interpretive boundary, editorial reflection, and text/source notes. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/learn/dhammapada-reflections/peace-comes-from-a-trained-mind/,61/100 PHASE1_SCREENING_HEURISTIC / NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Made source-study framing explicit through study focus, passage significance, interpretive boundary, editorial reflection, and text/source notes. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/learn/dhammapada-reflections/the-mind-leads-all-things/,61/100 PHASE1_SCREENING_HEURISTIC / NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Made source-study framing explicit through study focus, passage significance, interpretive boundary, editorial reflection, and text/source notes. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/learn/sutta-for-daily-life/buddhas-teaching-on-patience/,61/100 PHASE1_SCREENING_HEURISTIC / NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Made source-study framing explicit through study focus, passage significance, interpretive boundary, editorial reflection, and text/source notes. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/learn/sutta-for-daily-life/dhammacakkappavattana-sutta-four-noble-truths/,78/100 INDEPENDENT_RECONCILIATION / REMEDIATED_VALIDATED,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Made source-study framing explicit through study focus, passage significance, interpretive boundary, editorial reflection, and text/source notes. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/learn/sutta-for-daily-life/kalama-sutta-and-wise-thinking/,62/100 PHASE1_SCREENING_HEURISTIC / NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Made source-study framing explicit through study focus, passage significance, interpretive boundary, editorial reflection, and text/source notes. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/,77/100 INDEPENDENT_RECONCILIATION / REMEDIATED_VALIDATED,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Made source-study framing explicit through study focus, passage significance, interpretive boundary, editorial reflection, and text/source notes. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/learn/sutta-for-daily-life/metta-sutta-explained-for-daily-life/,75/100 INDEPENDENT_RECONCILIATION / REMEDIATED_VALIDATED,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Made source-study framing explicit through study focus, passage significance, interpretive boundary, editorial reflection, and text/source notes. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/learn/sutta-for-daily-life/mindfulness-of-breathing-explained-simply/,62/100 PHASE1_SCREENING_HEURISTIC / NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Made source-study framing explicit through study focus, passage significance, interpretive boundary, editorial reflection, and text/source notes. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/learn/sutta-for-daily-life/right-speech-in-daily-life/,61/100 PHASE1_SCREENING_HEURISTIC / NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Made source-study framing explicit through study focus, passage significance, interpretive boundary, editorial reflection, and text/source notes. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/meditation/10-minute-meditation-practice/,63/100 PHASE1_SCREENING_HEURISTIC / NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Separated meditation guidance from the generic learning-page labels with a practice-led purpose, difficulty, session, and post-session sequence. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/meditation/5-minute-meditation-practice/,58/100 PHASE1_SCREENING_HEURISTIC / NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Separated meditation guidance from the generic learning-page labels with a practice-led purpose, difficulty, session, and post-session sequence. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/meditation/breathing-meditation/,75/100 INDEPENDENT_RECONCILIATION / REMEDIATED_VALIDATED,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Separated meditation guidance from the generic learning-page labels with a practice-led purpose, difficulty, session, and post-session sequence. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/meditation/loving-kindness-meditation/,74/100 INDEPENDENT_RECONCILIATION / REMEDIATED_VALIDATED,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Separated meditation guidance from the generic learning-page labels with a practice-led purpose, difficulty, session, and post-session sequence. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/meditation/meditation-for-beginners/,63/100 PHASE1_SCREENING_HEURISTIC / NO_CHANGE_REQUIRED_VALIDATED,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Separated meditation guidance from the generic learning-page labels with a practice-led purpose, difficulty, session, and post-session sequence. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/meditation/meditation-posture-for-beginners/,63/100 PHASE1_SCREENING_HEURISTIC / NO_CHANGE_REQUIRED_VALIDATED,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Separated meditation guidance from the generic learning-page labels with a practice-led purpose, difficulty, session, and post-session sequence. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/meditation/mindfulness-in-daily-life/,58/100 PHASE1_SCREENING_HEURISTIC / NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Separated meditation guidance from the generic learning-page labels with a practice-led purpose, difficulty, session, and post-session sequence. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/meditation/walking-meditation/,73/100 INDEPENDENT_RECONCILIATION / REMEDIATED_VALIDATED,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Separated meditation guidance from the generic learning-page labels with a practice-led purpose, difficulty, session, and post-session sequence. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/meditation/when-meditation-feels-hard/,78/100 INDEPENDENT_RECONCILIATION / REMEDIATED_VALIDATED,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Separated meditation guidance from the generic learning-page labels with a practice-led purpose, difficulty, session, and post-session sequence. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/quotes/awareness/acceptance-before-next-step/,56/100 PHASE1_SCREENING_HEURISTIC / NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Replaced the site-wide story/application/practice heading shell with theme-led reflection movements; consolidated the context callout; removed the redundant generic closing. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/quotes/awareness/anger-asks-for-speed-awareness-asks-for-one-more/,46/100 PHASE1_SCREENING_HEURISTIC / NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Replaced the site-wide story/application/practice heading shell with theme-led reflection movements; consolidated the context callout; removed the redundant generic closing. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/quotes/awareness/awareness-does-not-remove-the-storm-it-keeps-you/,46/100 PHASE1_SCREENING_HEURISTIC / NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Replaced the site-wide story/application/practice heading shell with theme-led reflection movements; consolidated the context callout; removed the redundant generic closing. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/quotes/awareness/clear-seeing-begins-with-the-courage-to-stop-looking/,NOT_SCORED / NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Replaced the site-wide story/application/practice heading shell with theme-led reflection movements; consolidated the context callout; removed the redundant generic closing. Body facts, examples, practices, links, and protected notes were retained.",PASS
https://echobuddha.com/quotes/awareness/feelings-are-honest-about-their-presence-not-always-about/,NOT_SCORED / NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Replaced the site-wide story/application/practice heading shell with theme-led reflection movements; consolidated the context callout; removed the redundant generic closing. Body facts, examples, practices, links, and protected notes were retained.",PASS
