URL,Page family,Repeated introduction risk before,Repeated introduction risk after,Heading-sequence risk before,Heading-sequence risk after,Transition risk before,Transition risk after,Practice-scaffold risk before,Practice-scaffold risk after,FAQ risk before,FAQ risk after,Conclusion risk before,Conclusion risk after,Portable example risk before,Portable example risk after,Cross-family structural risk before,Cross-family structural risk after,Generic filler risk before,Generic filler risk after,Total before,Total after,Classification before,Classification after,Quality gate,Differentiation gate
https://echobuddha.com/quotes/letting-go/peace-enters-when-control-is-no-longer-the-price/,quote story,0,0,8,8,0,0,3,3,0,0,2,2,0,0,1,1,1,1,15,15,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/letting-go/release-the-need-to-replay-what-can-no-longer/,quote story,0,0,8,8,1,1,3,3,0,0,0,0,0,0,1,1,1,1,14,14,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/letting-go/release-the-outcome-but-keep-the-care-you-bring/,quote story,0,0,8,8,0,0,3,3,0,0,0,0,0,0,1,1,1,1,13,13,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/letting-go/soften-around-stress/,quote story,0,0,5,8,2,1,3,3,0,0,0,0,0,0,1,1,1,1,12,14,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/letting-go/what-leaves-your-life-may-still-leave-wisdom-behind/,quote story,0,0,8,8,1,1,3,3,0,0,0,0,0,0,1,1,1,1,14,14,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/letting-go/where-attachment-begins/,quote story,0,0,5,8,2,2,3,3,0,0,0,0,0,0,1,1,1,1,12,15,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/letting-go/you-can-honor-the-past-without-asking-it-to/,quote story,0,0,8,8,0,0,3,3,0,0,0,0,0,0,1,1,1,1,13,13,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/letting-go/you-do-not-betray-a-memory-by-allowing-yourself/,quote story,0,0,8,8,0,0,3,3,0,0,0,0,0,0,1,1,1,1,13,13,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/letting-go/you-do-not-need-to-carry-every-thought-that/,quote story,0,0,8,8,0,0,3,3,0,0,0,0,0,0,1,1,5,5,17,17,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/meditation/a-short-sincere-practice-can-steady-a-long-and/,quote story,0,0,8,8,0,0,3,3,0,0,0,0,0,0,0,0,1,1,12,12,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/meditation/do-not-search-meditation-for-a-special-self-notice/,quote story,0,0,8,8,6,5,3,3,0,0,2,2,0,0,0,0,1,1,20,19,MODERATE,LOW,PASS,PASS
https://echobuddha.com/quotes/meditation/every-return-from-distraction-strengthens-the-path-home/,quote story,0,0,8,8,1,1,3,3,0,0,0,0,0,0,0,0,1,1,13,13,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/meditation/few-quiet-minutes/,quote story,0,0,5,8,2,2,3,3,0,0,0,0,4,4,0,0,1,1,15,18,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/meditation/follow-the-breath-lightly-as-you-would-listen-to/,quote story,0,0,8,8,0,0,3,3,0,0,0,0,0,0,0,0,1,1,12,12,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/meditation/meditation-is-not-leaving-life-it-is-learning-how/,quote story,0,0,8,8,0,0,3,3,0,0,0,0,0,0,0,0,1,1,12,12,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/meditation/meditation-is-returning/,quote story,3,3,5,8,2,2,3,3,0,0,0,0,0,0,0,0,1,1,14,17,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/meditation/one-honest-breath/,quote story,0,0,5,8,2,2,3,3,0,0,0,0,2,2,0,0,1,1,13,16,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/meditation/silence-is-not-empty-when-the-heart-is-listening/,quote story,0,0,8,8,0,0,3,3,0,0,0,0,0,0,0,0,1,1,12,12,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/meditation/sit-with-the-day-as-it-is-before-asking/,quote story,0,0,8,8,0,0,3,3,0,0,0,0,0,0,0,0,1,1,12,12,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/meditation/sit-without-demanding-silence-and-the-mind-will-teach/,quote story,0,0,8,8,1,1,3,3,0,0,0,0,0,0,0,0,1,1,13,13,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/meditation/the-bell-fades-but-careful-listening-can-continue/,quote story,0,0,8,8,0,0,3,3,0,0,0,0,0,0,0,0,1,1,12,12,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/meditation/the-cushion-is-a-place-to-practice-returning-not/,quote story,0,0,8,8,0,0,3,3,0,0,0,0,0,0,0,0,1,1,12,12,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/meditation/when-stillness-feels-impossible-begin-by-noticing-the-restlessness/,quote story,0,0,8,8,6,6,3,3,0,0,0,0,0,0,0,0,1,1,18,18,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/mindfulness/a-peaceful-mind-begins-with-one-honest-breath/,quote story,0,0,8,8,1,1,3,3,0,0,2,2,0,0,0,0,1,1,15,15,LOW,LOW,PASS,PASS
