"Topic","Primary owner URL","Current index state","Clicks","Impressions","CTR","Position","Prior-period impressions","Trend","Visible query count","Visible query intent alignment","Support pages ranking?","Cannibalization risk","GSC internal links","Last crawl","Deployment relation","Maturity","Current assessment","Recommended action"
"Equanimity","https://echobuddha.com/articles/equanimity-in-buddhism/","indexable","0","3","0%","75.67","1","SEARCH-VISIBLE","0","Insufficient visible query evidence","Not observed","LOW / INSUFFICIENT","Not in top-target export","Not supplied","Performance predates final Phase 8/9","EARLY","EARLY RECOGNITION","PROTECT / OBSERVE; do not replace owner from aggregate GSC data"
"Right Speech","https://echobuddha.com/articles/right-speech-buddhism/","indexable","3","178","1.69%","27.13","0","SEARCH-VISIBLE","11","Thematic alignment only; query x page unavailable","Yes","LOW / INSUFFICIENT","55","Not supplied","Performance predates final Phase 8/9","DEVELOPING","EARLY RECOGNITION","PROTECT / OBSERVE; do not replace owner from aggregate GSC data"
"Patience","https://echobuddha.com/articles/three-ways-to-practice-patience/","indexable","0","0","0%","Not visible","10","ZERO/NOT REPORTED","19","Thematic alignment only; query x page unavailable","Yes","LOW / INSUFFICIENT","Not in top-target export","Not supplied","Performance predates final Phase 8/9","INSUFFICIENT","INSUFFICIENT DATA","PROTECT / OBSERVE; do not replace owner from aggregate GSC data"
"Anger","https://echobuddha.com/articles/buddhist-approach-to-anger/","indexable","0","0","0%","Not visible","1","ZERO/NOT REPORTED","0","Insufficient visible query evidence","Not observed","LOW / INSUFFICIENT","Not in top-target export","Not supplied","Performance predates final Phase 8/9","INSUFFICIENT","INSUFFICIENT DATA","PROTECT / OBSERVE; do not replace owner from aggregate GSC data"
"Forgiveness","https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/","indexable","0","1","0%","45","0","SEARCH-VISIBLE","0","Insufficient visible query evidence","Not observed","LOW / INSUFFICIENT","Not in top-target export","Not supplied","Performance predates final Phase 8/9","EARLY","EARLY RECOGNITION","PROTECT / OBSERVE; do not replace owner from aggregate GSC data"
"Gratitude","https://echobuddha.com/articles/buddhist-gratitude-practice/","indexable","0","0","0%","Not visible","1","ZERO/NOT REPORTED","0","Insufficient visible query evidence","Not observed","LOW / INSUFFICIENT","Not in top-target export","Not supplied","Performance predates final Phase 8/9","INSUFFICIENT","INSUFFICIENT DATA","PROTECT / OBSERVE; do not replace owner from aggregate GSC data"
"Dhamma / Dharma","https://echobuddha.com/learn/buddhist-dictionary/dhamma/","indexable","0","67","0%","49.16","41","SEARCH-VISIBLE","34","Thematic alignment only; query x page unavailable","Yes","LOW / INSUFFICIENT","Not in top-target export","Not supplied","Performance predates final Phase 8/9","DEVELOPING","TOPIC RECOGNIZED / NOT YET COMPETITIVE","PROTECT / OBSERVE; do not replace owner from aggregate GSC data"
"Sangha","https://echobuddha.com/articles/what-is-sangha-buddhist-community/","indexable","0","69","0%","81.51","4","SEARCH-VISIBLE","25","Thematic alignment only; query x page unavailable","Yes","LOW / INSUFFICIENT","Not in top-target export","Not supplied","Performance predates final Phase 8/9","DEVELOPING","TOPIC RECOGNIZED / NOT YET COMPETITIVE","PROTECT / OBSERVE; do not replace owner from aggregate GSC data"
"Meditation","https://echobuddha.com/meditation/","indexable","0","4","0%","11","0","SEARCH-VISIBLE","1","Thematic alignment only; query x page unavailable","Yes","LOW / INSUFFICIENT","298","Not supplied","Performance predates final Phase 8/9","EARLY","EARLY RECOGNITION","PROTECT / OBSERVE; do not replace owner from aggregate GSC data"
"Breath / Mindfulness of Breathing","https://echobuddha.com/articles/mindfulness-of-breathing-guide/","indexable","0","0","0%","Not visible","0","ZERO/NOT REPORTED","0","Insufficient visible query evidence","Not observed","LOW / INSUFFICIENT","Not in top-target export","Not supplied","Performance predates final Phase 8/9","INSUFFICIENT","INSUFFICIENT DATA","PROTECT / OBSERVE; do not replace owner from aggregate GSC data"
"Walking Meditation","https://echobuddha.com/meditation/walking-meditation/","indexable","0","0","0%","Not visible","0","ZERO/NOT REPORTED","0","Insufficient visible query evidence","Yes","LOW / INSUFFICIENT","Not in top-target export","Not supplied","Performance predates final Phase 8/9","INSUFFICIENT","INSUFFICIENT DATA","PROTECT / OBSERVE; do not replace owner from aggregate GSC data"
"Anxiety / Overthinking","https://echobuddha.com/articles/how-to-meditate-for-anxiety/","indexable","0","0","0%","Not visible","1","ZERO/NOT REPORTED","0","Insufficient visible query evidence","Yes","LOW / INSUFFICIENT","Not in top-target export","Not supplied","Performance predates final Phase 8/9","INSUFFICIENT","INSUFFICIENT DATA","PROTECT / OBSERVE; do not replace owner from aggregate GSC data"
"Sleep","https://echobuddha.com/articles/mindfulness-for-better-sleep/","indexable","0","0","0%","Not visible","0","ZERO/NOT REPORTED","0","Insufficient visible query evidence","Not observed","LOW / INSUFFICIENT","Not in top-target export","Not supplied","Performance predates final Phase 8/9","INSUFFICIENT","INSUFFICIENT DATA","PROTECT / OBSERVE; do not replace owner from aggregate GSC data"
"Mindfulness","https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/","indexable","0","3","0%","29","1","SEARCH-VISIBLE","4","Thematic alignment only; query x page unavailable","Not observed","LOW / INSUFFICIENT","Not in top-target export","Not supplied","Performance predates final Phase 8/9","EARLY","EARLY RECOGNITION","PROTECT / OBSERVE; do not replace owner from aggregate GSC data"
"Dhammapada","https://echobuddha.com/learn/dhammapada-reflections/","indexable","0","1","0%","50","1","SEARCH-VISIBLE","10","Thematic alignment only; query x page unavailable","Yes","LOW / INSUFFICIENT","Not in top-target export","Not supplied","Performance predates final Phase 8/9","EARLY","EARLY RECOGNITION","PROTECT / OBSERVE; do not replace owner from aggregate GSC data"
"Sutta Study","https://echobuddha.com/learn/sutta-for-daily-life/","indexable","0","0","0%","Not visible","0","ZERO/NOT REPORTED","8","Thematic alignment only; query x page unavailable","Yes","LOW / INSUFFICIENT","Not in top-target export","Not supplied","Performance predates final Phase 8/9","INSUFFICIENT","INSUFFICIENT DATA","PROTECT / OBSERVE; do not replace owner from aggregate GSC data"
"Buddhist Dictionary","https://echobuddha.com/learn/buddhist-dictionary/","indexable","0","0","0%","Not visible","9","ZERO/NOT REPORTED","0","Insufficient visible query evidence","Not observed","LOW / INSUFFICIENT","Not in top-target export","Not supplied","Performance predates final Phase 8/9","INSUFFICIENT","INSUFFICIENT DATA","PROTECT / OBSERVE; do not replace owner from aggregate GSC data"
"Quotes","https://echobuddha.com/quotes/","indexable","0","7","0%","6","11","SEARCH-VISIBLE","1","Thematic alignment only; query x page unavailable","Yes","LOW / INSUFFICIENT","300","Not supplied","Performance predates final Phase 8/9","EARLY","EARLY RECOGNITION","PROTECT / OBSERVE; do not replace owner from aggregate GSC data"
"Daily Reflections","https://echobuddha.com/daily-reflections/","indexable","0","0","0%","Not visible","0","ZERO/NOT REPORTED","0","Insufficient visible query evidence","Yes","LOW / INSUFFICIENT","Not in top-target export","Not supplied","Performance predates final Phase 8/9","INSUFFICIENT","INSUFFICIENT DATA","PROTECT / OBSERVE; do not replace owner from aggregate GSC data"
"Right Livelihood","https://echobuddha.com/learn/buddhism-101/right-livelihood-buddhism/","indexable","0","3","0%","6.67","2","SEARCH-VISIBLE","0","Insufficient visible query evidence","Yes","LOW / INSUFFICIENT","Not in top-target export","Not supplied","Performance predates final Phase 8/9","EARLY","EARLY RECOGNITION","PROTECT / OBSERVE; do not replace owner from aggregate GSC data"
"Brahmaviharas","https://echobuddha.com/learn/buddhism-101/four-brahmaviharas/","indexable","0","11","0%","60.64","0","SEARCH-VISIBLE","3","Thematic alignment only; query x page unavailable","Not observed","LOW / INSUFFICIENT","Not in top-target export","Not supplied","Performance predates final Phase 8/9","EARLY","EARLY RECOGNITION","PROTECT / OBSERVE; do not replace owner from aggregate GSC data"
"Buddhist Foundations","https://echobuddha.com/learn/buddhism-101/","indexable","0","0","0%","Not visible","1","ZERO/NOT REPORTED","2","Thematic alignment only; query x page unavailable","Yes","LOW / INSUFFICIENT","Not in top-target export","Not supplied","Performance predates final Phase 8/9","INSUFFICIENT","INSUFFICIENT DATA","PROTECT / OBSERVE; do not replace owner from aggregate GSC data"
"Buddhist Practice","https://echobuddha.com/articles/category/practice/","indexable","0","0","0%","Not visible","6","ZERO/NOT REPORTED","0","Insufficient visible query evidence","Not observed","LOW / INSUFFICIENT","Not in top-target export","Not supplied","Performance predates final Phase 8/9","INSUFFICIENT","INSUFFICIENT DATA","PROTECT / OBSERVE; do not replace owner from aggregate GSC data"
"Article Discovery","https://echobuddha.com/articles/","indexable","0","4","0%","10.5","10","SEARCH-VISIBLE","0","Insufficient visible query evidence","Yes","LOW / INSUFFICIENT","301","Not supplied","Performance predates final Phase 8/9","EARLY","EARLY RECOGNITION","PROTECT / OBSERVE; do not replace owner from aggregate GSC data"
"Learn Navigation","https://echobuddha.com/learn/","indexable","0","2","0%","6","1","SEARCH-VISIBLE","0","Insufficient visible query evidence","Yes","LOW / INSUFFICIENT","300","Not supplied","Performance predates final Phase 8/9","EARLY","EARLY RECOGNITION","PROTECT / OBSERVE; do not replace owner from aggregate GSC data"
"Newcomer Orientation","https://echobuddha.com/start-here/","indexable","0","0","0%","Not visible","0","ZERO/NOT REPORTED","0","Insufficient visible query evidence","Not observed","LOW / INSUFFICIENT","Not in top-target export","Not supplied","Performance predates final Phase 8/9","INSUFFICIENT","INSUFFICIENT DATA","PROTECT / OBSERVE; do not replace owner from aggregate GSC data"
"Mindful Living","https://echobuddha.com/mindful-living/","indexable","0","3","0%","15","0","SEARCH-VISIBLE","0","Insufficient visible query evidence","Not observed","LOW / INSUFFICIENT","2","Not supplied","Performance predates final Phase 8/9","EARLY","EARLY RECOGNITION","PROTECT / OBSERVE; do not replace owner from aggregate GSC data"
"Trust / Policy","https://echobuddha.com/about/","indexable","0","11","0%","10.64","4","SEARCH-VISIBLE","0","Insufficient visible query evidence","Yes","LOW / INSUFFICIENT","299","Not supplied","Performance predates final Phase 8/9","EARLY","EARLY RECOGNITION","PROTECT / OBSERVE; do not replace owner from aggregate GSC data"
"Utility","https://echobuddha.com/tools/","indexable","0","0","0%","Not visible","0","ZERO/NOT REPORTED","0","Insufficient visible query evidence","Not observed","LOW / INSUFFICIENT","Not in top-target export","Not supplied","Performance predates final Phase 8/9","INSUFFICIENT","INSUFFICIENT DATA","PROTECT / OBSERVE; do not replace owner from aggregate GSC data"
"Site Discovery","https://echobuddha.com/","indexable","4","46","8.7%","5.35","32","SEARCH-VISIBLE","60","Thematic alignment only; query x page unavailable","Not observed","LOW / INSUFFICIENT","523","Not supplied","Performance predates final Phase 8/9","EARLY","EARLY RECOGNITION","PROTECT / OBSERVE; do not replace owner from aggregate GSC data"
