"URL","Primary owner","Role","Clicks","Impressions","CTR","Position","Prior impressions","Distinct intent evidence","Assessment","Action"
"https://echobuddha.com/articles/how-to-practice-non-attachment/","https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/","KEEP AS PRACTICAL_APPLICATION SUBJECT TO REQUIRED DIFFERENTIATION","0","6","0%","12","0","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/articles/what-is-buddhism-beginner-guide/","https://echobuddha.com/learn/buddhism-for-beginners/","KEEP AS BEGINNER_FOUNDATION SUBJECT TO REQUIRED DIFFERENTIATION","0","6","0%","19.17","6","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/meditation-guide/","https://echobuddha.com/meditation/","KEEP AS PRACTICE_GUIDE SUBJECT TO REQUIRED DIFFERENTIATION","0","6","0%","23.33","5","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/quotes/wisdom/","https://echobuddha.com/quotes/","KEEP AS CATEGORY SUBJECT TO REQUIRED DIFFERENTIATION","0","6","0%","25","1","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/quotes/compassion/let-kindness-be-the-echo-you-leave-in-every/","https://echobuddha.com/quotes/","KEEP AS QUOTE_REFLECTION SUBJECT TO REQUIRED DIFFERENTIATION","0","6","0%","28.33","2","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/quotes/practice/the-path-is-not-far-away-it-is-the/","https://echobuddha.com/quotes/","KEEP AS QUOTE_REFLECTION SUBJECT TO REQUIRED DIFFERENTIATION","0","6","0%","28.33","1","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/daily-reflections/thoughts-are-visitors/","https://echobuddha.com/daily-reflections/","KEEP AS RECURRING_USER_CONTENT SUBJECT TO REQUIRED DIFFERENTIATION","0","5","0%","4","0","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/learn/buddhism-101/how-to-practice-buddhism-at-home/","https://echobuddha.com/learn/buddhism-for-beginners/","KEEP AS PRACTICAL_APPLICATION SUBJECT TO REQUIRED DIFFERENTIATION","0","5","0%","17","4","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/quotes/awareness/small-acts-of-attention-can-turn-an-ordinary-day/","https://echobuddha.com/quotes/","KEEP AS QUOTE_REFLECTION SUBJECT TO REQUIRED DIFFERENTIATION","0","5","0%","24.4","2","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/quotes/mindfulness/a-peaceful-mind-begins-with-one-honest-breath/","https://echobuddha.com/quotes/","KEEP AS QUOTE_REFLECTION SUBJECT TO REQUIRED DIFFERENTIATION","0","5","0%","24.4","0","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/articles/category/buddhist-wisdom/","https://echobuddha.com/articles/","KEEP AS CATEGORY SUBJECT TO REQUIRED DIFFERENTIATION","0","5","0%","39","1","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/daily-reflections/patience-before-anger-speaks/","https://echobuddha.com/daily-reflections/","KEEP AS RECURRING_USER_CONTENT SUBJECT TO REQUIRED DIFFERENTIATION","0","5","0%","43.6","0","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/articles/mindful-email-and-texting/","https://echobuddha.com/articles/right-speech-buddhism/","KEEP AS SCENARIO_GUIDE SUBJECT TO REQUIRED DIFFERENTIATION","0","4","0%","11.25","0","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/editorial-policy/","https://echobuddha.com/about/","KEEP AS TRUST_POLICY SUBJECT TO REQUIRED DIFFERENTIATION","0","4","0%","11.75","0","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/quotes/patience/when-anger-rises-pause-long-enough-to-see-the/","https://echobuddha.com/quotes/","KEEP AS QUOTE_REFLECTION SUBJECT TO REQUIRED DIFFERENTIATION","0","4","0%","48.5","1","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/quotes/wisdom/karma-begins-in-intention/","https://echobuddha.com/quotes/","KEEP AS QUOTE_REFLECTION SUBJECT TO REQUIRED DIFFERENTIATION","0","3","0%","6.67","0","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/contact/","https://echobuddha.com/about/","KEEP AS TRUST_POLICY SUBJECT TO REQUIRED DIFFERENTIATION","0","3","0%","8","2","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/privacy-policy/","https://echobuddha.com/about/","KEEP AS TRUST_POLICY SUBJECT TO REQUIRED DIFFERENTIATION","0","3","0%","10.67","1","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/terms-of-use/","https://echobuddha.com/about/","KEEP AS TRUST_POLICY SUBJECT TO REQUIRED DIFFERENTIATION","0","3","0%","22.33","0","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/articles/right-speech-examples/","https://echobuddha.com/articles/right-speech-buddhism/","KEEP AS SUPPORTING_EXPLANATION SUBJECT TO REQUIRED DIFFERENTIATION","0","3","0%","24.33","0","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/learn/buddhism-101/five-hindrances-in-buddhism/","https://echobuddha.com/learn/buddhism-101/","KEEP AS BEGINNER_FOUNDATION SUBJECT TO REQUIRED DIFFERENTIATION","0","3","0%","55.33","0","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/learn/dhammapada-reflections/avoid-evil-do-good-purify-the-mind/","https://echobuddha.com/learn/dhammapada-reflections/","KEEP AS SOURCE_STUDY SUBJECT TO REQUIRED DIFFERENTIATION","0","2","0%","6.5","1","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/disclaimer/","https://echobuddha.com/about/","KEEP AS TRUST_POLICY SUBJECT TO REQUIRED DIFFERENTIATION","0","2","0%","9","1","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/quotes/renewal/","https://echobuddha.com/quotes/","KEEP AS CATEGORY SUBJECT TO REQUIRED DIFFERENTIATION","0","2","0%","9.5","0","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/articles/four-noble-truths-explained-simply/","https://echobuddha.com/learn/four-noble-truths/","KEEP AS BEGINNER_FOUNDATION SUBJECT TO REQUIRED DIFFERENTIATION","0","2","0%","14.5","2","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/articles/compassion-with-boundaries/","https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/","KEEP AS SCENARIO_GUIDE SUBJECT TO REQUIRED DIFFERENTIATION","0","2","0%","18.5","0","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/quotes/mindfulness/listen-before-answering/","https://echobuddha.com/quotes/","KEEP AS QUOTE_REFLECTION SUBJECT TO REQUIRED DIFFERENTIATION","0","2","0%","20.5","0","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/quotes/wisdom/wise-silence/","https://echobuddha.com/quotes/","KEEP AS QUOTE_REFLECTION SUBJECT TO REQUIRED DIFFERENTIATION","0","2","0%","24","0","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/articles/impermanence-in-buddhism/","https://echobuddha.com/learn/buddhism-101/what-is-impermanence/","KEEP AS SUPPORTING_EXPLANATION SUBJECT TO REQUIRED DIFFERENTIATION","0","2","0%","34","0","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/daily-reflections/begin-again-without-shame/","https://echobuddha.com/daily-reflections/","KEEP AS RECURRING_USER_CONTENT SUBJECT TO REQUIRED DIFFERENTIATION","0","2","0%","40.5","1","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/quotes/meditation/silence-is-not-empty-when-the-heart-is-listening/","https://echobuddha.com/quotes/","KEEP AS QUOTE_REFLECTION SUBJECT TO REQUIRED DIFFERENTIATION","0","2","0%","42.5","0","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/learn/sutta-for-daily-life/buddhas-teaching-on-patience/","https://echobuddha.com/articles/three-ways-to-practice-patience/","KEEP AS SOURCE_STUDY SUBJECT TO REQUIRED DIFFERENTIATION","0","2","0%","47","3","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/articles/eightfold-path-explained/","https://echobuddha.com/learn/eightfold-path/","KEEP AS BEGINNER_FOUNDATION SUBJECT TO REQUIRED DIFFERENTIATION","0","2","0%","77.5","0","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/articles/loving-kindness-meditation-guide/","https://echobuddha.com/learn/buddhist-dictionary/metta/","KEEP AS BEGINNER_FOUNDATION SUBJECT TO REQUIRED DIFFERENTIATION","0","1","0%","4","1","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/quotes/mindfulness/begin-the-day-with-awareness/","https://echobuddha.com/quotes/","KEEP AS QUOTE_REFLECTION SUBJECT TO REQUIRED DIFFERENTIATION","0","1","0%","4","0","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/articles/category/meditation/","https://echobuddha.com/articles/","KEEP AS CATEGORY SUBJECT TO REQUIRED DIFFERENTIATION","0","1","0%","5","0","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/articles/how-to-meditate-for-beginners/","https://echobuddha.com/meditation/","KEEP AS PRACTICE_GUIDE SUBJECT TO REQUIRED DIFFERENTIATION","0","1","0%","5","0","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/articles/walking-meditation-step-by-step/","https://echobuddha.com/meditation/walking-meditation/","KEEP AS PRACTICE_GUIDE SUBJECT TO REQUIRED DIFFERENTIATION","0","1","0%","6","2","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/quotes/impermanence/change-is-how-life-continues/","https://echobuddha.com/quotes/","KEEP AS QUOTE_REFLECTION SUBJECT TO REQUIRED DIFFERENTIATION","0","1","0%","6","1","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/quotes/impermanence/the-passing-of-joy-teaches-gratitude-the-passing-of/","https://echobuddha.com/quotes/","KEEP AS QUOTE_REFLECTION SUBJECT TO REQUIRED DIFFERENTIATION","0","1","0%","7","0","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/corrections/","https://echobuddha.com/about/","KEEP AS TRUST_POLICY SUBJECT TO REQUIRED DIFFERENTIATION","0","1","0%","8","0","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/quotes/wisdom/the-lesson-repeats-until-attention-replaces-habit/","https://echobuddha.com/quotes/","KEEP AS QUOTE_REFLECTION SUBJECT TO REQUIRED DIFFERENTIATION","0","1","0%","8","0","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/","https://echobuddha.com/articles/how-to-meditate-for-anxiety/","KEEP AS SCENARIO_GUIDE SUBJECT TO REQUIRED DIFFERENTIATION","0","1","0%","10","16","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/quotes/impermanence/","https://echobuddha.com/quotes/","KEEP AS CATEGORY SUBJECT TO REQUIRED DIFFERENTIATION","0","1","0%","10","1","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/quotes/practice/small-actions-shape-the-mind/","https://echobuddha.com/quotes/","KEEP AS QUOTE_REFLECTION SUBJECT TO REQUIRED DIFFERENTIATION","0","1","0%","10","0","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/quotes/wisdom/wisdom-sees-clearly/","https://echobuddha.com/quotes/","KEEP AS QUOTE_REFLECTION SUBJECT TO REQUIRED DIFFERENTIATION","0","1","0%","10","2","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/meditation-safety/","https://echobuddha.com/about/","KEEP AS TRUST_POLICY SUBJECT TO REQUIRED DIFFERENTIATION","0","1","0%","23","0","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/daily-reflections/impermanence-softens-clinging/","https://echobuddha.com/daily-reflections/","KEEP AS RECURRING_USER_CONTENT SUBJECT TO REQUIRED DIFFERENTIATION","0","1","0%","24","0","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/daily-reflections/rest-without-escape/","https://echobuddha.com/daily-reflections/","KEEP AS RECURRING_USER_CONTENT SUBJECT TO REQUIRED DIFFERENTIATION","0","1","0%","25","0","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/daily-reflections/gratitude-for-change/","https://echobuddha.com/daily-reflections/","KEEP AS RECURRING_USER_CONTENT SUBJECT TO REQUIRED DIFFERENTIATION","0","1","0%","26","1","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/daily-reflections/walking-as-practice/","https://echobuddha.com/daily-reflections/","KEEP AS RECURRING_USER_CONTENT SUBJECT TO REQUIRED DIFFERENTIATION","0","1","0%","27","1","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/quote-attribution-policy/","https://echobuddha.com/about/","KEEP AS TRUST_POLICY SUBJECT TO REQUIRED DIFFERENTIATION","0","1","0%","27","0","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/daily-reflections/anger-as-a-signal/","https://echobuddha.com/daily-reflections/","KEEP AS RECURRING_USER_CONTENT SUBJECT TO REQUIRED DIFFERENTIATION","0","1","0%","30","0","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/articles/compassion-as-a-daily-discipline/","https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/","KEEP AS PRACTICAL_APPLICATION SUBJECT TO REQUIRED DIFFERENTIATION","0","1","0%","31","0","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/daily-reflections/small-actions-shape-the-mind/","https://echobuddha.com/daily-reflections/","KEEP AS RECURRING_USER_CONTENT SUBJECT TO REQUIRED DIFFERENTIATION","0","1","0%","33","0","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/learn/buddhism-101/three-marks-of-existence/","https://echobuddha.com/learn/buddhism-101/","KEEP AS SUPPORTING_EXPLANATION SUBJECT TO REQUIRED DIFFERENTIATION","0","1","0%","35","3","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/buddhist-sources-and-citations/","https://echobuddha.com/about/","KEEP AS TRUST_POLICY SUBJECT TO REQUIRED DIFFERENTIATION","0","1","0%","36","0","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/articles/first-week-buddhist-practice/","https://echobuddha.com/learn/buddhism-for-beginners/","KEEP AS PRACTICAL_APPLICATION SUBJECT TO REQUIRED DIFFERENTIATION","0","1","0%","39","0","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/articles/non-attachment-in-relationships/","https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/","KEEP AS SCENARIO_GUIDE SUBJECT TO REQUIRED DIFFERENTIATION","0","1","0%","41","0","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/meditation/10-minute-meditation-practice/","https://echobuddha.com/meditation/","KEEP AS PRACTICE_GUIDE SUBJECT TO REQUIRED DIFFERENTIATION","0","1","0%","44","0","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/meditation/when-meditation-feels-hard/","https://echobuddha.com/meditation/","KEEP AS PRACTICE_GUIDE SUBJECT TO REQUIRED DIFFERENTIATION","0","1","0%","45","0","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/meditation/meditation-posture-for-beginners/","https://echobuddha.com/meditation/","KEEP AS PRACTICE_GUIDE SUBJECT TO REQUIRED DIFFERENTIATION","0","1","0%","46","0","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/articles/right-livelihood-modern-life/","https://echobuddha.com/learn/buddhism-101/right-livelihood-buddhism/","KEEP AS PRACTICAL_APPLICATION SUBJECT TO REQUIRED DIFFERENTIATION","0","1","0%","48","1","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/how-echo-buddha-creates-content/","https://echobuddha.com/about/","KEEP AS TRUST_POLICY SUBJECT TO REQUIRED DIFFERENTIATION","0","1","0%","48","0","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/quotes/impermanence/everything-changes-including-the-part-of-you-that-fears/","https://echobuddha.com/quotes/","KEEP AS QUOTE_REFLECTION SUBJECT TO REQUIRED DIFFERENTIATION","0","1","0%","48","0","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/learn/buddhism-101/what-is-buddhism/","https://echobuddha.com/learn/buddhism-for-beginners/","KEEP AS BEGINNER_FOUNDATION SUBJECT TO REQUIRED DIFFERENTIATION","0","1","0%","50","1","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/quotes/mindfulness/listen-to-the-moment-before-filling-it-with-your/","N/A","NO_PHASE2_CHANGE_REQUIRED","0","1","0%","64","0","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/learn/questions-about-buddhism/","https://echobuddha.com/learn/","KEEP AS HUB SUBJECT TO REQUIRED DIFFERENTIATION","0","1","0%","86","2","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
