"Dataset","Source file","Family","Filter","Rows","SHA-256","Duplicate status","Use","Notes"
"performance-compare-3-months/Filters.csv","performance-compare-3-months/Filters.csv","performance-compare-3-months","Search type: Web; Date: Last 3 months","2","163c07d6839b411e21df0e69bc8ae8a86013b42179da00682150503d1400951f","UNIQUE IN SNAPSHOT","Analysis input","Owner-supplied GSC CSV; source preserved unchanged"
"performance-compare-3-months/Pages.csv","performance-compare-3-months/Pages.csv","performance-compare-3-months","Search type: Web; Date: Last 3 months","172","afcd8b9dd2811ad6f0ab5bf7173bead5e1fb0077773f12a83db54ee9e4b09c70","UNIQUE IN SNAPSHOT","Analysis input","Owner-supplied GSC CSV; source preserved unchanged"
"performance-compare-3-months/Queries.csv","performance-compare-3-months/Queries.csv","performance-compare-3-months","Search type: Web; Date: Last 3 months","305","985907ebf36af550e9382fad9422dd91e26010ca1093715d558deef0c7efbb31","UNIQUE IN SNAPSHOT","Analysis input","Owner-supplied GSC CSV; source preserved unchanged"
"performance-compare-3-months/Search appearance.csv","performance-compare-3-months/Search appearance.csv","performance-compare-3-months","Search type: Web; Date: Last 3 months","0","eed9ceafb9193e5e3d034f5897ad992bc851f1998204cd98f0b0f6873fbfc8b2","UNIQUE IN SNAPSHOT","Empty/header-only; limitation","Owner-supplied GSC CSV; source preserved unchanged"
"performance-compare-6-months/Countries.csv","performance-compare-6-months/Countries.csv","performance-compare-6-months","Search type: Web; Date: Last 6 months","74","0521cf2ea4bb54cca1daadd3ec024e989fc65f72eb1fbba63014a631dfa616cd","UNIQUE IN SNAPSHOT","Analysis input","Owner-supplied GSC CSV; source preserved unchanged"
"performance-compare-6-months/Devices.csv","performance-compare-6-months/Devices.csv","performance-compare-6-months","Search type: Web; Date: Last 6 months","3","1c5151223e0ba9a31c3ec9f7498ab2e638778d68e7801ada38cd05519b73be26","UNIQUE IN SNAPSHOT","Analysis input","Owner-supplied GSC CSV; source preserved unchanged"
"performance-compare-6-months/Filters.csv","performance-compare-6-months/Filters.csv","performance-compare-6-months","Search type: Web; Date: Last 6 months","2","6fbfc706a9c5f1e35cc52c1b2c405093706f486766681b15e6afd8ac387664a2","UNIQUE IN SNAPSHOT","Analysis input","Owner-supplied GSC CSV; source preserved unchanged"
"performance-compare-6-months/Pages.csv","performance-compare-6-months/Pages.csv","performance-compare-6-months","Search type: Web; Date: Last 6 months","172","3b26990bc1d4a094c181545827ab6b21f81acec69d32c930e9c0d1ade036d481","UNIQUE IN SNAPSHOT","Analysis input","Owner-supplied GSC CSV; source preserved unchanged"
"performance-compare-6-months/Queries.csv","performance-compare-6-months/Queries.csv","performance-compare-6-months","Search type: Web; Date: Last 6 months","305","4021d1830f225c9d353695effca50da655c8c6cac28337c1c20edd39b72d971b","UNIQUE IN SNAPSHOT","Analysis input","Owner-supplied GSC CSV; source preserved unchanged"
"performance-compare-6-months/Search appearance.csv","performance-compare-6-months/Search appearance.csv","performance-compare-6-months","Search type: Web; Date: Last 6 months","0","eed9ceafb9193e5e3d034f5897ad992bc851f1998204cd98f0b0f6873fbfc8b2","UNIQUE IN SNAPSHOT","Empty/header-only; limitation","Owner-supplied GSC CSV; source preserved unchanged"
"performance-last-3-months/Chart.csv","performance-last-3-months/Chart.csv","performance-last-3-months","Search type: Web; Date: Last 3 months","50","f6b86c037593214f727de8870e041057328acf39c9cc2fe21ea23808fe6d94c2","UNIQUE IN SNAPSHOT","Analysis input","Owner-supplied GSC CSV; source preserved unchanged"
"performance-last-3-months/Countries.csv","performance-last-3-months/Countries.csv","performance-last-3-months","Search type: Web; Date: Last 3 months","74","7a549065c14962aa5477ea104a0beab684b7e1ac8b3f769646d73d40ed95b4f4","UNIQUE IN SNAPSHOT","Analysis input","Owner-supplied GSC CSV; source preserved unchanged"
"performance-last-3-months/Devices.csv","performance-last-3-months/Devices.csv","performance-last-3-months","Search type: Web; Date: Last 3 months","3","ceab4394ecbd2a79a78db761fc722f42f7c80018f2e776a435effa1f8e33706d","UNIQUE IN SNAPSHOT","Analysis input","Owner-supplied GSC CSV; source preserved unchanged"
"performance-last-3-months/Filters.csv","performance-last-3-months/Filters.csv","performance-last-3-months","Search type: Web; Date: Last 3 months","2","163c07d6839b411e21df0e69bc8ae8a86013b42179da00682150503d1400951f","UNIQUE IN SNAPSHOT","Analysis input","Owner-supplied GSC CSV; source preserved unchanged"
"performance-last-3-months/Pages.csv","performance-last-3-months/Pages.csv","performance-last-3-months","Search type: Web; Date: Last 3 months","172","36d3287a93af5721065630e3b38bdcc3e85c868a670e6e823dca729f15917e3a","UNIQUE IN SNAPSHOT","Analysis input","Owner-supplied GSC CSV; source preserved unchanged"
"performance-last-3-months/Queries.csv","performance-last-3-months/Queries.csv","performance-last-3-months","Search type: Web; Date: Last 3 months","305","0b91aaeef4a3a0d163f50883c3f0126479ad4084226482208af8f4adfbd6c622","UNIQUE IN SNAPSHOT","Analysis input","Owner-supplied GSC CSV; source preserved unchanged"
"performance-last-3-months/Search appearance.csv","performance-last-3-months/Search appearance.csv","performance-last-3-months","Search type: Web; Date: Last 3 months","0","eed9ceafb9193e5e3d034f5897ad992bc851f1998204cd98f0b0f6873fbfc8b2","UNIQUE IN SNAPSHOT","Empty/header-only; limitation","Owner-supplied GSC CSV; source preserved unchanged"
"performance-latest-28/Chart.csv","performance-latest-28/Chart.csv","performance-latest-28","Search type: Web; Date: Last 28 days","28","bdba3f2f0fa92596b290ff298dd4522372c65dc814aff2141692eed04a92f434","UNIQUE IN SNAPSHOT","Analysis input","Owner-supplied GSC CSV; source preserved unchanged"
"performance-latest-28/Countries.csv","performance-latest-28/Countries.csv","performance-latest-28","Search type: Web; Date: Last 28 days","71","6bd5e96bde66fed422803f390e3eabfe57843780a5614aaa83cbc1ba4db0380c","UNIQUE IN SNAPSHOT","Analysis input","Owner-supplied GSC CSV; source preserved unchanged"
"performance-latest-28/Devices.csv","performance-latest-28/Devices.csv","performance-latest-28","Search type: Web; Date: Last 28 days","3","dc7b2a48dc4b99959c300b1f420b2fae54bd40dca5e4a12bd8d48ad58c32375e","UNIQUE IN SNAPSHOT","Analysis input","Owner-supplied GSC CSV; source preserved unchanged"
"performance-latest-28/Filters.csv","performance-latest-28/Filters.csv","performance-latest-28","Search type: Web; Date: Last 28 days","2","72ff01f37ed0327a79ace7619f2d5c8e46552e0f30ebf6adfeba45332d7231e3","UNIQUE IN SNAPSHOT","Analysis input","Owner-supplied GSC CSV; source preserved unchanged"
"performance-latest-28/Pages.csv","performance-latest-28/Pages.csv","performance-latest-28","Search type: Web; Date: Last 28 days","114","b50c657357566bfd6b7f9e7615c0ade6a4ed185eb472df778ddea8abbed1a363","UNIQUE IN SNAPSHOT","Analysis input","Owner-supplied GSC CSV; source preserved unchanged"
"performance-latest-28/Queries.csv","performance-latest-28/Queries.csv","performance-latest-28","Search type: Web; Date: Last 28 days","263","7afab2fa16a1d866317ae0defebfb1c81397962ba3f394b9a1cbe31c6c981dfa","UNIQUE IN SNAPSHOT","Analysis input","Owner-supplied GSC CSV; source preserved unchanged"
"performance-latest-28/Search appearance.csv","performance-latest-28/Search appearance.csv","performance-latest-28","Search type: Web; Date: Last 28 days","0","eed9ceafb9193e5e3d034f5897ad992bc851f1998204cd98f0b0f6873fbfc8b2","UNIQUE IN SNAPSHOT","Empty/header-only; limitation","Owner-supplied GSC CSV; source preserved unchanged"
