"Query","Topic cluster","Intent","Clicks","Impressions","CTR","Position","Likely serving URL if known","Primary owner","Owner alignment","Potential mismatch","Confidence","Privacy limitation","Action"
"what is sangha in buddhism","Sangha","definition / foundation","0","5","0%","86.6","https://echobuddha.com/articles/what-is-sangha-buddhist-community/ (inference; query x page not supplied)","https://echobuddha.com/articles/what-is-sangha-buddhist-community/","Direct","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"five precepts","Five Precepts","foundation / ethics","0","5","0%","88.4","https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/ (inference; query x page not supplied)","https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/","Direct","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"is dhamma and dharma the same","Dhamma vs Dharma","comparison","0","4","0%","6.75","https://echobuddha.com/articles/dhamma-vs-dharma/ (inference; query x page not supplied)","https://echobuddha.com/learn/buddhist-dictionary/dhamma/","Potentially healthy support-to-owner relationship","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"""what we think, we become"" buddha attribution source","Dhammapada attribution","source / attribution","0","4","0%","7.5","https://echobuddha.com/articles/dhammapada-reflection-what-we-think/ (inference; query x page not supplied)","https://echobuddha.com/learn/dhammapada-reflections/","Potentially healthy support-to-owner relationship","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"buddha quotes on patience","Patience","quote / practical application","0","4","0%","22.5","https://echobuddha.com/quotes/patience/ (inference; query x page not supplied)","https://echobuddha.com/articles/three-ways-to-practice-patience/","Potentially healthy support-to-owner relationship","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"beginner buddhism","Beginner Buddhism","foundational learning","0","4","0%","40.5","https://echobuddha.com/learn/buddhism-for-beginners/ (inference; query x page not supplied)","https://echobuddha.com/learn/buddhism-for-beginners/","Direct","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"dhamma meaning","Dhamma","definition","0","4","0%","41","https://echobuddha.com/learn/buddhist-dictionary/dhamma/ (inference; query x page not supplied)","https://echobuddha.com/learn/buddhist-dictionary/dhamma/","Direct","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"patience buddha","Patience","quote / practical application","0","4","0%","41","https://echobuddha.com/quotes/patience/ (inference; query x page not supplied)","https://echobuddha.com/articles/three-ways-to-practice-patience/","Potentially healthy support-to-owner relationship","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"buddha patience","Patience","quote / practical application","0","4","0%","46","https://echobuddha.com/quotes/patience/ (inference; query x page not supplied)","https://echobuddha.com/articles/three-ways-to-practice-patience/","Potentially healthy support-to-owner relationship","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"buddhist patience","Patience","quote / practical application","0","4","0%","47.5","https://echobuddha.com/quotes/patience/ (inference; query x page not supplied)","https://echobuddha.com/articles/three-ways-to-practice-patience/","Potentially healthy support-to-owner relationship","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"how to practice buddhism for beginners","Beginner Buddhism","foundational learning","0","4","0%","51.25","https://echobuddha.com/learn/buddhism-for-beginners/ (inference; query x page not supplied)","https://echobuddha.com/learn/buddhism-for-beginners/","Direct","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"pali canon","Sutta","source / dictionary","0","4","0%","54.75","https://echobuddha.com/learn/sutta-for-daily-life/ (inference; query x page not supplied)","https://echobuddha.com/learn/sutta-for-daily-life/","Direct","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"compassion buddhism","Compassion","teaching / quote","0","4","0%","55.75","https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/ (inference; query x page not supplied)","https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/","Direct","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"buddhism patience","Patience","quote / practical application","0","4","0%","58","https://echobuddha.com/quotes/patience/ (inference; query x page not supplied)","https://echobuddha.com/articles/three-ways-to-practice-patience/","Potentially healthy support-to-owner relationship","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"what is sangha","Sangha","definition / foundation","0","4","0%","88.5","https://echobuddha.com/articles/what-is-sangha-buddhist-community/ (inference; query x page not supplied)","https://echobuddha.com/articles/what-is-sangha-buddhist-community/","Direct","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"dhamma and dharma difference","Dhamma vs Dharma","comparison","0","3","0%","4.67","https://echobuddha.com/articles/dhamma-vs-dharma/ (inference; query x page not supplied)","https://echobuddha.com/learn/buddhist-dictionary/dhamma/","Potentially healthy support-to-owner relationship","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"dharma or dhamma","Dhamma vs Dharma","comparison","0","3","0%","6","https://echobuddha.com/articles/dhamma-vs-dharma/ (inference; query x page not supplied)","https://echobuddha.com/learn/buddhist-dictionary/dhamma/","Potentially healthy support-to-owner relationship","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"dharma vs dhamma","Dhamma vs Dharma","comparison","0","3","0%","6.33","https://echobuddha.com/articles/dhamma-vs-dharma/ (inference; query x page not supplied)","https://echobuddha.com/learn/buddhist-dictionary/dhamma/","Potentially healthy support-to-owner relationship","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"dhammapada ""what we think we become"" translation","Dhammapada attribution","source / attribution","0","3","0%","7.67","https://echobuddha.com/articles/dhammapada-reflection-what-we-think/ (inference; query x page not supplied)","https://echobuddha.com/learn/dhammapada-reflections/","Potentially healthy support-to-owner relationship","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"what is the meaning of dhamma","Dhamma","definition","0","3","0%","19","https://echobuddha.com/learn/buddhist-dictionary/dhamma/ (inference; query x page not supplied)","https://echobuddha.com/learn/buddhist-dictionary/dhamma/","Direct","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"buddhist quotes on letting go","Letting Go / Non-Attachment","quote / practical application","0","3","0%","20.67","https://echobuddha.com/quotes/letting-go/ (inference; query x page not supplied)","https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/","Potentially healthy support-to-owner relationship","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"let go quotes buddha","Letting Go / Non-Attachment","quote / practical application","0","3","0%","21","https://echobuddha.com/quotes/letting-go/ (inference; query x page not supplied)","https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/","Potentially healthy support-to-owner relationship","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"buddha quotes about letting go","Letting Go / Non-Attachment","quote / practical application","0","3","0%","21.67","https://echobuddha.com/quotes/letting-go/ (inference; query x page not supplied)","https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/","Potentially healthy support-to-owner relationship","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"quotes from buddha about letting go","Letting Go / Non-Attachment","quote / practical application","0","3","0%","28","https://echobuddha.com/quotes/letting-go/ (inference; query x page not supplied)","https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/","Potentially healthy support-to-owner relationship","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"buddha letting go quotes","Letting Go / Non-Attachment","quote / practical application","0","3","0%","29.67","https://echobuddha.com/quotes/letting-go/ (inference; query x page not supplied)","https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/","Potentially healthy support-to-owner relationship","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"buddha on patience","Patience","quote / practical application","0","3","0%","33","https://echobuddha.com/quotes/patience/ (inference; query x page not supplied)","https://echobuddha.com/articles/three-ways-to-practice-patience/","Potentially healthy support-to-owner relationship","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"buddha quotes letting go","Letting Go / Non-Attachment","quote / practical application","0","3","0%","35.67","https://echobuddha.com/quotes/letting-go/ (inference; query x page not supplied)","https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/","Potentially healthy support-to-owner relationship","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"the dhamma","Dhamma","definition","0","3","0%","39","https://echobuddha.com/learn/buddhist-dictionary/dhamma/ (inference; query x page not supplied)","https://echobuddha.com/learn/buddhist-dictionary/dhamma/","Direct","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"pali canon buddhism","Sutta","source / dictionary","0","3","0%","49.33","https://echobuddha.com/learn/sutta-for-daily-life/ (inference; query x page not supplied)","https://echobuddha.com/learn/sutta-for-daily-life/","Direct","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"buddhism right speech","Right Speech","teaching / practical application","0","3","0%","51","https://echobuddha.com/articles/right-speech-buddhism/ (inference; query x page not supplied)","https://echobuddha.com/articles/right-speech-buddhism/","Direct","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"buddhist articles","Other visible queries","mixed / insufficient","0","3","0%","51","Not derivable (inference; query x page not supplied)","https://echobuddha.com/","Potentially healthy support-to-owner relationship","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"buddhist compassion","Compassion","teaching / quote","0","3","0%","52","https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/ (inference; query x page not supplied)","https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/","Direct","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"buddhist right speech","Right Speech","teaching / practical application","0","3","0%","52.33","https://echobuddha.com/articles/right-speech-buddhism/ (inference; query x page not supplied)","https://echobuddha.com/articles/right-speech-buddhism/","Direct","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"buddha compassion quotes","Compassion","teaching / quote","0","3","0%","54.67","https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/ (inference; query x page not supplied)","https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/","Direct","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"compassion buddha quotes","Compassion","teaching / quote","0","3","0%","55.33","https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/ (inference; query x page not supplied)","https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/","Direct","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"patience buddhism","Patience","quote / practical application","0","3","0%","55.33","https://echobuddha.com/quotes/patience/ (inference; query x page not supplied)","https://echobuddha.com/articles/three-ways-to-practice-patience/","Potentially healthy support-to-owner relationship","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"define dhamma","Dhamma","definition","0","3","0%","57.67","https://echobuddha.com/learn/buddhist-dictionary/dhamma/ (inference; query x page not supplied)","https://echobuddha.com/learn/buddhist-dictionary/dhamma/","Direct","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"patience in buddhism","Patience","quote / practical application","0","3","0%","62.67","https://echobuddha.com/quotes/patience/ (inference; query x page not supplied)","https://echobuddha.com/articles/three-ways-to-practice-patience/","Potentially healthy support-to-owner relationship","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"buddhism metta","Metta","definition / practice","0","3","0%","66","https://echobuddha.com/learn/buddhist-dictionary/metta/ (inference; query x page not supplied)","https://echobuddha.com/learn/buddhist-dictionary/metta/","Direct","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"buddha right speech","Right Speech","teaching / practical application","0","3","0%","67","https://echobuddha.com/articles/right-speech-buddhism/ (inference; query x page not supplied)","https://echobuddha.com/articles/right-speech-buddhism/","Direct","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"what is dhamma","Dhamma","definition","0","3","0%","68.33","https://echobuddha.com/learn/buddhist-dictionary/dhamma/ (inference; query x page not supplied)","https://echobuddha.com/learn/buddhist-dictionary/dhamma/","Direct","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"buddhism the three poisons","Three Poisons","foundation / explanation","0","3","0%","75.33","https://echobuddha.com/articles/three-poisons-buddhism-explained/ (inference; query x page not supplied)","https://echobuddha.com/articles/three-poisons-buddhism-explained/","Direct","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"buddhist 5 precepts","Five Precepts","foundation / ethics","0","3","0%","77.67","https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/ (inference; query x page not supplied)","https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/","Direct","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"three poisons","Three Poisons","foundation / explanation","0","3","0%","81.67","https://echobuddha.com/articles/three-poisons-buddhism-explained/ (inference; query x page not supplied)","https://echobuddha.com/articles/three-poisons-buddhism-explained/","Direct","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"sangha definition","Sangha","definition / foundation","0","3","0%","82","https://echobuddha.com/articles/what-is-sangha-buddhist-community/ (inference; query x page not supplied)","https://echobuddha.com/articles/what-is-sangha-buddhist-community/","Direct","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"the five precepts","Five Precepts","foundation / ethics","0","3","0%","84.33","https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/ (inference; query x page not supplied)","https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/","Direct","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"3 poisons","Three Poisons","foundation / explanation","0","3","0%","84.67","https://echobuddha.com/articles/three-poisons-buddhism-explained/ (inference; query x page not supplied)","https://echobuddha.com/articles/three-poisons-buddhism-explained/","Direct","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"what is sangha buddhism","Sangha","definition / foundation","0","3","0%","91","https://echobuddha.com/articles/what-is-sangha-buddhist-community/ (inference; query x page not supplied)","https://echobuddha.com/articles/what-is-sangha-buddhist-community/","Direct","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"buddha on patience quotes","Patience","quote / practical application","0","2","0%","6","https://echobuddha.com/quotes/patience/ (inference; query x page not supplied)","https://echobuddha.com/articles/three-ways-to-practice-patience/","Potentially healthy support-to-owner relationship","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"dharma and dhamma difference","Dhamma vs Dharma","comparison","0","2","0%","7","https://echobuddha.com/articles/dhamma-vs-dharma/ (inference; query x page not supplied)","https://echobuddha.com/learn/buddhist-dictionary/dhamma/","Potentially healthy support-to-owner relationship","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"""what we think, we become"" buddha attribution","Dhammapada attribution","source / attribution","0","2","0%","9.5","https://echobuddha.com/articles/dhammapada-reflection-what-we-think/ (inference; query x page not supplied)","https://echobuddha.com/learn/dhammapada-reflections/","Potentially healthy support-to-owner relationship","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"dhammapada verse 1 ""what we think we become"" translation","Dhammapada attribution","source / attribution","0","2","0%","10","https://echobuddha.com/articles/dhammapada-reflection-what-we-think/ (inference; query x page not supplied)","https://echobuddha.com/learn/dhammapada-reflections/","Potentially healthy support-to-owner relationship","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"sutta meaning in english","Sutta","source / dictionary","0","2","0%","10","https://echobuddha.com/learn/sutta-for-daily-life/ (inference; query x page not supplied)","https://echobuddha.com/learn/sutta-for-daily-life/","Direct","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"dhammapada verse 1","Dhammapada attribution","source / attribution","0","2","0%","14.5","https://echobuddha.com/articles/dhammapada-reflection-what-we-think/ (inference; query x page not supplied)","https://echobuddha.com/learn/dhammapada-reflections/","Potentially healthy support-to-owner relationship","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"buddhist quotes about letting go","Letting Go / Non-Attachment","quote / practical application","0","2","0%","15","https://echobuddha.com/quotes/letting-go/ (inference; query x page not supplied)","https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/","Potentially healthy support-to-owner relationship","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"patience quotes buddha","Patience","quote / practical application","0","2","0%","24.5","https://echobuddha.com/quotes/patience/ (inference; query x page not supplied)","https://echobuddha.com/articles/three-ways-to-practice-patience/","Potentially healthy support-to-owner relationship","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"buddhist quotes on patience","Patience","quote / practical application","0","2","0%","30.5","https://echobuddha.com/quotes/patience/ (inference; query x page not supplied)","https://echobuddha.com/articles/three-ways-to-practice-patience/","Potentially healthy support-to-owner relationship","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"buddha patience quotes","Patience","quote / practical application","0","2","0%","32","https://echobuddha.com/quotes/patience/ (inference; query x page not supplied)","https://echobuddha.com/articles/three-ways-to-practice-patience/","Potentially healthy support-to-owner relationship","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"buddhist sangha","Sangha","definition / foundation","0","2","0%","35","https://echobuddha.com/articles/what-is-sangha-buddhist-community/ (inference; query x page not supplied)","https://echobuddha.com/articles/what-is-sangha-buddhist-community/","Direct","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"compassion buddhist","Compassion","teaching / quote","0","2","0%","39.5","https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/ (inference; query x page not supplied)","https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/","Direct","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"mindfulness quotes buddha","Mindfulness","definition / practice","0","2","0%","39.5","https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/ (inference; query x page not supplied)","https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/","Direct","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"buddism for beginners","Other visible queries","mixed / insufficient","0","2","0%","41.5","Not derivable (inference; query x page not supplied)","https://echobuddha.com/","Potentially healthy support-to-owner relationship","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"buddhism for beginner","Beginner Buddhism","foundational learning","0","2","0%","42","https://echobuddha.com/learn/buddhism-for-beginners/ (inference; query x page not supplied)","https://echobuddha.com/learn/buddhism-for-beginners/","Direct","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
