"Cluster","Representative queries","Visible query count","Visible clicks","Visible impressions","Weighted position","Likely user intent","Primary owner","Other ranking pages","Owner alignment","Cannibalization risk","Privacy limitation","Maturity","Assessment"
"Patience","buddha quotes patience | buddha quotes on patience | patience buddha | buddha patience | buddhist patience | buddhism patience | buddha on patience | patience buddhism","19","0","48","37.06","quote / practical application","https://echobuddha.com/articles/three-ways-to-practice-patience/","https://echobuddha.com/quotes/patience/; https://echobuddha.com/daily-reflections/patience-before-anger-speaks/; https://echobuddha.com/quotes/patience/when-anger-rises-pause-long-enough-to-see-the/; https://echobuddha.com/learn/sutta-for-daily-life/buddhas-teaching-on-patience/","No row-level mismatch proven","LOW / INSUFFICIENT","Visible queries incomplete; no query x page export","EARLY","OBSERVE; do not create keyword variants"
"Compassion","compassion quotes buddha | buddha quotes compassion | compassion buddhism | buddhist compassion | buddha compassion quotes | compassion buddha quotes | compassion buddhist | becoming the compassion buddha","20","0","42","52.14","teaching / quote","https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/","https://echobuddha.com/quotes/compassion/; https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/; https://echobuddha.com/quotes/compassion/let-kindness-be-the-echo-you-leave-in-every/; https://echobuddha.com/articles/compassion-with-boundaries/; https://echobuddha.com/articles/compassion-as-a-daily-discipline/","No row-level mismatch proven","LOW / INSUFFICIENT","Visible queries incomplete; no query x page export","EARLY","OBSERVE; do not create keyword variants"
"Five Precepts","five precepts | buddhist 5 precepts | the five precepts | the 5 precepts | 5 precepts of buddhism explained | what are the 5 precepts of buddhism | buddhism five precepts | what are the five precepts of buddhism","14","0","23","82.43","foundation / ethics","https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/","https://echobuddha.com/articles/five-precepts-in-daily-life/; https://echobuddha.com/learn/buddhism-101/five-hindrances-in-buddhism/","No row-level mismatch proven","LOW / INSUFFICIENT","Visible queries incomplete; no query x page export","EARLY","OBSERVE; do not create keyword variants"
"Other visible queries","buddhist articles | buddism for beginners | what is the middle way in buddhism | middle way buddhism | buddha 5 rules | is it true is it kind is it necessary buddhism | buddhist moral precepts | how to practice the middle way","60","0","71","61.72","mixed / insufficient","https://echobuddha.com/","Query x page intersection unavailable","No row-level mismatch proven","LOW / INSUFFICIENT","Visible queries incomplete; no query x page export","DEVELOPING","OBSERVE; do not create keyword variants"
"Metta","buddhism metta | metta buddhist | metta buddhism | metta in buddhism | meaning of metta | metta meaning | with metta meaning","7","0","9","76.33","definition / practice","https://echobuddha.com/learn/buddhist-dictionary/metta/","https://echobuddha.com/learn/sutta-for-daily-life/metta-sutta-explained-for-daily-life/; https://echobuddha.com/learn/buddhist-dictionary/metta/","No row-level mismatch proven","LOW / INSUFFICIENT","Visible queries incomplete; no query x page export","EARLY","OBSERVE; do not create keyword variants"
"Three Poisons","buddhism the three poisons | three poisons | 3 poisons | buddhism 3 poisons | 3 poisons of buddhism | the three poisons buddhism | buddhism three poisons | 3 poisons buddhism","18","0","34","75.47","foundation / explanation","https://echobuddha.com/articles/three-poisons-buddhism-explained/","https://echobuddha.com/articles/three-poisons-buddhism-explained/; https://echobuddha.com/learn/buddhism-101/threefold-training-sila-samadhi-panna/; https://echobuddha.com/learn/buddhism-101/three-marks-of-existence/","No row-level mismatch proven","LOW / INSUFFICIENT","Visible queries incomplete; no query x page export","EARLY","OBSERVE; do not create keyword variants"
"Mindfulness","mindfulness quotes buddha | what is mindfulness in buddhism | mindfulness buddha quotes | buddha mindfulness quotes","4","0","5","37","definition / practice","https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/","https://echobuddha.com/quotes/mindfulness/; https://echobuddha.com/quotes/mindfulness/a-peaceful-mind-begins-with-one-honest-breath/; https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/; https://echobuddha.com/quotes/mindfulness/listen-before-answering/; https://echobuddha.com/quotes/mindfulness/begin-the-day-with-awareness/","No row-level mismatch proven","LOW / INSUFFICIENT","Visible queries incomplete; no query x page export","EARLY","OBSERVE; do not create keyword variants"
"Eightfold Path","how to follow the eightfold path | eightfold path steps","2","0","3","70.67","foundation / source study","https://echobuddha.com/learn/eightfold-path/","https://echobuddha.com/articles/noble-eightfold-path-practical-guide/; https://echobuddha.com/learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/; https://echobuddha.com/learn/eightfold-path/; https://echobuddha.com/articles/eightfold-path-explained-daily-life/; https://echobuddha.com/articles/eightfold-path-explained/","No row-level mismatch proven","LOW / INSUFFICIENT","Visible queries incomplete; no query x page export","EARLY","OBSERVE; do not create keyword variants"
"Quotes","let it go buddha quotes","1","0","1","32","quote discovery","https://echobuddha.com/quotes/","https://echobuddha.com/quotes/letting-go/; https://echobuddha.com/quotes/patience/; https://echobuddha.com/quotes/mindfulness/; https://echobuddha.com/quotes/compassion/; https://echobuddha.com/quotes/awareness/","No row-level mismatch proven","LOW / INSUFFICIENT","Visible queries incomplete; no query x page export","EARLY","OBSERVE; do not create keyword variants"
"Meditation","quotes about meditation buddha","1","0","1","36","practice","https://echobuddha.com/meditation/","https://echobuddha.com/quotes/meditation/; https://echobuddha.com/meditation-guide/; https://echobuddha.com/meditation/; https://echobuddha.com/quotes/meditation/silence-is-not-empty-when-the-heart-is-listening/; https://echobuddha.com/articles/loving-kindness-meditation-guide/","No row-level mismatch proven","LOW / INSUFFICIENT","Visible queries incomplete; no query x page export","EARLY","OBSERVE; do not create keyword variants"
