"Record type","Date","Window","Query","Page","Country","Device","Clicks","Impressions","CTR","Position","Source file","Aggregation warning"
"query","","Latest 28 days","""what we think, we become"" dhammapada translation","","","","0","10","0%","7.4","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","right speech","","","","0","10","0%","74.3","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","right speech buddhism","","","","0","9","0%","43.22","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","what is the dhamma in buddhism","","","","0","9","0%","56.56","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","dhamma or dharma","","","","0","8","0%","6.5","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddhist sayings about letting go","","","","0","7","0%","16.57","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","""what we think, we become"" dhammapada verse 1 translation","","","","0","6","0%","9.5","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","difference between dharma and dhamma","","","","0","6","0%","10.33","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","beginners buddhism","","","","0","6","0%","44.83","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","brahma viharas","","","","0","6","0%","69.5","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","sila samadhi panna","","","","0","5","0%","1","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","dhamma vs dharma","","","","0","5","0%","5.4","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","difference between dhamma and dharma","","","","0","5","0%","9.2","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","sutta meaning","","","","0","5","0%","13.8","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddha quotes patience","","","","0","5","0%","26.8","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddha quotes on letting go","","","","0","5","0%","30","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","compassion quotes buddha","","","","0","5","0%","44.8","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddha quotes compassion","","","","0","5","0%","56.8","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","sangha meaning","","","","0","5","0%","71","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","what is the sangha","","","","0","5","0%","78.6","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","what is sangha in buddhism","","","","0","5","0%","86.6","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","five precepts","","","","0","5","0%","88.4","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","is dhamma and dharma the same","","","","0","4","0%","6.75","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","""what we think, we become"" buddha attribution source","","","","0","4","0%","7.5","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddha quotes on patience","","","","0","4","0%","22.5","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","beginner buddhism","","","","0","4","0%","40.5","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","dhamma meaning","","","","0","4","0%","41","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","patience buddha","","","","0","4","0%","41","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddha patience","","","","0","4","0%","46","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddhist patience","","","","0","4","0%","47.5","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","how to practice buddhism for beginners","","","","0","4","0%","51.25","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","pali canon","","","","0","4","0%","54.75","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","compassion buddhism","","","","0","4","0%","55.75","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddhism patience","","","","0","4","0%","58","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","what is sangha","","","","0","4","0%","88.5","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","dhamma and dharma difference","","","","0","3","0%","4.67","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","dharma or dhamma","","","","0","3","0%","6","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","dharma vs dhamma","","","","0","3","0%","6.33","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","dhammapada ""what we think we become"" translation","","","","0","3","0%","7.67","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","what is the meaning of dhamma","","","","0","3","0%","19","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddhist quotes on letting go","","","","0","3","0%","20.67","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","let go quotes buddha","","","","0","3","0%","21","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddha quotes about letting go","","","","0","3","0%","21.67","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","quotes from buddha about letting go","","","","0","3","0%","28","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddha letting go quotes","","","","0","3","0%","29.67","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddha on patience","","","","0","3","0%","33","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddha quotes letting go","","","","0","3","0%","35.67","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","the dhamma","","","","0","3","0%","39","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","pali canon buddhism","","","","0","3","0%","49.33","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddhism right speech","","","","0","3","0%","51","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddhist articles","","","","0","3","0%","51","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddhist compassion","","","","0","3","0%","52","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddhist right speech","","","","0","3","0%","52.33","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddha compassion quotes","","","","0","3","0%","54.67","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","compassion buddha quotes","","","","0","3","0%","55.33","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","patience buddhism","","","","0","3","0%","55.33","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","define dhamma","","","","0","3","0%","57.67","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","patience in buddhism","","","","0","3","0%","62.67","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddhism metta","","","","0","3","0%","66","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddha right speech","","","","0","3","0%","67","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","what is dhamma","","","","0","3","0%","68.33","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddhism the three poisons","","","","0","3","0%","75.33","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddhist 5 precepts","","","","0","3","0%","77.67","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","three poisons","","","","0","3","0%","81.67","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","sangha definition","","","","0","3","0%","82","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","the five precepts","","","","0","3","0%","84.33","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","3 poisons","","","","0","3","0%","84.67","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","what is sangha buddhism","","","","0","3","0%","91","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddha on patience quotes","","","","0","2","0%","6","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","dharma and dhamma difference","","","","0","2","0%","7","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","""what we think, we become"" buddha attribution","","","","0","2","0%","9.5","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","dhammapada verse 1 ""what we think we become"" translation","","","","0","2","0%","10","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","sutta meaning in english","","","","0","2","0%","10","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","dhammapada verse 1","","","","0","2","0%","14.5","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddhist quotes about letting go","","","","0","2","0%","15","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","patience quotes buddha","","","","0","2","0%","24.5","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddhist quotes on patience","","","","0","2","0%","30.5","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddha patience quotes","","","","0","2","0%","32","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddhist sangha","","","","0","2","0%","35","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","compassion buddhist","","","","0","2","0%","39.5","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","mindfulness quotes buddha","","","","0","2","0%","39.5","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddism for beginners","","","","0","2","0%","41.5","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddhism for beginner","","","","0","2","0%","42","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddhism beginners guide","","","","0","2","0%","43.5","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","beginners guide to buddhism","","","","0","2","0%","44","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","letting go quotes buddha","","","","0","2","0%","45","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","what is the middle way in buddhism","","","","0","2","0%","51","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","becoming the compassion buddha","","","","0","2","0%","52.5","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddhism dhamma","","","","0","2","0%","54.5","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","middle way buddhism","","","","0","2","0%","54.5","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddha compassion","","","","0","2","0%","56","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddha on compassion","","","","0","2","0%","56","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","what is right speech in buddhism","","","","0","2","0%","56","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","dhamma teachings","","","","0","2","0%","56.5","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddha on compassion quotes","","","","0","2","0%","58","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","brahmaviharas","","","","0","2","0%","61","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","what is right speech","","","","0","2","0%","62.5","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddha 5 rules","","","","0","2","0%","63.5","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","is it true is it kind is it necessary buddhism","","","","0","2","0%","64.5","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","right speech in buddhism","","","","0","2","0%","64.5","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","meaning of dhamma in buddhism","","","","0","2","0%","66.5","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","dhamma definition","","","","0","2","0%","67.5","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddhism 3 poisons","","","","0","2","0%","71","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","how to follow the eightfold path","","","","0","2","0%","71","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddhist moral precepts","","","","0","2","0%","72","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","how to practice the middle way","","","","0","2","0%","72","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","3 poisons of buddhism","","","","0","2","0%","72.5","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","the three poisons buddhism","","","","0","2","0%","72.5","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddhism three poisons","","","","0","2","0%","73","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","3 poisons buddhism","","","","0","2","0%","73.5","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","three poisons buddhism","","","","0","2","0%","74","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddha 3 poisons","","","","0","2","0%","74.5","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","three poisons of buddhism","","","","0","2","0%","77","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","five buddhist precepts","","","","0","2","0%","77.5","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","the 5 precepts","","","","0","2","0%","82.5","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","the three poisons in buddhism","","","","0","2","0%","82.5","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","sangha buddhism","","","","0","2","0%","86","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","the three poisons","","","","0","2","0%","86.5","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","what is a sangha","","","","0","2","0%","87.5","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","what is the sangha in buddhism","","","","0","2","0%","94","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","the sangha","","","","0","2","0%","95","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","moral precepts","","","","0","2","0%","96.5","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","sangha in buddhism","","","","0","2","0%","98","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","access to insight threefold training sila samadhi panna","","","","0","1","0%","3","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","is it dharma or dhamma","","","","0","1","0%","5","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","เอาอันอื่น","","","","0","1","0%","8","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddhism right speech harsh speech authoritative source","","","","0","1","0%","9","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","""what we think, we become"" buddha dhammapada translation","","","","0","1","0%","10","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","dhammapada verse 1 translation ""what we think we become""","","","","0","1","0%","10","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","how to practice buddhism at home","","","","0","1","0%","10","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","let my kindness be the echo","","","","0","1","0%","10","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","what does sutta mean","","","","0","1","0%","10","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","""what we think, we become"" buddha quote attribution","","","","0","1","0%","11","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","what is a sutta","","","","0","1","0%","12","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddha patience quote","","","","0","1","0%","14","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","quotes on patience by buddha","","","","0","1","0%","14","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddha quote about letting go","","","","0","1","0%","15","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","dhamma in buddhism","","","","0","1","0%","15","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","patience has its limits buddha","","","","0","1","0%","16","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","what is the dhamma","","","","0","1","0%","17","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddhist quotes about patience","","","","0","1","0%","18","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","what is a dhamma","","","","0","1","0%","19","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","what is a sangha in buddhism","","","","0","1","0%","19","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddha on awareness","","","","0","1","0%","21","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","greed hatred delusion","","","","0","1","0%","21","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","what are the three poisons","","","","0","1","0%","21","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddhism quotes on letting go","","","","0","1","0%","22","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","ecom buddha","","","","0","1","0%","30","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","letting go buddha detachment quotes","","","","0","1","0%","30","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","let it go buddha quotes","","","","0","1","0%","32","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","what is mindfulness in buddhism","","","","0","1","0%","33","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","dharma buddhism","","","","0","1","0%","34","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","the kindness echoes","","","","0","1","0%","34","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddha quotes about patience","","","","0","1","0%","35","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","beginner guide to buddhism","","","","0","1","0%","36","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","mindfulness buddha quotes","","","","0","1","0%","36","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","quotes about meditation buddha","","","","0","1","0%","36","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddha mindfulness quotes","","","","0","1","0%","37","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddha reflection","","","","0","1","0%","37","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddhist teachings for beginners","","","","0","1","0%","37","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","learning buddhism for beginners","","","","0","1","0%","37","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","wise speech buddhism","","","","0","1","0%","37","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","divisive speech buddhism","","","","0","1","0%","38","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","what does compassion mean in buddhism","","","","0","1","0%","38","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","wisdom in art","","","","0","1","0%","43","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","ebuddha","","","","0","1","0%","44","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","why is compassion important in buddhism","","","","0","1","0%","44","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","beginning buddhism","","","","0","1","0%","45","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","the middle way in buddhism","","","","0","1","0%","46","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","the middle way of buddhism","","","","0","1","0%","46","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","what is the middle way","","","","0","1","0%","46","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","what is sutta","","","","0","1","0%","47","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddhism and compassion","","","","0","1","0%","48","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddhism compassion","","","","0","1","0%","49","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddhist definition of compassion","","","","0","1","0%","49","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","patience buddha quotes","","","","0","1","0%","49","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","practicing buddhism for beginners","","","","0","1","0%","49","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
