Priority,URL / Page family,Topic cluster,Current role,Current index state,Template issue,Repeated introduction issue,Repeated conclusion issue,Repeated heading/structure issue,Repeated transition issue,Repeated FAQ issue,Repeated practice issue,Cross-page examples,Why this is Phase 5 rather than Phase 4,Protected content that must not be lost,Protected source claims,Protected safety language,Protected topic ownership,Phase 5 recommendation,Human review needed?,Evidence
P1,https://echobuddha.com/daily-reflections/begin-again-without-shame/,Daily Reflections,RECURRING_USER_CONTENT,"noindex, follow",High,Review page-specific evidence; do not assume,Review page-specific evidence; do not assume,Phase 1 repeated-structure evidence,Review,Review only where present,Review only where present,See Phase 1 editorial-structure and template-language registers,Substantive role/source/safety/index state is valid; remaining issue is cross-page editorial sameness.,"Returning-reader cadence, a short reflection prompt, and a bounded daily practice.",Medium,NO_CRITICAL_ISSUE,RECURRING_USER_CONTENT -> https://echobuddha.com/daily-reflections/,"Reduce repeated editorial scaffolding while preserving role, URL, index state, sources, examples, and safety boundaries.",No,Built 2026-08-11T02:17:46.273Z; 307 words; 12 content headings; authored route; nearest /daily-reflections/morning-intention/ combined overlap 73.8%; external source links 0 | Phase 1: Built 2026-08-11T02:17:46.273Z; 307 words; 12 content headings; authored route; nearest /daily-reflections/morning-intention/ combined overlap 73.8%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries. | Recurring reflection detail is useful to returning users but too brief and structurally repetitive to justify independent Google indexing; the hub remains indexed.
P1,https://echobuddha.com/daily-reflections/compassion-begins-nearby/,Daily Reflections,RECURRING_USER_CONTENT,"noindex, follow",High,Review page-specific evidence; do not assume,Review page-specific evidence; do not assume,Phase 1 repeated-structure evidence,Review,Review only where present,Review only where present,See Phase 1 editorial-structure and template-language registers,Substantive role/source/safety/index state is valid; remaining issue is cross-page editorial sameness.,"Returning-reader cadence, a short reflection prompt, and a bounded daily practice.",Medium,NO_CRITICAL_ISSUE,RECURRING_USER_CONTENT -> https://echobuddha.com/daily-reflections/,"Reduce repeated editorial scaffolding while preserving role, URL, index state, sources, examples, and safety boundaries.",No,Built 2026-08-11T02:17:46.273Z; 306 words; 12 content headings; authored route; nearest /daily-reflections/kindness-with-boundaries/ combined overlap 74.5%; external source links 0 | Phase 1: Built 2026-08-11T02:17:46.273Z; 306 words; 12 content headings; authored route; nearest /daily-reflections/kindness-with-boundaries/ combined overlap 74.5%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries. | Recurring reflection detail is useful to returning users but too brief and structurally repetitive to justify independent Google indexing; the hub remains indexed.
P1,https://echobuddha.com/daily-reflections/enough-for-this-moment/,Daily Reflections,RECURRING_USER_CONTENT,"noindex, follow",High,Review page-specific evidence; do not assume,Review page-specific evidence; do not assume,Phase 1 repeated-structure evidence,Review,Review only where present,Review only where present,See Phase 1 editorial-structure and template-language registers,Substantive role/source/safety/index state is valid; remaining issue is cross-page editorial sameness.,"Returning-reader cadence, a short reflection prompt, and a bounded daily practice.",Medium,NO_CRITICAL_ISSUE,RECURRING_USER_CONTENT -> https://echobuddha.com/daily-reflections/,"Reduce repeated editorial scaffolding while preserving role, URL, index state, sources, examples, and safety boundaries.",No,Built 2026-08-11T02:17:46.273Z; 298 words; 12 content headings; authored route; nearest /daily-reflections/gratitude-notices-enough/ combined overlap 74.1%; external source links 0 | Phase 1: Built 2026-08-11T02:17:46.273Z; 298 words; 12 content headings; authored route; nearest /daily-reflections/gratitude-notices-enough/ combined overlap 74.1%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries. | Recurring reflection detail is useful to returning users but too brief and structurally repetitive to justify independent Google indexing; the hub remains indexed.
P1,https://echobuddha.com/daily-reflections/evening-release/,Daily Reflections,RECURRING_USER_CONTENT,"noindex, follow",High,Review page-specific evidence; do not assume,Review page-specific evidence; do not assume,Phase 1 repeated-structure evidence,Review,Review only where present,Review only where present,See Phase 1 editorial-structure and template-language registers,Substantive role/source/safety/index state is valid; remaining issue is cross-page editorial sameness.,"Returning-reader cadence, a short reflection prompt, and a bounded daily practice.",Medium,NO_CRITICAL_ISSUE,RECURRING_USER_CONTENT -> https://echobuddha.com/daily-reflections/,"Reduce repeated editorial scaffolding while preserving role, URL, index state, sources, examples, and safety boundaries.",No,Built 2026-08-11T02:17:46.273Z; 314 words; 12 content headings; authored route; nearest /daily-reflections/morning-intention/ combined overlap 73.7%; external source links 0 | Phase 1: Built 2026-08-11T02:17:46.273Z; 314 words; 12 content headings; authored route; nearest /daily-reflections/morning-intention/ combined overlap 73.7%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries. | Recurring reflection detail is useful to returning users but too brief and structurally repetitive to justify independent Google indexing; the hub remains indexed.
P1,https://echobuddha.com/daily-reflections/family-patience/,Daily Reflections,RECURRING_USER_CONTENT,"noindex, follow",High,Review page-specific evidence; do not assume,Review page-specific evidence; do not assume,Phase 1 repeated-structure evidence,Review,Review only where present,Review only where present,See Phase 1 editorial-structure and template-language registers,Substantive role/source/safety/index state is valid; remaining issue is cross-page editorial sameness.,"Returning-reader cadence, a short reflection prompt, and a bounded daily practice.",Medium,NO_CRITICAL_ISSUE,RECURRING_USER_CONTENT -> https://echobuddha.com/daily-reflections/,"Reduce repeated editorial scaffolding while preserving role, URL, index state, sources, examples, and safety boundaries.",No,Built 2026-08-11T02:17:46.273Z; 300 words; 12 content headings; authored route; nearest /daily-reflections/simple-goodwill/ combined overlap 74.1%; external source links 0 | Phase 1: Built 2026-08-11T02:17:46.273Z; 300 words; 12 content headings; authored route; nearest /daily-reflections/simple-goodwill/ combined overlap 74.1%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries. | Recurring reflection detail is useful to returning users but too brief and structurally repetitive to justify independent Google indexing; the hub remains indexed.
P1,https://echobuddha.com/daily-reflections/forgiveness-without-approval/,Daily Reflections,RECURRING_USER_CONTENT,"noindex, follow",High,Review page-specific evidence; do not assume,Review page-specific evidence; do not assume,Phase 1 repeated-structure evidence,Review,Review only where present,Review only where present,See Phase 1 editorial-structure and template-language registers,Substantive role/source/safety/index state is valid; remaining issue is cross-page editorial sameness.,"Returning-reader cadence, a short reflection prompt, and a bounded daily practice.",Medium,NO_CRITICAL_ISSUE,RECURRING_USER_CONTENT -> https://echobuddha.com/daily-reflections/,"Reduce repeated editorial scaffolding while preserving role, URL, index state, sources, examples, and safety boundaries.",No,Built 2026-08-11T02:17:46.273Z; 303 words; 12 content headings; authored route; nearest /daily-reflections/metta-for-a-difficult-person/ combined overlap 75.8%; external source links 0 | Phase 1: Built 2026-08-11T02:17:46.273Z; 303 words; 12 content headings; authored route; nearest /daily-reflections/metta-for-a-difficult-person/ combined overlap 75.8%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries. | Recurring reflection detail is useful to returning users but too brief and structurally repetitive to justify independent Google indexing; the hub remains indexed.
P1,https://echobuddha.com/daily-reflections/gratitude-for-change/,Daily Reflections,RECURRING_USER_CONTENT,"noindex, follow",High,Review page-specific evidence; do not assume,Review page-specific evidence; do not assume,Phase 1 repeated-structure evidence,Review,Review only where present,Review only where present,See Phase 1 editorial-structure and template-language registers,Substantive role/source/safety/index state is valid; remaining issue is cross-page editorial sameness.,"Returning-reader cadence, a short reflection prompt, and a bounded daily practice.",Medium,NO_CRITICAL_ISSUE,RECURRING_USER_CONTENT -> https://echobuddha.com/daily-reflections/,"Reduce repeated editorial scaffolding while preserving role, URL, index state, sources, examples, and safety boundaries.",No,Built 2026-08-11T02:17:46.273Z; 290 words; 12 content headings; authored route; nearest /daily-reflections/impermanence-softens-clinging/ combined overlap 73.8%; external source links 0 | Phase 1: Built 2026-08-11T02:17:46.273Z; 290 words; 12 content headings; authored route; nearest /daily-reflections/impermanence-softens-clinging/ combined overlap 73.8%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries. | Recurring reflection detail is useful to returning users but too brief and structurally repetitive to justify independent Google indexing; the hub remains indexed.
P1,https://echobuddha.com/daily-reflections/gratitude-notices-enough/,Daily Reflections,RECURRING_USER_CONTENT,"noindex, follow",High,Review page-specific evidence; do not assume,Review page-specific evidence; do not assume,Phase 1 repeated-structure evidence,Review,Review only where present,Review only where present,See Phase 1 editorial-structure and template-language registers,Substantive role/source/safety/index state is valid; remaining issue is cross-page editorial sameness.,"Returning-reader cadence, a short reflection prompt, and a bounded daily practice.",Medium,NO_CRITICAL_ISSUE,RECURRING_USER_CONTENT -> https://echobuddha.com/daily-reflections/,"Reduce repeated editorial scaffolding while preserving role, URL, index state, sources, examples, and safety boundaries.",No,Built 2026-08-11T02:17:46.273Z; 297 words; 12 content headings; authored route; nearest /daily-reflections/soften-the-inner-argument/ combined overlap 74.3%; external source links 0 | Phase 1: Built 2026-08-11T02:17:46.273Z; 297 words; 12 content headings; authored route; nearest /daily-reflections/soften-the-inner-argument/ combined overlap 74.3%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries. | Recurring reflection detail is useful to returning users but too brief and structurally repetitive to justify independent Google indexing; the hub remains indexed.
P1,https://echobuddha.com/daily-reflections/impermanence-softens-clinging/,Daily Reflections,RECURRING_USER_CONTENT,"noindex, follow",High,Review page-specific evidence; do not assume,Review page-specific evidence; do not assume,Phase 1 repeated-structure evidence,Review,Review only where present,Review only where present,See Phase 1 editorial-structure and template-language registers,Substantive role/source/safety/index state is valid; remaining issue is cross-page editorial sameness.,"Returning-reader cadence, a short reflection prompt, and a bounded daily practice.",Medium,NO_CRITICAL_ISSUE,RECURRING_USER_CONTENT -> https://echobuddha.com/daily-reflections/,"Reduce repeated editorial scaffolding while preserving role, URL, index state, sources, examples, and safety boundaries.",No,Built 2026-08-11T02:17:46.273Z; 297 words; 12 content headings; authored route; nearest /daily-reflections/gratitude-for-change/ combined overlap 73.8%; external source links 0 | Phase 1: Built 2026-08-11T02:17:46.273Z; 297 words; 12 content headings; authored route; nearest /daily-reflections/gratitude-for-change/ combined overlap 73.8%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries. | Recurring reflection detail is useful to returning users but too brief and structurally repetitive to justify independent Google indexing; the hub remains indexed.
P1,https://echobuddha.com/daily-reflections/kindness-with-boundaries/,Daily Reflections,RECURRING_USER_CONTENT,"noindex, follow",High,Review page-specific evidence; do not assume,Review page-specific evidence; do not assume,Phase 1 repeated-structure evidence,Review,Review only where present,Review only where present,See Phase 1 editorial-structure and template-language registers,Substantive role/source/safety/index state is valid; remaining issue is cross-page editorial sameness.,"Returning-reader cadence, a short reflection prompt, and a bounded daily practice.",Medium,NO_CRITICAL_ISSUE,RECURRING_USER_CONTENT -> https://echobuddha.com/daily-reflections/,"Reduce repeated editorial scaffolding while preserving role, URL, index state, sources, examples, and safety boundaries.",No,Built 2026-08-11T02:17:46.273Z; 302 words; 12 content headings; authored route; nearest /daily-reflections/rest-without-escape/ combined overlap 76.0%; external source links 0 | Phase 1: Built 2026-08-11T02:17:46.273Z; 302 words; 12 content headings; authored route; nearest /daily-reflections/rest-without-escape/ combined overlap 76.0%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries. | Recurring reflection detail is useful to returning users but too brief and structurally repetitive to justify independent Google indexing; the hub remains indexed.
P1,https://echobuddha.com/daily-reflections/let-the-feeling-pass/,Daily Reflections,RECURRING_USER_CONTENT,"noindex, follow",High,Review page-specific evidence; do not assume,Review page-specific evidence; do not assume,Phase 1 repeated-structure evidence,Review,Review only where present,Review only where present,See Phase 1 editorial-structure and template-language registers,Substantive role/source/safety/index state is valid; remaining issue is cross-page editorial sameness.,"Returning-reader cadence, a short reflection prompt, and a bounded daily practice.",Medium,NO_CRITICAL_ISSUE,RECURRING_USER_CONTENT -> https://echobuddha.com/daily-reflections/,"Reduce repeated editorial scaffolding while preserving role, URL, index state, sources, examples, and safety boundaries.",No,Built 2026-08-11T02:17:46.273Z; 318 words; 12 content headings; authored route; nearest /daily-reflections/simple-goodwill/ combined overlap 73.4%; external source links 0 | Phase 1: Built 2026-08-11T02:17:46.273Z; 318 words; 12 content headings; authored route; nearest /daily-reflections/simple-goodwill/ combined overlap 73.4%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries. | Recurring reflection detail is useful to returning users but too brief and structurally repetitive to justify independent Google indexing; the hub remains indexed.
P1,https://echobuddha.com/daily-reflections/letting-go-keeps-care/,Daily Reflections,RECURRING_USER_CONTENT,"noindex, follow",High,Review page-specific evidence; do not assume,Review page-specific evidence; do not assume,Phase 1 repeated-structure evidence,Review,Review only where present,Review only where present,See Phase 1 editorial-structure and template-language registers,Substantive role/source/safety/index state is valid; remaining issue is cross-page editorial sameness.,"Returning-reader cadence, a short reflection prompt, and a bounded daily practice.",Medium,NO_CRITICAL_ISSUE,RECURRING_USER_CONTENT -> https://echobuddha.com/daily-reflections/,"Reduce repeated editorial scaffolding while preserving role, URL, index state, sources, examples, and safety boundaries.",No,Built 2026-08-11T02:17:46.273Z; 298 words; 12 content headings; authored route; nearest /daily-reflections/forgiveness-without-approval/ combined overlap 73.2%; external source links 0 | Phase 1: Built 2026-08-11T02:17:46.273Z; 298 words; 12 content headings; authored route; nearest /daily-reflections/forgiveness-without-approval/ combined overlap 73.2%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries. | Recurring reflection detail is useful to returning users but too brief and structurally repetitive to justify independent Google indexing; the hub remains indexed.
P1,https://echobuddha.com/daily-reflections/listen-before-answering/,Daily Reflections,RECURRING_USER_CONTENT,"noindex, follow",High,Review page-specific evidence; do not assume,Review page-specific evidence; do not assume,Phase 1 repeated-structure evidence,Review,Review only where present,Review only where present,See Phase 1 editorial-structure and template-language registers,Substantive role/source/safety/index state is valid; remaining issue is cross-page editorial sameness.,"Returning-reader cadence, a short reflection prompt, and a bounded daily practice.",Medium,NO_CRITICAL_ISSUE,RECURRING_USER_CONTENT -> https://echobuddha.com/daily-reflections/,"Reduce repeated editorial scaffolding while preserving role, URL, index state, sources, examples, and safety boundaries.",No,Built 2026-08-11T02:17:46.273Z; 303 words; 12 content headings; authored route; nearest /daily-reflections/speech-can-reduce-suffering/ combined overlap 74.9%; external source links 0 | Phase 1: Built 2026-08-11T02:17:46.273Z; 303 words; 12 content headings; authored route; nearest /daily-reflections/speech-can-reduce-suffering/ combined overlap 74.9%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries. | Recurring reflection detail is useful to returning users but too brief and structurally repetitive to justify independent Google indexing; the hub remains indexed.
