Route,URL,Page family,Historical route present?,Current route present?,Route drift,Current title,Current H1,Evidence
/404.html,https://echobuddha.com/404.html,error utility,Yes,Yes,NONE,Page Not Found | Echo Buddha,Page Not Found,Current dist build plus forensic a1cd457 isolated dist build
/articles/eightfold-path-explained-daily-life/,https://echobuddha.com/articles/eightfold-path-explained-daily-life/,articles,Yes,Yes,NONE,Eightfold Path in Daily Life | Echo Buddha,The Noble Eightfold Path Explained for Daily Life,Current dist build plus forensic a1cd457 isolated dist build
/articles/eightfold-path-explained/,https://echobuddha.com/articles/eightfold-path-explained/,articles,Yes,Yes,NONE,The Noble Eightfold Path Explained for Beginners | Echo Buddha,The Noble Eightfold Path Explained for Beginners,Current dist build plus forensic a1cd457 isolated dist build
/articles/equanimity-in-buddhism/,https://echobuddha.com/articles/equanimity-in-buddhism/,articles,Yes,Yes,NONE,Equanimity in Buddhism: Balanced Care Without Numbness | Echo Buddha,Equanimity in Buddhism: Calm Without Indifference,Current dist build plus forensic a1cd457 isolated dist build
/articles/first-week-buddhist-practice/,https://echobuddha.com/articles/first-week-buddhist-practice/,articles,Yes,Yes,NONE,First Week Buddhist Practice for Beginners | Echo Buddha,First Week Buddhist Practice for Beginners,Current dist build plus forensic a1cd457 isolated dist build
/articles/five-precepts-in-daily-life/,https://echobuddha.com/articles/five-precepts-in-daily-life/,articles,Yes,Yes,NONE,Five Precepts in Daily Life: Buddhist Ethics for Beginners | Echo Buddha,The Five Precepts in Daily Life: A Beginner's Guide to Buddhist Ethics,Current dist build plus forensic a1cd457 isolated dist build
/articles/four-noble-truths-explained-simply/,https://echobuddha.com/articles/four-noble-truths-explained-simply/,articles,Yes,Yes,NONE,Four Noble Truths Explained Simply for Beginners | Echo Buddha,The Four Noble Truths Explained Simply,Current dist build plus forensic a1cd457 isolated dist build
/articles/four-noble-truths-explained/,https://echobuddha.com/articles/four-noble-truths-explained/,articles,Yes,Yes,NONE,The Four Noble Truths Explained Simply | Echo Buddha,The Four Noble Truths Explained in Simple Everyday Language,Current dist build plus forensic a1cd457 isolated dist build
/articles/how-to-let-go-of-attachment-in-buddhism/,https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,articles,Yes,Yes,NONE,How to Let Go of Attachment in Buddhism | Echo Buddha,How to Let Go of Attachment in Buddhism,Current dist build plus forensic a1cd457 isolated dist build
/articles/how-to-meditate-for-anxiety/,https://echobuddha.com/articles/how-to-meditate-for-anxiety/,articles,Yes,Yes,NONE,How to Meditate for Anxiety Gently | Echo Buddha,How to Meditate for Anxiety Without Fighting Your Mind,Current dist build plus forensic a1cd457 isolated dist build
/articles/how-to-meditate-for-beginners/,https://echobuddha.com/articles/how-to-meditate-for-beginners/,articles,Yes,Yes,NONE,How to Meditate for Beginners: Simple Buddhist Guide | Echo Buddha,How to Meditate for Beginners: A Simple Buddhist Guide,Current dist build plus forensic a1cd457 isolated dist build
/articles/how-to-practice-non-attachment/,https://echobuddha.com/articles/how-to-practice-non-attachment/,articles,Yes,Yes,NONE,How to Practice Non-Attachment | Echo Buddha,How to Practice Non-Attachment in Everyday Life,Current dist build plus forensic a1cd457 isolated dist build
/articles/impermanence-in-buddhism-letting-go/,https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,articles,Yes,Yes,NONE,Impermanence in Buddhism and How to Let Go Gently | Echo Buddha,Impermanence in Buddhism: Learning to Let Go Gently,Current dist build plus forensic a1cd457 isolated dist build
/articles/impermanence-in-buddhism/,https://echobuddha.com/articles/impermanence-in-buddhism/,articles,Yes,Yes,NONE,Impermanence in Buddhism: Accepting Change Peacefully | Echo Buddha,Impermanence in Buddhism: Learning to Accept Change Peacefully,Current dist build plus forensic a1cd457 isolated dist build
/articles/,https://echobuddha.com/articles/,articles,Yes,Yes,NONE,Articles and Blog | Echo Buddha,Articles and Blog,Current dist build plus forensic a1cd457 isolated dist build
/articles/letting-go-without-giving-up/,https://echobuddha.com/articles/letting-go-without-giving-up/,articles,Yes,Yes,NONE,Letting Go Without Giving Up | Echo Buddha,Letting Go Without Giving Up,Current dist build plus forensic a1cd457 isolated dist build
/articles/loving-kindness-meditation-beginners/,https://echobuddha.com/articles/loving-kindness-meditation-beginners/,articles,Yes,Yes,NONE,Loving-Kindness Meditation for Beginners | Echo Buddha,Loving-Kindness Meditation for Beginners,Current dist build plus forensic a1cd457 isolated dist build
/articles/loving-kindness-meditation-guide/,https://echobuddha.com/articles/loving-kindness-meditation-guide/,articles,Yes,Yes,NONE,Loving-Kindness Meditation Guide for Beginners | Echo Buddha,Loving-Kindness Meditation: A Gentle Practice Guide,Current dist build plus forensic a1cd457 isolated dist build
/articles/metta-meditation-script/,https://echobuddha.com/articles/metta-meditation-script/,articles,Yes,Yes,NONE,Metta Meditation Script for Loving-Kindness Practice | Echo Buddha,Metta Meditation Script: A Loving-Kindness Practice for Yourself and Others,Current dist build plus forensic a1cd457 isolated dist build
/articles/mindful-email-and-texting/,https://echobuddha.com/articles/mindful-email-and-texting/,articles,Yes,Yes,NONE,Mindful Email and Texting with Buddhist Right Speech | Echo Buddha,Mindful Email and Texting,Current dist build plus forensic a1cd457 isolated dist build
/articles/mindful-listening-in-everyday-life/,https://echobuddha.com/articles/mindful-listening-in-everyday-life/,articles,Yes,Yes,NONE,Mindful Listening in Everyday Life | Echo Buddha,Mindful Listening in Everyday Life,Current dist build plus forensic a1cd457 isolated dist build
/articles/mindfulness-for-better-sleep/,https://echobuddha.com/articles/mindfulness-for-better-sleep/,articles,Yes,Yes,NONE,Mindfulness for Better Sleep | Echo Buddha,Mindfulness for Better Sleep: A Gentle Evening Practice,Current dist build plus forensic a1cd457 isolated dist build
/articles/mindfulness-morning-routine/,https://echobuddha.com/articles/mindfulness-morning-routine/,articles,Yes,Yes,NONE,Mindful Morning Routine for Beginners | Echo Buddha,A Mindful Morning Routine for a Calmer Day,Current dist build plus forensic a1cd457 isolated dist build
/articles/mindfulness-of-breathing-guide/,https://echobuddha.com/articles/mindfulness-of-breathing-guide/,articles,Yes,Yes,NONE,Mindfulness of Breathing Guide for Calm and Clarity | Echo Buddha,Mindfulness of Breathing: A Step-by-Step Guide,Current dist build plus forensic a1cd457 isolated dist build
/articles/mindfulness-vs-meditation/,https://echobuddha.com/articles/mindfulness-vs-meditation/,articles,Yes,Yes,NONE,Mindfulness vs Meditation: Simple Beginner Guide | Echo Buddha,Mindfulness vs Meditation: What Is the Difference for Beginners?,Current dist build plus forensic a1cd457 isolated dist build
/articles/noble-eightfold-path-practical-guide/,https://echobuddha.com/articles/noble-eightfold-path-practical-guide/,articles,Yes,Yes,NONE,Noble Eightfold Path Practical Guide for Daily Life | Echo Buddha,The Noble Eightfold Path: A Practical Guide for Daily Life,Current dist build plus forensic a1cd457 isolated dist build
/articles/non-attachment-in-relationships/,https://echobuddha.com/articles/non-attachment-in-relationships/,articles,Yes,Yes,NONE,Non-Attachment in Relationships Without Becoming Cold | Echo Buddha,Non-Attachment in Relationships,Current dist build plus forensic a1cd457 isolated dist build
/articles/right-livelihood-modern-life/,https://echobuddha.com/articles/right-livelihood-modern-life/,articles,Yes,Yes,NONE,Right Livelihood in Modern Life: Buddhist Work Ethics | Echo Buddha,Right Livelihood in Modern Life: Buddhist Work Ethics Without Perfectionism,Current dist build plus forensic a1cd457 isolated dist build
/articles/right-speech-buddhism/,https://echobuddha.com/articles/right-speech-buddhism/,articles,Yes,Yes,NONE,"Right Speech in Buddhism: Meaning, Examples, and Practice | Echo Buddha",Right Speech in Buddhism: How to Speak with Kindness and Awareness,Current dist build plus forensic a1cd457 isolated dist build
/articles/right-speech-examples/,https://echobuddha.com/articles/right-speech-examples/,articles,Yes,Yes,NONE,Right Speech Examples for Everyday Life | Echo Buddha,Right Speech Examples for Everyday Life,Current dist build plus forensic a1cd457 isolated dist build
/articles/three-poisons-buddhism-explained/,https://echobuddha.com/articles/three-poisons-buddhism-explained/,articles,Yes,Yes,NONE,"Three Poisons in Buddhism: Greed, Aversion, and Delusion | Echo Buddha","The Three Poisons in Buddhism: Greed, Hatred, and Delusion Explained",Current dist build plus forensic a1cd457 isolated dist build
/articles/three-ways-to-practice-patience/,https://echobuddha.com/articles/three-ways-to-practice-patience/,articles,Yes,Yes,NONE,Three Ways to Practice Patience | Echo Buddha,Three Ways to Practice Patience,Current dist build plus forensic a1cd457 isolated dist build
/articles/visiting-a-buddhist-temple-respectfully/,https://echobuddha.com/articles/visiting-a-buddhist-temple-respectfully/,articles,Yes,Yes,NONE,Visiting a Buddhist Temple Respectfully: Beginner Guide | Echo Buddha,Visiting a Buddhist Temple Respectfully,Current dist build plus forensic a1cd457 isolated dist build
/articles/walking-meditation-step-by-step/,https://echobuddha.com/articles/walking-meditation-step-by-step/,articles,Yes,Yes,NONE,Walking Meditation: Step-by-Step Guide | Echo Buddha,Walking Meditation: A Step-by-Step Beginner's Guide,Current dist build plus forensic a1cd457 isolated dist build
/articles/what-is-buddhism-beginner-guide/,https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,articles,Yes,Yes,NONE,What Is Buddhism? Beginner Guide to Buddhist Wisdom | Echo Buddha,What Is Buddhism? A Beginner-Friendly Guide,Current dist build plus forensic a1cd457 isolated dist build
/articles/what-is-karma-in-buddhism/,https://echobuddha.com/articles/what-is-karma-in-buddhism/,articles,Yes,Yes,NONE,How Karma Shapes Daily Choices in Buddhist Practice | Echo Buddha,How Karma Shapes Daily Choices in Buddhist Practice,Current dist build plus forensic a1cd457 isolated dist build
/articles/what-is-sangha-buddhist-community/,https://echobuddha.com/articles/what-is-sangha-buddhist-community/,articles,Yes,Yes,NONE,What Is Sangha? Buddhist Community for Beginners | Echo Buddha,What Is Sangha? Why Buddhist Community Matters for Beginners,Current dist build plus forensic a1cd457 isolated dist build
/authors/echo-buddha-editorial/,https://echobuddha.com/authors/echo-buddha-editorial/,trust/policy,Yes,Yes,NONE,Echo Buddha Editorial | Echo Buddha,Echo Buddha Editorial,Current dist build plus forensic a1cd457 isolated dist build
/buddhist-sources-and-citations/,https://echobuddha.com/buddhist-sources-and-citations/,trust/policy,Yes,Yes,NONE,Buddhist Sources and Citations | Echo Buddha,Buddhist Sources and Citations,Current dist build plus forensic a1cd457 isolated dist build
/contact/,https://echobuddha.com/contact/,trust/policy,Yes,Yes,NONE,Contact | Echo Buddha,Contact Echo Buddha,Current dist build plus forensic a1cd457 isolated dist build
/corrections/,https://echobuddha.com/corrections/,trust/policy,Yes,Yes,NONE,Corrections and Editorial Updates | Echo Buddha,Corrections and Editorial Updates,Current dist build plus forensic a1cd457 isolated dist build
/daily-reflections/anger-as-a-signal/,https://echobuddha.com/daily-reflections/anger-as-a-signal/,daily-reflections,Yes,Yes,NONE,Anger Can Become a Signal - Daily Buddhist Reflection | Echo Buddha,Anger Can Become a Signal,Current dist build plus forensic a1cd457 isolated dist build
/daily-reflections/begin-again-without-shame/,https://echobuddha.com/daily-reflections/begin-again-without-shame/,daily-reflections,Yes,Yes,NONE,Begin Again Without Shame - Daily Buddhist Reflection | Echo Buddha,Begin Again Without Shame,Current dist build plus forensic a1cd457 isolated dist build
/daily-reflections/compassion-begins-nearby/,https://echobuddha.com/daily-reflections/compassion-begins-nearby/,daily-reflections,Yes,Yes,NONE,Compassion Begins Nearby - Daily Buddhist Reflection | Echo Buddha,Compassion Begins Nearby,Current dist build plus forensic a1cd457 isolated dist build
/daily-reflections/enough-for-this-moment/,https://echobuddha.com/daily-reflections/enough-for-this-moment/,daily-reflections,Yes,Yes,NONE,Enough for This Moment - Daily Buddhist Reflection | Echo Buddha,Enough for This Moment,Current dist build plus forensic a1cd457 isolated dist build
/daily-reflections/evening-release/,https://echobuddha.com/daily-reflections/evening-release/,daily-reflections,Yes,Yes,NONE,End the Day by Releasing - Daily Buddhist Reflection | Echo Buddha,End the Day by Releasing,Current dist build plus forensic a1cd457 isolated dist build
/daily-reflections/family-patience/,https://echobuddha.com/daily-reflections/family-patience/,daily-reflections,Yes,Yes,NONE,Patience at Home - Daily Buddhist Reflection | Echo Buddha,Patience at Home,Current dist build plus forensic a1cd457 isolated dist build
/daily-reflections/forgiveness-without-approval/,https://echobuddha.com/daily-reflections/forgiveness-without-approval/,daily-reflections,Yes,Yes,NONE,Forgiveness Is Not Approval - Daily Buddhist Reflection | Echo Buddha,Forgiveness Is Not Approval,Current dist build plus forensic a1cd457 isolated dist build
/daily-reflections/gratitude-for-change/,https://echobuddha.com/daily-reflections/gratitude-for-change/,daily-reflections,Yes,Yes,NONE,Gratitude for Change - Daily Buddhist Reflection | Echo Buddha,Gratitude for Change,Current dist build plus forensic a1cd457 isolated dist build
/daily-reflections/gratitude-notices-enough/,https://echobuddha.com/daily-reflections/gratitude-notices-enough/,daily-reflections,Yes,Yes,NONE,Gratitude Notices Enough - Daily Buddhist Reflection | Echo Buddha,Gratitude Notices Enough,Current dist build plus forensic a1cd457 isolated dist build
/daily-reflections/impermanence-softens-clinging/,https://echobuddha.com/daily-reflections/impermanence-softens-clinging/,daily-reflections,Yes,Yes,NONE,Impermanence Softens Clinging - Daily Buddhist Reflection | Echo Buddha,Impermanence Softens Clinging,Current dist build plus forensic a1cd457 isolated dist build
/daily-reflections/,https://echobuddha.com/daily-reflections/,daily-reflections,Yes,Yes,NONE,Daily Buddhist Reflections for Mindful Living | Echo Buddha,Daily Buddhist Reflections for Mindful Living,Current dist build plus forensic a1cd457 isolated dist build
/daily-reflections/kindness-with-boundaries/,https://echobuddha.com/daily-reflections/kindness-with-boundaries/,daily-reflections,Yes,Yes,NONE,Kindness Can Have Boundaries - Daily Buddhist Reflection | Echo Buddha,Kindness Can Have Boundaries,Current dist build plus forensic a1cd457 isolated dist build
/daily-reflections/let-the-feeling-pass/,https://echobuddha.com/daily-reflections/let-the-feeling-pass/,daily-reflections,Yes,Yes,NONE,Let the Feeling Pass Through - Daily Buddhist Reflection | Echo Buddha,Let the Feeling Pass Through,Current dist build plus forensic a1cd457 isolated dist build
/daily-reflections/letting-go-keeps-care/,https://echobuddha.com/daily-reflections/letting-go-keeps-care/,daily-reflections,Yes,Yes,NONE,Letting Go Keeps the Care - Daily Buddhist Reflection | Echo Buddha,Letting Go Keeps the Care,Current dist build plus forensic a1cd457 isolated dist build
/daily-reflections/listen-before-answering/,https://echobuddha.com/daily-reflections/listen-before-answering/,daily-reflections,Yes,Yes,NONE,Listen Before Answering - Daily Buddhist Reflection | Echo Buddha,Listen Before Answering,Current dist build plus forensic a1cd457 isolated dist build
/daily-reflections/metta-for-a-difficult-person/,https://echobuddha.com/daily-reflections/metta-for-a-difficult-person/,daily-reflections,Yes,Yes,NONE,Metta Without Pretending - Daily Buddhist Reflection | Echo Buddha,Metta Without Pretending,Current dist build plus forensic a1cd457 isolated dist build
/daily-reflections/mindful-work/,https://echobuddha.com/daily-reflections/mindful-work/,daily-reflections,Yes,Yes,NONE,Work Can Carry Practice - Daily Buddhist Reflection | Echo Buddha,Work Can Carry Practice,Current dist build plus forensic a1cd457 isolated dist build
/daily-reflections/morning-intention/,https://echobuddha.com/daily-reflections/morning-intention/,daily-reflections,Yes,Yes,NONE,Begin With Intention - Daily Buddhist Reflection | Echo Buddha,Begin With Intention,Current dist build plus forensic a1cd457 isolated dist build
/daily-reflections/notice-before-fixing/,https://echobuddha.com/daily-reflections/notice-before-fixing/,daily-reflections,Yes,Yes,NONE,Notice Before Fixing - Daily Buddhist Reflection | Echo Buddha,Notice Before Fixing,Current dist build plus forensic a1cd457 isolated dist build
/daily-reflections/one-honest-breath/,https://echobuddha.com/daily-reflections/one-honest-breath/,daily-reflections,Yes,Yes,NONE,Return Through One Honest Breath - Daily Buddhist Reflection | Echo Buddha,Return Through One Honest Breath,Current dist build plus forensic a1cd457 isolated dist build
/daily-reflections/one-step-on-the-path/,https://echobuddha.com/daily-reflections/one-step-on-the-path/,daily-reflections,Yes,Yes,NONE,The Path Is One Step - Daily Buddhist Reflection | Echo Buddha,The Path Is One Step,Current dist build plus forensic a1cd457 isolated dist build
/daily-reflections/patience-before-anger-speaks/,https://echobuddha.com/daily-reflections/patience-before-anger-speaks/,daily-reflections,Yes,Yes,NONE,Patience Begins Before Anger Speaks - Daily Buddhist Reflection | Echo Buddha,Patience Begins Before Anger Speaks,Current dist build plus forensic a1cd457 isolated dist build
/daily-reflections/rest-without-escape/,https://echobuddha.com/daily-reflections/rest-without-escape/,daily-reflections,Yes,Yes,NONE,Rest Without Escape - Daily Buddhist Reflection | Echo Buddha,Rest Without Escape,Current dist build plus forensic a1cd457 isolated dist build
/daily-reflections/see-the-conditions/,https://echobuddha.com/daily-reflections/see-the-conditions/,daily-reflections,Yes,Yes,NONE,See the Conditions - Daily Buddhist Reflection | Echo Buddha,See the Conditions,Current dist build plus forensic a1cd457 isolated dist build
/daily-reflections/simple-goodwill/,https://echobuddha.com/daily-reflections/simple-goodwill/,daily-reflections,Yes,Yes,NONE,Simple Goodwill Counts - Daily Buddhist Reflection | Echo Buddha,Simple Goodwill Counts,Current dist build plus forensic a1cd457 isolated dist build
/daily-reflections/small-actions-shape-the-mind/,https://echobuddha.com/daily-reflections/small-actions-shape-the-mind/,daily-reflections,Yes,Yes,NONE,Small Actions Shape the Mind - Daily Buddhist Reflection | Echo Buddha,Small Actions Shape the Mind,Current dist build plus forensic a1cd457 isolated dist build
/daily-reflections/soften-the-inner-argument/,https://echobuddha.com/daily-reflections/soften-the-inner-argument/,daily-reflections,Yes,Yes,NONE,Soften the Inner Argument - Daily Buddhist Reflection | Echo Buddha,Soften the Inner Argument,Current dist build plus forensic a1cd457 isolated dist build
/daily-reflections/speech-can-reduce-suffering/,https://echobuddha.com/daily-reflections/speech-can-reduce-suffering/,daily-reflections,Yes,Yes,NONE,Speech Can Reduce Suffering - Daily Buddhist Reflection | Echo Buddha,Speech Can Reduce Suffering,Current dist build plus forensic a1cd457 isolated dist build
/daily-reflections/the-first-truth-is-kind/,https://echobuddha.com/daily-reflections/the-first-truth-is-kind/,daily-reflections,Yes,Yes,NONE,The First Truth Is Kind - Daily Buddhist Reflection | Echo Buddha,The First Truth Is Kind,Current dist build plus forensic a1cd457 isolated dist build
/daily-reflections/thoughts-are-visitors/,https://echobuddha.com/daily-reflections/thoughts-are-visitors/,daily-reflections,Yes,Yes,NONE,Thoughts Are Visitors - Daily Buddhist Reflection | Echo Buddha,Thoughts Are Visitors,Current dist build plus forensic a1cd457 isolated dist build
/daily-reflections/today/,https://echobuddha.com/daily-reflections/today/,daily-reflections,Yes,Yes,NONE,Today's Buddhist Reflection Prompt | Echo Buddha,Today's Buddhist Reflection Prompt,Current dist build plus forensic a1cd457 isolated dist build
/daily-reflections/walking-as-practice/,https://echobuddha.com/daily-reflections/walking-as-practice/,daily-reflections,Yes,Yes,NONE,Walking Can Be Practice - Daily Buddhist Reflection | Echo Buddha,Walking Can Be Practice,Current dist build plus forensic a1cd457 isolated dist build
/disclaimer/,https://echobuddha.com/disclaimer/,trust/policy,Yes,Yes,NONE,Disclaimer | Echo Buddha,Disclaimer,Current dist build plus forensic a1cd457 isolated dist build
/editorial-policy/,https://echobuddha.com/editorial-policy/,trust/policy,Yes,Yes,NONE,Editorial Policy | Echo Buddha,Editorial Policy,Current dist build plus forensic a1cd457 isolated dist build
/how-echo-buddha-creates-content/,https://echobuddha.com/how-echo-buddha-creates-content/,trust/policy,Yes,Yes,NONE,How Echo Buddha Creates Content | Echo Buddha,How Echo Buddha Creates Content,Current dist build plus forensic a1cd457 isolated dist build
/,https://echobuddha.com/,homepage,Yes,Yes,NONE,Echo Buddha - Buddhist Wisdom for a Calmer Everyday Life,Echo Buddha,Current dist build plus forensic a1cd457 isolated dist build
/learn/buddhism-101/a-simple-daily-buddhist-practice/,https://echobuddha.com/learn/buddhism-101/a-simple-daily-buddhist-practice/,learn,Yes,Yes,NONE,A Simple Daily Buddhist Practice | Echo Buddha,A Simple Daily Buddhist Practice,Current dist build plus forensic a1cd457 isolated dist build
/learn/buddhism-101/dependent-origination-explained/,https://echobuddha.com/learn/buddhism-101/dependent-origination-explained/,learn,Yes,Yes,NONE,Dependent Origination in Buddhism Explained for Beginners | Echo Buddha,Dependent Origination Explained,Current dist build plus forensic a1cd457 isolated dist build
/learn/buddhism-101/five-aggregates-buddhism/,https://echobuddha.com/learn/buddhism-101/five-aggregates-buddhism/,learn,Yes,Yes,NONE,The Five Aggregates in Buddhism Explained Simply | Echo Buddha,The Five Aggregates in Buddhism,Current dist build plus forensic a1cd457 isolated dist build
/learn/buddhism-101/five-hindrances-in-buddhism/,https://echobuddha.com/learn/buddhism-101/five-hindrances-in-buddhism/,learn,Yes,Yes,NONE,Five Hindrances in Buddhism Explained for Beginners | Echo Buddha,The Five Hindrances in Buddhism,Current dist build plus forensic a1cd457 isolated dist build
/learn/buddhism-101/five-precepts-buddhism/,https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/,learn,Yes,Yes,NONE,The Five Precepts in Buddhism: A Beginner's Guide to Ethical Living | Echo Buddha,The Five Precepts in Buddhism,Current dist build plus forensic a1cd457 isolated dist build
/learn/buddhism-101/four-brahmaviharas/,https://echobuddha.com/learn/buddhism-101/four-brahmaviharas/,learn,Yes,Yes,NONE,"The Four Brahmaviharas: Loving-Kindness, Compassion, Joy, and Equanimity | Echo Buddha",The Four Brahmaviharas,Current dist build plus forensic a1cd457 isolated dist build
/learn/buddhism-101/how-to-practice-buddhism-at-home/,https://echobuddha.com/learn/buddhism-101/how-to-practice-buddhism-at-home/,learn,Yes,Yes,NONE,How to Practice Buddhism at Home | Echo Buddha,How to Practice Buddhism at Home,Current dist build plus forensic a1cd457 isolated dist build
/learn/buddhism-101/,https://echobuddha.com/learn/buddhism-101/,learn,Yes,Yes,NONE,Buddhism 101 | Echo Buddha,Buddhism 101,Current dist build plus forensic a1cd457 isolated dist build
/learn/buddhism-101/middle-way-explained-for-beginners/,https://echobuddha.com/learn/buddhism-101/middle-way-explained-for-beginners/,learn,Yes,Yes,NONE,The Middle Way in Buddhism Explained for Beginners | Echo Buddha,The Middle Way Explained for Beginners,Current dist build plus forensic a1cd457 isolated dist build
