Topic,Primary owner URL,Phase 2 primary flag,Current role,Current index state,Current sitemap,Current canonical,Duplicate owner URL?,Owner conflict?,Confidence,Evidence
Mindfulness,https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,Yes,PRIMARY_PILLAR,indexable,in sitemap,https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,No,No,High,"The lesson owns Buddhist mindfulness meaning; dictionary, comparison, and routine pages remain narrower."
Dhammapada,https://echobuddha.com/learn/dhammapada-reflections/,Yes,HUB,indexable,in sitemap,https://echobuddha.com/learn/dhammapada-reflections/,No,No,High,"The source-aware hub organizes verse study and clearly separates translation, paraphrase, and reflection."
Sutta Study,https://echobuddha.com/learn/sutta-for-daily-life/,Yes,HUB,indexable,in sitemap,https://echobuddha.com/learn/sutta-for-daily-life/,No,No,High,The hub owns navigation into specific canonical-text studies; doctrine pillars own general explanations.
Buddhist Dictionary,https://echobuddha.com/learn/buddhist-dictionary/,Yes,HUB,indexable,in sitemap,https://echobuddha.com/learn/buddhist-dictionary/,No,No,High,The hub organizes term definitions; it does not own every broad doctrinal topic represented by its entries.
Quotes,https://echobuddha.com/quotes/,Yes,HUB,indexable,in sitemap,https://echobuddha.com/quotes/,No,No,High,The hub owns discovery of clearly labeled original Echo Buddha quote reflections.
Daily Reflections,https://echobuddha.com/daily-reflections/,Yes,HUB,indexable,in sitemap,https://echobuddha.com/daily-reflections/,No,No,High,The hub owns the returning reflection experience; detail pages do not own broad teaching queries.
Right Livelihood,https://echobuddha.com/learn/buddhism-101/right-livelihood-buddhism/,Yes,PRIMARY_PILLAR,indexable,in sitemap,https://echobuddha.com/learn/buddhism-101/right-livelihood-buddhism/,No,No,High,The lesson owns the path-factor meaning; the article owns modern-work application.
Brahmaviharas,https://echobuddha.com/learn/buddhism-101/four-brahmaviharas/,Yes,PRIMARY_PILLAR,indexable,in sitemap,https://echobuddha.com/learn/buddhism-101/four-brahmaviharas/,No,No,High,"The lesson owns the four-quality overview while compassion, metta, and equanimity pages own individual topics."
Buddhist Foundations,https://echobuddha.com/learn/buddhism-101/,Yes,HUB,indexable,in sitemap,https://echobuddha.com/learn/buddhism-101/,No,No,High,The hub organizes foundational lessons whose individual concepts may have their own owners.
Buddhist Practice,https://echobuddha.com/articles/category/practice/,Yes,CATEGORY,indexable,in sitemap,https://echobuddha.com/articles/category/practice/,No,No,High,The category organizes practical articles without owning their underlying Buddhist doctrines.
Article Discovery,https://echobuddha.com/articles/,Yes,HUB,indexable,in sitemap,https://echobuddha.com/articles/,No,No,High,"The publication index owns article discovery, not any individual Buddhist teaching."
Learn Navigation,https://echobuddha.com/learn/,Yes,HUB,indexable,in sitemap,https://echobuddha.com/learn/,No,No,High,"The Learn hub owns structured learning navigation across doctrine, dictionary, Dhammapada, and sutta paths."
Newcomer Orientation,https://echobuddha.com/start-here/,Yes,HUB,indexable,in sitemap,https://echobuddha.com/start-here/,No,No,High,Start Here helps a new visitor choose a route; it does not own the broad definition of Buddhism.
Mindful Living,https://echobuddha.com/mindful-living/,Yes,HUB,indexable,in sitemap,https://echobuddha.com/mindful-living/,No,No,High,The hub organizes daily-life applications while doctrine remains owned by Learn or dedicated articles.
Trust / Policy,https://echobuddha.com/about/,Yes,TRUST_POLICY,indexable,in sitemap,https://echobuddha.com/about/,No,No,High,"About anchors publisher identity while each policy page retains a protected, non-SEO trust function."
Utility,https://echobuddha.com/tools/,Yes,UTILITY,indexable,in sitemap,https://echobuddha.com/tools/,No,No,High,The tools hub owns functional practice utilities and does not own Buddhist teaching queries.
Site Discovery,https://echobuddha.com/,Yes,HUB,indexable,in sitemap,https://echobuddha.com/,No,No,High,The homepage introduces the publication and routes readers to clear owners without becoming a doctrine pillar.
