URL,Production status,Production final URL,Current repo title/H1/robots/canonical match?,Production rendered text matches current repo?,Production rendered text matches forensic a1cd457?,Production fully matches current repo?,Production fully matches forensic a1cd457?,Production title,Current title,Forensic title,Production H1,Current H1,Production robots,Current robots,Forensic robots,Production canonical,Current canonical,AdSense script count,Publisher IDs,Classification
https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,200,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,Yes,Yes,Yes,Yes,Yes,Compassion in Buddhism: Beginner Guide and Daily Practice | Echo Buddha,Compassion in Buddhism: Beginner Guide and Daily Practice | Echo Buddha,Compassion in Buddhism: Beginner Guide and Daily Practice | Echo Buddha,Compassion in Buddhism: A Beginner's Guide,Compassion in Buddhism: A Beginner's Guide,"index, follow (implicit)","index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,1,ca-pub-3911157640549350,MATCHES_CURRENT_AND_FORENSIC
https://echobuddha.com/articles/compassion-with-boundaries/,200,https://echobuddha.com/articles/compassion-with-boundaries/,Yes,No,Yes,No,Yes,Compassion With Boundaries in Buddhist Practice | Echo Buddha,Compassion With Boundaries in Buddhist Practice | Echo Buddha,Compassion With Boundaries in Buddhist Practice | Echo Buddha,Compassion With Boundaries,Compassion With Boundaries,"index, follow (implicit)","index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/compassion-with-boundaries/,https://echobuddha.com/articles/compassion-with-boundaries/,0,,MATCHES_FORENSIC_ONLY
https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,200,https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,Yes,Yes,Yes,Yes,Yes,Create a Peaceful Meditation Corner | Echo Buddha,Create a Peaceful Meditation Corner | Echo Buddha,Create a Peaceful Meditation Corner | Echo Buddha,Creating a Peaceful Corner at Home,Creating a Peaceful Corner at Home,"index, follow (implicit)","index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,1,ca-pub-3911157640549350,MATCHES_CURRENT_AND_FORENSIC
https://echobuddha.com/articles/dhamma-vs-dharma/,200,https://echobuddha.com/articles/dhamma-vs-dharma/,Yes,Yes,Yes,Yes,Yes,Dhamma vs Dharma: Buddhist Meaning and Spelling | Echo Buddha,Dhamma vs Dharma: Buddhist Meaning and Spelling | Echo Buddha,Dhamma vs Dharma: Buddhist Meaning and Spelling | Echo Buddha,Dhamma vs Dharma: What Is the Difference?,Dhamma vs Dharma: What Is the Difference?,"index, follow (implicit)","index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/dhamma-vs-dharma/,https://echobuddha.com/articles/dhamma-vs-dharma/,1,ca-pub-3911157640549350,MATCHES_CURRENT_AND_FORENSIC
https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,200,https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,Yes,Yes,Yes,Yes,Yes,Dhammapada Reflection on a Trained Mind and Peace | Echo Buddha,Dhammapada Reflection on a Trained Mind and Peace | Echo Buddha,Dhammapada Reflection on a Trained Mind and Peace | Echo Buddha,Dhammapada Reflection: A Trained Mind Brings Peace,Dhammapada Reflection: A Trained Mind Brings Peace,"index, follow (implicit)","index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,0,,MATCHES_CURRENT_AND_FORENSIC
https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,200,https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,Yes,No,Yes,No,Yes,"Dhammapada What We Think: Translation, Paraphrase, Reflection | Echo Buddha","Dhammapada What We Think: Translation, Paraphrase, Reflection | Echo Buddha","Dhammapada What We Think: Translation, Paraphrase, Reflection | Echo Buddha","Dhammapada Reflection: What We Think, We Become","Dhammapada Reflection: What We Think, We Become","index, follow (implicit)","index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,0,,MATCHES_FORENSIC_ONLY
https://echobuddha.com/articles/dhammapada-verse-1-meaning/,200,https://echobuddha.com/articles/dhammapada-verse-1-meaning/,Yes,Yes,Yes,Yes,Yes,Dhammapada Verse 1 Meaning and Translation Caution | Echo Buddha,Dhammapada Verse 1 Meaning and Translation Caution | Echo Buddha,Dhammapada Verse 1 Meaning and Translation Caution | Echo Buddha,Dhammapada Verse 1 Meaning and Translation Caution,Dhammapada Verse 1 Meaning and Translation Caution,"index, follow (implicit)","index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/dhammapada-verse-1-meaning/,https://echobuddha.com/articles/dhammapada-verse-1-meaning/,0,,MATCHES_CURRENT_AND_FORENSIC
https://echobuddha.com/articles/eightfold-path-explained-daily-life/,200,https://echobuddha.com/articles/eightfold-path-explained-daily-life/,Yes,No,Yes,No,Yes,Eightfold Path in Daily Life | Echo Buddha,Eightfold Path in Daily Life | Echo Buddha,Eightfold Path in Daily Life | Echo Buddha,The Noble Eightfold Path Explained for Daily Life,The Noble Eightfold Path Explained for Daily Life,"index, follow (implicit)","index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/eightfold-path-explained-daily-life/,https://echobuddha.com/articles/eightfold-path-explained-daily-life/,1,ca-pub-3911157640549350,MATCHES_FORENSIC_ONLY
https://echobuddha.com/articles/eightfold-path-explained/,200,https://echobuddha.com/articles/eightfold-path-explained/,Yes,No,Yes,No,Yes,The Noble Eightfold Path Explained for Beginners | Echo Buddha,The Noble Eightfold Path Explained for Beginners | Echo Buddha,The Noble Eightfold Path Explained for Beginners | Echo Buddha,The Noble Eightfold Path Explained for Beginners,The Noble Eightfold Path Explained for Beginners,"index, follow (implicit)","index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/eightfold-path-explained/,https://echobuddha.com/articles/eightfold-path-explained/,1,ca-pub-3911157640549350,MATCHES_FORENSIC_ONLY
https://echobuddha.com/articles/equanimity-in-buddhism/,200,https://echobuddha.com/articles/equanimity-in-buddhism/,Yes,Yes,Yes,Yes,Yes,Equanimity in Buddhism: Balanced Care Without Numbness | Echo Buddha,Equanimity in Buddhism: Balanced Care Without Numbness | Echo Buddha,Equanimity in Buddhism: Balanced Care Without Numbness | Echo Buddha,Equanimity in Buddhism: Calm Without Indifference,Equanimity in Buddhism: Calm Without Indifference,"index, follow (implicit)","index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/equanimity-in-buddhism/,https://echobuddha.com/articles/equanimity-in-buddhism/,1,ca-pub-3911157640549350,MATCHES_CURRENT_AND_FORENSIC
https://echobuddha.com/articles/first-week-buddhist-practice/,200,https://echobuddha.com/articles/first-week-buddhist-practice/,Yes,No,Yes,No,Yes,First Week Buddhist Practice for Beginners | Echo Buddha,First Week Buddhist Practice for Beginners | Echo Buddha,First Week Buddhist Practice for Beginners | Echo Buddha,First Week Buddhist Practice for Beginners,First Week Buddhist Practice for Beginners,"index, follow (implicit)","index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/first-week-buddhist-practice/,https://echobuddha.com/articles/first-week-buddhist-practice/,1,ca-pub-3911157640549350,MATCHES_FORENSIC_ONLY
https://echobuddha.com/articles/five-precepts-in-daily-life/,200,https://echobuddha.com/articles/five-precepts-in-daily-life/,Yes,No,Yes,No,Yes,Five Precepts in Daily Life: Buddhist Ethics for Beginners | Echo Buddha,Five Precepts in Daily Life: Buddhist Ethics for Beginners | Echo Buddha,Five Precepts in Daily Life: Buddhist Ethics for Beginners | Echo Buddha,The Five Precepts in Daily Life: A Beginner's Guide to Buddhist Ethics,The Five Precepts in Daily Life: A Beginner's Guide to Buddhist Ethics,"index, follow (implicit)","index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/five-precepts-in-daily-life/,https://echobuddha.com/articles/five-precepts-in-daily-life/,1,ca-pub-3911157640549350,MATCHES_FORENSIC_ONLY
https://echobuddha.com/articles/four-noble-truths-explained-simply/,200,https://echobuddha.com/articles/four-noble-truths-explained-simply/,Yes,Yes,Yes,Yes,Yes,Four Noble Truths Explained Simply for Beginners | Echo Buddha,Four Noble Truths Explained Simply for Beginners | Echo Buddha,Four Noble Truths Explained Simply for Beginners | Echo Buddha,The Four Noble Truths Explained Simply,The Four Noble Truths Explained Simply,"index, follow (implicit)","index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/four-noble-truths-explained-simply/,https://echobuddha.com/articles/four-noble-truths-explained-simply/,1,ca-pub-3911157640549350,MATCHES_CURRENT_AND_FORENSIC
https://echobuddha.com/articles/four-noble-truths-explained/,200,https://echobuddha.com/articles/four-noble-truths-explained/,Yes,Yes,Yes,Yes,Yes,The Four Noble Truths Explained Simply | Echo Buddha,The Four Noble Truths Explained Simply | Echo Buddha,The Four Noble Truths Explained Simply | Echo Buddha,The Four Noble Truths Explained in Simple Everyday Language,The Four Noble Truths Explained in Simple Everyday Language,"index, follow (implicit)","index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/four-noble-truths-explained/,https://echobuddha.com/articles/four-noble-truths-explained/,1,ca-pub-3911157640549350,MATCHES_CURRENT_AND_FORENSIC
https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,200,https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,Yes,Yes,Yes,Yes,Yes,How to Let Go of Attachment in Buddhism | Echo Buddha,How to Let Go of Attachment in Buddhism | Echo Buddha,How to Let Go of Attachment in Buddhism | Echo Buddha,How to Let Go of Attachment in Buddhism,How to Let Go of Attachment in Buddhism,"index, follow (implicit)","index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,1,ca-pub-3911157640549350,MATCHES_CURRENT_AND_FORENSIC
https://echobuddha.com/articles/how-to-meditate-for-anxiety/,200,https://echobuddha.com/articles/how-to-meditate-for-anxiety/,Yes,Yes,Yes,Yes,Yes,How to Meditate for Anxiety Gently | Echo Buddha,How to Meditate for Anxiety Gently | Echo Buddha,How to Meditate for Anxiety Gently | Echo Buddha,How to Meditate for Anxiety Without Fighting Your Mind,How to Meditate for Anxiety Without Fighting Your Mind,"index, follow (implicit)","index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/how-to-meditate-for-anxiety/,https://echobuddha.com/articles/how-to-meditate-for-anxiety/,0,,MATCHES_CURRENT_AND_FORENSIC
https://echobuddha.com/articles/how-to-meditate-for-beginners/,200,https://echobuddha.com/articles/how-to-meditate-for-beginners/,Yes,Yes,Yes,Yes,Yes,How to Meditate for Beginners: Simple Buddhist Guide | Echo Buddha,How to Meditate for Beginners: Simple Buddhist Guide | Echo Buddha,How to Meditate for Beginners: Simple Buddhist Guide | Echo Buddha,How to Meditate for Beginners: A Simple Buddhist Guide,How to Meditate for Beginners: A Simple Buddhist Guide,"index, follow (implicit)","index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/how-to-meditate-for-beginners/,https://echobuddha.com/articles/how-to-meditate-for-beginners/,0,,MATCHES_CURRENT_AND_FORENSIC
https://echobuddha.com/articles/how-to-practice-non-attachment/,200,https://echobuddha.com/articles/how-to-practice-non-attachment/,Yes,Yes,Yes,Yes,Yes,How to Practice Non-Attachment | Echo Buddha,How to Practice Non-Attachment | Echo Buddha,How to Practice Non-Attachment | Echo Buddha,How to Practice Non-Attachment in Everyday Life,How to Practice Non-Attachment in Everyday Life,"index, follow (implicit)","index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/how-to-practice-non-attachment/,https://echobuddha.com/articles/how-to-practice-non-attachment/,1,ca-pub-3911157640549350,MATCHES_CURRENT_AND_FORENSIC
https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,200,https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,Yes,Yes,Yes,Yes,Yes,Impermanence in Buddhism and How to Let Go Gently | Echo Buddha,Impermanence in Buddhism and How to Let Go Gently | Echo Buddha,Impermanence in Buddhism and How to Let Go Gently | Echo Buddha,Impermanence in Buddhism: Learning to Let Go Gently,Impermanence in Buddhism: Learning to Let Go Gently,"index, follow (implicit)","index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,1,ca-pub-3911157640549350,MATCHES_CURRENT_AND_FORENSIC
https://echobuddha.com/articles/impermanence-in-buddhism/,200,https://echobuddha.com/articles/impermanence-in-buddhism/,Yes,Yes,Yes,Yes,Yes,Impermanence in Buddhism: Accepting Change Peacefully | Echo Buddha,Impermanence in Buddhism: Accepting Change Peacefully | Echo Buddha,Impermanence in Buddhism: Accepting Change Peacefully | Echo Buddha,Impermanence in Buddhism: Learning to Accept Change Peacefully,Impermanence in Buddhism: Learning to Accept Change Peacefully,"index, follow (implicit)","index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/impermanence-in-buddhism/,https://echobuddha.com/articles/impermanence-in-buddhism/,1,ca-pub-3911157640549350,MATCHES_CURRENT_AND_FORENSIC
https://echobuddha.com/articles/,200,https://echobuddha.com/articles/,Yes,No,Yes,No,Yes,Articles and Blog | Echo Buddha,Articles and Blog | Echo Buddha,Articles and Blog | Echo Buddha,Articles and Blog,Articles and Blog,"index, follow (implicit)","index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/,https://echobuddha.com/articles/,0,,MATCHES_FORENSIC_ONLY
https://echobuddha.com/articles/letting-go-without-giving-up/,200,https://echobuddha.com/articles/letting-go-without-giving-up/,Yes,Yes,Yes,Yes,Yes,Letting Go Without Giving Up | Echo Buddha,Letting Go Without Giving Up | Echo Buddha,Letting Go Without Giving Up | Echo Buddha,Letting Go Without Giving Up,Letting Go Without Giving Up,"index, follow (implicit)","index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/letting-go-without-giving-up/,https://echobuddha.com/articles/letting-go-without-giving-up/,1,ca-pub-3911157640549350,MATCHES_CURRENT_AND_FORENSIC
https://echobuddha.com/articles/loving-kindness-meditation-beginners/,200,https://echobuddha.com/articles/loving-kindness-meditation-beginners/,Yes,Yes,Yes,Yes,Yes,Loving-Kindness Meditation for Beginners | Echo Buddha,Loving-Kindness Meditation for Beginners | Echo Buddha,Loving-Kindness Meditation for Beginners | Echo Buddha,Loving-Kindness Meditation for Beginners,Loving-Kindness Meditation for Beginners,"index, follow (implicit)","index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/loving-kindness-meditation-beginners/,https://echobuddha.com/articles/loving-kindness-meditation-beginners/,0,,MATCHES_CURRENT_AND_FORENSIC
https://echobuddha.com/articles/loving-kindness-meditation-guide/,200,https://echobuddha.com/articles/loving-kindness-meditation-guide/,Yes,Yes,Yes,Yes,Yes,Loving-Kindness Meditation Guide for Beginners | Echo Buddha,Loving-Kindness Meditation Guide for Beginners | Echo Buddha,Loving-Kindness Meditation Guide for Beginners | Echo Buddha,Loving-Kindness Meditation: A Gentle Practice Guide,Loving-Kindness Meditation: A Gentle Practice Guide,"index, follow (implicit)","index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/loving-kindness-meditation-guide/,https://echobuddha.com/articles/loving-kindness-meditation-guide/,0,,MATCHES_CURRENT_AND_FORENSIC
https://echobuddha.com/articles/metta-meditation-script/,200,https://echobuddha.com/articles/metta-meditation-script/,Yes,Yes,Yes,Yes,Yes,Metta Meditation Script for Loving-Kindness Practice | Echo Buddha,Metta Meditation Script for Loving-Kindness Practice | Echo Buddha,Metta Meditation Script for Loving-Kindness Practice | Echo Buddha,Metta Meditation Script: A Loving-Kindness Practice for Yourself and Others,Metta Meditation Script: A Loving-Kindness Practice for Yourself and Others,"index, follow (implicit)","index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/metta-meditation-script/,https://echobuddha.com/articles/metta-meditation-script/,0,,MATCHES_CURRENT_AND_FORENSIC
https://echobuddha.com/articles/mindful-email-and-texting/,200,https://echobuddha.com/articles/mindful-email-and-texting/,Yes,No,Yes,No,Yes,Mindful Email and Texting with Buddhist Right Speech | Echo Buddha,Mindful Email and Texting with Buddhist Right Speech | Echo Buddha,Mindful Email and Texting with Buddhist Right Speech | Echo Buddha,Mindful Email and Texting,Mindful Email and Texting,"index, follow (implicit)","index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/mindful-email-and-texting/,https://echobuddha.com/articles/mindful-email-and-texting/,1,ca-pub-3911157640549350,MATCHES_FORENSIC_ONLY
https://echobuddha.com/articles/mindful-listening-in-everyday-life/,200,https://echobuddha.com/articles/mindful-listening-in-everyday-life/,Yes,No,Yes,No,Yes,Mindful Listening in Everyday Life | Echo Buddha,Mindful Listening in Everyday Life | Echo Buddha,Mindful Listening in Everyday Life | Echo Buddha,Mindful Listening in Everyday Life,Mindful Listening in Everyday Life,"index, follow (implicit)","index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/mindful-listening-in-everyday-life/,https://echobuddha.com/articles/mindful-listening-in-everyday-life/,1,ca-pub-3911157640549350,MATCHES_FORENSIC_ONLY
https://echobuddha.com/articles/mindfulness-for-better-sleep/,200,https://echobuddha.com/articles/mindfulness-for-better-sleep/,Yes,Yes,Yes,Yes,Yes,Mindfulness for Better Sleep | Echo Buddha,Mindfulness for Better Sleep | Echo Buddha,Mindfulness for Better Sleep | Echo Buddha,Mindfulness for Better Sleep: A Gentle Evening Practice,Mindfulness for Better Sleep: A Gentle Evening Practice,"index, follow (implicit)","index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/mindfulness-for-better-sleep/,https://echobuddha.com/articles/mindfulness-for-better-sleep/,0,,MATCHES_CURRENT_AND_FORENSIC
https://echobuddha.com/articles/mindfulness-morning-routine/,200,https://echobuddha.com/articles/mindfulness-morning-routine/,Yes,Yes,Yes,Yes,Yes,Mindful Morning Routine for Beginners | Echo Buddha,Mindful Morning Routine for Beginners | Echo Buddha,Mindful Morning Routine for Beginners | Echo Buddha,A Mindful Morning Routine for a Calmer Day,A Mindful Morning Routine for a Calmer Day,"index, follow (implicit)","index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/mindfulness-morning-routine/,https://echobuddha.com/articles/mindfulness-morning-routine/,1,ca-pub-3911157640549350,MATCHES_CURRENT_AND_FORENSIC
https://echobuddha.com/articles/mindfulness-of-breathing-guide/,200,https://echobuddha.com/articles/mindfulness-of-breathing-guide/,Yes,Yes,Yes,Yes,Yes,Mindfulness of Breathing Guide for Calm and Clarity | Echo Buddha,Mindfulness of Breathing Guide for Calm and Clarity | Echo Buddha,Mindfulness of Breathing Guide for Calm and Clarity | Echo Buddha,Mindfulness of Breathing: A Step-by-Step Guide,Mindfulness of Breathing: A Step-by-Step Guide,"index, follow (implicit)","index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/mindfulness-of-breathing-guide/,https://echobuddha.com/articles/mindfulness-of-breathing-guide/,0,,MATCHES_CURRENT_AND_FORENSIC
