URL,External source count,External sources,Phase 1 source risk,Phase 4 source-sensitive?,Current source status,Critical unresolved issue?
https://echobuddha.com/articles/first-week-buddhist-practice/,3,https://suttacentral.net/sn56.11/en/sujato | https://www.dhammatalks.org/suttas/SN/SN45_8.html | https://www.accesstoinsight.org/ptf/dhamma/sila/pancasila.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/articles/five-precepts-in-daily-life/,1,https://www.accesstoinsight.org/ptf/dhamma/sila/pancasila.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/articles/four-noble-truths-explained-simply/,1,https://suttacentral.net/sn56.11/en/sujato,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/articles/four-noble-truths-explained/,2,https://suttacentral.net/sn56.11/en/sujato | https://www.accesstoinsight.org/tipitaka/sn/sn56/sn56.011.than.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/articles/how-to-meditate-for-anxiety/,1,https://www.nccih.nih.gov/health/meditation-and-mindfulness-effectiveness-and-safety,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/articles/how-to-meditate-for-beginners/,2,https://www.accesstoinsight.org/tipitaka/mn/mn.118.than.html | https://www.nccih.nih.gov/health/meditation-and-mindfulness-effectiveness-and-safety,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/articles/how-to-practice-non-attachment/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,1,https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.20.budd.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/articles/impermanence-in-buddhism/,1,https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.20.budd.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/articles/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/articles/letting-go-without-giving-up/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/articles/loving-kindness-meditation-beginners/,2,https://www.accesstoinsight.org/tipitaka/kn/snp/snp.1.08.than.html | https://www.nccih.nih.gov/health/meditation-and-mindfulness-effectiveness-and-safety,Low,Yes,VERIFIED_AUTHORITATIVE_LINKS_AND_BOUNDARIES,No
https://echobuddha.com/articles/loving-kindness-meditation-guide/,2,https://www.accesstoinsight.org/tipitaka/kn/snp/snp.1.08.than.html | https://www.nccih.nih.gov/health/meditation-and-mindfulness-effectiveness-and-safety,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/articles/metta-meditation-script/,2,https://www.accesstoinsight.org/tipitaka/kn/snp/snp.1.08.than.html | https://www.nccih.nih.gov/health/meditation-and-mindfulness-effectiveness-and-safety,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/articles/mindful-email-and-texting/,2,https://www.accesstoinsight.org/ptf/dhamma/sacca/sacca4/samma-vaca/index.html | https://www.dhammatalks.org/suttas/SN/SN45_8.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/articles/mindful-listening-in-everyday-life/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/articles/mindfulness-for-better-sleep/,1,https://www.nccih.nih.gov/health/meditation-and-mindfulness-effectiveness-and-safety,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/articles/mindfulness-morning-routine/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/articles/mindfulness-of-breathing-guide/,2,https://www.accesstoinsight.org/tipitaka/mn/mn.118.than.html | https://www.nccih.nih.gov/health/meditation-and-mindfulness-effectiveness-and-safety,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/articles/mindfulness-vs-meditation/,2,https://www.accesstoinsight.org/tipitaka/dn/dn.22.0.than.html | https://www.nccih.nih.gov/health/meditation-and-mindfulness-effectiveness-and-safety,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/articles/noble-eightfold-path-practical-guide/,1,https://www.dhammatalks.org/suttas/SN/SN45_8.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/articles/non-attachment-in-relationships/,2,https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.20.budd.html | https://suttacentral.net/sn56.11/en/sujato,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/articles/right-livelihood-modern-life/,2,https://www.dhammatalks.org/suttas/SN/SN45_8.html | https://www.accesstoinsight.org/tipitaka/dn/dn.31.0.ksw0.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/articles/right-speech-buddhism/,3,https://suttacentral.net/sn45.8/en/sujato | https://www.accesstoinsight.org/ptf/dhamma/sacca/sacca4/samma-vaca/index.html | https://www.dhammatalks.org/suttas/SN/SN45_8.html,Low,Yes,VERIFIED_AUTHORITATIVE_LINKS_AND_BOUNDARIES,No
https://echobuddha.com/articles/right-speech-examples/,2,https://www.accesstoinsight.org/ptf/dhamma/sacca/sacca4/samma-vaca/index.html | https://www.dhammatalks.org/suttas/SN/SN45_8.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/articles/three-poisons-buddhism-explained/,1,https://www.accesstoinsight.org/tipitaka/an/an03/an03.069.than.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/articles/three-ways-to-practice-patience/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/articles/visiting-a-buddhist-temple-respectfully/,4,https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.14.budd.html | https://www.dhammatalks.org/suttas/SN/SN45_2.html | https://amaravati.org/visiting/frequently-asked-questions/ | https://bswa.org/bswp/wp-content/uploads/2022/08/Buddhist-Etiquette-BSWA.pdf,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/articles/walking-meditation-step-by-step/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,2,https://suttacentral.net/sn56.11/en/sujato | https://www.dhammatalks.org/suttas/SN/SN45_8.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/articles/what-is-karma-in-buddhism/,1,https://www.accesstoinsight.org/tipitaka/an/an03/an03.065.than.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/articles/what-is-sangha-buddhist-community/,2,https://www.dhammatalks.org/suttas/SN/SN45_2.html | https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.14.budd.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/authors/echo-buddha-editorial/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/buddhist-sources-and-citations/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/contact/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/corrections/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/daily-reflections/anger-as-a-signal/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/daily-reflections/begin-again-without-shame/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/daily-reflections/compassion-begins-nearby/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/daily-reflections/enough-for-this-moment/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/daily-reflections/evening-release/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/daily-reflections/family-patience/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/daily-reflections/forgiveness-without-approval/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/daily-reflections/gratitude-for-change/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/daily-reflections/gratitude-notices-enough/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/daily-reflections/impermanence-softens-clinging/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/daily-reflections/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/daily-reflections/kindness-with-boundaries/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/daily-reflections/let-the-feeling-pass/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/daily-reflections/letting-go-keeps-care/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/daily-reflections/listen-before-answering/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/daily-reflections/metta-for-a-difficult-person/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/daily-reflections/mindful-work/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/daily-reflections/morning-intention/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/daily-reflections/notice-before-fixing/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/daily-reflections/one-honest-breath/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/daily-reflections/one-step-on-the-path/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/daily-reflections/patience-before-anger-speaks/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/daily-reflections/rest-without-escape/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/daily-reflections/see-the-conditions/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/daily-reflections/simple-goodwill/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/daily-reflections/small-actions-shape-the-mind/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/daily-reflections/soften-the-inner-argument/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/daily-reflections/speech-can-reduce-suffering/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/daily-reflections/the-first-truth-is-kind/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/daily-reflections/thoughts-are-visitors/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/daily-reflections/today/,0,,NOT_PHASE1_INDEXABLE,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/daily-reflections/walking-as-practice/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/disclaimer/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/editorial-policy/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/how-echo-buddha-creates-content/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/learn/buddhism-101/a-simple-daily-buddhist-practice/,1,https://www.accesstoinsight.org/tipitaka/sn/sn45/sn45.008.than.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/learn/buddhism-101/dependent-origination-explained/,1,https://www.accesstoinsight.org/tipitaka/sn/sn12/sn12.002.than.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/learn/buddhism-101/five-aggregates-buddhism/,1,https://www.accesstoinsight.org/tipitaka/sn/sn22/sn22.048.than.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/learn/buddhism-101/five-hindrances-in-buddhism/,1,https://www.accesstoinsight.org/lib/authors/nyanaponika/wheel026.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/,1,https://www.accesstoinsight.org/ptf/dhamma/sila/pancasila.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/learn/buddhism-101/four-brahmaviharas/,2,https://www.accesstoinsight.org/lib/authors/nyanaponika/wheel006.html | https://www.accesstoinsight.org/tipitaka/kn/snp/snp.1.08.than.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/learn/buddhism-101/how-to-practice-buddhism-at-home/,1,https://www.accesstoinsight.org/ptf/dhamma/sila/pancasila.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/learn/buddhism-101/,2,https://www.accesstoinsight.org/tipitaka/sn/sn56/sn56.011.than.html | https://www.accesstoinsight.org/tipitaka/sn/sn45/sn45.008.than.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/learn/buddhism-101/middle-way-explained-for-beginners/,1,https://www.accesstoinsight.org/tipitaka/sn/sn56/sn56.011.than.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/learn/buddhism-101/right-livelihood-buddhism/,2,https://www.accesstoinsight.org/ptf/dhamma/sacca/sacca4/samma-ajivo/index.html | https://www.accesstoinsight.org/tipitaka/an/an05/an05.177.than.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/learn/buddhism-101/the-four-noble-truths-explained/,1,https://www.accesstoinsight.org/tipitaka/sn/sn56/sn56.011.than.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/learn/buddhism-101/the-noble-eightfold-path-explained/,1,https://www.accesstoinsight.org/tipitaka/sn/sn45/sn45.008.than.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/learn/buddhism-101/the-three-jewels-explained/,1,https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.14.budd.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/learn/buddhism-101/three-marks-of-existence/,2,https://www.accesstoinsight.org/tipitaka/sn/sn22/sn22.059.than.html | https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.20.budd.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/learn/buddhism-101/threefold-training-sila-samadhi-panna/,2,https://www.accesstoinsight.org/tipitaka/sn/sn45/sn45.008.than.html | https://www.accesstoinsight.org/lib/authors/nyanasatta/wheel019.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/learn/buddhism-101/what-is-buddhism/,2,https://suttacentral.net/sn56.11/en/sujato | https://suttacentral.net/sn45.8/en/sujato,Low,Yes,VERIFIED_AUTHORITATIVE_LINKS_AND_BOUNDARIES,No
https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,1,https://suttacentral.net/dhp273-289/en/sujato,Low,Yes,VERIFIED_AUTHORITATIVE_LINKS_AND_BOUNDARIES,No
https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/,1,https://suttacentral.net/an6.63/en/sujato,Low,Yes,VERIFIED_AUTHORITATIVE_LINKS_AND_BOUNDARIES,No
https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,1,https://www.accesstoinsight.org/tipitaka/dn/dn.22.0.than.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/learn/buddhism-101/who-was-the-buddha/,1,https://www.accesstoinsight.org/tipitaka/sn/sn56/sn56.011.than.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/learn/buddhism-for-beginners/,2,https://suttacentral.net/sn56.11/en/sujato | https://suttacentral.net/sn45.8/en/sujato,Medium,Yes,VERIFIED_AUTHORITATIVE_LINKS_AND_BOUNDARIES,No
https://echobuddha.com/learn/buddhist-dictionary/anatta/,1,https://www.accesstoinsight.org/tipitaka/sn/sn22/sn22.059.than.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/learn/buddhist-dictionary/anicca/,1,https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.20.budd.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/learn/buddhist-dictionary/compassion/,1,https://www.accesstoinsight.org/tipitaka/kn/snp/snp.1.08.than.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/learn/buddhist-dictionary/dhamma/,2,https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.14.budd.html | https://www.accesstoinsight.org/tipitaka/sn/sn45/sn45.008.than.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/learn/buddhist-dictionary/dukkha/,1,https://www.accesstoinsight.org/tipitaka/sn/sn56/sn56.011.than.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/learn/buddhist-dictionary/,2,https://www.accesstoinsight.org/glossary.html | https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.20.budd.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/learn/buddhist-dictionary/karma/,1,https://www.accesstoinsight.org/tipitaka/an/an03/an03.065.than.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/learn/buddhist-dictionary/karuna/,1,https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.01.budd.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/learn/buddhist-dictionary/metta/,1,https://suttacentral.net/snp1.8/en/sujato,Low,Yes,VERIFIED_AUTHORITATIVE_LINKS_AND_BOUNDARIES,No
https://echobuddha.com/learn/buddhist-dictionary/mindfulness/,1,https://www.accesstoinsight.org/tipitaka/dn/dn.22.0.than.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/learn/buddhist-dictionary/nirvana/,1,https://www.accesstoinsight.org/tipitaka/sn/sn56/sn56.011.than.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/learn/buddhist-dictionary/pali-canon/,4,https://www.accesstoinsight.org/tipitaka/index.html | https://www.accesstoinsight.org/tipitaka/sutta.html | https://www.accesstoinsight.org/tipitaka/vin/ | https://www.accesstoinsight.org/tipitaka/abhi/index.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/learn/buddhist-dictionary/sangha/,2,https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.14.budd.html | https://www.dhammatalks.org/suttas/SN/SN45_2.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/learn/buddhist-dictionary/sati/,1,https://www.accesstoinsight.org/tipitaka/dn/dn.22.0.than.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/learn/buddhist-dictionary/sutta/,2,https://suttacentral.net/define/sutta | https://www.accesstoinsight.org/tipitaka/sutta.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/learn/buddhist-resources/,12,https://suttacentral.net/ | https://www.accesstoinsight.org/ | https://www.dharma.org/ | https://www.thebuddhistsociety.org/ | https://palitextsociety.org/ | https://www.wisdomlib.org/ | https://tricycle.org/beginners/ | https://www.lionsroar.com/ | https://www.bps.lk/ | https://www.bpu.ac.lk/ | https://84000.co/ | https://www.buddhanet.net/,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/learn/dhammapada-reflections/avoid-evil-do-good-purify-the-mind/,1,https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.14.budd.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/learn/dhammapada-reflections/better-than-a-thousand-empty-words/,1,https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.08.budd.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/learn/dhammapada-reflections/hatred-is-not-ended-by-hatred/,1,https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.01.budd.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
