Source name,Source URL,Claim group,Registered page,Actually linked in rendered page?,Endpoint status,Claim support recheck,Copyright / paraphrase boundary,Reconciliation result
SN 45.8,https://suttacentral.net/sn45.8/en/sujato,Noble Eightfold Path factors and Right Speech abstentions,https://echobuddha.com/learn/buddhism-101/what-is-buddhism/,Yes,200_VERIFIED_2026-08-11,SUPPORTED_WITH_RECORDED_BOUNDARY,Linked and paraphrased; no long translation reproduced.,PASS
SN 45.8,https://suttacentral.net/sn45.8/en/sujato,Noble Eightfold Path factors and Right Speech abstentions,https://echobuddha.com/articles/right-speech-buddhism/,Yes,200_VERIFIED_2026-08-11,SUPPORTED_WITH_RECORDED_BOUNDARY,Linked and paraphrased; no long translation reproduced.,PASS
SN 45.8,https://suttacentral.net/sn45.8/en/sujato,Noble Eightfold Path factors and Right Speech abstentions,https://echobuddha.com/learn/sutta-for-daily-life/dhammacakkappavattana-sutta-four-noble-truths/,No,200_VERIFIED_2026-08-11,REGISTER_MAPPING_CORRECTED; NO CLAIM FAILURE IN PAGE,Linked and paraphrased; no long translation reproduced.,CORRECTED_REGISTER_ONLY
SN 45.8,https://suttacentral.net/sn45.8/en/sujato,Noble Eightfold Path factors and Right Speech abstentions,https://echobuddha.com/learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/,Yes,200_VERIFIED_2026-08-11,SUPPORTED_WITH_RECORDED_BOUNDARY,Linked and paraphrased; no long translation reproduced.,PASS
AN 6.63,https://suttacentral.net/an6.63/en/sujato,Kamma linked with intention,https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/,Yes,200_VERIFIED_2026-08-11,SUPPORTED_WITH_RECORDED_BOUNDARY,Linked and paraphrased; no long translation reproduced.,PASS
AN 6.63,https://suttacentral.net/an6.63/en/sujato,Kamma linked with intention,https://echobuddha.com/meditation/walking-meditation/,No,200_VERIFIED_2026-08-11,REGISTER_MAPPING_CORRECTED; NO CLAIM FAILURE IN PAGE,Linked and paraphrased; no long translation reproduced.,CORRECTED_REGISTER_ONLY
Snp 1.8,https://suttacentral.net/snp1.8/en/sujato,"Mettā, ethical qualities, and expansive goodwill",https://echobuddha.com/learn/buddhist-dictionary/metta/,Yes,200_VERIFIED_2026-08-11,SUPPORTED_WITH_RECORDED_BOUNDARY,Linked and paraphrased; no long translation reproduced.,PASS
Snp 1.8,https://suttacentral.net/snp1.8/en/sujato,"Mettā, ethical qualities, and expansive goodwill",https://echobuddha.com/meditation/loving-kindness-meditation/,Yes,200_VERIFIED_2026-08-11,SUPPORTED_WITH_RECORDED_BOUNDARY,Linked and paraphrased; no long translation reproduced.,PASS
Snp 1.8,https://suttacentral.net/snp1.8/en/sujato,"Mettā, ethical qualities, and expansive goodwill",https://echobuddha.com/learn/sutta-for-daily-life/metta-sutta-explained-for-daily-life/,Yes,200_VERIFIED_2026-08-11,SUPPORTED_WITH_RECORDED_BOUNDARY,Linked and paraphrased; no long translation reproduced.,PASS
AN 5.29,https://suttacentral.net/an5.29/en/bodhi,Walking meditation benefits,https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/,No,200_VERIFIED_2026-08-11,REGISTER_MAPPING_CORRECTED; NO CLAIM FAILURE IN PAGE,Linked and paraphrased; no long translation reproduced.,CORRECTED_REGISTER_ONLY
AN 5.29,https://suttacentral.net/an5.29/en/bodhi,Walking meditation benefits,https://echobuddha.com/meditation/walking-meditation/,Yes,200_VERIFIED_2026-08-11,SUPPORTED_WITH_RECORDED_BOUNDARY,Linked and paraphrased; no long translation reproduced.,PASS
MN 10,https://suttacentral.net/mn10/en/sujato,Mindful knowing of bodily posture including walking,https://echobuddha.com/meditation/breathing-meditation/,No,200_VERIFIED_2026-08-11,REGISTER_MAPPING_CORRECTED; NO CLAIM FAILURE IN PAGE,Linked and paraphrased; no long translation reproduced.,CORRECTED_REGISTER_ONLY
MN 10,https://suttacentral.net/mn10/en/sujato,Mindful knowing of bodily posture including walking,https://echobuddha.com/meditation/walking-meditation/,Yes,200_VERIFIED_2026-08-11,SUPPORTED_WITH_RECORDED_BOUNDARY,Linked and paraphrased; no long translation reproduced.,PASS
MN 10,https://suttacentral.net/mn10/en/sujato,Mindful knowing of bodily posture including walking,https://echobuddha.com/meditation/when-meditation-feels-hard/,No,200_VERIFIED_2026-08-11,REGISTER_MAPPING_CORRECTED; NO CLAIM FAILURE IN PAGE,Linked and paraphrased; no long translation reproduced.,CORRECTED_REGISTER_ONLY
MN 118,https://suttacentral.net/mn118/en/sujato,Mindfulness of breathing,https://echobuddha.com/meditation/breathing-meditation/,Yes,200_VERIFIED_2026-08-11,SUPPORTED_WITH_RECORDED_BOUNDARY,Linked and paraphrased; no long translation reproduced.,PASS
MN 118,https://suttacentral.net/mn118/en/sujato,Mindfulness of breathing,https://echobuddha.com/meditation/walking-meditation/,No,200_VERIFIED_2026-08-11,REGISTER_MAPPING_CORRECTED; NO CLAIM FAILURE IN PAGE,Linked and paraphrased; no long translation reproduced.,CORRECTED_REGISTER_ONLY
MN 118,https://suttacentral.net/mn118/en/sujato,Mindfulness of breathing,https://echobuddha.com/meditation/when-meditation-feels-hard/,Yes,200_VERIFIED_2026-08-11,SUPPORTED_WITH_RECORDED_BOUNDARY,Linked and paraphrased; no long translation reproduced.,PASS
Dhammapada 1–20,https://suttacentral.net/dhp1-20/en/sujato,"Mind, hostility, restraint, and non-hatred",https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,No,200_VERIFIED_2026-08-11,REGISTER_MAPPING_CORRECTED; NO CLAIM FAILURE IN PAGE,Linked and paraphrased; no long translation reproduced.,CORRECTED_REGISTER_ONLY
Dhammapada 1–20,https://suttacentral.net/dhp1-20/en/sujato,"Mind, hostility, restraint, and non-hatred",https://echobuddha.com/articles/buddhist-approach-to-anger/,Yes,200_VERIFIED_2026-08-11,SUPPORTED_WITH_RECORDED_BOUNDARY,Linked and paraphrased; no long translation reproduced.,PASS
Dhammapada 273–289,https://suttacentral.net/dhp273-289/en/sujato,Impermanence in the path context,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,Yes,200_VERIFIED_2026-08-11,SUPPORTED_WITH_RECORDED_BOUNDARY,Linked and paraphrased; no long translation reproduced.,PASS
Dhammapada 273–289,https://suttacentral.net/dhp273-289/en/sujato,Impermanence in the path context,https://echobuddha.com/articles/buddhist-approach-to-anger/,No,200_VERIFIED_2026-08-11,REGISTER_MAPPING_CORRECTED; NO CLAIM FAILURE IN PAGE,Linked and paraphrased; no long translation reproduced.,CORRECTED_REGISTER_ONLY
NCCIH meditation safety,https://www.nccih.nih.gov/health/meditation-and-mindfulness-effectiveness-and-safety,"Evidence limits, adverse experiences, and safety",https://echobuddha.com/articles/loving-kindness-meditation-beginners/,Yes,200_VERIFIED_2026-08-11,SUPPORTED_WITH_RECORDED_BOUNDARY,Linked and paraphrased; no long translation reproduced.,PASS
NCCIH meditation safety,https://www.nccih.nih.gov/health/meditation-and-mindfulness-effectiveness-and-safety,"Evidence limits, adverse experiences, and safety",https://echobuddha.com/meditation/breathing-meditation/,Yes,200_VERIFIED_2026-08-11,SUPPORTED_WITH_RECORDED_BOUNDARY,Linked and paraphrased; no long translation reproduced.,PASS
NCCIH meditation safety,https://www.nccih.nih.gov/health/meditation-and-mindfulness-effectiveness-and-safety,"Evidence limits, adverse experiences, and safety",https://echobuddha.com/meditation/loving-kindness-meditation/,Yes,200_VERIFIED_2026-08-11,SUPPORTED_WITH_RECORDED_BOUNDARY,Linked and paraphrased; no long translation reproduced.,PASS
NCCIH meditation safety,https://www.nccih.nih.gov/health/meditation-and-mindfulness-effectiveness-and-safety,"Evidence limits, adverse experiences, and safety",https://echobuddha.com/meditation/walking-meditation/,No,200_VERIFIED_2026-08-11,REGISTER_MAPPING_CORRECTED; NO CLAIM FAILURE IN PAGE,Linked and paraphrased; no long translation reproduced.,CORRECTED_REGISTER_ONLY
NCCIH meditation safety,https://www.nccih.nih.gov/health/meditation-and-mindfulness-effectiveness-and-safety,"Evidence limits, adverse experiences, and safety",https://echobuddha.com/meditation/when-meditation-feels-hard/,Yes,200_VERIFIED_2026-08-11,SUPPORTED_WITH_RECORDED_BOUNDARY,Linked and paraphrased; no long translation reproduced.,PASS
NCCIH meditation safety,https://www.nccih.nih.gov/health/meditation-and-mindfulness-effectiveness-and-safety,"Evidence limits, adverse experiences, and safety",https://echobuddha.com/meditation/meditation-for-beginners/,No,200_VERIFIED_2026-08-11,REGISTER_MAPPING_CORRECTED; NO CLAIM FAILURE IN PAGE,Linked and paraphrased; no long translation reproduced.,CORRECTED_REGISTER_ONLY
NCCIH meditation safety,https://www.nccih.nih.gov/health/meditation-and-mindfulness-effectiveness-and-safety,"Evidence limits, adverse experiences, and safety",https://echobuddha.com/meditation/meditation-posture-for-beginners/,Yes,200_VERIFIED_2026-08-11,SUPPORTED_WITH_RECORDED_BOUNDARY,Linked and paraphrased; no long translation reproduced.,PASS
NHS mindfulness,https://www.nhs.uk/mental-health/self-help/tips-and-support/mindfulness/,Mindfulness may not suit everyone and can feel difficult,https://echobuddha.com/meditation/when-meditation-feels-hard/,Yes,200_VERIFIED_2026-08-11,SUPPORTED_WITH_RECORDED_BOUNDARY,Linked and paraphrased; no long translation reproduced.,PASS
