URL,Page family,Forensic route present,Current route present,Route drift,Forensic rendered words,Current rendered words,Rendered text changed
https://echobuddha.com/articles/impermanence-in-buddhism/,articles,Yes,Yes,NONE,1858,1858,No
https://echobuddha.com/articles/,articles,Yes,Yes,NONE,1902,1902,Yes
https://echobuddha.com/articles/letting-go-without-giving-up/,articles,Yes,Yes,NONE,1610,1610,No
https://echobuddha.com/articles/loving-kindness-meditation-beginners/,articles,Yes,Yes,NONE,1778,1778,No
https://echobuddha.com/articles/loving-kindness-meditation-guide/,articles,Yes,Yes,NONE,1708,1708,No
https://echobuddha.com/articles/metta-meditation-script/,articles,Yes,Yes,NONE,2037,2037,No
https://echobuddha.com/articles/mindful-email-and-texting/,articles,Yes,Yes,NONE,1119,1119,Yes
https://echobuddha.com/articles/mindful-listening-in-everyday-life/,articles,Yes,Yes,NONE,1489,1489,Yes
https://echobuddha.com/articles/mindfulness-for-better-sleep/,articles,Yes,Yes,NONE,1643,1643,No
https://echobuddha.com/articles/mindfulness-morning-routine/,articles,Yes,Yes,NONE,1582,1582,No
https://echobuddha.com/articles/mindfulness-of-breathing-guide/,articles,Yes,Yes,NONE,1712,1712,No
https://echobuddha.com/articles/mindfulness-vs-meditation/,articles,Yes,Yes,NONE,1941,1941,No
https://echobuddha.com/articles/noble-eightfold-path-practical-guide/,articles,Yes,Yes,NONE,1558,1558,Yes
https://echobuddha.com/articles/non-attachment-in-relationships/,articles,Yes,Yes,NONE,1140,1140,No
https://echobuddha.com/articles/right-livelihood-modern-life/,articles,Yes,Yes,NONE,2276,2276,Yes
https://echobuddha.com/articles/right-speech-buddhism/,articles,Yes,Yes,NONE,1856,2012,Yes
https://echobuddha.com/articles/right-speech-examples/,articles,Yes,Yes,NONE,1063,1063,Yes
https://echobuddha.com/articles/three-poisons-buddhism-explained/,articles,Yes,Yes,NONE,2302,2302,Yes
https://echobuddha.com/articles/three-ways-to-practice-patience/,articles,Yes,Yes,NONE,1526,1526,Yes
https://echobuddha.com/articles/visiting-a-buddhist-temple-respectfully/,articles,Yes,Yes,NONE,1166,1166,No
https://echobuddha.com/articles/walking-meditation-step-by-step/,articles,Yes,Yes,NONE,1581,1581,No
https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,articles,Yes,Yes,NONE,1786,1786,No
https://echobuddha.com/articles/what-is-karma-in-buddhism/,articles,Yes,Yes,NONE,1836,1836,No
https://echobuddha.com/articles/what-is-sangha-buddhist-community/,articles,Yes,Yes,NONE,2189,2189,No
https://echobuddha.com/authors/echo-buddha-editorial/,trust/policy,Yes,Yes,NONE,438,438,No
https://echobuddha.com/buddhist-sources-and-citations/,trust/policy,Yes,Yes,NONE,488,488,No
https://echobuddha.com/contact/,trust/policy,Yes,Yes,NONE,265,265,No
https://echobuddha.com/corrections/,trust/policy,Yes,Yes,NONE,364,364,No
https://echobuddha.com/daily-reflections/anger-as-a-signal/,daily-reflections,Yes,Yes,NONE,494,494,No
https://echobuddha.com/daily-reflections/begin-again-without-shame/,daily-reflections,Yes,Yes,NONE,487,487,No
https://echobuddha.com/daily-reflections/compassion-begins-nearby/,daily-reflections,Yes,Yes,NONE,485,485,No
https://echobuddha.com/daily-reflections/enough-for-this-moment/,daily-reflections,Yes,Yes,NONE,483,483,No
https://echobuddha.com/daily-reflections/evening-release/,daily-reflections,Yes,Yes,NONE,491,491,No
https://echobuddha.com/daily-reflections/family-patience/,daily-reflections,Yes,Yes,NONE,477,477,No
https://echobuddha.com/daily-reflections/forgiveness-without-approval/,daily-reflections,Yes,Yes,NONE,479,479,No
https://echobuddha.com/daily-reflections/gratitude-for-change/,daily-reflections,Yes,Yes,NONE,468,468,No
https://echobuddha.com/daily-reflections/gratitude-notices-enough/,daily-reflections,Yes,Yes,NONE,472,472,No
https://echobuddha.com/daily-reflections/impermanence-softens-clinging/,daily-reflections,Yes,Yes,NONE,488,488,No
https://echobuddha.com/daily-reflections/,daily-reflections,Yes,Yes,NONE,2158,2158,No
https://echobuddha.com/daily-reflections/kindness-with-boundaries/,daily-reflections,Yes,Yes,NONE,480,480,No
https://echobuddha.com/daily-reflections/let-the-feeling-pass/,daily-reflections,Yes,Yes,NONE,508,508,No
https://echobuddha.com/daily-reflections/letting-go-keeps-care/,daily-reflections,Yes,Yes,NONE,482,482,No
https://echobuddha.com/daily-reflections/listen-before-answering/,daily-reflections,Yes,Yes,NONE,478,478,No
https://echobuddha.com/daily-reflections/metta-for-a-difficult-person/,daily-reflections,Yes,Yes,NONE,485,485,No
https://echobuddha.com/daily-reflections/mindful-work/,daily-reflections,Yes,Yes,NONE,482,482,No
https://echobuddha.com/daily-reflections/morning-intention/,daily-reflections,Yes,Yes,NONE,474,474,No
https://echobuddha.com/daily-reflections/notice-before-fixing/,daily-reflections,Yes,Yes,NONE,479,479,No
https://echobuddha.com/daily-reflections/one-honest-breath/,daily-reflections,Yes,Yes,NONE,499,499,No
https://echobuddha.com/daily-reflections/one-step-on-the-path/,daily-reflections,Yes,Yes,NONE,495,495,No
https://echobuddha.com/daily-reflections/patience-before-anger-speaks/,daily-reflections,Yes,Yes,NONE,521,521,No
https://echobuddha.com/daily-reflections/rest-without-escape/,daily-reflections,Yes,Yes,NONE,497,497,No
https://echobuddha.com/daily-reflections/see-the-conditions/,daily-reflections,Yes,Yes,NONE,476,476,No
https://echobuddha.com/daily-reflections/simple-goodwill/,daily-reflections,Yes,Yes,NONE,470,470,No
https://echobuddha.com/daily-reflections/small-actions-shape-the-mind/,daily-reflections,Yes,Yes,NONE,487,487,No
https://echobuddha.com/daily-reflections/soften-the-inner-argument/,daily-reflections,Yes,Yes,NONE,479,479,No
https://echobuddha.com/daily-reflections/speech-can-reduce-suffering/,daily-reflections,Yes,Yes,NONE,479,479,No
https://echobuddha.com/daily-reflections/the-first-truth-is-kind/,daily-reflections,Yes,Yes,NONE,486,486,No
https://echobuddha.com/daily-reflections/thoughts-are-visitors/,daily-reflections,Yes,Yes,NONE,495,495,No
https://echobuddha.com/daily-reflections/today/,daily-reflections,Yes,Yes,NONE,2194,2194,No
https://echobuddha.com/daily-reflections/walking-as-practice/,daily-reflections,Yes,Yes,NONE,484,484,No
https://echobuddha.com/disclaimer/,trust/policy,Yes,Yes,NONE,391,391,No
https://echobuddha.com/editorial-policy/,trust/policy,Yes,Yes,NONE,760,760,No
https://echobuddha.com/how-echo-buddha-creates-content/,trust/policy,Yes,Yes,NONE,514,514,No
https://echobuddha.com/,homepage,Yes,Yes,NONE,1261,1261,No
https://echobuddha.com/learn/buddhism-101/a-simple-daily-buddhist-practice/,learn,Yes,Yes,NONE,501,501,No
https://echobuddha.com/learn/buddhism-101/dependent-origination-explained/,learn,Yes,Yes,NONE,1242,1242,No
https://echobuddha.com/learn/buddhism-101/five-aggregates-buddhism/,learn,Yes,Yes,NONE,1283,1283,No
https://echobuddha.com/learn/buddhism-101/five-hindrances-in-buddhism/,learn,Yes,Yes,NONE,562,562,No
https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/,learn,Yes,Yes,NONE,1582,1582,No
https://echobuddha.com/learn/buddhism-101/four-brahmaviharas/,learn,Yes,Yes,NONE,565,565,No
https://echobuddha.com/learn/buddhism-101/how-to-practice-buddhism-at-home/,learn,Yes,Yes,NONE,528,528,No
https://echobuddha.com/learn/buddhism-101/,learn,Yes,Yes,NONE,822,822,No
https://echobuddha.com/learn/buddhism-101/middle-way-explained-for-beginners/,learn,Yes,Yes,NONE,584,584,No
https://echobuddha.com/learn/buddhism-101/right-livelihood-buddhism/,learn,Yes,Yes,NONE,1444,1444,No
https://echobuddha.com/learn/buddhism-101/the-four-noble-truths-explained/,learn,Yes,Yes,NONE,580,580,No
https://echobuddha.com/learn/buddhism-101/the-noble-eightfold-path-explained/,learn,Yes,Yes,NONE,595,595,No
https://echobuddha.com/learn/buddhism-101/the-three-jewels-explained/,learn,Yes,Yes,NONE,554,554,No
https://echobuddha.com/learn/buddhism-101/three-marks-of-existence/,learn,Yes,Yes,NONE,1268,1268,No
https://echobuddha.com/learn/buddhism-101/threefold-training-sila-samadhi-panna/,learn,Yes,Yes,NONE,616,616,No
https://echobuddha.com/learn/buddhism-101/what-is-buddhism/,learn,Yes,Yes,NONE,621,897,Yes
https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,learn,Yes,Yes,NONE,565,867,Yes
https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/,learn,Yes,Yes,NONE,556,873,Yes
https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,learn,Yes,Yes,NONE,561,561,No
https://echobuddha.com/learn/buddhism-101/who-was-the-buddha/,learn,Yes,Yes,NONE,657,657,No
https://echobuddha.com/learn/buddhism-for-beginners/,learn,Yes,Yes,NONE,610,856,Yes
https://echobuddha.com/learn/buddhist-dictionary/anatta/,learn,Yes,Yes,NONE,494,494,No
https://echobuddha.com/learn/buddhist-dictionary/anicca/,learn,Yes,Yes,NONE,457,457,No
https://echobuddha.com/learn/buddhist-dictionary/compassion/,learn,Yes,Yes,NONE,435,435,No
https://echobuddha.com/learn/buddhist-dictionary/dhamma/,learn,Yes,Yes,NONE,825,825,No
https://echobuddha.com/learn/buddhist-dictionary/dukkha/,learn,Yes,Yes,NONE,486,486,No
https://echobuddha.com/learn/buddhist-dictionary/,learn,Yes,Yes,NONE,510,510,No
https://echobuddha.com/learn/buddhist-dictionary/karma/,learn,Yes,Yes,NONE,457,457,No
https://echobuddha.com/learn/buddhist-dictionary/karuna/,learn,Yes,Yes,NONE,489,489,No
https://echobuddha.com/learn/buddhist-dictionary/metta/,learn,Yes,Yes,NONE,508,804,Yes
https://echobuddha.com/learn/buddhist-dictionary/mindfulness/,learn,Yes,Yes,NONE,431,431,No
https://echobuddha.com/learn/buddhist-dictionary/nirvana/,learn,Yes,Yes,NONE,462,462,No
https://echobuddha.com/learn/buddhist-dictionary/pali-canon/,learn,Yes,Yes,NONE,574,574,No
https://echobuddha.com/learn/buddhist-dictionary/sangha/,learn,Yes,Yes,NONE,554,554,No
https://echobuddha.com/learn/buddhist-dictionary/sati/,learn,Yes,Yes,NONE,451,451,No
https://echobuddha.com/learn/buddhist-dictionary/sutta/,learn,Yes,Yes,NONE,520,520,No
https://echobuddha.com/learn/buddhist-resources/,learn,Yes,Yes,NONE,627,627,No
https://echobuddha.com/learn/dhammapada-reflections/avoid-evil-do-good-purify-the-mind/,learn,Yes,Yes,NONE,520,520,No
https://echobuddha.com/learn/dhammapada-reflections/better-than-a-thousand-empty-words/,learn,Yes,Yes,NONE,474,474,No
https://echobuddha.com/learn/dhammapada-reflections/hatred-is-not-ended-by-hatred/,learn,Yes,Yes,NONE,457,457,No
https://echobuddha.com/learn/dhammapada-reflections/,learn,Yes,Yes,NONE,385,385,No
https://echobuddha.com/learn/dhammapada-reflections/peace-comes-from-a-trained-mind/,learn,Yes,Yes,NONE,462,462,No
https://echobuddha.com/learn/dhammapada-reflections/the-mind-leads-all-things/,learn,Yes,Yes,NONE,472,472,No
https://echobuddha.com/learn/eightfold-path/,learn,Yes,Yes,NONE,511,842,Yes
https://echobuddha.com/learn/four-noble-truths/,learn,Yes,Yes,NONE,439,837,Yes
https://echobuddha.com/learn/,learn,Yes,Yes,NONE,777,777,No
https://echobuddha.com/learn/questions-about-buddhism/,learn,Yes,Yes,NONE,1091,1091,No
https://echobuddha.com/learn/sutta-for-daily-life/buddhas-teaching-on-patience/,learn,Yes,Yes,NONE,437,437,No
https://echobuddha.com/learn/sutta-for-daily-life/dhammacakkappavattana-sutta-four-noble-truths/,learn,Yes,Yes,NONE,584,770,Yes
https://echobuddha.com/learn/sutta-for-daily-life/,learn,Yes,Yes,NONE,458,458,No
https://echobuddha.com/learn/sutta-for-daily-life/kalama-sutta-and-wise-thinking/,learn,Yes,Yes,NONE,466,466,No
https://echobuddha.com/learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/,learn,Yes,Yes,NONE,583,740,Yes
https://echobuddha.com/learn/sutta-for-daily-life/metta-sutta-explained-for-daily-life/,learn,Yes,Yes,NONE,489,710,Yes
https://echobuddha.com/learn/sutta-for-daily-life/mindfulness-of-breathing-explained-simply/,learn,Yes,Yes,NONE,441,441,No
https://echobuddha.com/learn/sutta-for-daily-life/right-speech-in-daily-life/,learn,Yes,Yes,NONE,482,482,No
https://echobuddha.com/meditation-guide/,meditation-guide,Yes,Yes,NONE,1663,1663,No
https://echobuddha.com/meditation-safety/,trust/policy,Yes,Yes,NONE,433,433,No
https://echobuddha.com/meditation/10-minute-meditation-practice/,meditation,Yes,Yes,NONE,662,662,No
https://echobuddha.com/meditation/5-minute-meditation-practice/,meditation,Yes,Yes,NONE,567,567,No
https://echobuddha.com/meditation/breathing-meditation/,meditation,Yes,Yes,NONE,592,897,Yes
https://echobuddha.com/meditation/,meditation,Yes,Yes,NONE,572,572,No
https://echobuddha.com/meditation/loving-kindness-meditation/,meditation,Yes,Yes,NONE,596,838,Yes
https://echobuddha.com/meditation/meditation-for-beginners/,meditation,Yes,Yes,NONE,623,623,No
https://echobuddha.com/meditation/meditation-posture-for-beginners/,meditation,Yes,Yes,NONE,686,686,No
https://echobuddha.com/meditation/mindfulness-in-daily-life/,meditation,Yes,Yes,NONE,576,576,No
https://echobuddha.com/meditation/walking-meditation/,meditation,Yes,Yes,NONE,559,796,Yes
https://echobuddha.com/meditation/when-meditation-feels-hard/,meditation,Yes,Yes,NONE,694,851,Yes
https://echobuddha.com/mindful-living/,mindful-living,Yes,Yes,NONE,758,758,Yes
https://echobuddha.com/privacy-policy/,trust/policy,Yes,Yes,NONE,568,568,No
https://echobuddha.com/quote-attribution-policy/,trust/policy,Yes,Yes,NONE,431,431,No
https://echobuddha.com/quotes/awareness/acceptance-before-next-step/,quotes,Yes,Yes,NONE,904,904,No
https://echobuddha.com/quotes/awareness/anger-asks-for-speed-awareness-asks-for-one-more/,quotes,Yes,Yes,NONE,925,925,No
https://echobuddha.com/quotes/awareness/awareness-does-not-remove-the-storm-it-keeps-you/,quotes,Yes,Yes,NONE,964,964,No
https://echobuddha.com/quotes/awareness/clear-seeing-begins-with-the-courage-to-stop-looking/,quotes,Yes,Yes,NONE,945,945,No
https://echobuddha.com/quotes/awareness/feelings-are-honest-about-their-presence-not-always-about/,quotes,Yes,Yes,NONE,931,931,No
https://echobuddha.com/quotes/awareness/feelings-without-the-wheel/,quotes,Yes,Yes,NONE,883,883,No
https://echobuddha.com/quotes/awareness/,quotes,Yes,Yes,NONE,645,645,No
https://echobuddha.com/quotes/awareness/look-beneath-the-reaction-and-you-may-find-a/,quotes,Yes,Yes,NONE,965,965,No
https://echobuddha.com/quotes/awareness/name-the-feeling-gently-and-it-may-stop-speaking/,quotes,Yes,Yes,NONE,950,950,No
https://echobuddha.com/quotes/awareness/notice-the-habit-before-trying-to-become-someone-without/,quotes,Yes,Yes,NONE,925,925,No
https://echobuddha.com/quotes/awareness/one-breath-before-anger-replies/,quotes,Yes,Yes,NONE,903,903,No
https://echobuddha.com/quotes/awareness/small-acts-of-attention-can-turn-an-ordinary-day/,quotes,Yes,Yes,NONE,941,941,No
https://echobuddha.com/quotes/awareness/the-body-often-knows-you-are-overwhelmed-before-the/,quotes,Yes,Yes,NONE,965,965,No
https://echobuddha.com/quotes/awareness/thoughts-are-visitors/,quotes,Yes,Yes,NONE,921,921,No
https://echobuddha.com/quotes/awareness/thoughts-pass-without-commanding-you/,quotes,Yes,Yes,NONE,936,936,No
https://echobuddha.com/quotes/awareness/what-you-can-observe-clearly-no-longer-controls-you/,quotes,Yes,Yes,NONE,963,963,No
https://echobuddha.com/quotes/awareness/when-the-mind-tightens-let-the-body-be-your/,quotes,Yes,Yes,NONE,932,932,No
https://echobuddha.com/quotes/compassion/a-gentle-response-can-end-suffering-that-anger-would/,quotes,Yes,Yes,NONE,922,922,No
https://echobuddha.com/quotes/compassion/before-judging-another-life-remember-how-much-of-your/,quotes,Yes,Yes,NONE,939,939,No
https://echobuddha.com/quotes/compassion/compassion-asks-what-hurts-before-it-asks-who-is/,quotes,Yes,Yes,NONE,947,947,No
https://echobuddha.com/quotes/compassion/compassion-grows-where-judgment-loosens-its-grip/,quotes,Yes,Yes,NONE,882,882,No
https://echobuddha.com/quotes/compassion/compassion-sees-pain-clearly/,quotes,Yes,Yes,NONE,876,876,No
https://echobuddha.com/quotes/compassion/gentle-self-compassion/,quotes,Yes,Yes,NONE,874,874,No
https://echobuddha.com/quotes/compassion/,quotes,Yes,Yes,NONE,618,618,No
https://echobuddha.com/quotes/compassion/kindness-as-quiet-practice/,quotes,Yes,Yes,NONE,885,885,No
https://echobuddha.com/quotes/compassion/kindness-does-not-need-an-audience-to-become-meaningful/,quotes,Yes,Yes,NONE,902,902,No
https://echobuddha.com/quotes/compassion/let-kindness-be-the-echo-you-leave-in-every/,quotes,Yes,Yes,NONE,910,910,No
https://echobuddha.com/quotes/compassion/let-your-boundaries-be-clear-and-your-heart-remain/,quotes,Yes,Yes,NONE,914,914,No
https://echobuddha.com/quotes/compassion/loving-kindness-without-harm/,quotes,Yes,Yes,NONE,887,887,No
https://echobuddha.com/quotes/compassion/offer-others-the-patience-you-hope-to-receive-on/,quotes,Yes,Yes,NONE,946,946,No
https://echobuddha.com/quotes/compassion/small-kindnesses-often-reach-places-that-advice-cannot/,quotes,Yes,Yes,NONE,889,889,No
https://echobuddha.com/quotes/compassion/the-heart-becomes-spacious-each-time-it-chooses-care/,quotes,Yes,Yes,NONE,922,922,No
https://echobuddha.com/quotes/compassion/to-understand-someone-is-not-to-excuse-harm-it/,quotes,Yes,Yes,NONE,954,954,No
https://echobuddha.com/quotes/compassion/when-you-cannot-remove-anothers-burden-do-not-add/,quotes,Yes,Yes,NONE,930,930,No
https://echobuddha.com/quotes/impermanence/acceptance-begins-where-the-argument-with-change-ends/,quotes,Yes,Yes,NONE,897,897,No
https://echobuddha.com/quotes/impermanence/because-this-moment-will-pass-meet-it-while-it/,quotes,Yes,Yes,NONE,933,933,No
https://echobuddha.com/quotes/impermanence/change-is-how-life-continues/,quotes,Yes,Yes,NONE,897,897,No
https://echobuddha.com/quotes/impermanence/change-takes-nothing-personally-it-simply-continues/,quotes,Yes,Yes,NONE,877,877,No
https://echobuddha.com/quotes/impermanence/everything-changes-including-the-part-of-you-that-fears/,quotes,Yes,Yes,NONE,898,898,No
https://echobuddha.com/quotes/impermanence/hold-each-day-carefully-knowing-it-cannot-be-held/,quotes,Yes,Yes,NONE,904,904,No
https://echobuddha.com/quotes/impermanence/,quotes,Yes,Yes,NONE,541,541,No
https://echobuddha.com/quotes/impermanence/meet-change-softly/,quotes,Yes,Yes,NONE,862,862,No
https://echobuddha.com/quotes/impermanence/no-season-is-asked-to-remain-in-order-to/,quotes,Yes,Yes,NONE,908,908,No
https://echobuddha.com/quotes/impermanence/the-fading-flower-does-not-make-its-blooming-less/,quotes,Yes,Yes,NONE,898,898,No
https://echobuddha.com/quotes/impermanence/the-passing-of-joy-teaches-gratitude-the-passing-of/,quotes,Yes,Yes,NONE,919,919,No
https://echobuddha.com/quotes/impermanence/todays-certainty-may-become-tomorrows-lesson-in-humility/,quotes,Yes,Yes,NONE,875,875,No
https://echobuddha.com/quotes/impermanence/what-changes-is-not-always-lost-sometimes-it-is/,quotes,Yes,Yes,NONE,907,907,No
https://echobuddha.com/quotes/,quotes,Yes,Yes,NONE,2757,2757,No
https://echobuddha.com/quotes/letting-go/an-open-hand-can-care-for-what-a-clenched/,quotes,Yes,Yes,NONE,942,942,No
https://echobuddha.com/quotes/letting-go/caring-without-clinging/,quotes,Yes,Yes,NONE,909,909,No
https://echobuddha.com/quotes/letting-go/forgiveness-without-approving-harm/,quotes,Yes,Yes,NONE,882,882,No
https://echobuddha.com/quotes/letting-go/freedom-often-sounds-like-the-quiet-end-of-an/,quotes,Yes,Yes,NONE,945,945,No
https://echobuddha.com/quotes/letting-go/,quotes,Yes,Yes,NONE,697,697,No
https://echobuddha.com/quotes/letting-go/let-the-feeling-pass-through-without-building-it-a/,quotes,Yes,Yes,NONE,944,944,No
https://echobuddha.com/quotes/letting-go/letting-go-begins-by-admitting-how-tightly-you-are/,quotes,Yes,Yes,NONE,931,931,No
https://echobuddha.com/quotes/letting-go/open-hands-non-attachment/,quotes,Yes,Yes,NONE,896,896,No
https://echobuddha.com/quotes/letting-go/peace-enters-when-control-is-no-longer-the-price/,quotes,Yes,Yes,NONE,976,976,No
https://echobuddha.com/quotes/letting-go/release-the-need-to-replay-what-can-no-longer/,quotes,Yes,Yes,NONE,943,943,No
https://echobuddha.com/quotes/letting-go/release-the-outcome-but-keep-the-care-you-bring/,quotes,Yes,Yes,NONE,966,966,No
https://echobuddha.com/quotes/letting-go/soften-around-stress/,quotes,Yes,Yes,NONE,888,888,No
https://echobuddha.com/quotes/letting-go/what-leaves-your-life-may-still-leave-wisdom-behind/,quotes,Yes,Yes,NONE,919,919,No
https://echobuddha.com/quotes/letting-go/where-attachment-begins/,quotes,Yes,Yes,NONE,854,854,No
https://echobuddha.com/quotes/letting-go/you-can-honor-the-past-without-asking-it-to/,quotes,Yes,Yes,NONE,959,959,No
https://echobuddha.com/quotes/letting-go/you-do-not-betray-a-memory-by-allowing-yourself/,quotes,Yes,Yes,NONE,954,954,No
https://echobuddha.com/quotes/letting-go/you-do-not-need-to-carry-every-thought-that/,quotes,Yes,Yes,NONE,940,940,No
https://echobuddha.com/quotes/meditation/a-short-sincere-practice-can-steady-a-long-and/,quotes,Yes,Yes,NONE,944,944,No
https://echobuddha.com/quotes/meditation/do-not-search-meditation-for-a-special-self-notice/,quotes,Yes,Yes,NONE,942,942,No
https://echobuddha.com/quotes/meditation/every-return-from-distraction-strengthens-the-path-home/,quotes,Yes,Yes,NONE,885,885,No
https://echobuddha.com/quotes/meditation/few-quiet-minutes/,quotes,Yes,Yes,NONE,923,923,No
https://echobuddha.com/quotes/meditation/follow-the-breath-lightly-as-you-would-listen-to/,quotes,Yes,Yes,NONE,907,907,No
https://echobuddha.com/quotes/meditation/,quotes,Yes,Yes,NONE,577,577,No
https://echobuddha.com/quotes/meditation/meditation-is-not-leaving-life-it-is-learning-how/,quotes,Yes,Yes,NONE,931,931,No
https://echobuddha.com/quotes/meditation/meditation-is-returning/,quotes,Yes,Yes,NONE,911,911,No
https://echobuddha.com/quotes/meditation/one-honest-breath/,quotes,Yes,Yes,NONE,924,924,No
https://echobuddha.com/quotes/meditation/silence-is-not-empty-when-the-heart-is-listening/,quotes,Yes,Yes,NONE,898,898,No
https://echobuddha.com/quotes/meditation/sit-with-the-day-as-it-is-before-asking/,quotes,Yes,Yes,NONE,941,941,No
https://echobuddha.com/quotes/meditation/sit-without-demanding-silence-and-the-mind-will-teach/,quotes,Yes,Yes,NONE,941,941,No
https://echobuddha.com/quotes/meditation/the-bell-fades-but-careful-listening-can-continue/,quotes,Yes,Yes,NONE,890,890,No
https://echobuddha.com/quotes/meditation/the-cushion-is-a-place-to-practice-returning-not/,quotes,Yes,Yes,NONE,956,956,No
https://echobuddha.com/quotes/meditation/when-stillness-feels-impossible-begin-by-noticing-the-restlessness/,quotes,Yes,Yes,NONE,909,909,No
https://echobuddha.com/quotes/mindfulness/a-peaceful-mind-begins-with-one-honest-breath/,quotes,Yes,Yes,NONE,915,915,No
https://echobuddha.com/quotes/mindfulness/a-wandering-mind-is-not-a-failed-mind-it/,quotes,Yes,Yes,NONE,983,983,No
https://echobuddha.com/quotes/mindfulness/awareness-begins-when-hurry-loosens-its-hold/,quotes,Yes,Yes,NONE,879,879,No
https://echobuddha.com/quotes/mindfulness/begin-the-day-with-awareness/,quotes,Yes,Yes,NONE,978,978,No
https://echobuddha.com/quotes/mindfulness/give-one-ordinary-task-the-dignity-of-your-full/,quotes,Yes,Yes,NONE,908,908,No
https://echobuddha.com/quotes/mindfulness/gratitude-notices-enough/,quotes,Yes,Yes,NONE,881,881,No
https://echobuddha.com/quotes/mindfulness/ground-yourself-gently/,quotes,Yes,Yes,NONE,896,896,No
https://echobuddha.com/quotes/mindfulness/,quotes,Yes,Yes,NONE,649,649,No
https://echobuddha.com/quotes/mindfulness/listen-before-answering/,quotes,Yes,Yes,NONE,906,906,No
https://echobuddha.com/quotes/mindfulness/listen-to-the-moment-before-filling-it-with-your/,quotes,Yes,Yes,NONE,935,935,No
