URL,intended_state,should_be_listed,listed,lastmod,lastmod_basis,absolute_production_url,result
https://echobuddha.com/articles/category/mindfulness/,INDEXABLE_CANONICAL_200,YES,YES,2026-08-24,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/articles/category/practice/,INDEXABLE_CANONICAL_200,YES,YES,2026-08-24,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/articles/category/reflection/,INDEXABLE_CANONICAL_200,YES,YES,2026-08-24,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/articles/compassion-as-a-daily-discipline/,INDEXABLE_CANONICAL_200,YES,YES,2026-07-01,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,INDEXABLE_CANONICAL_200,YES,YES,2026-07-01,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/articles/compassion-with-boundaries/,INDEXABLE_CANONICAL_200,YES,YES,2026-08-24,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,INDEXABLE_CANONICAL_200,YES,YES,2026-07-01,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/articles/dhamma-vs-dharma/,INDEXABLE_CANONICAL_200,YES,YES,2026-08-24,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,INDEXABLE_CANONICAL_200,YES,YES,2026-07-01,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,INDEXABLE_CANONICAL_200,YES,YES,2026-08-24,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/articles/dhammapada-verse-1-meaning/,INDEXABLE_CANONICAL_200,YES,YES,2026-08-24,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/articles/eightfold-path-explained-daily-life/,INDEXABLE_CANONICAL_200,YES,YES,2026-07-01,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/articles/eightfold-path-explained/,INDEXABLE_CANONICAL_200,YES,YES,2026-06-26,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/articles/equanimity-in-buddhism/,INDEXABLE_CANONICAL_200,YES,YES,2026-07-13,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/articles/first-week-buddhist-practice/,INDEXABLE_CANONICAL_200,YES,YES,2026-08-06,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/articles/five-precepts-in-daily-life/,INDEXABLE_CANONICAL_200,YES,YES,2026-07-13,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/articles/four-noble-truths-explained-simply/,INDEXABLE_CANONICAL_200,YES,YES,2026-07-01,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/articles/four-noble-truths-explained/,INDEXABLE_CANONICAL_200,YES,YES,2026-06-25,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,INDEXABLE_CANONICAL_200,YES,YES,2026-08-24,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/articles/how-to-meditate-for-anxiety/,INDEXABLE_CANONICAL_200,YES,YES,2026-07-01,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/articles/how-to-meditate-for-beginners/,INDEXABLE_CANONICAL_200,YES,YES,2026-07-01,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/articles/how-to-practice-non-attachment/,PERMANENT_REDIRECT,NO,NO,,OMITTED_WHEN_NO_TRUTHFUL_DATE,NOT_APPLICABLE,PASS
https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,INDEXABLE_CANONICAL_200,YES,YES,2026-07-01,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/articles/impermanence-in-buddhism/,INDEXABLE_CANONICAL_200,YES,YES,2026-06-26,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/articles/letting-go-without-giving-up/,PERMANENT_REDIRECT,NO,NO,,OMITTED_WHEN_NO_TRUTHFUL_DATE,NOT_APPLICABLE,PASS
https://echobuddha.com/articles/loving-kindness-meditation-beginners/,INDEXABLE_CANONICAL_200,YES,YES,2026-07-01,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/articles/loving-kindness-meditation-guide/,INDEXABLE_CANONICAL_200,YES,YES,2026-07-01,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/articles/metta-meditation-script/,INDEXABLE_CANONICAL_200,YES,YES,2026-06-25,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/articles/mindful-email-and-texting/,INDEXABLE_CANONICAL_200,YES,YES,2026-08-06,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/articles/mindful-listening-in-everyday-life/,INDEXABLE_CANONICAL_200,YES,YES,2026-07-01,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/articles/mindfulness-for-better-sleep/,INDEXABLE_CANONICAL_200,YES,YES,2026-07-01,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/articles/mindfulness-morning-routine/,INDEXABLE_CANONICAL_200,YES,YES,2026-07-01,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/articles/mindfulness-of-breathing-guide/,INDEXABLE_CANONICAL_200,YES,YES,2026-07-01,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/articles/mindfulness-vs-meditation/,INDEXABLE_CANONICAL_200,YES,YES,2026-06-25,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/articles/noble-eightfold-path-practical-guide/,INDEXABLE_CANONICAL_200,YES,YES,2026-08-24,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/articles/non-attachment-in-relationships/,INDEXABLE_CANONICAL_200,YES,YES,2026-08-06,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/articles/right-livelihood-modern-life/,INDEXABLE_CANONICAL_200,YES,YES,2026-07-13,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/articles/right-speech-buddhism/,INDEXABLE_CANONICAL_200,YES,YES,2026-08-24,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/articles/right-speech-examples/,INDEXABLE_CANONICAL_200,YES,YES,2026-08-06,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/articles/three-poisons-buddhism-explained/,INDEXABLE_CANONICAL_200,YES,YES,2026-07-13,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/articles/three-ways-to-practice-patience/,INDEXABLE_CANONICAL_200,YES,YES,2026-07-01,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/articles/visiting-a-buddhist-temple-respectfully/,INDEXABLE_CANONICAL_200,YES,YES,2026-08-06,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/articles/walking-meditation-step-by-step/,INDEXABLE_CANONICAL_200,YES,YES,2026-07-01,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,INDEXABLE_CANONICAL_200,YES,YES,2026-07-01,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/articles/what-is-karma-in-buddhism/,INDEXABLE_CANONICAL_200,YES,YES,2026-06-25,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/articles/what-is-sangha-buddhist-community/,INDEXABLE_CANONICAL_200,YES,YES,2026-07-13,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/authors/echo-buddha-editorial/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/buddhist-sources-and-citations/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/contact/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/corrections/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/daily-reflections/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/daily-reflections/anger-as-a-signal/,NOINDEX_USER_PAGE_200,NO,NO,,OMITTED_WHEN_NO_TRUTHFUL_DATE,NOT_APPLICABLE,PASS
https://echobuddha.com/daily-reflections/begin-again-without-shame/,NOINDEX_USER_PAGE_200,NO,NO,,OMITTED_WHEN_NO_TRUTHFUL_DATE,NOT_APPLICABLE,PASS
https://echobuddha.com/daily-reflections/compassion-begins-nearby/,NOINDEX_USER_PAGE_200,NO,NO,,OMITTED_WHEN_NO_TRUTHFUL_DATE,NOT_APPLICABLE,PASS
https://echobuddha.com/daily-reflections/enough-for-this-moment/,NOINDEX_USER_PAGE_200,NO,NO,,OMITTED_WHEN_NO_TRUTHFUL_DATE,NOT_APPLICABLE,PASS
https://echobuddha.com/daily-reflections/evening-release/,NOINDEX_USER_PAGE_200,NO,NO,,OMITTED_WHEN_NO_TRUTHFUL_DATE,NOT_APPLICABLE,PASS
https://echobuddha.com/daily-reflections/family-patience/,NOINDEX_USER_PAGE_200,NO,NO,,OMITTED_WHEN_NO_TRUTHFUL_DATE,NOT_APPLICABLE,PASS
https://echobuddha.com/daily-reflections/forgiveness-without-approval/,NOINDEX_USER_PAGE_200,NO,NO,,OMITTED_WHEN_NO_TRUTHFUL_DATE,NOT_APPLICABLE,PASS
https://echobuddha.com/daily-reflections/gratitude-for-change/,NOINDEX_USER_PAGE_200,NO,NO,,OMITTED_WHEN_NO_TRUTHFUL_DATE,NOT_APPLICABLE,PASS
https://echobuddha.com/daily-reflections/gratitude-notices-enough/,NOINDEX_USER_PAGE_200,NO,NO,,OMITTED_WHEN_NO_TRUTHFUL_DATE,NOT_APPLICABLE,PASS
https://echobuddha.com/daily-reflections/impermanence-softens-clinging/,NOINDEX_USER_PAGE_200,NO,NO,,OMITTED_WHEN_NO_TRUTHFUL_DATE,NOT_APPLICABLE,PASS
https://echobuddha.com/daily-reflections/kindness-with-boundaries/,NOINDEX_USER_PAGE_200,NO,NO,,OMITTED_WHEN_NO_TRUTHFUL_DATE,NOT_APPLICABLE,PASS
https://echobuddha.com/daily-reflections/let-the-feeling-pass/,NOINDEX_USER_PAGE_200,NO,NO,,OMITTED_WHEN_NO_TRUTHFUL_DATE,NOT_APPLICABLE,PASS
https://echobuddha.com/daily-reflections/letting-go-keeps-care/,NOINDEX_USER_PAGE_200,NO,NO,,OMITTED_WHEN_NO_TRUTHFUL_DATE,NOT_APPLICABLE,PASS
https://echobuddha.com/daily-reflections/listen-before-answering/,NOINDEX_USER_PAGE_200,NO,NO,,OMITTED_WHEN_NO_TRUTHFUL_DATE,NOT_APPLICABLE,PASS
https://echobuddha.com/daily-reflections/metta-for-a-difficult-person/,NOINDEX_USER_PAGE_200,NO,NO,,OMITTED_WHEN_NO_TRUTHFUL_DATE,NOT_APPLICABLE,PASS
https://echobuddha.com/daily-reflections/mindful-work/,NOINDEX_USER_PAGE_200,NO,NO,,OMITTED_WHEN_NO_TRUTHFUL_DATE,NOT_APPLICABLE,PASS
https://echobuddha.com/daily-reflections/morning-intention/,NOINDEX_USER_PAGE_200,NO,NO,,OMITTED_WHEN_NO_TRUTHFUL_DATE,NOT_APPLICABLE,PASS
https://echobuddha.com/daily-reflections/notice-before-fixing/,NOINDEX_USER_PAGE_200,NO,NO,,OMITTED_WHEN_NO_TRUTHFUL_DATE,NOT_APPLICABLE,PASS
https://echobuddha.com/daily-reflections/one-honest-breath/,NOINDEX_USER_PAGE_200,NO,NO,,OMITTED_WHEN_NO_TRUTHFUL_DATE,NOT_APPLICABLE,PASS
https://echobuddha.com/daily-reflections/one-step-on-the-path/,NOINDEX_USER_PAGE_200,NO,NO,,OMITTED_WHEN_NO_TRUTHFUL_DATE,NOT_APPLICABLE,PASS
https://echobuddha.com/daily-reflections/patience-before-anger-speaks/,NOINDEX_USER_PAGE_200,NO,NO,,OMITTED_WHEN_NO_TRUTHFUL_DATE,NOT_APPLICABLE,PASS
https://echobuddha.com/daily-reflections/rest-without-escape/,NOINDEX_USER_PAGE_200,NO,NO,,OMITTED_WHEN_NO_TRUTHFUL_DATE,NOT_APPLICABLE,PASS
https://echobuddha.com/daily-reflections/see-the-conditions/,NOINDEX_USER_PAGE_200,NO,NO,,OMITTED_WHEN_NO_TRUTHFUL_DATE,NOT_APPLICABLE,PASS
https://echobuddha.com/daily-reflections/simple-goodwill/,NOINDEX_USER_PAGE_200,NO,NO,,OMITTED_WHEN_NO_TRUTHFUL_DATE,NOT_APPLICABLE,PASS
https://echobuddha.com/daily-reflections/small-actions-shape-the-mind/,NOINDEX_USER_PAGE_200,NO,NO,,OMITTED_WHEN_NO_TRUTHFUL_DATE,NOT_APPLICABLE,PASS
https://echobuddha.com/daily-reflections/soften-the-inner-argument/,NOINDEX_USER_PAGE_200,NO,NO,,OMITTED_WHEN_NO_TRUTHFUL_DATE,NOT_APPLICABLE,PASS
https://echobuddha.com/daily-reflections/speech-can-reduce-suffering/,NOINDEX_USER_PAGE_200,NO,NO,,OMITTED_WHEN_NO_TRUTHFUL_DATE,NOT_APPLICABLE,PASS
https://echobuddha.com/daily-reflections/the-first-truth-is-kind/,NOINDEX_USER_PAGE_200,NO,NO,,OMITTED_WHEN_NO_TRUTHFUL_DATE,NOT_APPLICABLE,PASS
https://echobuddha.com/daily-reflections/thoughts-are-visitors/,NOINDEX_USER_PAGE_200,NO,NO,,OMITTED_WHEN_NO_TRUTHFUL_DATE,NOT_APPLICABLE,PASS
https://echobuddha.com/daily-reflections/today/,NOINDEX_USER_PAGE_200,NO,NO,,OMITTED_WHEN_NO_TRUTHFUL_DATE,NOT_APPLICABLE,PASS
https://echobuddha.com/daily-reflections/walking-as-practice/,NOINDEX_USER_PAGE_200,NO,NO,,OMITTED_WHEN_NO_TRUTHFUL_DATE,NOT_APPLICABLE,PASS
https://echobuddha.com/disclaimer/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/editorial-policy/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/how-echo-buddha-creates-content/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/buddhism-101/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/buddhism-101/a-simple-daily-buddhist-practice/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/buddhism-101/dependent-origination-explained/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/buddhism-101/five-aggregates-buddhism/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/buddhism-101/five-hindrances-in-buddhism/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/buddhism-101/four-brahmaviharas/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/buddhism-101/how-to-practice-buddhism-at-home/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/buddhism-101/middle-way-explained-for-beginners/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/buddhism-101/right-livelihood-buddhism/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/buddhism-101/the-four-noble-truths-explained/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/buddhism-101/the-noble-eightfold-path-explained/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/buddhism-101/the-three-jewels-explained/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/buddhism-101/three-marks-of-existence/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/buddhism-101/threefold-training-sila-samadhi-panna/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/buddhism-101/what-is-buddhism/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/buddhism-101/who-was-the-buddha/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/buddhism-for-beginners/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/buddhist-dictionary/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/buddhist-dictionary/anatta/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/buddhist-dictionary/anicca/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/buddhist-dictionary/compassion/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/buddhist-dictionary/dhamma/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/buddhist-dictionary/dukkha/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/buddhist-dictionary/karma/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/buddhist-dictionary/karuna/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/buddhist-dictionary/metta/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/buddhist-dictionary/mindfulness/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/buddhist-dictionary/nirvana/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/buddhist-dictionary/pali-canon/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/buddhist-dictionary/sangha/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/buddhist-dictionary/sati/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/buddhist-dictionary/sutta/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/buddhist-resources/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/dhammapada-reflections/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/dhammapada-reflections/avoid-evil-do-good-purify-the-mind/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/dhammapada-reflections/better-than-a-thousand-empty-words/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/dhammapada-reflections/hatred-is-not-ended-by-hatred/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/dhammapada-reflections/peace-comes-from-a-trained-mind/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/dhammapada-reflections/the-mind-leads-all-things/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/eightfold-path/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/four-noble-truths/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/questions-about-buddhism/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/sutta-for-daily-life/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/sutta-for-daily-life/buddhas-teaching-on-patience/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/sutta-for-daily-life/dhammacakkappavattana-sutta-four-noble-truths/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/sutta-for-daily-life/how-to-read-a-buddhist-sutta/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/sutta-for-daily-life/kalama-sutta-and-wise-thinking/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/sutta-for-daily-life/metta-sutta-explained-for-daily-life/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/learn/sutta-for-daily-life/mindfulness-of-breathing-explained-simply/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
