URL,protection_tier,primary_topic,primary_user_intent,current_title,current_h1,candidate_value_headings_not_query_attributed,high_performing_sections,cited_teaching_signal,definitions_examples_faq_signal,key_internal_links,preserve_contract,confidence
https://echobuddha.com/articles/noble-eightfold-path-practical-guide/,SEO_P1_HIGH,Noble Eightfold Path,practical guide,Noble Eightfold Path Practical Guide for Daily Life | Echo Buddha,The Noble Eightfold Path: A Practical Guide for Daily Life,Key Takeaways | Right View: Seeing More Clearly | Right Intention: The Direction of the Heart | Right Speech and Right Action | Right Livelihood and Right Effort | Right Mindfulness and Right Concentration | Common Misunderstandings | Practice Exercise: One Factor a Day | A Week With the Eightfold Path | When the Path Feels Overwhelming | How to Review Your Practice | Practice Today,NOT_IDENTIFIED: query×page/section evidence unavailable,true,42 paragraphs; 27 headings; FAQ schema true,9 inbound unique source pages,"Preserve URL where practical, primary intent, useful topic coverage, canonical clarity, and justified internal prominence; individual weak sentences may be improved.","MEDIUM: headings are candidates, not proven Search-driving sections"
https://echobuddha.com/articles/right-speech-buddhism/,SEO_P0_CRITICAL,Compassion,practical guide,"Right Speech in Buddhism: Meaning, Examples, and Practice | Echo Buddha",Right Speech in Buddhism: How to Speak with Kindness and Awareness,Key Takeaways | Right Speech Buddhism: The Basic Teaching | The Four Filters of Right Speech | Is it true? | Is it kind? | Is it useful? | Is it the right time? | Honesty Without Cruelty | Silence Can Also Be Speech Practice | Listening Is Part of Right Speech | Common Misunderstandings About Right Speech | How to Practice This in Daily Life,NOT_IDENTIFIED: query×page/section evidence unavailable,true,50 paragraphs; 32 headings; FAQ schema true,50 inbound unique source pages,"Preserve URL where practical, primary intent, useful topic coverage, canonical clarity, and justified internal prominence; individual weak sentences may be improved.","MEDIUM: headings are candidates, not proven Search-driving sections"
https://echobuddha.com/articles/three-poisons-buddhism-explained/,SEO_P1_HIGH,Buddhist Concepts,beginner explanation,"Three Poisons in Buddhism: Greed, Aversion, and Delusion | Echo Buddha","The Three Poisons in Buddhism: Greed, Hatred, and Delusion Explained",Key Takeaways | The Source Teaching Behind the Three Roots | One Situation Seen Through Three Poisons | How the Roots Reinforce One Another | The Skillful Counter-Qualities | A Three-Root Recognition Practice | Why This Teaching Still Feels Practical | Practice Today | Reflection Question | Related Buddhist Terms | Frequently Asked Questions | Further Reading / Source Note,NOT_IDENTIFIED: query×page/section evidence unavailable,true,45 paragraphs; 24 headings; FAQ schema true,3 inbound unique source pages,"Preserve URL where practical, primary intent, useful topic coverage, canonical clarity, and justified internal prominence; individual weak sentences may be improved.","MEDIUM: headings are candidates, not proven Search-driving sections"
https://echobuddha.com/articles/visiting-a-buddhist-temple-respectfully/,SEO_P1_HIGH,Page-specific / unclustered,practical guide,PRESERVE_CURRENT_TITLE_PENDING_PHASE_4_REVIEW,PRESERVE_CURRENT_H1_PENDING_PHASE_4_REVIEW,NOT_REASSESSED_IN_PHASE_3_COMPLETION,QUERY×PAGE_IDENTIFIES_URL_NOT_SECTION,PRESERVE_EXISTING_CITATIONS,PRESERVE_USER_VALUE_ELEMENTS,PRESERVE_RELEVANT_LINKS,"No URL, intent, title, H1, high-value section, citation, or internal-link removal without Phase 4 evidence review",HIGH_FOR_URL_PROTECTION; SECTION_ATTRIBUTION_UNAVAILABLE
https://echobuddha.com/articles/what-is-sangha-buddhist-community/,SEO_P1_HIGH,Sangha,practical guide,What Is Sangha? Buddhist Community for Beginners | Echo Buddha,What Is Sangha? Why Buddhist Community Matters for Beginners,"Key Takeaways | Admirable Friendship as a Source Anchor | The Traditional Sangha and Broader Community Use | Why Companionship Changes Practice | Teachers, Trust, and Judgement | Online Sangha and Its Limits | Visiting a Temple or Center Respectfully | A First Community Step | Practice Today | Reflection Question | Related Buddhist Terms | Frequently Asked Questions",NOT_IDENTIFIED: query×page/section evidence unavailable,true,49 paragraphs; 25 headings; FAQ schema true,6 inbound unique source pages,"Preserve URL where practical, primary intent, useful topic coverage, canonical clarity, and justified internal prominence; individual weak sentences may be improved.","MEDIUM: headings are candidates, not proven Search-driving sections"
https://echobuddha.com/daily-reflections/,SEO_P1_HIGH,Mindfulness,practical guide,Daily Buddhist Reflections for Mindful Living | Echo Buddha,Daily Buddhist Reflections for Mindful Living,"Read, Practice, Return | Patience Begins Before Anger Speaks | Choose One Way to Return | Evergreen Daily Reflection Library | Patience Begins Before Anger Speaks | Return Through One Honest Breath | Kindness Can Have Boundaries | Impermanence Softens Clinging | Listen Before Answering | Small Actions Shape the Mind | Let the Feeling Pass Through | Begin Again Without Shame",NOT_IDENTIFIED: query×page/section evidence unavailable,false,73 paragraphs; 36 headings; FAQ schema true,337 inbound unique source pages,"Preserve URL where practical, primary intent, useful topic coverage, canonical clarity, and justified internal prominence; individual weak sentences may be improved.","MEDIUM: headings are candidates, not proven Search-driving sections"
https://echobuddha.com/,SEO_P0_CRITICAL,Page-specific / unclustered,practical guide,Echo Buddha - Buddhist Wisdom for a Calmer Everyday Life,Echo Buddha,"Learn, Practice, or Read and Reflect | Learn Buddhist Teachings | Choose a Meditation | Explore Everyday Wisdom | Start With the Foundations | Patience Begins Before Anger Speaks | Recent Articles for Daily Life | Mindful Email and Texting | Compassion With Boundaries | Dhamma vs Dharma: What Is the Difference? | Come Back for One Useful Moment | A Calm, Accountable Publication",NOT_IDENTIFIED: query×page/section evidence unavailable,false,23 paragraphs; 14 headings; FAQ schema true,337 inbound unique source pages,"Preserve URL where practical, primary intent, useful topic coverage, canonical clarity, and justified internal prominence; individual weak sentences may be improved.","MEDIUM: headings are candidates, not proven Search-driving sections"
https://echobuddha.com/learn/buddhism-101/threefold-training-sila-samadhi-panna/,SEO_P1_HIGH,Page-specific / unclustered,practical guide,PRESERVE_CURRENT_TITLE_PENDING_PHASE_4_REVIEW,PRESERVE_CURRENT_H1_PENDING_PHASE_4_REVIEW,NOT_REASSESSED_IN_PHASE_3_COMPLETION,QUERY×PAGE_IDENTIFIES_URL_NOT_SECTION,PRESERVE_EXISTING_CITATIONS,PRESERVE_USER_VALUE_ELEMENTS,PRESERVE_RELEVANT_LINKS,"No URL, intent, title, H1, high-value section, citation, or internal-link removal without Phase 4 evidence review",HIGH_FOR_URL_PROTECTION; SECTION_ATTRIBUTION_UNAVAILABLE
https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,SEO_P1_HIGH,Mindfulness,practical guide,What Is Mindfulness? | Echo Buddha,What Is Mindfulness?,Key Takeaway | Why This Matters | More Than Relaxation | Meaning in Daily Life | A Daily Life Example | A Helpful Clarification | Practice Today | Reflection Question | Further Reading / Source Note | Traditional References | Related Learning Links,NOT_IDENTIFIED: query×page/section evidence unavailable,true,15 paragraphs; 12 headings; FAQ schema false,41 inbound unique source pages,"Preserve URL where practical, primary intent, useful topic coverage, canonical clarity, and justified internal prominence; individual weak sentences may be improved.","MEDIUM: headings are candidates, not proven Search-driving sections"
https://echobuddha.com/learn/buddhism-for-beginners/,SEO_P1_HIGH,Beginner Buddhism,practical guide,Buddhism for Beginners - Simple Buddhist Teachings | Echo Buddha,Buddhism for Beginners,What a Beginner Is Actually Learning to Do | Understand | Live ethically | Train attention | A Simple 7-Day First Path | What This Page Does and Does Not Try to Do | Source and Interpretation Boundary,NOT_IDENTIFIED: query×page/section evidence unavailable,false,28 paragraphs; 8 headings; FAQ schema true,10 inbound unique source pages,"Preserve URL where practical, primary intent, useful topic coverage, canonical clarity, and justified internal prominence; individual weak sentences may be improved.","MEDIUM: headings are candidates, not proven Search-driving sections"
https://echobuddha.com/learn/buddhist-dictionary/dhamma/,SEO_P1_HIGH,Dhamma / Dharma,glossary lookup,Dhamma Meaning: Buddhist Teaching and Truth | Echo Buddha,Dhamma,Concise Definition | Why the Term Matters | Simple Meaning of Dhamma | Dhamma vs Dharma | Dhamma in the Three Jewels | Practice Meaning in Daily Life | Common Misunderstandings | Nuance and Usage | Use the Term in Context | Check Your Understanding | Reference Boundaries | Traditional References,NOT_IDENTIFIED: query×page/section evidence unavailable,true,20 paragraphs; 14 headings; FAQ schema false,73 inbound unique source pages,"Preserve URL where practical, primary intent, useful topic coverage, canonical clarity, and justified internal prominence; individual weak sentences may be improved.","MEDIUM: headings are candidates, not proven Search-driving sections"
https://echobuddha.com/learn/buddhist-dictionary/metta/,SEO_P1_HIGH,Compassion,glossary lookup,Metta Meaning: Loving-Kindness in Buddhism | Echo Buddha,Metta,Concise Definition | Why the Term Matters | Meaning and Language | What Metta Is Not | How the Term Is Used in Practice | Related Terms | A Daily-Life Example | Nuance and Usage | Use the Term in Context | Check Your Understanding | Reference Boundaries | Traditional References,NOT_IDENTIFIED: query×page/section evidence unavailable,true,19 paragraphs; 14 headings; FAQ schema false,22 inbound unique source pages,"Preserve URL where practical, primary intent, useful topic coverage, canonical clarity, and justified internal prominence; individual weak sentences may be improved.","MEDIUM: headings are candidates, not proven Search-driving sections"
https://echobuddha.com/learn/buddhist-dictionary/sati/,SEO_P1_HIGH,Mindfulness,glossary lookup,Sati Meaning: Mindfulness in Buddhist Practice | Echo Buddha,Sati,Concise Definition | Why the Term Matters | Simple Meaning | Meaning in Daily Life | Related Teaching | Nuance and Usage | Use the Term in Context | Check Your Understanding | Reference Boundaries | Traditional References | Related Learning Links,NOT_IDENTIFIED: query×page/section evidence unavailable,true,12 paragraphs; 12 headings; FAQ schema false,60 inbound unique source pages,"Preserve URL where practical, primary intent, useful topic coverage, canonical clarity, and justified internal prominence; individual weak sentences may be improved.","MEDIUM: headings are candidates, not proven Search-driving sections"
https://echobuddha.com/learn/eightfold-path/,SEO_P1_HIGH,Noble Eightfold Path,practical guide,Noble Eightfold Path for Daily Life | Echo Buddha,The Noble Eightfold Path for Daily Life,"One Path, Three Areas of Training | Wisdom | Ethical conduct | Cultivation of mind | What “Right” Means Here | A Worked Example: Before Sending a Harsh Reply | A Focused Practice | Source Notes | Continue Learning | The Noble Eightfold Path: A Practical Guide for Daily Life | The Noble Eightfold Path Explained for Beginners | The Noble Eightfold Path Explained for Daily Life",NOT_IDENTIFIED: query×page/section evidence unavailable,true,26 paragraphs; 14 headings; FAQ schema false,42 inbound unique source pages,"Preserve URL where practical, primary intent, useful topic coverage, canonical clarity, and justified internal prominence; individual weak sentences may be improved.","MEDIUM: headings are candidates, not proven Search-driving sections"
https://echobuddha.com/learn/sutta-for-daily-life/metta-sutta-explained-for-daily-life/,SEO_P1_HIGH,Loving-kindness / Metta,practical guide,The Metta Sutta Explained for Daily Life | Echo Buddha,The Metta Sutta Explained for Daily Life,"Study Focus | Why This Passage Matters | Text, Setting, and Scope | Three Movements in the Teaching | A Daily-Life Reading | Study Without Borrowing a Translation | Interpretive Boundary | Modern Reflection | Study Question | Text and Source Notes | Traditional References | Related Learning Links",NOT_IDENTIFIED: query×page/section evidence unavailable,true,16 paragraphs; 13 headings; FAQ schema false,4 inbound unique source pages,"Preserve URL where practical, primary intent, useful topic coverage, canonical clarity, and justified internal prominence; individual weak sentences may be improved.","MEDIUM: headings are candidates, not proven Search-driving sections"
https://echobuddha.com/mindful-living/,SEO_P1_HIGH,Mindfulness,navigation/reference,Mindful Living with Buddhist Wisdom | Echo Buddha,Mindful Living with Buddhist Wisdom,"Practice Areas | Begin With One Small Practice | Listen Before Answering | Practical Reading | A Mindful Morning Routine for a Calmer Day | Right Speech in Buddhism: How to Speak with Kindness and Awareness | Right Speech Examples for Everyday Life | Mindful Email and Texting | Mindful Listening in Everyday Life | A Buddhist Approach to Anger: Pause, Understand, Respond | Compassion as a Daily Discipline | Compassion With Boundaries",NOT_IDENTIFIED: query×page/section evidence unavailable,false,36 paragraphs; 16 headings; FAQ schema true,4 inbound unique source pages,"Preserve URL where practical, primary intent, useful topic coverage, canonical clarity, and justified internal prominence; individual weak sentences may be improved.","MEDIUM: headings are candidates, not proven Search-driving sections"
https://echobuddha.com/quotes/awareness/,SEO_P1_HIGH,Mindfulness,navigation/reference,Original Awareness Quotes Inspired by Buddhist Practice | Echo Buddha,Original Awareness Quotes,How to Use These Awareness Quotes | Related Reading | Buddhist Wisdom for Overthinking: How to Calm a Busy Mind | Mindfulness vs Meditation: What Is the Difference for Beginners? | A Mindful Morning Routine for a Calmer Day | Explore More Quote Categories,NOT_IDENTIFIED: query×page/section evidence unavailable,false,10 paragraphs; 7 headings; FAQ schema false,37 inbound unique source pages,"Preserve URL where practical, primary intent, useful topic coverage, canonical clarity, and justified internal prominence; individual weak sentences may be improved.","MEDIUM: headings are candidates, not proven Search-driving sections"
https://echobuddha.com/quotes/compassion/,SEO_P1_HIGH,Compassion,navigation/reference,Original Compassion Quotes Inspired by Buddhist Practice | Echo Buddha,Original Compassion Quotes,How to Use These Compassion Quotes | Related Reading | Compassion With Boundaries | Dhamma vs Dharma: What Is the Difference? | Visiting a Buddhist Temple Respectfully | Explore More Quote Categories,NOT_IDENTIFIED: query×page/section evidence unavailable,false,10 paragraphs; 7 headings; FAQ schema false,36 inbound unique source pages,"Preserve URL where practical, primary intent, useful topic coverage, canonical clarity, and justified internal prominence; individual weak sentences may be improved.","MEDIUM: headings are candidates, not proven Search-driving sections"
https://echobuddha.com/quotes/,SEO_P1_HIGH,Page-specific / unclustered,navigation/reference,Original Buddhist-Inspired Quotes | Echo Buddha,Original Buddhist-Inspired Quotes,Begin the day by meeting one moment before you meet every plan. | Know What Kind of Quote You Are Reading | Choose a Theme | All Buddhist Quotes,NOT_IDENTIFIED: query×page/section evidence unavailable,false,3 paragraphs; 5 headings; FAQ schema false,337 inbound unique source pages,"Preserve URL where practical, primary intent, useful topic coverage, canonical clarity, and justified internal prominence; individual weak sentences may be improved.","MEDIUM: headings are candidates, not proven Search-driving sections"
https://echobuddha.com/quotes/letting-go/,SEO_P0_CRITICAL,Attachment and Letting Go,navigation/reference,Original Letting Go Quotes Inspired by Buddhist Practice | Echo Buddha,Original Letting Go Quotes,How to Use These Letting Go Quotes | Related Reading | Non-Attachment in Relationships | Dhammapada Verse 1 Meaning and Translation Caution | Buddhist Gratitude Practice: Appreciating Life Without Clinging | Explore More Quote Categories,NOT_IDENTIFIED: query×page/section evidence unavailable,false,12 paragraphs; 7 headings; FAQ schema false,40 inbound unique source pages,"Preserve URL where practical, primary intent, useful topic coverage, canonical clarity, and justified internal prominence; individual weak sentences may be improved.","MEDIUM: headings are candidates, not proven Search-driving sections"
https://echobuddha.com/quotes/meditation/,SEO_P1_HIGH,Meditation,navigation/reference,Original Meditation Quotes Inspired by Buddhist Practice | Echo Buddha,Original Meditation Quotes,How to Use These Meditation Quotes | Related Reading | How to Meditate for Beginners: A Simple Buddhist Guide | Mindfulness of Breathing: A Step-by-Step Guide | Loving-Kindness Meditation: A Gentle Practice Guide | Explore More Quote Categories,NOT_IDENTIFIED: query×page/section evidence unavailable,false,10 paragraphs; 7 headings; FAQ schema false,38 inbound unique source pages,"Preserve URL where practical, primary intent, useful topic coverage, canonical clarity, and justified internal prominence; individual weak sentences may be improved.","MEDIUM: headings are candidates, not proven Search-driving sections"
https://echobuddha.com/quotes/mindfulness/,SEO_P1_HIGH,Mindfulness,navigation/reference,Original Mindfulness Quotes Inspired by Buddhist Practice | Echo Buddha,Original Mindfulness Quotes,How to Use These Mindfulness Quotes | Related Reading | Buddhist Wisdom for Overthinking: How to Calm a Busy Mind | Mindfulness vs Meditation: What Is the Difference for Beginners? | A Mindful Morning Routine for a Calmer Day | Explore More Quote Categories,NOT_IDENTIFIED: query×page/section evidence unavailable,false,10 paragraphs; 7 headings; FAQ schema false,42 inbound unique source pages,"Preserve URL where practical, primary intent, useful topic coverage, canonical clarity, and justified internal prominence; individual weak sentences may be improved.","MEDIUM: headings are candidates, not proven Search-driving sections"
https://echobuddha.com/quotes/patience/,SEO_P1_HIGH,Patience,navigation/reference,Original Patience Quotes Inspired by Buddhist Practice | Echo Buddha,Original Patience Quotes,How to Use These Patience Quotes | Related Reading | Mindful Email and Texting | First Week Buddhist Practice for Beginners | Right Speech Examples for Everyday Life | Explore More Quote Categories,NOT_IDENTIFIED: query×page/section evidence unavailable,false,12 paragraphs; 7 headings; FAQ schema false,31 inbound unique source pages,"Preserve URL where practical, primary intent, useful topic coverage, canonical clarity, and justified internal prominence; individual weak sentences may be improved.","MEDIUM: headings are candidates, not proven Search-driving sections"
https://echobuddha.com/quotes/practice/,SEO_P1_HIGH,Page-specific / unclustered,navigation/reference,Original Practice Quotes Inspired by Buddhist Practice | Echo Buddha,Original Practice Quotes,How to Use These Practice Quotes | Related Reading | Mindful Email and Texting | First Week Buddhist Practice for Beginners | Right Speech Examples for Everyday Life | Explore More Quote Categories,NOT_IDENTIFIED: query×page/section evidence unavailable,false,10 paragraphs; 7 headings; FAQ schema false,50 inbound unique source pages,"Preserve URL where practical, primary intent, useful topic coverage, canonical clarity, and justified internal prominence; individual weak sentences may be improved.","MEDIUM: headings are candidates, not proven Search-driving sections"
https://echobuddha.com/tools/,SEO_P1_HIGH,Mindfulness,practical guide,PRESERVE_CURRENT_TITLE_PENDING_PHASE_4_REVIEW,PRESERVE_CURRENT_H1_PENDING_PHASE_4_REVIEW,NOT_REASSESSED_IN_PHASE_3_COMPLETION,QUERY×PAGE_IDENTIFIES_URL_NOT_SECTION,PRESERVE_EXISTING_CITATIONS,PRESERVE_USER_VALUE_ELEMENTS,PRESERVE_RELEVANT_LINKS,"No URL, intent, title, H1, high-value section, citation, or internal-link removal without Phase 4 evidence review",HIGH_FOR_URL_PROTECTION; SECTION_ATTRIBUTION_UNAVAILABLE
