article_a,article_b,before_overlap,after_overlap,before_overall,after_overall,overall_delta,before_intro,after_intro,before_heading,after_heading,before_faq,after_faq,before_exact_duplicate_sentences,after_exact_duplicate_sentences,before_near_duplicate_paragraphs,after_near_duplicate_paragraphs
how-to-meditate-for-anxiety,letting-go-without-giving-up,Low,Low,0.16,0.159,-0.001,0,0,0.257,0.257,0.076,0.085,0,0,0,0
mindfulness-morning-routine,how-to-practice-non-attachment,Low,Low,0.16,0.159,-0.001,0,0,0.247,0.247,0.148,0.152,0,0,0,0
how-to-meditate-for-anxiety,how-to-practice-non-attachment,Low,Low,0.155,0.156,0.001,0,0,0.249,0.249,0.094,0.082,0,0,0,0
mindfulness-for-better-sleep,how-to-practice-non-attachment,Low,Low,0.148,0.152,0.004,0.044,0.055,0.262,0.262,0.068,0.065,0,0,0,0
walking-meditation-step-by-step,how-to-practice-non-attachment,Low,Low,0.145,0.145,0,0.042,0.037,0.27,0.27,0.042,0.047,0,0,0,0
mindfulness-for-better-sleep,letting-go-without-giving-up,Low,Low,0.144,0.156,0.012,0.028,0.131,0.238,0.238,0.096,0.062,0,0,0,0
walking-meditation-step-by-step,letting-go-without-giving-up,Low,Low,0.143,0.14,-0.003,0.026,0.022,0.225,0.225,0.06,0.057,0,0,0,0
mindfulness-vs-meditation,how-to-practice-non-attachment,Low,Low,0.14,0.134,-0.006,0.112,0.117,0.043,0.043,0.07,0.039,0,0,0,0
mindfulness-vs-meditation,how-to-let-go-of-attachment-in-buddhism,Low,Low,0.133,0.129,-0.004,0.125,0.123,0.054,0.054,0.038,0.04,0,0,0,0
beginning-a-daily-mindfulness-practice,how-to-let-go-of-attachment-in-buddhism,Low,Low,0.13,0.123,-0.007,0.07,0.06,0.035,0.035,0.049,0.047,0,0,0,0
mindfulness-of-breathing-guide,impermanence-in-buddhism-letting-go,Low,Low,0.129,0.129,0,0.082,0.092,0.142,0.142,0.115,0.134,0,0,0,0
beginning-a-daily-mindfulness-practice,impermanence-in-buddhism-letting-go,Low,Low,0.128,0.121,-0.007,0.114,0.09,0.046,0.046,0.094,0.08,0,0,0,0
mindfulness-vs-meditation,impermanence-in-buddhism-letting-go,Low,Low,0.123,0.116,-0.007,0.042,0.029,0.065,0.065,0.048,0.023,0,0,0,0
mindfulness-vs-meditation,letting-go-without-giving-up,Low,Low,0.122,0.119,-0.003,0.016,0.014,0.034,0.034,0.071,0.034,0,0,0,0
how-to-meditate-for-anxiety,how-to-let-go-of-attachment-in-buddhism,Low,Low,0.117,0.12,0.003,0,0,0.036,0.036,0.088,0.086,0,0,0,0
how-to-meditate-for-beginners,how-to-practice-non-attachment,Low,Low,0.116,0.116,0,0.093,0.114,0.03,0.03,0.053,0.061,0,0,0,0
how-to-meditate-for-beginners,letting-go-without-giving-up,Low,Low,0.116,0.111,-0.005,0.047,0.039,0.015,0.015,0.027,0.025,0,0,0,0
mindfulness-of-breathing-guide,letting-go-without-giving-up,Low,Low,0.115,0.119,0.004,0.024,0.058,0.024,0.024,0.048,0.068,0,0,0,0
mindfulness-for-better-sleep,how-to-let-go-of-attachment-in-buddhism,Low,Low,0.115,0.123,0.008,0.101,0.133,0.052,0.052,0.095,0.089,0,0,0,0
mindfulness-of-breathing-guide,how-to-let-go-of-attachment-in-buddhism,Low,Low,0.114,0.118,0.004,0.075,0.105,0.039,0.039,0.065,0.063,0,0,0,0
mindfulness-of-breathing-guide,how-to-practice-non-attachment,Low,Low,0.114,0.108,-0.006,0.077,0.033,0.032,0.032,0.064,0.078,0,0,0,0
how-to-meditate-for-anxiety,impermanence-in-buddhism-letting-go,Low,Low,0.11,0.114,0.004,0,0,0.031,0.031,0.09,0.087,0,0,0,0
mindfulness-for-better-sleep,impermanence-in-buddhism-letting-go,Low,Low,0.107,0.112,0.005,0.037,0.06,0.044,0.044,0.113,0.118,0,0,0,0
mindfulness-morning-routine,how-to-let-go-of-attachment-in-buddhism,Low,Low,0.104,0.104,0,0.017,0.016,0.04,0.04,0.028,0.056,0,0,0,0
how-to-meditate-for-beginners,how-to-let-go-of-attachment-in-buddhism,Low,Low,0.103,0.099,-0.004,0.029,0.039,0.027,0.027,0.042,0.05,0,0,0,0
walking-meditation-step-by-step,how-to-let-go-of-attachment-in-buddhism,Low,Low,0.103,0.105,0.002,0.032,0.044,0.047,0.047,0.063,0.068,0,0,0,0
how-to-meditate-for-beginners,impermanence-in-buddhism-letting-go,Low,Low,0.101,0.101,0,0.047,0.066,0.031,0.031,0.089,0.093,0,0,0,0
mindfulness-morning-routine,impermanence-in-buddhism-letting-go,Low,Low,0.101,0.102,0.001,0,0,0.042,0.042,0.118,0.091,0,0,0,0
walking-meditation-step-by-step,impermanence-in-buddhism-letting-go,Low,Low,0.1,0.105,0.005,0.035,0.06,0.057,0.057,0.06,0.082,0,0,0,0
