slug,url,phase_status,category,publication_date,reviewed_date,materially_changed_in_phase_3,primary_cluster,final_role,source_support,wellbeing_review,final_recommendation,score,risk
eightfold-path-explained,https://echobuddha.com/articles/eightfold-path-explained/,Phase 3 re-reviewed,Buddhist Wisdom,2026-06-26,2026-06-26,no,Noble Eightfold Path,"Explain the path as wisdom, ethical conduct, and mental cultivation",SN 45.8,No article-specific wellbeing boundary required based on current page promise.,Light polish,82,Medium
how-to-let-go-of-attachment-in-buddhism,https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,Phase 2 re-verified,Reflection,2026-06-26,2026-06-26,no,"Attachment, Non-attachment, and Letting Go",Clarify attachment as clinging and show how release differs from not caring,General editorial review,No article-specific wellbeing boundary required based on current page promise.,Light polish,83,Medium
right-speech-buddhism,https://echobuddha.com/articles/right-speech-buddhism/,Phase 3 re-reviewed,Practice,2026-06-26,2026-06-26,no,"Compassion, Forgiveness, Patience, Speech, Anger, and Listening",Turn Right Speech into filters for actual conversations,SN 45.8; MN 58,No article-specific wellbeing boundary required based on current page promise.,Light polish,83,Medium
buddhist-wisdom-for-overthinking,https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,Phase 3 re-reviewed,Mindfulness,2026-06-26,2026-06-26,no,,Use Buddhist attention and non-identification to respond to repetitive thought loops,Editorial/source-aware interpretation,Retain the existing educational/non-treatment boundary and make copy-specific refinements only if the article promises outcomes.,Light polish,83,Medium
impermanence-in-buddhism,https://echobuddha.com/articles/impermanence-in-buddhism/,Phase 3 re-reviewed,Buddhist Wisdom,2026-06-26,2026-06-26,no,Impermanence,Define anicca and show why clear seeing can deepen care,AN 5.57,Retain the existing educational/non-treatment boundary and make copy-specific refinements only if the article promises outcomes.,Targeted rewrite,82,Medium
what-is-karma-in-buddhism,https://echobuddha.com/articles/what-is-karma-in-buddhism/,Phase 3 re-reviewed,Buddhist Wisdom,2026-06-25,2026-06-25,no,Karma Standalone,"Explain karma as intention, action, habit, and consequence without fate or blame",MN 135,No article-specific wellbeing boundary required based on current page promise.,Light polish,83,Medium
four-noble-truths-explained,https://echobuddha.com/articles/four-noble-truths-explained/,Phase 3 re-reviewed,Buddhist Wisdom,2026-06-25,2026-06-25,yes,Four Noble Truths,Give a careful explanation of the teaching's logic and common misunderstandings,SN 56.11,No article-specific wellbeing boundary required based on current page promise.,Light polish,82,Medium
mindfulness-vs-meditation,https://echobuddha.com/articles/mindfulness-vs-meditation/,Phase 2 re-verified,Mindfulness,2026-06-25,2026-06-25,no,Beginner Meditation and Mindfulness,Separate mindfulness as a quality of awareness from meditation as formal training,General editorial review,No article-specific wellbeing boundary required based on current page promise.,Targeted rewrite,81,Medium
buddhist-teachings-on-forgiveness,https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,Phase 3 re-reviewed,Reflection,2026-06-25,2026-06-25,no,Compassion and Forgiveness,Distinguish forgiveness from excusing harm or abandoning boundaries,Editorial/source-aware interpretation,No article-specific wellbeing boundary required based on current page promise.,Light polish,83,Medium
metta-meditation-script,https://echobuddha.com/articles/metta-meditation-script/,Phase 3 re-reviewed,Meditation,2026-06-25,2026-06-25,yes,Loving-kindness and Metta,Provide a reusable metta script with minimal theory and clear pacing,Sn 1.8,No article-specific wellbeing boundary required based on current page promise.,Targeted rewrite,81,Medium
buddhism-for-beginners-simple-guide,https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,Phase 3 re-reviewed,Buddhist Wisdom,2026-06-24,2026-07-01,yes,Beginner Buddhism,"Give a first-week route through learning, meditation, and ethical attention",AN 3.66,No article-specific wellbeing boundary required based on current page promise.,Light polish,83,Medium
how-to-meditate-for-anxiety,https://echobuddha.com/articles/how-to-meditate-for-anxiety/,Phase 2 re-verified,Meditation,2026-06-23,2026-07-01,no,Beginner Meditation and Mindfulness,Offer anxiety-aware meditation options with grounding and stopping permission,General editorial review,Retain the existing educational/non-treatment boundary and make copy-specific refinements only if the article promises outcomes.,Light polish,84,Low
loving-kindness-meditation-beginners,https://echobuddha.com/articles/loving-kindness-meditation-beginners/,Phase 3 re-reviewed,Meditation,2026-06-22,2026-07-01,yes,Loving-kindness and Metta,"Help first-time metta practitioners work with awkwardness, resistance, and boundaries",Sn 1.8,No article-specific wellbeing boundary required based on current page promise.,Targeted rewrite,81,Medium
eightfold-path-explained-daily-life,https://echobuddha.com/articles/eightfold-path-explained-daily-life/,Phase 3 re-reviewed,Buddhist Wisdom,2026-06-21,2026-07-01,yes,Noble Eightfold Path,Show the path in concrete daily scenarios without repeating the full doctrine article,SN 45.8,No article-specific wellbeing boundary required based on current page promise.,Light polish,82,Medium
mindfulness-morning-routine,https://echobuddha.com/articles/mindfulness-morning-routine/,Phase 2 re-verified,Mindfulness,2026-06-20,2026-07-01,no,Beginner Meditation and Mindfulness,Design a realistic morning sequence that carries into the day,General editorial review,No article-specific wellbeing boundary required based on current page promise.,Light polish,83,Medium
buddhist-teachings-on-impermanence,https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,Phase 3 re-reviewed,Buddhist Wisdom,2026-06-19,2026-07-01,yes,Impermanence,Apply impermanence to change and loss with compassion and clear limits,AN 5.57,Add article-specific boundary language in the later implementation pass; do not use identical boilerplate.,Targeted rewrite,79,Medium
walking-meditation-step-by-step,https://echobuddha.com/articles/walking-meditation-step-by-step/,Phase 2 re-verified,Meditation,2026-06-18,2026-07-01,no,Beginner Meditation and Mindfulness,"Teach a body-based walking method with route, pace, and attention choices",General editorial review,No article-specific wellbeing boundary required based on current page promise.,Light polish,83,Medium
buddhist-approach-to-anger,https://echobuddha.com/articles/buddhist-approach-to-anger/,Phase 3 re-reviewed,Buddhist Wisdom,2026-06-17,2026-07-01,no,"Compassion, Forgiveness, Patience, Speech, Anger, and Listening",Turn anger into a pause-understand-respond sequence without suppressing truth,MN 58,Retain the existing educational/non-treatment boundary and make copy-specific refinements only if the article promises outcomes.,Light polish,84,Low
mindfulness-for-better-sleep,https://echobuddha.com/articles/mindfulness-for-better-sleep/,Phase 2 re-verified,Mindfulness,2026-06-16,2026-07-01,no,Beginner Meditation and Mindfulness,Offer an evening mindfulness wind-down without promising sleep treatment,General editorial review,Retain the existing educational/non-treatment boundary and make copy-specific refinements only if the article promises outcomes.,Light polish,84,Low
how-to-practice-non-attachment,https://echobuddha.com/articles/how-to-practice-non-attachment/,Phase 2 re-verified,Reflection,2026-06-15,2026-07-01,no,"Attachment, Non-attachment, and Letting Go",Make non-attachment a habit of caring without gripping,General editorial review,No article-specific wellbeing boundary required based on current page promise.,Light polish,82,Medium
beginning-a-daily-mindfulness-practice,https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,Phase 2 re-verified,Meditation,2026-06-01,2026-07-01,no,Beginner Meditation and Mindfulness,"Focus on habit formation and return, not one-off meditation instructions",General editorial review,No article-specific wellbeing boundary required based on current page promise.,Targeted rewrite,81,Medium
compassion-as-a-daily-discipline,https://echobuddha.com/articles/compassion-as-a-daily-discipline/,Phase 3 re-reviewed,Buddhist Wisdom,2026-05-18,2026-07-01,yes,Compassion and Forgiveness,Frame compassion as repeated conduct with boundaries,Editorial/source-aware interpretation,No article-specific wellbeing boundary required based on current page promise.,Light polish,82,Medium
letting-go-without-giving-up,https://echobuddha.com/articles/letting-go-without-giving-up/,Phase 2 re-verified,Reflection,2026-04-27,2026-07-01,no,"Attachment, Non-attachment, and Letting Go",Separate releasing control from abandoning wise effort,General editorial review,No article-specific wellbeing boundary required based on current page promise.,Light polish,82,Medium
three-ways-to-practice-patience,https://echobuddha.com/articles/three-ways-to-practice-patience/,Phase 3 re-reviewed,Practice,2026-04-12,2026-07-01,no,"Compassion, Forgiveness, Patience, Speech, Anger, and Listening","Give three distinct patience drills for irritation, delay, and uncertainty",Editorial/source-aware interpretation,No article-specific wellbeing boundary required based on current page promise.,Light polish,83,Medium
mindful-listening-in-everyday-life,https://echobuddha.com/articles/mindful-listening-in-everyday-life/,Phase 3 re-reviewed,Mindfulness,2026-03-24,2026-07-01,no,"Compassion, Forgiveness, Patience, Speech, Anger, and Listening","Make listening the practice, not merely a prelude to better speaking",MN 58,No article-specific wellbeing boundary required based on current page promise.,Light polish,82,Medium
creating-a-peaceful-corner-at-home,https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,Phase 3 re-reviewed,Meditation,2026-03-03,2026-07-01,no,Peaceful Corner Standalone,Help readers create a modest practice environment without consumerism or decoration pressure,Editorial/source-aware interpretation,No article-specific wellbeing boundary required based on current page promise.,Light polish,83,Medium
