articleA,articleB,phase1Scope,beforeEditorialOverlap,afterEditorialOverlap,beforeOverallBodySimilarity,afterOverallBodySimilarity,deltaOverallBodySimilarity,beforeExactDuplicatedSentenceCount,afterExactDuplicatedSentenceCount,beforeNearDuplicatedParagraphCount,afterNearDuplicatedParagraphCount
buddhist-teachings-on-forgiveness,dhammapada-reflection-trained-mind,Context pair,Low,Low,0.151,0.151,0,0,0,0,0
buddhist-teachings-on-forgiveness,dhammapada-reflection-what-we-think,Context pair,Low,Low,0.128,0.128,0,0,0,0,0
buddhist-teachings-on-forgiveness,eightfold-path-explained,Context pair,Low,Low,0.115,0.115,0,0,0,0,0
eightfold-path-explained-daily-life,buddhist-teachings-on-forgiveness,In scope pair,Low,Low,0.118,0.11,-0.008,0,0,0,0
buddhist-teachings-on-forgiveness,four-noble-truths-explained,Context pair,Low,Low,0.136,0.136,0,0,0,0,0
buddhist-teachings-on-forgiveness,four-noble-truths-explained-simply,Context pair,Low,Low,0.132,0.132,0,0,0,0,0
buddhist-teachings-on-forgiveness,how-to-let-go-of-attachment-in-buddhism,Context pair,Low,Low,0.171,0.171,0,0,0,0,0
how-to-meditate-for-anxiety,buddhist-teachings-on-forgiveness,In scope pair,Low,Low,0.123,0.12,-0.003,0,0,0,0
buddhist-teachings-on-forgiveness,how-to-meditate-for-beginners,Context pair,Low,Low,0.104,0.104,0,0,0,0,0
how-to-practice-non-attachment,buddhist-teachings-on-forgiveness,In scope pair,Low,Low,0.139,0.139,0,0,0,0,0
buddhist-teachings-on-forgiveness,impermanence-in-buddhism,Context pair,Low,Low,0.148,0.148,0,0,0,0,0
buddhist-teachings-on-forgiveness,impermanence-in-buddhism-letting-go,Context pair,Low,Low,0.136,0.136,0,0,0,0,0
letting-go-without-giving-up,buddhist-teachings-on-forgiveness,In scope pair,Low,Low,0.171,0.167,-0.004,0,0,0,0
loving-kindness-meditation-beginners,buddhist-teachings-on-forgiveness,In scope pair,Low,Low,0.15,0.156,0.006,0,0,0,0
buddhist-teachings-on-forgiveness,loving-kindness-meditation-guide,Context pair,Low,Low,0.166,0.166,0,0,0,0,0
metta-meditation-script,buddhist-teachings-on-forgiveness,Context pair,Low,Low,0.166,0.166,0,0,0,0,0
mindful-listening-in-everyday-life,buddhist-teachings-on-forgiveness,In scope pair,Low,Low,0.133,0.131,-0.002,0,0,0,0
mindfulness-for-better-sleep,buddhist-teachings-on-forgiveness,In scope pair,Low,Low,0.11,0.104,-0.006,0,0,0,0
mindfulness-morning-routine,buddhist-teachings-on-forgiveness,In scope pair,Low,Low,0.108,0.1,-0.008,0,0,0,0
buddhist-teachings-on-forgiveness,mindfulness-of-breathing-guide,Context pair,Low,Low,0.104,0.104,0,0,0,0,0
buddhist-teachings-on-forgiveness,mindfulness-vs-meditation,Context pair,Low,Low,0.143,0.143,0,0,0,0,0
buddhist-teachings-on-forgiveness,noble-eightfold-path-practical-guide,Context pair,Low,Low,0.109,0.109,0,0,0,0,0
buddhist-teachings-on-forgiveness,right-speech-buddhism,Context pair,Low,Low,0.142,0.142,0,0,0,0,0
three-ways-to-practice-patience,buddhist-teachings-on-forgiveness,In scope pair,Low,Low,0.139,0.14,0.001,0,0,0,0
walking-meditation-step-by-step,buddhist-teachings-on-forgiveness,In scope pair,Low,Low,0.118,0.11,-0.008,0,0,0,0
buddhist-teachings-on-forgiveness,what-is-buddhism-beginner-guide,Context pair,Low,Low,0.154,0.154,0,0,0,0,0
buddhist-teachings-on-forgiveness,what-is-karma-in-buddhism,Context pair,Low,Low,0.169,0.169,0,0,0,0,0
buddhist-teachings-on-impermanence,buddhist-wisdom-for-overthinking,In scope pair,Low,Low,0.141,0.131,-0.01,0,0,0,0
compassion-as-a-daily-discipline,buddhist-teachings-on-impermanence,In scope pair,Medium,Low,0.245,0.169,-0.076,8,0,2,0
buddhist-teachings-on-impermanence,compassion-in-buddhism-beginner-guide,In scope pair,Low,Low,0.127,0.118,-0.009,0,0,0,0
creating-a-peaceful-corner-at-home,buddhist-teachings-on-impermanence,In scope pair,Medium,Low,0.209,0.135,-0.074,8,0,2,0
buddhist-teachings-on-impermanence,dhammapada-reflection-trained-mind,In scope pair,Low,Low,0.145,0.129,-0.016,0,0,0,0
buddhist-teachings-on-impermanence,dhammapada-reflection-what-we-think,In scope pair,Low,Low,0.149,0.138,-0.011,0,0,0,0
buddhist-teachings-on-impermanence,eightfold-path-explained,In scope pair,Low,Low,0.135,0.122,-0.013,0,0,0,0
buddhist-teachings-on-impermanence,eightfold-path-explained-daily-life,In scope pair,Medium,Low,0.225,0.151,-0.074,8,0,2,0
buddhist-teachings-on-impermanence,four-noble-truths-explained,In scope pair,Low,Low,0.155,0.151,-0.004,0,0,0,0
buddhist-teachings-on-impermanence,four-noble-truths-explained-simply,In scope pair,Low,Low,0.171,0.16,-0.011,0,0,0,0
buddhist-teachings-on-impermanence,how-to-let-go-of-attachment-in-buddhism,In scope pair,Low,Low,0.186,0.184,-0.002,0,0,0,0
buddhist-teachings-on-impermanence,how-to-meditate-for-anxiety,In scope pair,Medium,Low,0.231,0.159,-0.072,8,0,2,0
buddhist-teachings-on-impermanence,how-to-meditate-for-beginners,In scope pair,Low,Low,0.11,0.106,-0.004,0,0,0,0
how-to-practice-non-attachment,buddhist-teachings-on-impermanence,In scope pair,Medium,Low,0.29,0.215,-0.075,8,0,3,0
buddhist-teachings-on-impermanence,impermanence-in-buddhism,In scope pair,Medium,Medium,0.354,0.352,-0.002,0,0,0,0
buddhist-teachings-on-impermanence,impermanence-in-buddhism-letting-go,In scope pair,Medium,Medium,0.315,0.315,0,0,0,0,0
letting-go-without-giving-up,buddhist-teachings-on-impermanence,In scope pair,Medium,Low,0.278,0.199,-0.079,8,0,2,0
buddhist-teachings-on-impermanence,loving-kindness-meditation-beginners,In scope pair,Medium,Low,0.221,0.136,-0.085,8,0,2,0
buddhist-teachings-on-impermanence,loving-kindness-meditation-guide,In scope pair,Low,Low,0.13,0.121,-0.009,0,0,0,0
buddhist-teachings-on-impermanence,metta-meditation-script,In scope pair,Low,Low,0.127,0.124,-0.003,0,0,0,0
mindful-listening-in-everyday-life,buddhist-teachings-on-impermanence,In scope pair,Medium,Low,0.234,0.152,-0.082,8,0,3,0
mindfulness-for-better-sleep,buddhist-teachings-on-impermanence,In scope pair,Medium,Low,0.222,0.145,-0.077,8,0,2,0
buddhist-teachings-on-impermanence,mindfulness-morning-routine,In scope pair,Medium,Low,0.219,0.132,-0.087,8,0,2,0
buddhist-teachings-on-impermanence,mindfulness-of-breathing-guide,In scope pair,Low,Low,0.132,0.126,-0.006,0,0,0,0
buddhist-teachings-on-impermanence,mindfulness-vs-meditation,In scope pair,Low,Low,0.161,0.151,-0.01,0,0,0,0
buddhist-teachings-on-impermanence,noble-eightfold-path-practical-guide,In scope pair,Low,Low,0.135,0.116,-0.019,0,0,0,0
buddhist-teachings-on-impermanence,right-speech-buddhism,In scope pair,Low,Low,0.124,0.112,-0.012,0,0,0,0
three-ways-to-practice-patience,buddhist-teachings-on-impermanence,In scope pair,Medium,Low,0.235,0.158,-0.077,8,0,3,0
walking-meditation-step-by-step,buddhist-teachings-on-impermanence,In scope pair,Medium,Low,0.219,0.145,-0.074,8,0,2,0
buddhist-teachings-on-impermanence,what-is-buddhism-beginner-guide,In scope pair,Low,Low,0.199,0.18,-0.019,0,0,0,0
buddhist-teachings-on-impermanence,what-is-karma-in-buddhism,In scope pair,Low,Low,0.163,0.148,-0.015,0,0,0,0
compassion-as-a-daily-discipline,buddhist-wisdom-for-overthinking,In scope pair,Low,Low,0.131,0.12,-0.011,0,0,0,0
buddhist-wisdom-for-overthinking,compassion-in-buddhism-beginner-guide,Context pair,Low,Low,0.11,0.11,0,0,0,0,0
creating-a-peaceful-corner-at-home,buddhist-wisdom-for-overthinking,In scope pair,Low,Low,0.15,0.136,-0.014,0,0,0,0
buddhist-wisdom-for-overthinking,dhammapada-reflection-trained-mind,Context pair,Low,Low,0.216,0.216,0,0,0,0,0
buddhist-wisdom-for-overthinking,dhammapada-reflection-what-we-think,Context pair,Low,Low,0.218,0.218,0,0,0,0,0
buddhist-wisdom-for-overthinking,eightfold-path-explained,Context pair,Low,Low,0.152,0.152,0,0,0,0,0
eightfold-path-explained-daily-life,buddhist-wisdom-for-overthinking,In scope pair,Low,Low,0.154,0.142,-0.012,0,0,0,0
four-noble-truths-explained,buddhist-wisdom-for-overthinking,Context pair,Low,Low,0.132,0.132,0,0,0,0,0
buddhist-wisdom-for-overthinking,four-noble-truths-explained-simply,Context pair,Low,Low,0.132,0.132,0,0,0,0,0
buddhist-wisdom-for-overthinking,how-to-let-go-of-attachment-in-buddhism,Context pair,Low,Low,0.167,0.167,0,0,0,0,0
how-to-meditate-for-anxiety,buddhist-wisdom-for-overthinking,In scope pair,Low,Low,0.212,0.203,-0.009,0,0,0,0
buddhist-wisdom-for-overthinking,how-to-meditate-for-beginners,Context pair,Low,Low,0.196,0.196,0,0,0,0,0
how-to-practice-non-attachment,buddhist-wisdom-for-overthinking,In scope pair,Low,Low,0.144,0.137,-0.007,0,0,0,0
impermanence-in-buddhism,buddhist-wisdom-for-overthinking,Context pair,Low,Low,0.153,0.153,0,0,0,0,0
buddhist-wisdom-for-overthinking,impermanence-in-buddhism-letting-go,Context pair,Low,Low,0.139,0.139,0,0,0,0,0
letting-go-without-giving-up,buddhist-wisdom-for-overthinking,In scope pair,Low,Low,0.185,0.178,-0.007,0,0,0,0
loving-kindness-meditation-beginners,buddhist-wisdom-for-overthinking,In scope pair,Low,Low,0.133,0.114,-0.019,0,0,0,0
buddhist-wisdom-for-overthinking,loving-kindness-meditation-guide,Context pair,Low,Low,0.117,0.117,0,0,0,0,0
metta-meditation-script,buddhist-wisdom-for-overthinking,Context pair,Low,Low,0.142,0.142,0,0,0,0,0
mindful-listening-in-everyday-life,buddhist-wisdom-for-overthinking,In scope pair,Low,Low,0.155,0.14,-0.015,0,0,0,0
mindfulness-for-better-sleep,buddhist-wisdom-for-overthinking,In scope pair,Low,Low,0.203,0.197,-0.006,0,0,0,0
mindfulness-morning-routine,buddhist-wisdom-for-overthinking,In scope pair,Low,Low,0.162,0.149,-0.013,0,0,0,0
buddhist-wisdom-for-overthinking,mindfulness-of-breathing-guide,Context pair,Low,Low,0.19,0.19,0,0,0,0,0
mindfulness-vs-meditation,buddhist-wisdom-for-overthinking,Context pair,Low,Low,0.188,0.188,0,0,0,0,0
buddhist-wisdom-for-overthinking,noble-eightfold-path-practical-guide,Context pair,Low,Low,0.117,0.117,0,0,0,0,0
buddhist-wisdom-for-overthinking,right-speech-buddhism,Context pair,Low,Low,0.138,0.138,0,0,0,0,0
three-ways-to-practice-patience,buddhist-wisdom-for-overthinking,In scope pair,Low,Low,0.164,0.157,-0.007,0,0,0,0
walking-meditation-step-by-step,buddhist-wisdom-for-overthinking,In scope pair,Low,Low,0.162,0.149,-0.013,0,0,0,0
buddhist-wisdom-for-overthinking,what-is-buddhism-beginner-guide,Context pair,Low,Low,0.169,0.169,0,0,0,0,0
what-is-karma-in-buddhism,buddhist-wisdom-for-overthinking,Context pair,Low,Low,0.137,0.137,0,0,0,0,0
compassion-as-a-daily-discipline,compassion-in-buddhism-beginner-guide,In scope pair,Medium,Medium,0.326,0.325,-0.001,0,0,0,0
creating-a-peaceful-corner-at-home,compassion-as-a-daily-discipline,In scope pair,Medium,Low,0.224,0.144,-0.08,8,0,2,0
compassion-as-a-daily-discipline,dhammapada-reflection-trained-mind,In scope pair,Low,Low,0.161,0.154,-0.007,0,0,0,0
compassion-as-a-daily-discipline,dhammapada-reflection-what-we-think,In scope pair,Low,Low,0.144,0.136,-0.008,0,0,0,0
compassion-as-a-daily-discipline,eightfold-path-explained,In scope pair,Low,Low,0.166,0.161,-0.005,0,0,0,0
compassion-as-a-daily-discipline,eightfold-path-explained-daily-life,In scope pair,Medium,Low,0.241,0.175,-0.066,8,0,2,0
compassion-as-a-daily-discipline,four-noble-truths-explained,In scope pair,Low,Low,0.151,0.151,0,0,0,0,0
compassion-as-a-daily-discipline,four-noble-truths-explained-simply,In scope pair,Low,Low,0.153,0.147,-0.006,0,0,0,0
compassion-as-a-daily-discipline,how-to-let-go-of-attachment-in-buddhism,In scope pair,Low,Low,0.142,0.141,-0.001,0,0,0,0
compassion-as-a-daily-discipline,how-to-meditate-for-anxiety,In scope pair,Medium,Low,0.227,0.149,-0.078,8,0,2,0
compassion-as-a-daily-discipline,how-to-meditate-for-beginners,In scope pair,Low,Low,0.109,0.1,-0.009,0,0,0,0
compassion-as-a-daily-discipline,how-to-practice-non-attachment,In scope pair,Medium,Low,0.239,0.168,-0.071,8,0,3,0
compassion-as-a-daily-discipline,impermanence-in-buddhism,In scope pair,Low,Low,0.137,0.13,-0.007,0,0,0,0
compassion-as-a-daily-discipline,impermanence-in-buddhism-letting-go,In scope pair,Low,Low,0.123,0.117,-0.006,0,0,0,0
letting-go-without-giving-up,compassion-as-a-daily-discipline,In scope pair,Medium,Low,0.255,0.185,-0.07,8,0,3,0
compassion-as-a-daily-discipline,loving-kindness-meditation-beginners,In scope pair,Medium,Low,0.277,0.205,-0.072,8,0,2,0
compassion-as-a-daily-discipline,loving-kindness-meditation-guide,In scope pair,Low,Low,0.179,0.178,-0.001,0,0,0,0
compassion-as-a-daily-discipline,metta-meditation-script,In scope pair,Low,Low,0.164,0.164,0,0,0,0,0
mindful-listening-in-everyday-life,compassion-as-a-daily-discipline,In scope pair,Medium,Low,0.309,0.237,-0.072,8,0,2,0
compassion-as-a-daily-discipline,mindfulness-for-better-sleep,In scope pair,Medium,Low,0.214,0.121,-0.093,8,0,2,0
compassion-as-a-daily-discipline,mindfulness-morning-routine,In scope pair,Medium,Low,0.233,0.156,-0.077,8,0,3,0
compassion-as-a-daily-discipline,mindfulness-of-breathing-guide,In scope pair,Low,Low,0.109,0.097,-0.012,0,0,0,0
