"Evidence ID","GSC reason","Source workbook","Source SHA-256","GSC URL","Last crawled / export state","Current initial status","Current redirect target","Current final status","Current final URL","Current robots","Current canonical","Current sitemap state","Protected / intended state","Reconciliation result","Defect?","Severity","Blocks unconditional READY?","Blocks reapplication?","Action"
"IDX-011","Page with redirect","echobuddha.com-Coverage-Drilldown-2026-08-13 (1).xlsx","2a7f006e269752d06c3799dcce5330d56dcfc999485b6991e900824195228b6c","http://echobuddha.com/","2026-07-27","301","https://echobuddha.com/","200","https://echobuddha.com/","index, follow (implicit)","self","IN","indexable","PASS — HTTP alias redirects to indexable HTTPS target","No","NONE","No","No","Protect; no change"
"IDX-012","Page with redirect","echobuddha.com-Coverage-Drilldown-2026-08-13 (1).xlsx","2a7f006e269752d06c3799dcce5330d56dcfc999485b6991e900824195228b6c","http://echobuddha.com/articles/mindfulness-for-better-sleep/","2026-07-25","301","https://echobuddha.com/articles/mindfulness-for-better-sleep/","200","https://echobuddha.com/articles/mindfulness-for-better-sleep/","index, follow (implicit)","self","IN","indexable","PASS — HTTP alias redirects to indexable HTTPS target","No","NONE","No","No","Protect; no change"
"IDX-013","Page with redirect","echobuddha.com-Coverage-Drilldown-2026-08-13 (1).xlsx","2a7f006e269752d06c3799dcce5330d56dcfc999485b6991e900824195228b6c","http://echobuddha.com/quotes/awareness/small-acts-of-attention-can-turn-an-ordinary-day/","2026-07-24","301","https://echobuddha.com/quotes/awareness/small-acts-of-attention-can-turn-an-ordinary-day/","200","https://echobuddha.com/quotes/awareness/small-acts-of-attention-can-turn-an-ordinary-day/","noindex, follow","self","OUT — expected","noindex, follow","PASS — HTTP alias redirects to protected noindex HTTPS target","No","NONE","No","No","Protect; no change"
"IDX-014","Page with redirect","echobuddha.com-Coverage-Drilldown-2026-08-13 (1).xlsx","2a7f006e269752d06c3799dcce5330d56dcfc999485b6991e900824195228b6c","http://echobuddha.com/learn/buddhism-101/","2026-07-23","301","https://echobuddha.com/learn/buddhism-101/","200","https://echobuddha.com/learn/buddhism-101/","index, follow (implicit)","self","IN","indexable","PASS — HTTP alias redirects to indexable HTTPS target","No","NONE","No","No","Protect; no change"
"IDX-015","Page with redirect","echobuddha.com-Coverage-Drilldown-2026-08-13 (1).xlsx","2a7f006e269752d06c3799dcce5330d56dcfc999485b6991e900824195228b6c","http://echobuddha.com/meditation/","2026-07-18","301","https://echobuddha.com/meditation/","200","https://echobuddha.com/meditation/","index, follow (implicit)","self","IN","indexable","PASS — HTTP alias redirects to indexable HTTPS target","No","NONE","No","No","Protect; no change"
"IDX-016","Not found (404)","echobuddha.com-Coverage-Drilldown-2026-08-13 (2).xlsx","6e945523615fea3aaf3181069251ad4cd925dc93b20598760fe8a772b495bb4d","https://echobuddha.com/terms-and-conditions/","2026-07-09","404","","404","https://echobuddha.com/terms-and-conditions/","N/A — empty response","N/A","OUT","Legacy route renamed to /terms-of-use/ on 2026-06-26","P2 — renamed route lacks a legacy redirect and live unknown-path response has an empty 404 body","Yes — legacy migration / recovery UX","P2 NON-BLOCKING","No","No","Propose a separately authorized one-hop 301 to /terms-of-use/ and branded missing-path fallback; validate and deploy only with explicit authorization"
"IDX-017","Alternate page with proper canonical tag","echobuddha.com-Coverage-Drilldown-2026-08-13 (3).xlsx","aa2057b105973d38becbc5305561d0e2481ba13097fed33cda595cfd75e36c44","http://echobuddha.com/learn/buddhism-101/what-is-mindfulness/","2026-07-04","301","https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/","200","https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/","index, follow (implicit)","self","IN","indexable","PASS — historical HTTP alternate now redirects to self-canonical HTTPS target","No","NONE","No","No","Protect; no change"
"IDX-018","Crawled - currently not indexed","echobuddha.com-Coverage-Drilldown-2026-08-13 (4).xlsx","717331a7d5d7d227c87420f129aee3b5a429dd13021d8bfd6f123c826dbd04d2","https://echobuddha.com/sitemap.xml","2026-08-06","200","","200","https://echobuddha.com/sitemap.xml","N/A — application/xml","N/A","N/A — sitemap document","non-HTML discovery document","PASS — XML sitemap need not be indexed as a search result","No","NONE","No","No","Preserve; no indexing request or content change"
"IDX-019","Discovered - currently not indexed","echobuddha.com-Coverage-Drilldown-2026-08-13 (5).xlsx","9a6833a05bd16f3890ac891dd3fc783f0b736c729c9c5446c09c97403ce47878","https://echobuddha.com/daily-reflections/","Not crawled — export epoch placeholder 1970-01-01","200","","200","https://echobuddha.com/daily-reflections/","index, follow (implicit)","self","IN","indexable","PASS SITE ELIGIBILITY / Google indexing pending at cutoff","No","P2 OBSERVATION","No","No","Monitor/inspect; no change from stale pre-release GSC state"
"IDX-020","Discovered - currently not indexed","echobuddha.com-Coverage-Drilldown-2026-08-13 (5).xlsx","9a6833a05bd16f3890ac891dd3fc783f0b736c729c9c5446c09c97403ce47878","https://echobuddha.com/learn/buddhist-dictionary/karuna/","Not crawled — export epoch placeholder 1970-01-01","200","","200","https://echobuddha.com/learn/buddhist-dictionary/karuna/","index, follow (implicit)","self","IN","indexable","PASS SITE ELIGIBILITY / Google indexing pending at cutoff","No","P2 OBSERVATION","No","No","Monitor/inspect; no change from stale pre-release GSC state"
"IDX-021","Discovered - currently not indexed","echobuddha.com-Coverage-Drilldown-2026-08-13 (5).xlsx","9a6833a05bd16f3890ac891dd3fc783f0b736c729c9c5446c09c97403ce47878","https://echobuddha.com/learn/dhammapada-reflections/peace-comes-from-a-trained-mind/","Not crawled — export epoch placeholder 1970-01-01","200","","200","https://echobuddha.com/learn/dhammapada-reflections/peace-comes-from-a-trained-mind/","index, follow (implicit)","self","IN","indexable","PASS SITE ELIGIBILITY / Google indexing pending at cutoff","No","P2 OBSERVATION","No","No","Monitor/inspect; no change from stale pre-release GSC state"
"IDX-022","Discovered - currently not indexed","echobuddha.com-Coverage-Drilldown-2026-08-13 (5).xlsx","9a6833a05bd16f3890ac891dd3fc783f0b736c729c9c5446c09c97403ce47878","https://echobuddha.com/learn/sutta-for-daily-life/dhammacakkappavattana-sutta-four-noble-truths/","Not crawled — export epoch placeholder 1970-01-01","200","","200","https://echobuddha.com/learn/sutta-for-daily-life/dhammacakkappavattana-sutta-four-noble-truths/","index, follow (implicit)","self","IN","indexable","PASS SITE ELIGIBILITY / Google indexing pending at cutoff","No","P2 OBSERVATION","No","No","Monitor/inspect; no change from stale pre-release GSC state"
"IDX-023","Discovered - currently not indexed","echobuddha.com-Coverage-Drilldown-2026-08-13 (5).xlsx","9a6833a05bd16f3890ac891dd3fc783f0b736c729c9c5446c09c97403ce47878","https://echobuddha.com/quotes/impermanence/meet-change-softly/","Not crawled — export epoch placeholder 1970-01-01","200","","200","https://echobuddha.com/quotes/impermanence/meet-change-softly/","index, follow (implicit)","self","IN","indexable","PASS SITE ELIGIBILITY / Google indexing pending at cutoff","No","P2 OBSERVATION","No","No","Monitor/inspect; no change from stale pre-release GSC state"
"IDX-024","Discovered - currently not indexed","echobuddha.com-Coverage-Drilldown-2026-08-13 (5).xlsx","9a6833a05bd16f3890ac891dd3fc783f0b736c729c9c5446c09c97403ce47878","https://echobuddha.com/quotes/letting-go/where-attachment-begins/","Not crawled — export epoch placeholder 1970-01-01","200","","200","https://echobuddha.com/quotes/letting-go/where-attachment-begins/","index, follow (implicit)","self","IN","indexable","PASS SITE ELIGIBILITY / Google indexing pending at cutoff","No","P2 OBSERVATION","No","No","Monitor/inspect; no change from stale pre-release GSC state"
"IDX-025","Discovered - currently not indexed","echobuddha.com-Coverage-Drilldown-2026-08-13 (5).xlsx","9a6833a05bd16f3890ac891dd3fc783f0b736c729c9c5446c09c97403ce47878","https://echobuddha.com/start-here/","Not crawled — export epoch placeholder 1970-01-01","200","","200","https://echobuddha.com/start-here/","index, follow (implicit)","self","IN","indexable","PASS SITE ELIGIBILITY / Google indexing pending at cutoff","No","P2 OBSERVATION","No","No","Monitor/inspect; no change from stale pre-release GSC state"
"IDX-026","Discovered - currently not indexed","echobuddha.com-Coverage-Drilldown-2026-08-13 (5).xlsx","9a6833a05bd16f3890ac891dd3fc783f0b736c729c9c5446c09c97403ce47878","https://echobuddha.com/tools/","Not crawled — export epoch placeholder 1970-01-01","200","","200","https://echobuddha.com/tools/","index, follow (implicit)","self","IN","indexable","PASS SITE ELIGIBILITY / Google indexing pending at cutoff","No","P2 OBSERVATION","No","No","Monitor/inspect; no change from stale pre-release GSC state"
