"URL","Family","Role","Owner","Index state","Protected information gain","Source/trust state","Template/mass-produced risk","Current readiness","Evidence","Decision"
"https://echobuddha.com/articles/mindfulness-of-breathing-guide/","Articles","PRIMARY_PILLAR","https://echobuddha.com/articles/mindfulness-of-breathing-guide/","indexable","A narrower explanation, misconception, or example set specific to “Mindfulness of Breathing Guide for Calm and Clarity”.","Low; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/mindfulness-vs-meditation/","Articles","COMPARISON_PAGE","https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/","indexable","Direct distinction between concepts that readers commonly confuse in “Mindfulness vs Meditation: Simple Beginner Guide”.","Low; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/noble-eightfold-path-practical-guide/","Articles","PRACTICAL_APPLICATION","https://echobuddha.com/learn/eightfold-path/","indexable","Daily-life examples or a repeatable application tied specifically to “Noble Eightfold Path Practical Guide for Daily Life”.","Low; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/non-attachment-in-relationships/","Articles","SCENARIO_GUIDE","https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/","indexable","Worked guidance for the specific situation named by “Non-Attachment in Relationships Without Becoming Cold”.","Low; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/right-livelihood-modern-life/","Articles","PRACTICAL_APPLICATION","https://echobuddha.com/learn/buddhism-101/right-livelihood-buddhism/","indexable","Daily-life examples or a repeatable application tied specifically to “Right Livelihood in Modern Life: Buddhist Work Ethics”.","Low; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/right-speech-buddhism/","Articles","PRIMARY_PILLAR","https://echobuddha.com/articles/right-speech-buddhism/","indexable","A narrower explanation, misconception, or example set specific to “Right Speech in Buddhism: Meaning, Examples, and Practice”.","VERIFIED_AUTHORITATIVE_LINKS_AND_BOUNDARIES; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/right-speech-examples/","Articles","SUPPORTING_EXPLANATION","https://echobuddha.com/articles/right-speech-buddhism/","indexable","A narrower explanation, misconception, or example set specific to “Right Speech Examples for Everyday Life”.","Low; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/three-poisons-buddhism-explained/","Articles","PRIMARY_PILLAR","https://echobuddha.com/articles/three-poisons-buddhism-explained/","indexable","A narrower explanation, misconception, or example set specific to “Three Poisons in Buddhism: Greed, Aversion, and Delusion”.","Low; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/three-ways-to-practice-patience/","Articles","PRIMARY_PILLAR","https://echobuddha.com/articles/three-ways-to-practice-patience/","indexable","A narrower explanation, misconception, or example set specific to “Three Ways to Practice Patience”.","Medium; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/visiting-a-buddhist-temple-respectfully/","Articles","SCENARIO_GUIDE","https://echobuddha.com/articles/what-is-sangha-buddhist-community/","indexable","Worked guidance for the specific situation named by “Visiting a Buddhist Temple Respectfully: Beginner Guide”.","Low; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/walking-meditation-step-by-step/","Articles","PRACTICE_GUIDE","https://echobuddha.com/meditation/walking-meditation/","indexable","Concrete method, pacing, posture, duration, or troubleshooting specific to “Walking Meditation: Step-by-Step Guide”.","Medium; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/what-is-buddhism-beginner-guide/","Articles","BEGINNER_FOUNDATION","https://echobuddha.com/learn/buddhism-for-beginners/","indexable","A narrower explanation, misconception, or example set specific to “What Is Buddhism? Beginner Guide to Buddhist Wisdom”.","Low; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/what-is-karma-in-buddhism/","Articles","PRACTICAL_APPLICATION","https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/","indexable","Daily-life examples or a repeatable application tied specifically to “How Karma Shapes Daily Choices in Buddhist Practice”.","Low; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/what-is-sangha-buddhist-community/","Articles","PRIMARY_PILLAR","https://echobuddha.com/articles/what-is-sangha-buddhist-community/","indexable","A narrower explanation, misconception, or example set specific to “What Is Sangha? Buddhist Community for Beginners”.","Low; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/authors/echo-buddha-editorial/","Trust / policy","TRUST_POLICY","https://echobuddha.com/about/","indexable","Publisher transparency or user-protection information specific to “Echo Buddha Editorial”.","Medium; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/buddhist-sources-and-citations/","Trust / policy","TRUST_POLICY","https://echobuddha.com/about/","indexable","Publisher transparency or user-protection information specific to “Buddhist Sources and Citations”.","Medium; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/contact/","Trust / policy","TRUST_POLICY","https://echobuddha.com/about/","indexable","Publisher transparency or user-protection information specific to “Contact”.","Medium; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/corrections/","Trust / policy","TRUST_POLICY","https://echobuddha.com/about/","indexable","Publisher transparency or user-protection information specific to “Corrections and Editorial Updates”.","Medium; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/daily-reflections/","Daily Reflections","HUB","https://echobuddha.com/daily-reflections/","indexable","Orientation, selection, and meaningful navigation across the Daily Reflections cluster.","Medium; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/disclaimer/","Trust / policy","TRUST_POLICY","https://echobuddha.com/about/","indexable","Publisher transparency or user-protection information specific to “Disclaimer”.","Medium; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/editorial-policy/","Trust / policy","TRUST_POLICY","https://echobuddha.com/about/","indexable","Publisher transparency or user-protection information specific to “Editorial Policy”.","Medium; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/how-echo-buddha-creates-content/","Trust / policy","TRUST_POLICY","https://echobuddha.com/about/","indexable","Publisher transparency or user-protection information specific to “How Echo Buddha Creates Content”.","Medium; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/","Homepage","HUB","https://echobuddha.com/","indexable","Orientation, selection, and meaningful navigation across the Site Discovery cluster.","Medium; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/learn/buddhism-101/a-simple-daily-buddhist-practice/","Learn","PRACTICAL_APPLICATION","https://echobuddha.com/learn/buddhism-for-beginners/","indexable","Daily-life examples or a repeatable application tied specifically to “A Simple Daily Buddhist Practice”.","Low; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/learn/buddhism-101/dependent-origination-explained/","Learn","BEGINNER_FOUNDATION","https://echobuddha.com/learn/buddhism-101/","indexable","A narrower explanation, misconception, or example set specific to “Dependent Origination in Buddhism Explained for Beginners”.","Low; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/learn/buddhism-101/five-aggregates-buddhism/","Learn","SUPPORTING_EXPLANATION","https://echobuddha.com/learn/buddhism-101/","indexable","A narrower explanation, misconception, or example set specific to “The Five Aggregates in Buddhism Explained Simply”.","Low; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
