URL,stored published date,displayed published date,schema published date,stored modified date,displayed modified date,schema modified date,confidence,corrected?,evidence
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,2026-06-01,2026-06-01,2026-06-01,2026-07-01,2026-07-01,2026-07-01,HIGH,UI_LABEL_CORRECTED_TO_UPDATED; VALUES_PRESERVED,src/data/site.ts editorial metadata; visible time elements; Article JSON-LD; OpenGraph article times
https://echobuddha.com/articles/dhamma-vs-dharma/,2026-08-05,2026-08-05,2026-08-05,2026-08-24,2026-08-24,2026-08-24,HIGH,UI_LABEL_CORRECTED_TO_UPDATED; VALUES_PRESERVED,src/data/site.ts editorial metadata; visible time elements; Article JSON-LD; OpenGraph article times
https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,2026-07-01,2026-07-01,2026-07-01,2026-07-01,2026-07-01,2026-07-01,HIGH,UI_LABEL_CORRECTED_TO_UPDATED; VALUES_PRESERVED,src/data/site.ts editorial metadata; visible time elements; Article JSON-LD; OpenGraph article times
https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,2026-07-01,2026-07-01,2026-07-01,2026-08-24,2026-08-24,2026-08-24,HIGH,UI_LABEL_CORRECTED_TO_UPDATED; VALUES_PRESERVED,src/data/site.ts editorial metadata; visible time elements; Article JSON-LD; OpenGraph article times
https://echobuddha.com/articles/dhammapada-verse-1-meaning/,2026-08-05,2026-08-05,2026-08-05,2026-08-24,2026-08-24,2026-08-24,HIGH,UI_LABEL_CORRECTED_TO_UPDATED; VALUES_PRESERVED,src/data/site.ts editorial metadata; visible time elements; Article JSON-LD; OpenGraph article times
https://echobuddha.com/articles/eightfold-path-explained-daily-life/,2026-06-21,2026-06-21,2026-06-21,2026-07-01,2026-07-01,2026-07-01,HIGH,UI_LABEL_CORRECTED_TO_UPDATED; VALUES_PRESERVED,src/data/site.ts editorial metadata; visible time elements; Article JSON-LD; OpenGraph article times
https://echobuddha.com/articles/eightfold-path-explained/,2026-06-26,2026-06-26,2026-06-26,2026-06-26,2026-06-26,2026-06-26,HIGH,UI_LABEL_CORRECTED_TO_UPDATED; VALUES_PRESERVED,src/data/site.ts editorial metadata; visible time elements; Article JSON-LD; OpenGraph article times
https://echobuddha.com/articles/equanimity-in-buddhism/,2026-07-13,2026-07-13,2026-07-13,2026-07-13,2026-07-13,2026-07-13,HIGH,UI_LABEL_CORRECTED_TO_UPDATED; VALUES_PRESERVED,src/data/site.ts editorial metadata; visible time elements; Article JSON-LD; OpenGraph article times
https://echobuddha.com/articles/first-week-buddhist-practice/,2026-08-05,2026-08-05,2026-08-05,2026-08-06,2026-08-06,2026-08-06,HIGH,UI_LABEL_CORRECTED_TO_UPDATED; VALUES_PRESERVED,src/data/site.ts editorial metadata; visible time elements; Article JSON-LD; OpenGraph article times
https://echobuddha.com/articles/five-precepts-in-daily-life/,2026-07-13,2026-07-13,2026-07-13,2026-07-13,2026-07-13,2026-07-13,HIGH,UI_LABEL_CORRECTED_TO_UPDATED; VALUES_PRESERVED,src/data/site.ts editorial metadata; visible time elements; Article JSON-LD; OpenGraph article times
https://echobuddha.com/articles/four-noble-truths-explained-simply/,2026-07-01,2026-07-01,2026-07-01,2026-07-01,2026-07-01,2026-07-01,HIGH,UI_LABEL_CORRECTED_TO_UPDATED; VALUES_PRESERVED,src/data/site.ts editorial metadata; visible time elements; Article JSON-LD; OpenGraph article times
https://echobuddha.com/articles/four-noble-truths-explained/,2026-06-25,2026-06-25,2026-06-25,2026-06-25,2026-06-25,2026-06-25,HIGH,UI_LABEL_CORRECTED_TO_UPDATED; VALUES_PRESERVED,src/data/site.ts editorial metadata; visible time elements; Article JSON-LD; OpenGraph article times
https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,2026-06-26,2026-06-26,2026-06-26,2026-08-24,2026-08-24,2026-08-24,HIGH,UI_LABEL_CORRECTED_TO_UPDATED; VALUES_PRESERVED,src/data/site.ts editorial metadata; visible time elements; Article JSON-LD; OpenGraph article times
https://echobuddha.com/articles/how-to-meditate-for-anxiety/,2026-06-23,2026-06-23,2026-06-23,2026-07-01,2026-07-01,2026-07-01,HIGH,UI_LABEL_CORRECTED_TO_UPDATED; VALUES_PRESERVED,src/data/site.ts editorial metadata; visible time elements; Article JSON-LD; OpenGraph article times
https://echobuddha.com/articles/how-to-meditate-for-beginners/,2026-07-01,2026-07-01,2026-07-01,2026-07-01,2026-07-01,2026-07-01,HIGH,UI_LABEL_CORRECTED_TO_UPDATED; VALUES_PRESERVED,src/data/site.ts editorial metadata; visible time elements; Article JSON-LD; OpenGraph article times
https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,2026-07-01,2026-07-01,2026-07-01,2026-07-01,2026-07-01,2026-07-01,HIGH,UI_LABEL_CORRECTED_TO_UPDATED; VALUES_PRESERVED,src/data/site.ts editorial metadata; visible time elements; Article JSON-LD; OpenGraph article times
https://echobuddha.com/articles/impermanence-in-buddhism/,2026-06-26,2026-06-26,2026-06-26,2026-06-26,2026-06-26,2026-06-26,HIGH,UI_LABEL_CORRECTED_TO_UPDATED; VALUES_PRESERVED,src/data/site.ts editorial metadata; visible time elements; Article JSON-LD; OpenGraph article times
https://echobuddha.com/articles/loving-kindness-meditation-beginners/,2026-06-22,2026-06-22,2026-06-22,2026-07-01,2026-07-01,2026-07-01,HIGH,UI_LABEL_CORRECTED_TO_UPDATED; VALUES_PRESERVED,src/data/site.ts editorial metadata; visible time elements; Article JSON-LD; OpenGraph article times
https://echobuddha.com/articles/loving-kindness-meditation-guide/,2026-07-01,2026-07-01,2026-07-01,2026-07-01,2026-07-01,2026-07-01,HIGH,UI_LABEL_CORRECTED_TO_UPDATED; VALUES_PRESERVED,src/data/site.ts editorial metadata; visible time elements; Article JSON-LD; OpenGraph article times
https://echobuddha.com/articles/metta-meditation-script/,2026-06-25,2026-06-25,2026-06-25,2026-06-25,2026-06-25,2026-06-25,HIGH,UI_LABEL_CORRECTED_TO_UPDATED; VALUES_PRESERVED,src/data/site.ts editorial metadata; visible time elements; Article JSON-LD; OpenGraph article times
https://echobuddha.com/articles/mindful-email-and-texting/,2026-08-05,2026-08-05,2026-08-05,2026-08-06,2026-08-06,2026-08-06,HIGH,UI_LABEL_CORRECTED_TO_UPDATED; VALUES_PRESERVED,src/data/site.ts editorial metadata; visible time elements; Article JSON-LD; OpenGraph article times
https://echobuddha.com/articles/mindful-listening-in-everyday-life/,2026-03-24,2026-03-24,2026-03-24,2026-07-01,2026-07-01,2026-07-01,HIGH,UI_LABEL_CORRECTED_TO_UPDATED; VALUES_PRESERVED,src/data/site.ts editorial metadata; visible time elements; Article JSON-LD; OpenGraph article times
https://echobuddha.com/articles/mindfulness-for-better-sleep/,2026-06-16,2026-06-16,2026-06-16,2026-07-01,2026-07-01,2026-07-01,HIGH,UI_LABEL_CORRECTED_TO_UPDATED; VALUES_PRESERVED,src/data/site.ts editorial metadata; visible time elements; Article JSON-LD; OpenGraph article times
https://echobuddha.com/articles/mindfulness-morning-routine/,2026-06-20,2026-06-20,2026-06-20,2026-07-01,2026-07-01,2026-07-01,HIGH,UI_LABEL_CORRECTED_TO_UPDATED; VALUES_PRESERVED,src/data/site.ts editorial metadata; visible time elements; Article JSON-LD; OpenGraph article times
https://echobuddha.com/articles/mindfulness-of-breathing-guide/,2026-07-01,2026-07-01,2026-07-01,2026-07-01,2026-07-01,2026-07-01,HIGH,UI_LABEL_CORRECTED_TO_UPDATED; VALUES_PRESERVED,src/data/site.ts editorial metadata; visible time elements; Article JSON-LD; OpenGraph article times
https://echobuddha.com/articles/mindfulness-vs-meditation/,2026-06-25,2026-06-25,2026-06-25,2026-06-25,2026-06-25,2026-06-25,HIGH,UI_LABEL_CORRECTED_TO_UPDATED; VALUES_PRESERVED,src/data/site.ts editorial metadata; visible time elements; Article JSON-LD; OpenGraph article times
https://echobuddha.com/articles/noble-eightfold-path-practical-guide/,2026-07-01,2026-07-01,2026-07-01,2026-08-24,2026-08-24,2026-08-24,HIGH,UI_LABEL_CORRECTED_TO_UPDATED; VALUES_PRESERVED,src/data/site.ts editorial metadata; visible time elements; Article JSON-LD; OpenGraph article times
https://echobuddha.com/articles/non-attachment-in-relationships/,2026-08-05,2026-08-05,2026-08-05,2026-08-06,2026-08-06,2026-08-06,HIGH,UI_LABEL_CORRECTED_TO_UPDATED; VALUES_PRESERVED,src/data/site.ts editorial metadata; visible time elements; Article JSON-LD; OpenGraph article times
https://echobuddha.com/articles/right-livelihood-modern-life/,2026-07-13,2026-07-13,2026-07-13,2026-07-13,2026-07-13,2026-07-13,HIGH,UI_LABEL_CORRECTED_TO_UPDATED; VALUES_PRESERVED,src/data/site.ts editorial metadata; visible time elements; Article JSON-LD; OpenGraph article times
https://echobuddha.com/articles/right-speech-buddhism/,2026-06-26,2026-06-26,2026-06-26,2026-08-24,2026-08-24,2026-08-24,HIGH,UI_LABEL_CORRECTED_TO_UPDATED; VALUES_PRESERVED,src/data/site.ts editorial metadata; visible time elements; Article JSON-LD; OpenGraph article times
https://echobuddha.com/articles/right-speech-examples/,2026-08-05,2026-08-05,2026-08-05,2026-08-06,2026-08-06,2026-08-06,HIGH,UI_LABEL_CORRECTED_TO_UPDATED; VALUES_PRESERVED,src/data/site.ts editorial metadata; visible time elements; Article JSON-LD; OpenGraph article times
https://echobuddha.com/articles/three-poisons-buddhism-explained/,2026-07-13,2026-07-13,2026-07-13,2026-07-13,2026-07-13,2026-07-13,HIGH,UI_LABEL_CORRECTED_TO_UPDATED; VALUES_PRESERVED,src/data/site.ts editorial metadata; visible time elements; Article JSON-LD; OpenGraph article times
https://echobuddha.com/articles/three-ways-to-practice-patience/,2026-04-12,2026-04-12,2026-04-12,2026-07-01,2026-07-01,2026-07-01,HIGH,UI_LABEL_CORRECTED_TO_UPDATED; VALUES_PRESERVED,src/data/site.ts editorial metadata; visible time elements; Article JSON-LD; OpenGraph article times
https://echobuddha.com/articles/visiting-a-buddhist-temple-respectfully/,2026-08-05,2026-08-05,2026-08-05,2026-08-06,2026-08-06,2026-08-06,HIGH,UI_LABEL_CORRECTED_TO_UPDATED; VALUES_PRESERVED,src/data/site.ts editorial metadata; visible time elements; Article JSON-LD; OpenGraph article times
https://echobuddha.com/articles/walking-meditation-step-by-step/,2026-06-18,2026-06-18,2026-06-18,2026-07-01,2026-07-01,2026-07-01,HIGH,UI_LABEL_CORRECTED_TO_UPDATED; VALUES_PRESERVED,src/data/site.ts editorial metadata; visible time elements; Article JSON-LD; OpenGraph article times
https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,2026-07-01,2026-07-01,2026-07-01,2026-07-01,2026-07-01,2026-07-01,HIGH,UI_LABEL_CORRECTED_TO_UPDATED; VALUES_PRESERVED,src/data/site.ts editorial metadata; visible time elements; Article JSON-LD; OpenGraph article times
https://echobuddha.com/articles/what-is-karma-in-buddhism/,2026-06-25,2026-06-25,2026-06-25,2026-06-25,2026-06-25,2026-06-25,HIGH,UI_LABEL_CORRECTED_TO_UPDATED; VALUES_PRESERVED,src/data/site.ts editorial metadata; visible time elements; Article JSON-LD; OpenGraph article times
https://echobuddha.com/articles/what-is-sangha-buddhist-community/,2026-07-13,2026-07-13,2026-07-13,2026-07-13,2026-07-13,2026-07-13,HIGH,UI_LABEL_CORRECTED_TO_UPDATED; VALUES_PRESERVED,src/data/site.ts editorial metadata; visible time elements; Article JSON-LD; OpenGraph article times
